# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 05:11:43 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564564304;2195100640;158976;2541824;0.00;0.00;0.00;621;9929;42200;39716;101;280;0;0;546048;8349440;0.00;0.00;0.00;2133;32615;138992;130460;102;33;0;0;524288;8327168;0.00;0.00;0.00;2048;32528;138304;130112;102;33;0;0;525568;8331776;0.00;0.00;0.00;2053;32546;138396;130184;102;33;0;0;525312;8338688;0.00;0.00;0.00;2052;32573;138500;130292;102;33;0;0;525056;8335104;0.00;0.00;0.00;2051;32559;138440;130236;102;33;0;0;731805952;1457303296;0.75;0.83;0.83;2858617;5692591;34204832;22770364;11228242;33328027;0;0;732069632;1457780480;0.75;0.83;0.83;2859647;5694455;34216408;22777820;11229156;33330100;0;0;732854528;1459446528;0.75;0.83;0.83;2862713;5700963;34254704;22803852;11236629;33343306;0;0;732956416;1459699456;0.75;0.83;0.83;2863111;5701951;34260248;22807804;11246164;33353859;0;0;733142528;1460155136;0.75;0.83;0.83;2863838;5703731;34270276;22814924;11246694;33355770;0;0;733894400;1461972736;0.75;0.83;0.83;2866775;5710831;34310424;22843324;11256422;33372366;0;0;
1564564312;17560564430;777216;11864064;0.00;0.00;0.00;3036;46344;197520;185376;102;99;0;0;389376;5985536;0.00;0.00;0.00;1521;23381;99608;93524;102;33;0;0;376576;5976832;0.00;0.00;0.00;1471;23347;99272;93388;103;33;0;0;376832;5978368;0.00;0.00;0.00;1472;23353;99300;93412;102;33;0;0;376320;5975296;0.00;0.00;0.00;1470;23341;99244;93364;102;33;0;0;376576;5975040;0.00;0.00;0.00;1471;23340;99244;93360;102;33;0;0;537528320;60884480;0.07;0.32;0.00;2099720;237830;9350200;951320;2262542;352059;0;0;544100864;60603904;0.07;0.32;0.00;2125394;236734;9448512;946936;2288155;350398;0;0;517839104;58921984;0.07;0.32;0.00;2022809;230164;9011892;920656;2179629;336419;0;0;401123584;49420800;0.10;0.28;0.00;1566889;193050;7039756;772200;1736677;266983;0;0;405648128;49071360;0.10;0.28;0.00;1584563;191685;7104992;766740;1755139;265218;0;0;403986432;47413504;0.09;0.26;0.00;1578072;185209;7053124;740836;1741544;249640;0;0;
1564564320;17560938682;841472;12759552;0.00;0.00;0.00;3287;49842;212516;199368;102;38;0;0;822016;12742912;0.00;0.00;0.00;3211;49777;211952;199108;102;33;0;0;802048;12734720;0.00;0.00;0.00;3133;49745;211512;198980;102;33;0;0;801792;12726784;0.00;0.00;0.00;3132;49714;211384;198856;102;33;0;0;801792;12727552;0.00;0.00;0.00;3132;49717;211396;198868;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;844816896;33282816;0.02;0.03;0.00;3300066;130011;13720308;520044;3353364;133882;0;0;953305856;33328896;0.01;0.03;0.00;3723851;130191;15416168;520764;3780018;133733;0;0;892755456;33318144;0.02;0.03;0.00;3487326;130149;14469900;520596;3540990;134093;0;0;349078528;14237952;0.03;0.00;0.00;1363588;55617;5676820;222468;1408980;10130;0;0;360564480;14211072;0.03;0.00;0.00;1408455;55512;5855868;222048;1452365;10150;0;0;349360384;14159616;0.03;0.00;0.00;1364689;55311;5680000;221244;1406479;9723;0;0;
1564564328;17560940588;833792;12746752;0.00;0.00;0.00;3257;49792;212196;199168;102;35;0;0;823296;12744192;0.00;0.00;0.00;3216;49782;211992;199128;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;802048;12728064;0.00;0.00;0.00;3133;49719;211408;198876;102;33;0;0;891105024;31775744;0.01;0.01;0.00;3480879;124124;14420012;496496;3523360;125759;0;0;848644608;31687424;0.01;0.02;0.00;3315018;123779;13755188;495116;3359847;125778;0;0;831440640;31539968;0.01;0.01;0.00;3247815;123203;13484072;492812;3291486;124689;0;0;365766912;13925120;0.03;0.00;0.00;1428777;54395;5932688;217580;1471959;8861;0;0;363164672;13970688;0.03;0.00;0.00;1418612;54573;5892740;218292;1459573;8947;0;0;367992576;14002432;0.03;0.00;0.00;1437471;54697;5968672;218788;1478071;9002;0;0;
1564564336;17560936006;829696;12743936;0.00;0.00;0.00;3241;49781;212088;199124;102;33;0;0;815616;12738048;0.00;0.00;0.00;3186;49758;211776;199032;102;33;0;0;802048;12728064;0.00;0.00;0.00;3133;49719;211408;198876;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;802048;12735744;0.00;0.00;0.00;3133;49749;211528;198996;102;33;0;0;851075072;31345920;0.01;0.02;0.00;3324512;122445;13787828;489780;3362136;124969;0;0;837424640;31348480;0.01;0.02;0.00;3271190;122455;13574580;489820;3310729;125275;0;0;841771008;31363840;0.01;0.02;0.00;3288168;122515;13642732;490060;3327364;125320;0;0;348933120;14176000;0.03;0.00;0.00;1363020;55375;5673580;221500;1408517;10569;0;0;355573504;14193152;0.03;0.00;0.00;1388959;55442;5777604;221768;1432708;10531;0;0;356960256;14191616;0.03;0.00;0.00;1394376;55436;5799248;221744;1436368;10560;0;0;
1564564344;17560939076;829440;12743424;0.00;0.00;0.00;3240;49779;212076;199116;102;33;0;0;819968;12740608;0.00;0.00;0.00;3203;49768;211884;199072;102;33;0;0;801792;12727552;0.00;0.00;0.00;3132;49717;211396;198868;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;802304;12727808;0.00;0.00;0.00;3134;49718;211408;198872;102;33;0;0;801280;12719360;0.00;0.00;0.00;3130;49685;211260;198740;102;33;0;0;664534272;26089472;0.01;0.00;0.00;2595837;101912;10790996;407648;2628757;89826;0;0;653309440;26099968;0.01;0.00;0.00;2551990;101953;10615772;407812;2586830;90140;0;0;663256320;26023424;0.01;0.00;0.00;2590845;101654;10769996;406616;2625397;89516;0;0;562208256;18697984;0.02;0.00;0.00;2196126;73039;9076660;292156;2245165;39551;0;0;553903872;18607360;0.02;0.00;0.00;2163687;72685;8945488;290740;2211857;39827;0;0;586803712;18787328;0.02;0.00;0.00;2292202;73388;9462360;293552;2338629;40268;0;0;
1564564352;17560938786;831488;12748800;0.00;0.00;0.00;3248;49800;212192;199200;102;43;0;0;820736;12741888;0.00;0.00;0.00;3206;49773;211916;199092;102;33;0;0;801024;12719872;0.00;0.00;0.00;3129;49687;211264;198748;101;33;0;0;801792;12727552;0.00;0.00;0.00;3132;49717;211396;198868;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;277468416;13842688;0.03;0.00;0.00;1083861;54073;4551736;216292;1118734;8524;0;0;278449664;13880832;0.03;0.00;0.00;1087694;54222;4567664;216888;1122063;8630;0;0;265700352;13901312;0.03;0.00;0.00;1037892;54302;4368776;217208;1071252;8683;0;0;960074240;30506240;0.01;0.01;0.00;3750290;119165;15477820;476660;3801011;120815;0;0;923743488;30494976;0.01;0.01;0.00;3608373;119121;14909976;476484;3657501;120426;0;0;940512000;30467840;0.01;0.01;0.00;3673875;119015;15171560;476060;3720046;120298;0;0;
1564564360;17560939948;830720;12745216;0.00;0.00;0.00;3245;49786;212124;199144;102;36;0;0;811264;12734720;0.00;0.00;0.00;3169;49745;211656;198980;102;33;0;0;802048;12728064;0.00;0.00;0.00;3133;49719;211408;198876;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;801280;12727808;0.00;0.00;0.00;3130;49718;211392;198872;102;33;0;0;327441152;13970432;0.03;0.00;0.00;1279067;54572;5334556;218288;1320081;9660;0;0;325782528;13980672;0.03;0.00;0.00;1272588;54612;5308800;218448;1312544;9771;0;0;321924864;13991680;0.03;0.00;0.00;1257519;54655;5248696;218620;1297441;9858;0;0;873663232;29831936;0.01;0.00;0.00;3412747;116531;14117112;466124;3453283;114465;0;0;919272704;29841408;0.01;0.00;0.00;3590909;116568;14829908;466272;3631267;114511;0;0;837556736;29747712;0.01;0.00;0.00;3271706;116202;13551632;464808;3308111;114202;0;0;
1564564368;17560938180;825856;12742144;0.00;0.00;0.00;3226;49774;212000;199096;102;33;0;0;811520;12734208;0.00;0.00;0.00;3170;49743;211652;198972;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801792;12730368;0.00;0.00;0.00;3132;49728;211440;198912;102;33;0;0;801280;12722176;0.00;0.00;0.00;3130;49696;211304;198784;102;33;0;0;802560;12728832;0.00;0.00;0.00;3135;49722;211428;198888;102;33;0;0;666400000;22865152;0.02;0.00;0.00;2603125;89317;10769768;357268;2652658;66804;0;0;671243776;22895616;0.02;0.00;0.00;2622046;89436;10845928;357744;2671978;66976;0;0;671975936;22843904;0.02;0.00;0.00;2624906;89234;10856560;356936;2675267;66939;0;0;507820032;20432896;0.01;0.00;0.00;1983672;79816;8253952;319264;2013405;51102;0;0;502438656;20482560;0.02;0.00;0.00;1962651;80010;8170644;320040;1992694;51406;0;0;500960000;20519680;0.01;0.00;0.00;1956875;80155;8148120;320620;1982882;51599;0;0;
1564564376;17870858336;852736;13129216;0.00;0.00;0.00;3331;51286;218468;205144;102;36;0;0;859392;13369856;0.00;0.00;0.00;3357;52226;222332;208904;101;33;0;0;861952;13684736;0.00;0.00;0.00;3367;53456;227292;213824;101;33;0;0;862208;13686784;0.00;0.00;0.00;3368;53464;227328;213856;101;33;0;0;862976;13694720;0.00;0.00;0.00;3371;53495;227464;213980;101;33;0;0;862464;13693952;0.00;0.00;0.00;3369;53492;227444;213968;102;33;0;0;605960960;32927232;0.01;0.00;0.00;2367035;128622;9982628;514488;2397980;100028;0;0;605370624;33059584;0.01;0.00;0.00;2364729;129139;9975472;516556;2395952;100415;0;0;605385472;33099776;0.01;0.00;0.00;2364787;129296;9976332;517184;2393712;100915;0;0;452484096;20482560;0.03;0.00;0.00;1767516;80010;7390104;320040;1819012;37547;0;0;481677568;20533504;0.03;0.00;0.00;1881553;80209;7847048;320836;1934521;37804;0;0;481021696;20364544;0.03;0.00;0.00;1878991;79549;7834160;318196;1929103;37060;0;0;
