# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 06:04:47 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564567488;2195114934;531456;8314112;0.00;0.00;0.00;2076;32477;138212;129908;102;121;0;0;535552;8295936;0.00;0.00;0.00;2092;32406;137992;129624;102;33;0;0;521984;8292096;0.00;0.00;0.00;2039;32391;137720;129564;102;33;0;0;522240;8289024;0.00;0.00;0.00;2040;32379;137676;129516;102;33;0;0;522496;8295936;0.00;0.00;0.00;2041;32406;137788;129624;102;33;0;0;522496;8292352;0.00;0.00;0.00;2041;32392;137732;129568;102;33;0;0;729939968;1449005568;0.75;0.83;0.83;2851328;5660178;34046024;22640712;11192913;33472147;0;0;729954560;1449074176;0.75;0.83;0.83;2851385;5660446;34047324;22641784;11193027;33472388;0;0;730512384;1449310464;0.75;0.83;0.83;2853564;5661369;34059732;22645476;11192749;33471486;0;0;730065408;1448967424;0.75;0.83;0.83;2851818;5660029;34047388;22640116;11192875;33471797;0;0;730074880;1449055488;0.75;0.83;0.83;2851855;5660373;34048912;22641492;11192766;33472197;0;0;730048000;1449023232;0.75;0.83;0.83;2851750;5660247;34047988;22640988;11192825;33472340;0;0;
1564567496;17559484052;389888;6024448;0.00;0.00;0.00;1523;23533;100224;94132;102;37;0;0;381952;6024192;0.00;0.00;0.00;1492;23532;100096;94128;102;33;0;0;379392;6021120;0.00;0.00;0.00;1482;23520;100008;94080;102;33;0;0;379136;6021376;0.00;0.00;0.00;1481;23521;100008;94084;102;33;0;0;379136;6017792;0.00;0.00;0.00;1481;23507;99952;94028;102;33;0;0;379904;6027008;0.00;0.00;0.00;1484;23543;100108;94172;102;33;0;0;6148864;11996160;0.73;0.48;0.00;24019;46860;283516;187440;88995;90827;0;0;6121472;11960832;0.73;0.48;0.00;23912;46722;282536;186888;88870;90596;0;0;6151424;11998208;0.73;0.48;0.00;24029;46868;283588;187472;88919;90691;0;0;6167040;11991040;0.73;0.48;0.00;24090;46840;283720;187360;88842;90569;0;0;6173184;12017920;0.73;0.48;0.00;24114;46945;284236;187780;88957;90697;0;0;6195200;12011264;0.73;0.48;0.00;24200;46919;284476;187676;88878;90525;0;0;
1564567504;17560939320;836096;12750080;0.00;0.00;0.00;3266;49805;212284;199220;102;34;0;0;829952;12750080;0.00;0.00;0.00;3242;49805;212188;199220;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;812800;12737792;0.00;0.00;0.00;3175;49757;211728;199028;135;45;0;0;816896;12737792;0.00;0.00;0.00;3191;49757;211792;199028;169;46;0;0;832000;12751872;0.00;0.00;0.00;3250;49812;212248;199248;135;45;0;0;808192;12735232;0.00;0.00;0.00;3157;49747;211616;198988;135;46;0;0;820736;12742144;0.00;0.00;0.00;3206;49774;211920;199096;135;42;0;0;817408;12741376;0.00;0.00;0.00;3193;49771;211856;199084;135;46;0;0;
1564567512;17560935824;829184;12747776;0.00;0.00;0.00;3239;49796;212140;199184;102;33;0;0;825856;12746496;0.00;0.00;0.00;3226;49791;212068;199164;102;33;0;0;802048;12727808;0.00;0.00;0.00;3133;49718;211404;198872;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;830976;12759552;0.00;0.00;0.00;3246;49842;212352;199368;135;56;0;0;819456;12740864;0.00;0.00;0.00;3201;49769;211880;199076;168;52;0;0;817408;12737536;0.00;0.00;0.00;3193;49756;211796;199024;135;57;0;0;816384;12741120;0.00;0.00;0.00;3189;49770;211836;199080;135;49;0;0;816384;12740864;0.00;0.00;0.00;3189;49769;211832;199076;135;54;0;0;823552;12740608;0.00;0.00;0.00;3217;49768;211940;199072;135;55;0;0;
1564567520;17560940692;828416;12745472;0.00;0.00;0.00;3236;49787;212092;199148;102;38;0;0;823296;12744960;0.00;0.00;0.00;3216;49785;212004;199140;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;802048;12728064;0.00;0.00;0.00;3133;49719;211408;198876;102;33;0;0;801792;12727552;0.00;0.00;0.00;3132;49717;211396;198868;102;33;0;0;802048;12728832;0.00;0.00;0.00;3133;49722;211420;198888;102;33;0;0;816896;12742656;0.00;0.00;0.00;3191;49776;211868;199104;135;53;0;0;815104;12741376;0.00;0.00;0.00;3184;49771;211820;199084;169;59;0;0;821248;12756736;0.00;0.00;0.00;3208;49831;212156;199324;135;68;0;0;815360;12742144;0.00;0.00;0.00;3185;49774;211836;199096;135;51;0;0;823808;12750848;0.00;0.00;0.00;3218;49808;212104;199232;135;62;0;0;827648;12752640;0.00;0.00;0.00;3233;49815;212192;199260;135;53;0;0;
1564567528;17560941124;827648;12746240;0.00;0.00;0.00;3233;49790;212092;199160;102;33;0;0;822528;12743936;0.00;0.00;0.00;3213;49781;211976;199124;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;803328;12728832;0.00;0.00;0.00;3138;49722;211440;198888;102;33;0;0;801792;12728320;0.00;0.00;0.00;3132;49720;211408;198880;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;810240;12733696;0.00;0.00;0.00;3165;49741;211624;198964;135;36;0;0;816128;12739328;0.00;0.00;0.00;3188;49763;211804;199052;174;39;0;0;817664;12734720;0.00;0.00;0.00;3194;49745;211756;198980;134;36;0;0;815872;12742400;0.00;0.00;0.00;3187;49775;211848;199100;135;37;0;0;823040;12737792;0.00;0.00;0.00;3215;49757;211888;199028;135;36;0;0;820480;12745728;0.00;0.00;0.00;3205;49788;211972;199152;135;33;0;0;
1564567536;17560940320;849152;12765184;0.00;0.00;0.00;3317;49864;212724;199456;102;33;0;0;819968;12740864;0.00;0.00;0.00;3203;49769;211888;199076;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;807680;12730368;0.00;0.00;0.00;3155;49728;211532;198912;135;33;0;0;817152;12731904;0.00;0.00;0.00;3192;49734;211704;198936;170;36;0;0;819968;12743936;0.00;0.00;0.00;3203;49781;211936;199124;136;34;0;0;807168;12726784;0.00;0.00;0.00;3153;49714;211468;198856;135;34;0;0;820736;12743168;0.00;0.00;0.00;3206;49778;211936;199112;135;37;0;0;813568;12736000;0.00;0.00;0.00;3178;49750;211712;199000;135;33;0;0;
1564567544;17560946008;825344;12742144;0.00;0.00;0.00;3224;49774;211992;199096;102;34;0;0;812288;12735232;0.00;0.00;0.00;3173;49747;211680;198988;102;33;0;0;802048;12727808;0.00;0.00;0.00;3133;49718;211404;198872;102;33;0;0;802560;12728320;0.00;0.00;0.00;3135;49720;211420;198880;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;807680;12732672;0.00;0.00;0.00;3155;49737;211568;198948;135;36;0;0;815104;12736000;0.00;0.00;0.00;3184;49750;211736;199000;166;41;0;0;820736;12742656;0.00;0.00;0.00;3206;49776;211928;199104;135;35;0;0;811520;12734464;0.00;0.00;0.00;3170;49744;211656;198976;135;34;0;0;823296;12744448;0.00;0.00;0.00;3216;49783;211996;199132;135;35;0;0;814336;12737280;0.00;0.00;0.00;3181;49755;211744;199020;135;34;0;0;
1564567552;17560931828;825856;12743680;0.00;0.00;0.00;3226;49780;212024;199120;102;34;0;0;818688;12740864;0.00;0.00;0.00;3198;49769;211868;199076;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;802304;12728064;0.00;0.00;0.00;3134;49719;211412;198876;102;33;0;0;802304;12727808;0.00;0.00;0.00;3134;49718;211408;198872;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;809984;12733184;0.00;0.00;0.00;3164;49739;211612;198956;135;35;0;0;816896;12736000;0.00;0.00;0.00;3191;49750;211764;199000;157;36;0;0;817920;12741376;0.00;0.00;0.00;3195;49771;211864;199084;135;39;0;0;815872;12739584;0.00;0.00;0.00;3187;49764;211804;199056;135;39;0;0;832256;12758784;0.00;0.00;0.00;3251;49839;212360;199356;135;39;0;0;810496;12733952;0.00;0.00;0.00;3166;49742;211632;198968;135;37;0;0;
1564567560;17560941420;829440;12743680;0.00;0.00;0.00;3240;49780;212080;199120;102;33;0;0;817152;12739584;0.00;0.00;0.00;3192;49764;211824;199056;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;802816;12728576;0.00;0.00;0.00;3136;49721;211428;198884;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;810752;12732416;0.00;0.00;0.00;3167;49736;211612;198944;135;34;0;0;814336;12734976;0.00;0.00;0.00;3181;49746;211708;198984;160;34;0;0;820480;12741888;0.00;0.00;0.00;3205;49773;211912;199092;135;34;0;0;812288;12736768;0.00;0.00;0.00;3173;49753;211704;199012;135;34;0;0;813312;12735744;0.00;0.00;0.00;3177;49749;211704;198996;135;35;0;0;815872;12738048;0.00;0.00;0.00;3187;49758;211780;199032;135;34;0;0;
