# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 05:18:42 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564564723;2195113464;175616;2480128;0.00;0.00;0.00;686;9688;41496;38752;101;134;0;0;527360;8264448;0.00;0.00;0.00;2060;32283;137372;129132;102;33;0;0;520192;8256512;0.00;0.00;0.00;2032;32252;137136;129008;102;33;0;0;520448;8262656;0.00;0.00;0.00;2033;32276;137236;129104;102;33;0;0;520448;8258816;0.00;0.00;0.00;2033;32261;137176;129044;102;33;0;0;520704;8262912;0.00;0.00;0.00;2034;32277;137244;129108;102;33;0;0;731514112;1456330240;0.75;0.83;0.83;2857477;5688790;34185068;22755160;11226255;33499238;0;0;731248384;1456430848;0.75;0.83;0.83;2856439;5689183;34182488;22756732;11226785;33501095;0;0;732326656;1458789632;0.75;0.83;0.83;2860651;5698397;34236192;22793588;11236600;33518752;0;0;733308160;1461854720;0.75;0.83;0.83;2864485;5710370;34299420;22841480;11247557;33517153;0;0;732899328;1461862400;0.75;0.83;0.83;2862888;5710400;34293152;22841600;11247975;33519612;0;0;733619200;1464044800;0.75;0.83;0.83;2865700;5718925;34338500;22875700;11258028;33537766;0;0;
1564564731;17559252034;767744;11894272;0.00;0.00;0.00;2999;46462;197844;185848;102;76;0;0;386816;6051072;0.00;0.00;0.00;1511;23637;100592;94548;102;33;0;0;381184;6054144;0.00;0.00;0.00;1489;23649;100552;94596;102;33;0;0;380928;6043904;0.00;0.00;0.00;1488;23609;100388;94436;102;33;0;0;380928;6052096;0.00;0.00;0.00;1488;23641;100516;94564;102;33;0;0;380928;6051072;0.00;0.00;0.00;1488;23637;100500;94548;102;33;0;0;911278592;3312198144;0.73;0.50;0.53;3559682;12938274;65991824;51753096;13057773;25996882;0;0;913768960;3320945920;0.73;0.50;0.53;3569410;12972445;66167420;51889780;13089004;26059197;0;0;911330560;3315258624;0.73;0.50;0.53;3559885;12950229;66040456;51800916;13074966;26032754;0;0;913357056;3306658304;0.73;0.50;0.54;3567801;12916634;65937740;51666536;13099148;26072038;0;0;912862720;3304131072;0.73;0.50;0.54;3565870;12906762;65890528;51627048;13092193;26059342;0;0;912880896;3305741824;0.73;0.50;0.54;3565941;12913054;65915980;51652216;13099976;26078697;0;0;
1564564739;17560953378;818432;12741120;0.00;0.00;0.00;3197;49770;211868;199080;102;43;0;0;815872;12737280;0.00;0.00;0.00;3187;49755;211768;199020;102;33;0;0;802048;12729344;0.00;0.00;0.00;3133;49724;211428;198896;102;33;0;0;801792;12729856;0.00;0.00;0.00;3132;49726;211432;198904;102;33;0;0;801792;12730880;0.00;0.00;0.00;3132;49730;211448;198920;102;33;0;0;801280;12723968;0.00;0.00;0.00;3130;49703;211332;198812;102;33;0;0;1963067648;7001981696;0.71;0.49;0.50;7668233;27351491;140078896;109405964;26729581;53422432;0;0;1965259264;7008179456;0.71;0.49;0.50;7676794;27375701;140209980;109502804;26760333;53471857;0;0;1964602624;7004894208;0.71;0.49;0.50;7674229;27362868;140148388;109451472;26746128;53448427;0;0;1966116352;6993178112;0.71;0.49;0.51;7680142;27317102;139988976;109268408;26812763;53574974;0;0;1964224000;6985092608;0.71;0.49;0.51;7672750;27285518;139833072;109142072;26785582;53517354;0;0;1965427200;6997209344;0.71;0.49;0.51;7677450;27332849;140041196;109331396;26853588;53657764;0;0;
1564564747;17560933878;825088;12743424;0.00;0.00;0.00;3223;49779;212008;199116;102;42;0;0;809728;12732928;0.00;0.00;0.00;3163;49738;211604;198952;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;802816;12728832;0.00;0.00;0.00;3136;49722;211432;198888;102;33;0;0;801792;12724736;0.00;0.00;0.00;3132;49706;211352;198824;102;33;0;0;802304;12733696;0.00;0.00;0.00;3134;49741;211500;198964;102;33;0;0;1914255360;6690656000;0.70;0.47;0.49;7477560;26135375;134451740;104541500;24855654;49683228;0;0;1913620736;6690704896;0.70;0.47;0.49;7475081;26135566;134442588;104542264;24863320;49697955;0;0;1911631104;6691646976;0.70;0.47;0.49;7467309;26139246;134426220;104556984;24882738;49736119;0;0;1915626240;6700457216;0.70;0.48;0.49;7482915;26173661;134626304;104694644;25048112;50061103;0;0;1914815744;6692179968;0.70;0.48;0.49;7479749;26141328;134484308;104565312;25005679;49976251;0;0;1913910016;6693613056;0.70;0.48;0.49;7476211;26146926;134492548;104587704;25028606;50019431;0;0;
1564564755;17560941706;830720;12743168;0.00;0.00;0.00;3245;49778;212092;199112;102;34;0;0;809728;12738048;0.00;0.00;0.00;3163;49758;211684;199032;102;33;0;0;801280;12723968;0.00;0.00;0.00;3130;49703;211332;198812;102;33;0;0;801792;12731904;0.00;0.00;0.00;3132;49734;211464;198936;102;33;0;0;802048;12734464;0.00;0.00;0.00;3133;49744;211508;198976;102;33;0;0;801792;12724992;0.00;0.00;0.00;3132;49707;211356;198828;102;33;0;0;1872495360;6489789440;0.69;0.46;0.48;7314435;25350740;130660700;101402960;23695713;47370931;0;0;1872320512;6484976128;0.69;0.46;0.48;7313752;25331938;130582760;101327752;23665589;47320488;0;0;1872383488;6498015232;0.69;0.47;0.48;7313998;25382872;130787480;101531488;23739261;47462496;0;0;1874282496;6502728448;0.69;0.47;0.48;7321416;25401283;130890796;101605132;23883699;47738077;0;0;1875003136;6498189824;0.69;0.47;0.48;7324231;25383554;130831140;101534216;23861017;47697434;0;0;1874810880;6502189568;0.69;0.47;0.48;7323480;25399178;130890632;101596712;23870724;47722731;0;0;
1564564763;17560937080;822272;12740864;0.00;0.00;0.00;3212;49769;211924;199076;102;34;0;0;814336;12732160;0.00;0.00;0.00;3181;49735;211664;198940;102;33;0;0;802048;12733184;0.00;0.00;0.00;3133;49739;211488;198956;102;33;0;0;801536;12725504;0.00;0.00;0.00;3131;49709;211360;198836;102;33;0;0;801792;12726528;0.00;0.00;0.00;3132;49713;211380;198852;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;1856463360;6388990976;0.69;0.46;0.48;7251810;24956996;128835224;99827984;23082810;46156470;0;0;1856621824;6386434560;0.69;0.46;0.48;7252429;24947010;128797756;99788040;23065291;46114991;0;0;1852712960;6384436480;0.69;0.46;0.48;7237160;24939205;128705460;99756820;23082100;46149315;0;0;1858355712;6401359616;0.69;0.46;0.48;7259202;25005311;129058052;100021244;23238709;46451292;0;0;1855933440;6394281216;0.69;0.46;0.48;7249740;24977661;128909604;99910644;23236112;46453956;0;0;1857816320;6402373120;0.69;0.46;0.48;7257095;25009270;129065460;100037080;23267383;46515067;0;0;
1564564771;17560937838;829952;12749312;0.00;0.00;0.00;3242;49802;212176;199208;102;48;0;0;812032;12734720;0.00;0.00;0.00;3172;49745;211668;198980;102;33;0;0;802048;12727808;0.00;0.00;0.00;3133;49718;211404;198872;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;802048;12728576;0.00;0.00;0.00;3133;49721;211416;198884;102;33;0;0;1840364032;6292255232;0.68;0.45;0.47;7188922;24579122;127072176;98316488;22526457;45040668;0;0;1839280896;6285682432;0.68;0.45;0.47;7184691;24553447;126952552;98213788;22486841;44965162;0;0;1837976320;6288993792;0.68;0.45;0.47;7179595;24566382;126983908;98265528;22518341;45024157;0;0;1840007936;6298201600;0.68;0.46;0.47;7187531;24602350;127159524;98409400;22640913;45264915;0;0;1840358912;6294672640;0.68;0.46;0.47;7188902;24588565;127109868;98354260;22634956;45254121;0;0;1841003776;6298458368;0.68;0.46;0.47;7191421;24603353;127179096;98413412;22655035;45289390;0;0;
1564564779;17560940034;817920;12738816;0.00;0.00;0.00;3195;49761;211824;199044;102;35;0;0;808960;12732928;0.00;0.00;0.00;3160;49738;211592;198952;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;802560;12728064;0.00;0.00;0.00;3135;49719;211416;198876;102;33;0;0;802048;12729088;0.00;0.00;0.00;3133;49723;211424;198892;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;1859102464;6307300352;0.68;0.45;0.47;7262119;24637892;127600044;98551568;22508271;45004965;0;0;1860278272;6307855360;0.68;0.45;0.47;7266712;24640060;127627088;98560240;22510705;45002921;0;0;1855903232;6299861760;0.68;0.45;0.47;7249622;24608835;127433828;98435340;22497055;44979991;0;0;1861227520;6323533312;0.68;0.45;0.47;7270420;24701302;127886888;98805208;22657718;45292733;0;0;1858735360;6312265472;0.68;0.45;0.47;7260685;24657287;127671888;98629148;22611268;45198136;0;0;1860650752;6322217984;0.68;0.45;0.47;7268167;24696164;127857324;98784656;22654910;45295236;0;0;
1564564787;17560950558;823296;12740352;0.00;0.00;0.00;3216;49767;211932;199068;102;33;0;0;813568;12736000;0.00;0.00;0.00;3178;49750;211712;199000;102;33;0;0;801792;12729600;0.00;0.00;0.00;3132;49725;211428;198900;102;33;0;0;801792;12729600;0.00;0.00;0.00;3132;49725;211428;198900;102;33;0;0;801792;12729600;0.00;0.00;0.00;3132;49725;211428;198900;102;33;0;0;801792;12729856;0.00;0.00;0.00;3132;49726;211432;198904;102;33;0;0;1905669376;6415104256;0.67;0.45;0.47;7444021;25059001;130012088;100236004;22882516;45753952;0;0;1905950464;6409468672;0.67;0.45;0.47;7445119;25036987;129928424;100147948;22850578;45691067;0;0;1906584064;6422067456;0.68;0.45;0.47;7447594;25086201;130135180;100344804;22918347;45821857;0;0;1908567552;6431495680;0.68;0.45;0.47;7455342;25123030;130313488;100492120;23027145;46033830;0;0;1904103168;6415802112;0.68;0.45;0.47;7437903;25061727;129998520;100246908;22959528;45897251;0;0;1907446528;6429139200;0.68;0.45;0.47;7450963;25113825;130259152;100455300;23018499;46018696;0;0;
1564564795;17560929490;830208;12747264;0.00;0.00;0.00;3243;49794;212148;199176;102;34;0;0;840448;12759552;0.00;0.00;0.00;3283;49842;212500;199368;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;802048;12727808;0.00;0.00;0.00;3133;49718;211404;198872;102;33;0;0;801280;12724736;0.00;0.00;0.00;3130;49706;211344;198824;102;33;0;0;802048;12733440;0.00;0.00;0.00;3133;49740;211492;198960;102;33;0;0;1892023808;6361317120;0.67;0.45;0.47;7390718;24848895;128958452;99395580;22610297;45206298;0;0;1891258624;6364329472;0.67;0.45;0.47;7387729;24860662;128993564;99442648;22631611;45248307;0;0;1889176064;6357063936;0.67;0.45;0.47;7379594;24832281;128847500;99329124;22606220;45202786;0;0;1894124544;6374507776;0.67;0.45;0.47;7398924;24900421;129197380;99601684;22738039;45450760;0;0;1890565120;6364049408;0.67;0.45;0.47;7385020;24859568;128978352;99438272;22698577;45382770;0;0;1889767680;6366884864;0.68;0.45;0.47;7381905;24870644;129010196;99482576;22725095;45436724;0;0;
