# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 01:33:57 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564551238;2195099390;165632;2433024;0.00;0.00;0.00;647;9504;40604;38016;101;44;0;0;528896;8301312;0.00;0.00;0.00;2066;32427;137972;129708;102;33;0;0;522496;8294656;0.00;0.00;0.00;2041;32401;137768;129604;102;33;0;0;523008;8299008;0.00;0.00;0.00;2043;32418;137844;129672;102;33;0;0;523264;8304896;0.00;0.00;0.00;2044;32441;137940;129764;102;33;0;0;523008;8301568;0.00;0.00;0.00;2043;32428;137884;129712;102;33;0;0;731661824;1455155968;0.75;0.83;0.83;2858054;5684203;34169028;22736812;11221100;33524826;0;0;732475904;1457909760;0.75;0.83;0.83;2861234;5694960;34224776;22779840;11233354;33547544;0;0;732683008;1458412544;0.75;0.83;0.83;2862043;5696924;34235868;22787696;11233168;33548629;0;0;733708288;1461151744;0.75;0.83;0.83;2866048;5707624;34294688;22830496;11243965;33568662;0;0;733683200;1461411072;0.75;0.83;0.83;2865950;5708637;34298348;22834548;11244440;33570959;0;0;734317312;1463908352;0.75;0.83;0.83;2868427;5718392;34347276;22873568;11256311;33592839;0;0;
1564551246;17560723766;841216;11969792;0.00;0.00;0.00;3286;46757;200172;187028;102;38;0;0;382976;6011904;0.00;0.00;0.00;1496;23484;99920;93936;102;33;0;0;378880;6017280;0.00;0.00;0.00;1480;23505;99940;94020;102;33;0;0;378368;6011136;0.00;0.00;0.00;1478;23481;99836;93924;102;33;0;0;378368;6010112;0.00;0.00;0.00;1478;23477;99820;93908;102;33;0;0;378624;6010368;0.00;0.00;0.00;1479;23478;99828;93912;102;33;0;0;141165568;94515456;0.34;0.43;0.00;551428;369201;3682516;1476804;832338;645541;0;0;140283648;91721472;0.33;0.43;0.00;547983;358287;3625080;1433148;820248;623406;0;0;141170944;91342592;0.33;0.43;0.00;551449;356807;3633024;1427228;824733;621405;0;0;142836736;88969216;0.33;0.42;0.00;557956;347536;3621968;1390144;827340;601501;0;0;141776640;88678656;0.33;0.42;0.00;553815;346401;3600864;1385604;821956;599367;0;0;141146880;86056704;0.32;0.42;0.00;551355;336159;3550056;1344636;808621;577502;0;0;
1564551254;17560938344;903680;12816384;0.00;0.00;0.00;3530;50064;214376;200256;102;33;0;0;810496;12733952;0.00;0.00;0.00;3166;49742;211632;198968;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;802048;12728064;0.00;0.00;0.00;3133;49719;211408;198876;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;138832128;16377088;0.16;0.00;0.00;542313;63973;2425144;255892;646791;40027;0;0;137816320;16328448;0.16;0.00;0.00;538345;63783;2408512;255132;644040;40073;0;0;141766656;16356864;0.17;0.00;0.00;553776;63894;2470680;255576;663704;40078;0;0;144202496;16353536;0.17;0.00;0.00;563291;63881;2508688;255524;678631;40042;0;0;141181696;16360704;0.17;0.00;0.00;551491;63909;2461600;255636;663227;40063;0;0;140359168;16421120;0.17;0.00;0.00;548278;64145;2449692;256580;658193;40069;0;0;
1564551262;17560943382;909824;12821760;0.00;0.00;0.00;3554;50085;214556;200340;102;33;0;0;812800;12736000;0.00;0.00;0.00;3175;49750;211700;199000;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;802048;12727808;0.00;0.00;0.00;3133;49718;211404;198872;102;33;0;0;801792;12727552;0.00;0.00;0.00;3132;49717;211396;198868;102;33;0;0;144471808;16428800;0.17;0.00;0.00;564343;64175;2514072;256700;676271;40130;0;0;144173056;16427520;0.17;0.00;0.00;563176;64170;2509384;256680;675828;40195;0;0;147242752;16330240;0.17;0.00;0.00;575167;63790;2555828;255160;690585;40126;0;0;148731904;16411904;0.17;0.00;0.00;580984;64109;2580372;256436;702410;40254;0;0;146014464;16434432;0.17;0.00;0.00;570369;64197;2538264;256788;687390;40240;0;0;147603712;16430592;0.17;0.00;0.00;576577;64182;2563036;256728;697918;40200;0;0;
1564551270;17560938010;910848;12822272;0.00;0.00;0.00;3558;50087;214580;200348;102;33;0;0;814080;12736512;0.00;0.00;0.00;3180;49752;211728;199008;102;33;0;0;802048;12727552;0.00;0.00;0.00;3133;49717;211400;198868;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801792;12729600;0.00;0.00;0.00;3132;49725;211428;198900;102;33;0;0;801792;12729856;0.00;0.00;0.00;3132;49726;211432;198904;102;33;0;0;143435008;16416512;0.17;0.00;0.00;560293;64127;2497680;256508;672474;39852;0;0;141996544;16330496;0.17;0.00;0.00;554674;63791;2473860;255164;669095;39799;0;0;148755712;16362496;0.17;0.00;0.00;581077;63916;2579972;255664;700804;39895;0;0;150095360;16370944;0.18;0.00;0.00;586310;63949;2601036;255796;713059;39875;0;0;145474304;16412160;0.17;0.00;0.00;568259;64110;2529476;256440;685570;40009;0;0;146007040;16417792;0.17;0.00;0.00;570340;64132;2537888;256528;689857;39989;0;0;
1564551278;17560936126;894976;12812032;0.00;0.00;0.00;3496;50047;214172;200188;102;33;0;0;812544;12734976;0.00;0.00;0.00;3174;49746;211680;198984;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;802048;12728320;0.00;0.00;0.00;3133;49720;211412;198880;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;142541568;16388608;0.16;0.00;0.00;556803;64018;2483284;256072;666174;39769;0;0;142335232;16379648;0.17;0.00;0.00;555997;63983;2479920;255932;667347;39802;0;0;143450112;16329216;0.17;0.00;0.00;560352;63786;2496552;255144;673269;39727;0;0;147395584;16330240;0.17;0.00;0.00;575764;63790;2558216;255160;697285;39840;0;0;146085376;16391936;0.17;0.00;0.00;570646;64031;2538708;256124;688770;39919;0;0;144633088;16414720;0.17;0.00;0.00;564973;64120;2516372;256480;680572;39810;0;0;
1564551286;17560944120;932096;12843776;0.00;0.00;0.00;3641;50171;215248;200684;102;33;0;0;807680;12731648;0.00;0.00;0.00;3155;49733;211552;198932;102;33;0;0;802048;12728320;0.00;0.00;0.00;3133;49720;211412;198880;102;33;0;0;801792;12728320;0.00;0.00;0.00;3132;49720;211408;198880;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;801536;12729088;0.00;0.00;0.00;3131;49723;211416;198892;102;33;0;0;144431360;16281856;0.17;0.00;0.00;564185;63601;2511144;254404;676666;39555;0;0;143455744;16312576;0.17;0.00;0.00;560374;63721;2496380;254884;674009;39484;0;0;145114112;16324608;0.17;0.00;0.00;566852;63768;2522480;255072;681596;39592;0;0;148885504;16352256;0.17;0.00;0.00;581584;63876;2581840;255504;704906;39744;0;0;146517248;16322560;0.17;0.00;0.00;572333;63760;2544372;255040;691580;39662;0;0;145257984;16336640;0.17;0.00;0.00;567414;63815;2524916;255260;686662;39704;0;0;
1564551294;17615266568;930816;13004288;0.00;0.00;0.00;3636;50798;217736;203192;102;33;0;0;828160;12907008;0.00;0.00;0.00;3235;50418;214612;201672;102;33;0;0;841216;13360896;0.00;0.00;0.00;3286;52191;221908;208764;102;33;0;0;849920;13497088;0.00;0.00;0.00;3320;52723;224172;210892;102;33;0;0;866816;13759744;0.00;0.00;0.00;3386;53749;228540;214996;101;33;0;0;889088;14108928;0.00;0.00;0.00;3473;55113;234344;220452;101;33;0;0;134062848;19307264;0.17;0.00;0.00;523683;75419;2396408;301676;631415;50333;0;0;133215744;19270144;0.17;0.00;0.00;520374;75274;2382592;301096;627161;50270;0;0;133621248;19330304;0.17;0.00;0.00;521958;75509;2389868;302036;629808;50307;0;0;136544512;19320832;0.18;0.00;0.00;533377;75472;2435396;301888;647814;50265;0;0;135682816;19347200;0.17;0.00;0.00;530011;75575;2422344;302300;638351;50542;0;0;133845504;19258112;0.18;0.00;0.00;522834;75227;2392244;300908;636329;50327;0;0;
1564551302;17559079130;893440;12695040;0.00;0.00;0.00;3490;49590;212320;198360;101;60;0;0;812800;12624640;0.00;0.00;0.00;3175;49315;209960;197260;101;33;0;0;764928;12143616;0.00;0.00;0.00;2988;47436;201696;189744;102;33;0;0;756480;12010496;0.00;0.00;0.00;2955;46916;199484;187664;102;33;0;0;739584;11744000;0.00;0.00;0.00;2889;45875;195056;183500;102;33;0;0;717824;11394048;0.00;0.00;0.00;2804;44508;189248;178032;102;33;0;0;799488;11562752;0.00;0.00;0.00;3123;45167;193160;180668;134;393;0;0;800000;11533056;0.00;0.00;0.00;3125;45051;192704;180204;135;375;0;0;808960;11531264;0.00;0.00;0.00;3160;45044;192816;180176;135;351;0;0;812032;11526912;0.00;0.00;0.00;3172;45027;192796;180108;135;325;0;0;808960;11526912;0.00;0.00;0.00;3160;45027;192748;180108;135;342;0;0;806912;11529216;0.00;0.00;0.00;3152;45036;192752;180144;135;350;0;0;
1564551310;17559098008;905216;12818944;0.00;0.00;0.00;3536;50074;214440;200296;101;36;0;0;812288;12734208;0.00;0.00;0.00;3173;49743;211664;198972;101;33;0;0;802048;12727296;0.00;0.00;0.00;3133;49716;211396;198864;101;33;0;0;802048;12727296;0.00;0.00;0.00;3133;49716;211396;198864;102;33;0;0;801792;12727040;0.00;0.00;0.00;3132;49715;211388;198860;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;897024;12832768;0.00;0.00;0.00;3504;50128;214528;200512;136;115;0;0;914176;12851456;0.00;0.00;0.00;3571;50201;215088;200804;135;125;0;0;883968;12822784;0.00;0.00;0.00;3453;50089;214168;200356;135;118;0;0;944384;12876288;0.00;0.00;0.00;3689;50298;215948;201192;135;113;0;0;909568;12851712;0.00;0.00;0.00;3553;50202;215020;200808;135;147;0;0;929536;12870400;0.00;0.00;0.00;3631;50275;215624;201100;135;162;0;0;
