# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 02:23:45 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564554226;2195117452;159488;2488064;0.00;0.00;0.00;623;9719;41368;38876;101;110;0;0;528896;8298240;0.00;0.00;0.00;2066;32415;137924;129660;102;33;0;0;522240;8290048;0.00;0.00;0.00;2040;32383;137692;129532;102;33;0;0;523008;8296960;0.00;0.00;0.00;2043;32410;137812;129640;102;33;0;0;522240;8295168;0.00;0.00;0.00;2040;32403;137772;129612;101;33;0;0;522496;8297216;0.00;0.00;0.00;2041;32411;137808;129644;102;33;0;0;733478400;1460411904;0.75;0.83;0.83;2865150;5704734;34279536;22818936;11240959;33422774;0;0;733554688;1460880640;0.75;0.83;0.83;2865448;5706565;34288052;22826260;11241984;33424892;0;0;735100416;1465925888;0.75;0.83;0.83;2871486;5726273;34391036;22905092;11263004;33465366;0;0;735039744;1466088704;0.75;0.83;0.83;2871249;5726909;34392632;22907636;11263221;33464808;0;0;735449600;1468534528;0.75;0.83;0.83;2872850;5736463;34437252;22945852;11275269;33487597;0;0;736822272;1473269760;0.75;0.83;0.83;2878212;5754960;34532688;23019840;11294270;33525171;0;0;
1564554234;17560883592;762112;11853312;0.00;0.00;0.00;2977;46302;197116;185208;102;49;0;0;382976;6015744;0.00;0.00;0.00;1496;23499;99980;93996;102;33;0;0;379136;6021888;0.00;0.00;0.00;1481;23523;100016;94092;102;33;0;0;378624;6012160;0.00;0.00;0.00;1479;23485;99856;93940;102;33;0;0;379136;6019072;0.00;0.00;0.00;1481;23512;99972;94048;103;33;0;0;379392;6021888;0.00;0.00;0.00;1482;23523;100020;94092;102;33;0;0;91972352;194038528;0.31;0.21;0.00;359267;757963;4468920;3031852;522776;959447;0;0;92410368;194543616;0.31;0.21;0.00;360978;759936;4483656;3039744;523208;959334;0;0;91247360;190403328;0.29;0.19;0.00;356435;743763;4400792;2975052;503615;922394;0;0;93296384;195762176;0.29;0.19;0.00;364439;764696;4516540;3058784;514914;945942;0;0;93244160;194624768;0.28;0.18;0.00;364235;760253;4497952;3041012;506377;929999;0;0;91676416;189158912;0.26;0.17;0.00;358111;738902;4388052;2955608;485167;888812;0;0;
1564554242;17560941488;830464;12747264;0.00;0.00;0.00;3244;49794;212152;199176;102;33;0;0;811776;12734464;0.00;0.00;0.00;3171;49744;211660;198976;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;802816;12728576;0.00;0.00;0.00;3136;49721;211428;198884;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;40716800;87800576;0.13;0.02;0.00;159050;342971;2008084;1371884;183201;349073;0;0;40540160;87144192;0.12;0.01;0.00;158360;340407;1995068;1361628;180845;345045;0;0;41869824;90381568;0.13;0.01;0.00;163554;353053;2066428;1412212;188091;358423;0;0;45803008;100497408;0.15;0.03;0.00;178918;392568;2285944;1570272;210973;405292;0;0;45505536;99282944;0.15;0.03;0.00;177756;387824;2262320;1551296;209260;400625;0;0;45415936;99252480;0.15;0.03;0.00;177406;387705;2260444;1550820;209265;401243;0;0;
1564554250;17560938896;830208;12744448;0.00;0.00;0.00;3243;49783;212104;199132;102;33;0;0;821248;12742400;0.00;0.00;0.00;3208;49775;211932;199100;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;802560;12728320;0.00;0.00;0.00;3135;49720;211420;198880;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;802048;12728832;0.00;0.00;0.00;3133;49722;211420;198888;102;33;0;0;27196672;56046336;0.14;0.04;0.00;106237;218931;1300672;875724;123555;228680;0;0;27002112;55975680;0.14;0.04;0.00;105477;218655;1296528;874620;123315;228225;0;0;27764992;57865728;0.15;0.04;0.00;108457;226038;1337980;904152;127143;235775;0;0;31943168;67371008;0.17;0.07;0.00;124778;263168;1551784;1052672;149952;281803;0;0;31125504;65945088;0.17;0.07;0.00;121584;257598;1516728;1030392;146388;275570;0;0;31635712;66885120;0.17;0.07;0.00;123577;261270;1539388;1045080;149178;281168;0;0;
1564554258;17560934250;825088;12743424;0.00;0.00;0.00;3223;49779;212008;199116;102;39;0;0;818176;12740096;0.00;0.00;0.00;3196;49766;211848;199064;102;33;0;0;801792;12727296;0.00;0.00;0.00;3132;49716;211392;198864;102;33;0;0;801792;12727040;0.00;0.00;0.00;3132;49715;211388;198860;102;33;0;0;802048;12727808;0.00;0.00;0.00;3133;49718;211404;198872;102;33;0;0;801792;12726016;0.00;0.00;0.00;3132;49711;211372;198844;102;33;0;0;17271296;38479360;0.14;0.00;0.00;67466;150310;871104;601240;78727;142969;0;0;18051840;39681280;0.15;0.00;0.00;70515;155005;902080;620020;82663;150348;0;0;18405120;40414464;0.15;0.00;0.00;71895;157869;919056;631476;84463;154062;0;0;21098752;45457152;0.18;0.05;0.00;82417;177567;1039936;710268;100326;186281;0;0;20959744;45129472;0.19;0.06;0.00;81874;176287;1032644;705148;100925;187405;0;0;21540608;46076160;0.18;0.06;0.00;84143;179985;1056512;719940;103132;191517;0;0;
1564554266;17560941442;832256;12748800;0.00;0.00;0.00;3251;49800;212204;199200;102;33;0;0;810240;12733440;0.00;0.00;0.00;3165;49740;211620;198960;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801024;12721920;0.00;0.00;0.00;3129;49695;211296;198780;102;33;0;0;12005120;30332160;0.15;0.00;0.00;46895;118485;661520;473940;55132;98896;0;0;11969024;30139648;0.14;0.00;0.00;46754;117733;657948;470932;54280;96930;0;0;12375808;30903296;0.15;0.00;0.00;48343;120716;676236;482864;56964;102128;0;0;14941696;35190784;0.19;0.00;0.00;58366;137464;783320;549856;71920;132386;0;0;14533120;34225920;0.19;0.00;0.00;56770;133695;761860;534780;69794;127901;0;0;14271744;34063616;0.19;0.00;0.00;55749;133061;755240;532244;68588;125845;0;0;
1564554274;17560937296;825600;12742912;0.00;0.00;0.00;3225;49777;212008;199108;102;34;0;0;810752;12733952;0.00;0.00;0.00;3167;49742;211636;198968;102;33;0;0;801024;12719616;0.00;0.00;0.00;3129;49686;211260;198744;102;33;0;0;802560;12726528;0.00;0.00;0.00;3135;49713;211392;198852;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801792;12727296;0.00;0.00;0.00;3132;49716;211392;198864;102;33;0;0;8579328;25217024;0.14;0.00;0.00;33513;98504;528068;394016;38773;67716;0;0;8473600;25019392;0.14;0.00;0.00;33100;97732;523328;390928;38383;66987;0;0;8596480;25202176;0.14;0.00;0.00;33580;98446;528104;393784;39037;68516;0;0;10438656;28204288;0.17;0.00;0.00;40776;110173;603796;440692;49270;89422;0;0;10855424;28471296;0.17;0.00;0.00;42404;111216;614480;444864;51061;92170;0;0;10333440;27913728;0.18;0.00;0.00;40365;109038;597612;436152;49023;88779;0;0;
1564554282;17560936392;823552;12741376;0.00;0.00;0.00;3217;49771;211952;199084;102;34;0;0;809728;12732928;0.00;0.00;0.00;3163;49738;211604;198952;102;33;0;0;802048;12727552;0.00;0.00;0.00;3133;49717;211400;198868;102;33;0;0;802048;12729856;0.00;0.00;0.00;3133;49726;211436;198904;102;33;0;0;802048;12728320;0.00;0.00;0.00;3133;49720;211412;198880;102;33;0;0;801792;12728576;0.00;0.00;0.00;3132;49721;211412;198884;102;33;0;0;5926144;21611264;0.12;0.00;0.00;23149;84419;430272;337676;26308;45639;0;0;6026240;21566464;0.11;0.00;0.00;23540;84244;431136;336976;26538;45817;0;0;5878016;21393664;0.12;0.00;0.00;22961;83569;426120;334276;26038;44686;0;0;7807488;24258048;0.14;0.00;0.00;30498;94758;501024;379032;35497;63261;0;0;7801600;24200448;0.15;0.00;0.00;30475;94533;500032;378132;35927;64202;0;0;7644416;23974144;0.14;0.00;0.00;29861;93649;494040;374596;34833;62180;0;0;
1564554290;17560942670;829952;12747264;0.00;0.00;0.00;3242;49794;212144;199176;102;35;0;0;811264;12734464;0.00;0.00;0.00;3169;49744;211652;198976;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;801024;12720128;0.00;0.00;0.00;3129;49688;211268;198752;102;33;0;0;801792;12727296;0.00;0.00;0.00;3132;49716;211392;198864;102;33;0;0;5429248;20956416;0.09;0.00;0.00;21208;81861;412276;327444;23348;40917;0;0;5317888;20843264;0.08;0.00;0.00;20773;81419;408768;325676;22608;39929;0;0;5267200;20720640;0.09;0.00;0.00;20575;80940;406060;323760;22734;39605;0;0;6082816;21985536;0.12;0.00;0.00;23761;85881;438568;343524;26927;48290;0;0;6288384;22270720;0.11;0.00;0.00;24564;86995;446236;347980;27567;48989;0;0;6075904;21944320;0.10;0.00;0.00;23734;85720;437816;342880;26341;47013;0;0;
1564554298;17560938202;837632;12750592;0.00;0.00;0.00;3272;49807;212316;199228;102;33;0;0;811776;12733952;0.00;0.00;0.00;3171;49742;211652;198968;102;33;0;0;801536;12727296;0.00;0.00;0.00;3131;49716;211388;198864;102;33;0;0;802560;12726784;0.00;0.00;0.00;3135;49714;211396;198856;102;33;0;0;802048;12733184;0.00;0.00;0.00;3133;49739;211488;198956;102;33;0;0;801536;12725760;0.00;0.00;0.00;3131;49710;211364;198840;102;33;0;0;6114560;22690304;0.08;0.00;0.00;23885;88634;450076;354536;25868;45810;0;0;6025728;22788096;0.08;0.00;0.00;23538;89016;450216;356064;25514;46255;0;0;6053376;22751744;0.08;0.00;0.00;23646;88874;450080;355496;25646;46171;0;0;6363904;23216640;0.09;0.00;0.00;24859;90690;462196;362760;27221;48933;0;0;6257920;23108864;0.10;0.00;0.00;24445;90269;458856;361076;27126;48688;0;0;6354944;23161600;0.08;0.00;0.00;24824;90475;461196;361900;27122;48758;0;0;
