# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 06:24:22 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564568663;2195114368;155392;2449664;0.00;0.00;0.00;607;9569;40704;38276;101;104;0;0;525056;8258560;0.00;0.00;0.00;2051;32260;137244;129040;102;33;0;0;519936;8253440;0.00;0.00;0.00;2031;32240;137084;128960;102;33;0;0;520448;8260864;0.00;0.00;0.00;2033;32269;137208;129076;102;33;0;0;520192;8257280;0.00;0.00;0.00;2032;32255;137148;129020;102;33;0;0;520448;8261376;0.00;0.00;0.00;2033;32271;137216;129084;102;33;0;0;729454080;1448753664;0.75;0.83;0.83;2849430;5659194;34034496;22636776;11192834;33304589;0;0;729511424;1448677120;0.75;0.83;0.83;2849654;5658895;34034196;22635580;11193364;33304474;0;0;730029824;1448918528;0.75;0.83;0.83;2851679;5659838;34046068;22639352;11192917;33304518;0;0;729722624;1448736512;0.75;0.83;0.83;2850479;5659127;34038424;22636508;11192974;33304362;0;0;729627392;1448734720;0.75;0.83;0.83;2850107;5659120;34036908;22636480;11192870;33304572;0;0;729456384;1448681728;0.75;0.83;0.83;2849439;5658913;34033408;22635652;11193013;33304635;0;0;
1564568671;17560642326;770560;11895040;0.00;0.00;0.00;3010;46465;197900;185860;102;62;0;0;386304;6060544;0.00;0.00;0.00;1509;23674;100732;94696;102;33;0;0;381952;6064384;0.00;0.00;0.00;1492;23689;100724;94756;102;33;0;0;381440;6053120;0.00;0.00;0.00;1490;23645;100540;94580;102;33;0;0;381696;6063360;0.00;0.00;0.00;1491;23685;100704;94740;102;33;0;0;381440;6055424;0.00;0.00;0.00;1490;23654;100576;94616;102;33;0;0;6199040;12057600;0.73;0.48;0.00;24215;47100;285260;188400;89002;90843;0;0;6180864;12033536;0.73;0.48;0.00;24144;47006;284600;188024;88841;90554;0;0;6183936;12025088;0.73;0.48;0.00;24156;46973;284516;187892;88901;90584;0;0;6135040;11983104;0.73;0.48;0.00;23965;46809;283096;187236;88841;90521;0;0;6135296;11988736;0.73;0.48;0.00;23966;46831;283188;187324;88970;90616;0;0;6112256;11960832;0.73;0.48;0.00;23876;46722;282392;186888;88875;90458;0;0;
1564568679;17560938812;834304;12751360;0.00;0.00;0.00;3259;49810;212276;199240;102;34;0;0;808960;12732160;0.00;0.00;0.00;3160;49735;211580;198940;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;802304;12728576;0.00;0.00;0.00;3134;49721;211420;198884;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;802304;12735488;0.00;0.00;0.00;3134;49748;211528;198992;102;33;0;0;846848;12767488;0.00;0.00;0.00;3308;49873;212724;199492;135;47;0;0;894208;12817664;0.00;0.00;0.00;3493;50069;214248;200276;135;56;0;0;907264;12828416;0.00;0.00;0.00;3544;50111;214620;200444;135;45;0;0;828928;12758272;0.00;0.00;0.00;3238;49837;212300;199348;135;51;0;0;849664;12770048;0.00;0.00;0.00;3319;49883;212808;199532;135;47;0;0;836352;12763904;0.00;0.00;0.00;3267;49859;212504;199436;135;47;0;0;
1564568687;17560940450;827648;12743168;0.00;0.00;0.00;3233;49778;212044;199112;102;33;0;0;817408;12733696;0.00;0.00;0.00;3193;49741;211736;198964;102;33;0;0;801024;12720128;0.00;0.00;0.00;3129;49688;211268;198752;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;802048;12727808;0.00;0.00;0.00;3133;49718;211404;198872;102;33;0;0;801280;12720128;0.00;0.00;0.00;3130;49688;211272;198752;102;33;0;0;831744;12753152;0.00;0.00;0.00;3249;49817;212264;199268;135;38;0;0;886528;12797184;0.00;0.00;0.00;3463;49989;213808;199956;135;37;0;0;896512;12810496;0.00;0.00;0.00;3502;50041;214172;200164;135;34;0;0;824832;12741888;0.00;0.00;0.00;3222;49773;211980;199092;135;36;0;0;835072;12751360;0.00;0.00;0.00;3262;49810;212288;199240;135;33;0;0;840192;12751872;0.00;0.00;0.00;3282;49812;212376;199248;135;34;0;0;
1564568695;17560939986;821248;12741376;0.00;0.00;0.00;3208;49771;211916;199084;102;39;0;0;812800;12741632;0.00;0.00;0.00;3175;49772;211788;199088;102;33;0;0;802048;12729344;0.00;0.00;0.00;3133;49724;211428;198896;102;33;0;0;801792;12729856;0.00;0.00;0.00;3132;49726;211432;198904;102;33;0;0;801536;12726016;0.00;0.00;0.00;3131;49711;211368;198844;102;33;0;0;801792;12732416;0.00;0.00;0.00;3132;49736;211472;198944;102;33;0;0;834560;12752384;0.00;0.00;0.00;3260;49814;212296;199256;135;43;0;0;859904;12777984;0.00;0.00;0.00;3359;49914;213092;199656;135;36;0;0;844032;12766208;0.00;0.00;0.00;3297;49868;212660;199472;135;42;0;0;826368;12742144;0.00;0.00;0.00;3228;49774;212008;199096;135;41;0;0;835072;12762112;0.00;0.00;0.00;3262;49852;212456;199408;135;46;0;0;843264;12759552;0.00;0.00;0.00;3294;49842;212544;199368;135;38;0;0;
1564568703;17560938588;822016;12740864;0.00;0.00;0.00;3211;49769;211920;199076;102;33;0;0;809728;12727040;0.00;0.00;0.00;3163;49715;211512;198860;102;33;0;0;801792;12726528;0.00;0.00;0.00;3132;49713;211380;198852;102;33;0;0;802048;12726016;0.00;0.00;0.00;3133;49711;211376;198844;102;33;0;0;801792;12729600;0.00;0.00;0.00;3132;49725;211428;198900;102;33;0;0;801280;12723200;0.00;0.00;0.00;3130;49700;211320;198800;102;33;0;0;830208;12753920;0.00;0.00;0.00;3243;49820;212252;199280;135;34;0;0;855552;12771072;0.00;0.00;0.00;3342;49887;212916;199548;135;36;0;0;837888;12750848;0.00;0.00;0.00;3273;49808;212324;199232;135;35;0;0;834048;12754432;0.00;0.00;0.00;3258;49822;212320;199288;135;34;0;0;828928;12742656;0.00;0.00;0.00;3238;49776;212056;199104;135;34;0;0;832256;12755712;0.00;0.00;0.00;3251;49827;212312;199308;135;35;0;0;
1564568711;17560941178;823808;12741120;0.00;0.00;0.00;3218;49770;211952;199080;102;34;0;0;809984;12733696;0.00;0.00;0.00;3164;49741;211620;198964;102;33;0;0;802048;12734208;0.00;0.00;0.00;3133;49743;211504;198972;102;33;0;0;802816;12728320;0.00;0.00;0.00;3136;49720;211424;198880;102;33;0;0;801536;12721408;0.00;0.00;0.00;3131;49693;211296;198772;102;33;0;0;802304;12734464;0.00;0.00;0.00;3134;49744;211512;198976;102;33;0;0;841984;12756992;0.00;0.00;0.00;3289;49832;212484;199328;136;35;0;0;856832;12781056;0.00;0.00;0.00;3347;49926;213092;199704;135;36;0;0;816128;12738304;0.00;0.00;0.00;3188;49759;211788;199036;135;38;0;0;830976;12750336;0.00;0.00;0.00;3246;49806;212208;199224;135;37;0;0;824064;12745216;0.00;0.00;0.00;3219;49786;212020;199144;135;38;0;0;824320;12744448;0.00;0.00;0.00;3220;49783;212012;199132;135;35;0;0;
1564568719;17560938068;833280;12747520;0.00;0.00;0.00;3255;49795;212200;199180;102;35;0;0;813056;12735488;0.00;0.00;0.00;3176;49748;211696;198992;102;33;0;0;801536;12728320;0.00;0.00;0.00;3131;49720;211404;198880;102;33;0;0;802816;12728064;0.00;0.00;0.00;3136;49719;211420;198876;102;33;0;0;802048;12734208;0.00;0.00;0.00;3133;49743;211504;198972;102;33;0;0;801536;12721408;0.00;0.00;0.00;3131;49693;211296;198772;102;33;0;0;825856;12750336;0.00;0.00;0.00;3226;49806;212128;199224;135;46;0;0;836096;12755200;0.00;0.00;0.00;3266;49825;212364;199300;135;54;0;0;811008;12736000;0.00;0.00;0.00;3168;49750;211672;199000;135;43;0;0;829696;12750336;0.00;0.00;0.00;3241;49806;212188;199224;135;44;0;0;835328;12754432;0.00;0.00;0.00;3263;49822;212340;199288;135;45;0;0;831744;12754176;0.00;0.00;0.00;3249;49821;212280;199284;135;50;0;0;
1564568727;17635848902;857600;13140480;0.00;0.00;0.00;3350;51330;218720;205320;102;34;0;0;833536;13149440;0.00;0.00;0.00;3256;51365;218484;205460;102;33;0;0;856832;13601280;0.00;0.00;0.00;3347;53130;225908;212520;102;33;0;0;866816;13739776;0.00;0.00;0.00;3386;53671;228228;214684;102;33;0;0;897536;14246144;0.00;0.00;0.00;3506;55649;236620;222596;101;33;0;0;904448;14359808;0.00;0.00;0.00;3533;56093;238504;224372;101;33;0;0;1067520;14910720;0.00;0.00;0.00;4170;58245;249660;232980;1968;3753;0;0;1114112;14945024;0.00;0.00;0.00;4352;58379;250924;233516;1937;3756;0;0;1037312;14883328;0.00;0.00;0.00;4052;58138;248760;232552;1797;3565;0;0;1026560;14859264;0.00;0.00;0.00;4010;58044;248216;232176;1679;3423;0;0;1080576;14913536;0.00;0.00;0.00;4221;58256;249908;233024;2055;3817;0;0;1068288;14880000;0.00;0.00;0.00;4173;58125;249192;232500;2106;3670;0;0;
1564568735;17559100992;804096;12438528;0.00;0.00;0.00;3141;48588;206916;194352;101;132;0;0;786432;12380416;0.00;0.00;0.00;3072;48361;205732;193444;101;33;0;0;750848;11914752;0.00;0.00;0.00;2933;46542;197900;186168;102;33;0;0;742912;11781120;0.00;0.00;0.00;2902;46020;195688;184080;102;33;0;0;709376;11264000;0.00;0.00;0.00;2771;44000;187084;176000;102;33;0;0;702464;11150848;0.00;0.00;0.00;2744;43558;185208;174232;102;33;0;0;723712;11175168;0.00;0.00;0.00;2827;43653;185920;174612;135;104;0;0;736768;11190784;0.00;0.00;0.00;2878;43714;186368;174856;136;68;0;0;706560;11143424;0.00;0.00;0.00;2760;43529;185156;174116;134;64;0;0;720640;11158528;0.00;0.00;0.00;2815;43588;185612;174352;135;75;0;0;733184;11165440;0.00;0.00;0.00;2864;43615;185916;174460;135;73;0;0;742400;11178752;0.00;0.00;0.00;2900;43667;186268;174668;135;69;0;0;
