# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 02:38:24 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564555105;2195114574;588288;8380416;0.00;0.00;0.00;2298;32736;140136;130944;102;116;0;0;531968;8305664;0.00;0.00;0.00;2078;32444;138088;129776;102;33;0;0;523264;8305152;0.00;0.00;0.00;2044;32442;137944;129768;102;33;0;0;523776;8304128;0.00;0.00;0.00;2046;32438;137936;129752;102;33;0;0;523264;8304128;0.00;0.00;0.00;2044;32438;137928;129752;102;33;0;0;523520;8306944;0.00;0.00;0.00;2045;32449;137976;129796;102;33;0;0;729141248;1448545280;0.75;0.83;0.83;2848208;5658380;34026352;22633520;11192423;33381068;0;0;729661696;1448896256;0.75;0.83;0.83;2850241;5659751;34039968;22639004;11192985;33381130;0;0;729733120;1448854528;0.75;0.83;0.83;2850520;5659588;34040432;22638352;11192450;33380704;0;0;728994560;1448321792;0.75;0.83;0.83;2847635;5657507;34020568;22630028;11192424;33380037;0;0;729019648;1448389376;0.75;0.83;0.83;2847733;5657771;34022016;22631084;11192614;33380191;0;0;729191168;1448493568;0.75;0.83;0.83;2848403;5658178;34026324;22632712;11192621;33380239;0;0;
1564555113;17560901700;428800;6044416;0.00;0.00;0.00;1675;23611;101144;94444;102;36;0;0;384000;6010624;0.00;0.00;0.00;1500;23479;99916;93916;102;33;0;0;378368;6006784;0.00;0.00;0.00;1478;23464;99768;93856;102;33;0;0;378368;6006784;0.00;0.00;0.00;1478;23464;99768;93856;102;33;0;0;378368;6009856;0.00;0.00;0.00;1478;23476;99816;93904;102;33;0;0;378368;6011392;0.00;0.00;0.00;1478;23482;99840;93928;102;33;0;0;6218752;11993088;0.73;0.48;0.00;24292;46848;284560;187392;89007;90669;0;0;6184960;11962624;0.73;0.48;0.00;24160;46729;283556;186916;88861;90422;0;0;6167296;11924224;0.73;0.48;0.00;24091;46579;282680;186316;88897;90390;0;0;6129408;11893248;0.73;0.49;0.00;23943;46458;281604;185832;88843;90327;0;0;6155776;11904512;0.73;0.49;0.00;24046;46502;282192;186008;88960;90427;0;0;6116608;11866880;0.73;0.49;0.00;23893;46355;280992;185420;88881;90311;0;0;
1564555121;17560937696;927744;12839680;0.00;0.00;0.00;3624;50155;215116;200620;102;34;0;0;810752;12734720;0.00;0.00;0.00;3167;49745;211648;198980;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;804608;12729344;0.00;0.00;0.00;3143;49724;211468;198896;102;33;0;0;801792;12727552;0.00;0.00;0.00;3132;49717;211396;198868;102;33;0;0;802048;12727808;0.00;0.00;0.00;3133;49718;211404;198872;102;33;0;0;906240;12831488;0.00;0.00;0.00;3540;50123;214652;200492;135;72;0;0;907520;12835072;0.00;0.00;0.00;3545;50137;214728;200548;135;82;0;0;913920;12836864;0.00;0.00;0.00;3570;50144;214856;200576;135;72;0;0;830464;12763392;0.00;0.00;0.00;3244;49857;212404;199428;135;88;0;0;832512;12761088;0.00;0.00;0.00;3252;49848;212400;199392;135;75;0;0;833536;12764160;0.00;0.00;0.00;3256;49860;212464;199440;135;79;0;0;
1564555129;17560941936;916736;12830720;0.00;0.00;0.00;3581;50120;214804;200480;102;33;0;0;811264;12734464;0.00;0.00;0.00;3169;49744;211652;198976;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;802304;12728832;0.00;0.00;0.00;3134;49722;211424;198888;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801536;12728832;0.00;0.00;0.00;3131;49722;211412;198888;102;33;0;0;904192;12823296;0.00;0.00;0.00;3532;50091;214492;200364;135;42;0;0;904704;12823040;0.00;0.00;0.00;3534;50090;214496;200360;135;40;0;0;915200;12834304;0.00;0.00;0.00;3575;50134;214836;200536;135;42;0;0;835072;12756992;0.00;0.00;0.00;3262;49832;212376;199328;135;44;0;0;831488;12750848;0.00;0.00;0.00;3248;49808;212224;199232;135;39;0;0;834560;12754688;0.00;0.00;0.00;3260;49823;212332;199292;135;40;0;0;
1564555137;17560944876;910336;12819456;0.00;0.00;0.00;3556;50076;214528;200304;102;34;0;0;816640;12738816;0.00;0.00;0.00;3190;49761;211804;199044;102;33;0;0;801792;12727552;0.00;0.00;0.00;3132;49717;211396;198868;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801792;12727040;0.00;0.00;0.00;3132;49715;211388;198860;102;33;0;0;921088;12837632;0.00;0.00;0.00;3598;50147;214980;200588;135;46;0;0;904704;12823808;0.00;0.00;0.00;3534;50093;214508;200372;135;48;0;0;917760;12836608;0.00;0.00;0.00;3585;50143;214912;200572;135;51;0;0;831744;12752128;0.00;0.00;0.00;3249;49813;212248;199252;135;42;0;0;834048;12753920;0.00;0.00;0.00;3258;49820;212312;199280;135;42;0;0;835072;12757760;0.00;0.00;0.00;3262;49835;212388;199340;135;47;0;0;
1564555145;17560939802;896768;12808704;0.00;0.00;0.00;3503;50034;214148;200136;102;33;0;0;816896;12739328;0.00;0.00;0.00;3191;49763;211816;199052;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;802816;12728576;0.00;0.00;0.00;3136;49721;211428;198884;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801792;12728576;0.00;0.00;0.00;3132;49721;211412;198884;102;33;0;0;900864;12818432;0.00;0.00;0.00;3519;50072;214364;200288;135;37;0;0;905216;12822016;0.00;0.00;0.00;3536;50086;214488;200344;135;36;0;0;892672;12815872;0.00;0.00;0.00;3487;50062;214196;200248;135;35;0;0;828928;12749312;0.00;0.00;0.00;3238;49802;212160;199208;135;39;0;0;842240;12758272;0.00;0.00;0.00;3290;49837;212508;199348;135;37;0;0;833280;12750592;0.00;0.00;0.00;3255;49807;212248;199228;135;33;0;0;
1564555153;17560934078;903424;12817408;0.00;0.00;0.00;3529;50068;214388;200272;102;33;0;0;811776;12735232;0.00;0.00;0.00;3171;49747;211672;198988;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;802048;12727552;0.00;0.00;0.00;3133;49717;211400;198868;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;910592;12827648;0.00;0.00;0.00;3557;50108;214660;200432;135;33;0;0;900608;12817152;0.00;0.00;0.00;3518;50067;214340;200268;135;34;0;0;910592;12819456;0.00;0.00;0.00;3557;50076;214532;200304;135;34;0;0;829440;12750592;0.00;0.00;0.00;3240;49807;212188;199228;135;34;0;0;837632;12755456;0.00;0.00;0.00;3272;49826;212392;199304;135;33;0;0;830976;12750080;0.00;0.00;0.00;3246;49805;212204;199220;135;33;0;0;
1564555161;17560938934;909824;12820736;0.00;0.00;0.00;3554;50081;214540;200324;102;33;0;0;812288;12735232;0.00;0.00;0.00;3173;49747;211680;198988;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;908288;12825600;0.00;0.00;0.00;3548;50100;214592;200400;135;46;0;0;914944;12832256;0.00;0.00;0.00;3574;50126;214800;200504;135;40;0;0;893696;12810240;0.00;0.00;0.00;3491;50040;214124;200160;135;40;0;0;826112;12747776;0.00;0.00;0.00;3227;49796;212092;199184;135;46;0;0;827648;12749312;0.00;0.00;0.00;3233;49802;212140;199208;135;41;0;0;835840;12758016;0.00;0.00;0.00;3265;49836;212404;199344;135;45;0;0;
1564555169;17560941216;894976;12809216;0.00;0.00;0.00;3496;50036;214128;200144;102;38;0;0;812544;12735488;0.00;0.00;0.00;3174;49748;211688;198992;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;900096;12815872;0.00;0.00;0.00;3516;50062;214312;200248;135;38;0;0;921600;12838400;0.00;0.00;0.00;3600;50150;215000;200600;135;48;0;0;897280;12819200;0.00;0.00;0.00;3505;50075;214320;200300;135;48;0;0;838912;12754432;0.00;0.00;0.00;3277;49822;212396;199288;135;35;0;0;829696;12752640;0.00;0.00;0.00;3241;49815;212224;199260;135;49;0;0;832256;12751872;0.00;0.00;0.00;3251;49812;212252;199248;135;37;0;0;
1564555177;17560939122;906752;12818688;0.00;0.00;0.00;3542;50073;214460;200292;102;33;0;0;822528;12743680;0.00;0.00;0.00;3213;49780;211972;199120;102;33;0;0;802048;12727808;0.00;0.00;0.00;3133;49718;211404;198872;102;33;0;0;802816;12728064;0.00;0.00;0.00;3136;49719;211420;198876;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;912128;12828928;0.00;0.00;0.00;3563;50113;214704;200452;135;34;0;0;928000;12844800;0.00;0.00;0.00;3625;50175;215200;200700;135;35;0;0;905216;12830464;0.00;0.00;0.00;3536;50119;214620;200476;135;38;0;0;836096;12755968;0.00;0.00;0.00;3266;49828;212376;199312;135;36;0;0;836352;12754176;0.00;0.00;0.00;3267;49821;212352;199284;135;37;0;0;844544;12769280;0.00;0.00;0.00;3299;49880;212716;199520;135;34;0;0;
