# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 01:53:51 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564552432;2195110494;158464;2475520;0.00;0.00;0.00;619;9670;41156;38680;101;53;0;0;528384;8301824;0.00;0.00;0.00;2064;32429;137972;129716;102;33;0;0;522496;8294144;0.00;0.00;0.00;2041;32399;137760;129596;103;33;0;0;522496;8297984;0.00;0.00;0.00;2041;32414;137820;129656;102;33;0;0;522752;8301824;0.00;0.00;0.00;2042;32429;137884;129716;102;33;0;0;523008;8299520;0.00;0.00;0.00;2043;32420;137852;129680;102;33;0;0;732356864;1455491840;0.75;0.83;0.83;2860769;5685515;34185136;22742060;11219664;33352930;0;0;732734464;1456432384;0.75;0.83;0.83;2862244;5689189;34205732;22756756;11225071;33361344;0;0;733332736;1458732800;0.75;0.83;0.83;2864581;5698175;34251024;22792700;11234437;33380020;0;0;734019840;1461324288;0.75;0.83;0.83;2867265;5708298;34302252;22833192;11246430;33403237;0;0;734265344;1461777920;0.74;0.83;0.83;2868224;5710070;34313176;22840280;11246752;33405103;0;0;734966784;1464546304;0.75;0.83;0.83;2870964;5720884;34367392;22883536;11261260;33431667;0;0;
1564552440;17560452420;770816;11852288;0.00;0.00;0.00;3011;46298;197236;185192;102;34;0;0;383744;6013440;0.00;0.00;0.00;1499;23490;99956;93960;102;33;0;0;378368;6010368;0.00;0.00;0.00;1478;23478;99824;93912;102;33;0;0;378624;6010624;0.00;0.00;0.00;1479;23479;99832;93916;102;33;0;0;378880;6011648;0.00;0.00;0.00;1480;23483;99852;93932;103;33;0;0;378624;6011648;0.00;0.00;0.00;1479;23483;99848;93932;102;33;0;0;1505320448;102279168;0.73;0.55;0.00;5880158;399528;25118744;1598112;21532888;879709;0;0;1504205824;101456128;0.73;0.55;0.00;5875804;396313;25088468;1585252;21484243;871133;0;0;1504751104;98952704;0.73;0.55;0.00;5877934;386534;25057872;1546136;21493161;851676;0;0;1504651264;96137728;0.73;0.55;0.00;5877544;375538;25012328;1502152;21508261;829529;0;0;1503828224;95832320;0.73;0.55;0.00;5874329;374345;24994696;1497380;21502349;827733;0;0;1504861440;92791040;0.73;0.55;0.00;5878365;362465;24963320;1449860;21496956;801188;0;0;
1564552448;17560943618;821760;12737536;0.00;0.00;0.00;3210;49756;211864;199024;102;33;0;0;810496;12734208;0.00;0.00;0.00;3166;49743;211636;198972;102;33;0;0;802560;12736512;0.00;0.00;0.00;3135;49752;211548;199008;102;33;0;0;802560;12730368;0.00;0.00;0.00;3135;49728;211452;198912;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;802304;12736000;0.00;0.00;0.00;3134;49750;211536;199000;102;33;0;0;3150654720;17321472;0.68;0.00;0.00;12307245;67662;49499628;270648;39067208;29908;0;0;3148499200;17455104;0.68;0.00;0.00;12298825;68184;49468036;272736;38966526;30188;0;0;3152451328;17431552;0.69;0.00;0.00;12314263;68092;49529420;272368;39109230;30457;0;0;3145759232;17335296;0.69;0.00;0.00;12288122;67716;49423352;270864;39211322;29954;0;0;3147664384;17402112;0.69;0.00;0.00;12295564;67977;49454164;271908;39160070;30062;0;0;3144588288;17495552;0.69;0.00;0.00;12283548;68342;49407560;273368;39171410;30005;0;0;
1564552456;17560942040;838912;12752384;0.00;0.00;0.00;3277;49814;212364;199256;102;33;0;0;810240;12733952;0.00;0.00;0.00;3165;49742;211628;198968;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;804096;12728576;0.00;0.00;0.00;3141;49721;211448;198884;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801536;12728832;0.00;0.00;0.00;3131;49722;211412;198888;102;33;0;0;3057401088;16633856;0.64;0.00;0.00;11942973;64976;48031796;259904;33458782;26663;0;0;3056647936;16611072;0.64;0.00;0.00;11940031;64887;48019672;259548;33422826;26620;0;0;3057836800;16654592;0.64;0.00;0.00;11944675;65057;48038928;260228;33461845;26473;0;0;3062014208;16575232;0.64;0.00;0.00;11960993;64747;48102960;258988;33659253;26343;0;0;3057254400;16668672;0.64;0.00;0.00;11942400;65112;48030048;260448;33592346;26609;0;0;3057420288;16691968;0.64;0.00;0.00;11943048;65203;48033004;260812;33575687;26572;0;0;
1564552464;17560938272;825344;12743168;0.00;0.00;0.00;3224;49778;212008;199112;103;33;0;0;812800;12735488;0.00;0.00;0.00;3175;49748;211692;198992;102;33;0;0;801792;12729600;0.00;0.00;0.00;3132;49725;211428;198900;102;33;0;0;802560;12730112;0.00;0.00;0.00;3135;49727;211448;198908;102;33;0;0;802048;12732928;0.00;0.00;0.00;3133;49738;211484;198952;102;33;0;0;801536;12723456;0.00;0.00;0.00;3131;49701;211328;198804;102;33;0;0;2941636352;17318912;0.61;0.00;0.00;11490767;67652;46233676;270608;29160635;28935;0;0;2953221376;17218560;0.60;0.00;0.00;11536021;67260;46413124;269040;29136064;29022;0;0;2950064128;17214976;0.60;0.00;0.00;11523688;67246;46363736;268984;29153840;28791;0;0;2952677888;17215232;0.61;0.00;0.00;11533898;67247;46404580;268988;29288380;28959;0;0;2946705664;17280256;0.61;0.00;0.00;11510569;67501;46312280;270004;29325140;28755;0;0;2948526592;17243392;0.61;0.00;0.00;11517682;67357;46340156;269428;29236172;28855;0;0;
1564552472;17560940662;835840;12749568;0.00;0.00;0.00;3265;49803;212272;199212;102;33;0;0;817920;12738304;0.00;0.00;0.00;3195;49759;211816;199036;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;802560;12728064;0.00;0.00;0.00;3135;49719;211416;198876;102;33;0;0;801792;12727552;0.00;0.00;0.00;3132;49717;211396;198868;102;33;0;0;802048;12727808;0.00;0.00;0.00;3133;49718;211404;198872;102;33;0;0;2912276224;17016064;0.59;0.00;0.00;11376079;66469;45770192;265876;27854311;27977;0;0;2930238720;16961792;0.59;0.00;0.00;11446245;66257;46050008;265028;27876827;27989;0;0;2922265600;16947456;0.59;0.00;0.00;11415100;66201;45925204;264804;27850991;27861;0;0;2928294912;16934144;0.59;0.00;0.00;11438652;66149;46019204;264596;27996857;28050;0;0;2922554880;16998912;0.59;0.00;0.00;11416230;66402;45930528;265608;28026350;28032;0;0;2925684480;16939520;0.59;0.00;0.00;11428455;66170;45978500;264680;28006178;27942;0;0;
1564552480;17560940634;835072;12747520;0.00;0.00;0.00;3262;49795;212228;199180;102;34;0;0;825600;12747264;0.00;0.00;0.00;3225;49794;212076;199176;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801536;12728320;0.00;0.00;0.00;3131;49720;211404;198880;102;33;0;0;801536;12729600;0.00;0.00;0.00;3131;49725;211424;198900;102;33;0;0;801792;12730112;0.00;0.00;0.00;3132;49727;211436;198908;102;33;0;0;2938577664;17073920;0.58;0.00;0.00;11478819;66695;46182056;266780;27393984;27867;0;0;2944352256;17016320;0.58;0.00;0.00;11501376;66470;46271384;265880;27369892;27773;0;0;2937065984;17065216;0.58;0.00;0.00;11472914;66661;46158300;266644;27324180;27820;0;0;2946311936;17042176;0.58;0.00;0.00;11509031;66571;46302408;266284;27481179;27812;0;0;2947958016;17101056;0.58;0.00;0.00;11515461;66801;46329048;267204;27522491;27845;0;0;2946232064;17026304;0.58;0.00;0.00;11508719;66509;46300912;266036;27479251;27718;0;0;
1564552488;17558884448;832768;12848896;0.00;0.00;0.00;3253;50191;213776;200764;101;42;0;0;828928;12872192;0.00;0.00;0.00;3238;50282;214080;201128;101;33;0;0;809984;12857344;0.00;0.00;0.00;3164;50224;213552;200896;101;33;0;0;810240;12862720;0.00;0.00;0.00;3165;50245;213640;200980;102;33;0;0;810240;12854528;0.00;0.00;0.00;3165;50213;213512;200852;102;33;0;0;809728;12856320;0.00;0.00;0.00;3163;50220;213532;200880;102;33;0;0;2571547136;18220288;0.57;0.00;0.00;10045106;71173;40465116;284692;23376609;36437;0;0;2572956928;18231296;0.57;0.00;0.00;10050613;71216;40487316;284864;23445001;36354;0;0;2568009216;18287616;0.57;0.00;0.00;10031286;71436;40410888;285744;23357291;36432;0;0;2565873408;18222848;0.57;0.00;0.00;10022943;71183;40376504;284732;23390638;36302;0;0;2573090048;18210304;0.57;0.00;0.00;10051133;71134;40489068;284536;23494939;36532;0;0;2566684160;18149632;0.57;0.00;0.00;10026110;70897;40388028;283588;23388304;36245;0;0;
1564552496;17559067376;827648;12656384;0.00;0.00;0.00;3233;49439;210688;197756;101;47;0;0;813824;12621312;0.00;0.00;0.00;3179;49302;209924;197208;101;33;0;0;794112;12602112;0.00;0.00;0.00;3102;49227;209316;196908;102;33;0;0;794368;12600320;0.00;0.00;0.00;3103;49220;209292;196880;101;33;0;0;793344;12599040;0.00;0.00;0.00;3099;49215;209256;196860;102;33;0;0;793600;12597760;0.00;0.00;0.00;3100;49210;209240;196840;102;33;0;0;846592;12656896;0.00;0.00;0.00;3307;49441;210992;197764;135;86;0;0;814592;12622080;0.00;0.00;0.00;3182;49305;209948;197220;135;86;0;0;843264;12659456;0.00;0.00;0.00;3294;49451;210980;197804;134;100;0;0;813056;12628224;0.00;0.00;0.00;3176;49329;210020;197316;135;81;0;0;893696;12705024;0.00;0.00;0.00;3491;49629;212480;198516;135;81;0;0;812032;12627968;0.00;0.00;0.00;3172;49328;210000;197312;135;97;0;0;
1564552504;17559045746;830720;12744448;0.00;0.00;0.00;3245;49783;212112;199132;101;35;0;0;816128;12737280;0.00;0.00;0.00;3188;49755;211772;199020;101;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;803328;12728320;0.00;0.00;0.00;3138;49720;211432;198880;102;33;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;832512;12763392;0.00;0.00;0.00;3252;49857;212436;199428;135;91;0;0;816384;12748800;0.00;0.00;0.00;3189;49800;211956;199200;135;79;0;0;819456;12750080;0.00;0.00;0.00;3201;49805;212024;199220;135;71;0;0;882176;12797440;0.00;0.00;0.00;3446;49990;213744;199960;135;65;0;0;855040;12782080;0.00;0.00;0.00;3340;49930;213080;199720;135;76;0;0;812032;12741120;0.00;0.00;0.00;3172;49770;211768;199080;135;60;0;0;
