# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 08:53:52 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564577634;4390015880;202496;3163392;0.00;0.00;0.00;791;12357;52592;49428;135;33;0;0;198912;3160320;0.00;0.00;0.00;777;12345;52488;49380;134;33;0;0;199424;3163136;0.00;0.00;0.00;779;12356;52540;49424;134;33;0;0;198912;3160576;0.00;0.00;0.00;777;12346;52492;49384;134;33;0;0;198912;3160064;0.00;0.00;0.00;777;12344;52484;49376;134;33;0;0;198656;3155200;0.00;0.00;0.00;776;12325;52404;49300;134;33;0;0;206013952;762385664;0.22;0.74;0.76;804742;2978069;15131244;11912276;1032715;11375140;0;0;198806528;37205248;0.25;0.21;0.00;776588;145333;3687684;581332;1035937;184009;0;0;197493504;28271104;0.23;0.20;0.00;771459;110434;3527572;441736;1002218;138277;0;0;195978496;19953664;0.21;0.18;0.00;765541;77944;3373940;311776;967335;94778;0;0;199672832;11291136;0.18;0.13;0.00;779972;44106;3296312;176424;946503;50977;0;0;197805824;2713088;0.15;0.00;0.00;772679;10598;3133108;42392;911772;7975;0;0;
1564577636;4389962214;206080;3185152;0.00;0.00;0.00;805;12442;52988;49768;134;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;134;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;134;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;134;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;497478144;4205824;0.21;0.00;0.00;1943274;16429;7838812;65716;2464601;8935;0;0;491852288;4219904;0.22;0.00;0.00;1921298;16484;7751128;65936;2476131;8932;0;0;506524416;4215040;0.21;0.00;0.00;1978611;16465;7980304;65860;2499794;8946;0;0;493684992;4254720;0.22;0.00;0.00;1928457;16620;7780308;66480;2460567;9126;0;0;492505088;4207616;0.23;0.00;0.00;1923848;16436;7761136;65744;2492522;9028;0;0;506259456;4242944;0.21;0.00;0.00;1977576;16574;7976600;66296;2503611;9007;0;0;
1564577638;4389972246;205312;3184640;0.00;0.00;0.00;802;12440;52968;49760;134;33;0;0;200704;3181568;0.00;0.00;0.00;784;12428;52848;49712;134;33;0;0;200192;3181824;0.00;0.00;0.00;782;12429;52844;49716;134;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;134;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;498629376;4332032;0.21;0.00;0.00;1947771;16922;7858772;67688;2467406;8998;0;0;483503104;4325888;0.23;0.00;0.00;1888684;16898;7622328;67592;2466718;8963;0;0;502780416;4332288;0.20;0.00;0.00;1963986;16923;7923636;67692;2460708;8910;0;0;485114112;4313088;0.22;0.00;0.00;1894977;16848;7647300;67392;2434173;8926;0;0;485320192;4311040;0.23;0.00;0.00;1895782;16840;7650488;67360;2465366;8872;0;0;509401600;4353280;0.21;0.00;0.00;1989850;17005;8027420;68020;2514765;9010;0;0;
1564577640;4389962478;206080;3186176;0.00;0.00;0.00;805;12446;53004;49784;134;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;201472;3181824;0.00;0.00;0.00;787;12429;52864;49716;134;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;134;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;134;33;0;0;503315712;4323072;0.20;0.00;0.00;1966077;16887;7931856;67548;2467050;8802;0;0;490673152;4337664;0.22;0.00;0.00;1916692;16944;7734544;67776;2467261;8814;0;0;496102400;4339200;0.21;0.00;0.00;1937900;16950;7819400;67800;2464579;8817;0;0;499569152;4345344;0.21;0.00;0.00;1951442;16974;7873664;67896;2455290;8791;0;0;489716224;4336128;0.23;0.00;0.00;1912954;16938;7719568;67752;2476908;8823;0;0;503388672;4342272;0.21;0.00;0.00;1966362;16962;7933296;67848;2498867;8779;0;0;
1564577642;4389964072;207872;3186688;0.00;0.00;0.00;812;12448;53040;49792;134;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;134;33;0;0;200192;3181824;0.00;0.00;0.00;782;12429;52844;49716;134;33;0;0;200704;3181824;0.00;0.00;0.00;784;12429;52852;49716;134;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;496500736;4229376;0.21;0.00;0.00;1939456;16521;7823908;66084;2459998;8318;0;0;491146240;4217088;0.22;0.00;0.00;1918540;16473;7740052;65892;2468888;8243;0;0;484336896;4231168;0.23;0.00;0.00;1891941;16528;7633876;66112;2448719;8325;0;0;497174272;4203520;0.21;0.00;0.00;1942087;16420;7834028;65680;2448388;8228;0;0;486230016;4236032;0.23;0.00;0.00;1899336;16547;7663532;66188;2465256;8314;0;0;501242880;4230144;0.21;0.00;0.00;1957980;16524;7898016;66096;2481817;8187;0;0;
1564577644;4389964898;209664;3188992;0.00;0.00;0.00;819;12457;53104;49828;134;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;134;33;0;0;200704;3183104;0.00;0.00;0.00;784;12434;52872;49736;134;33;0;0;200448;3183872;0.00;0.00;0.00;783;12437;52880;49748;134;33;0;0;200448;3183104;0.00;0.00;0.00;783;12434;52868;49736;134;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;134;33;0;0;494102528;4108544;0.22;0.00;0.00;1930088;16049;7784548;64196;2466611;8042;0;0;492805888;4103424;0.22;0.00;0.00;1925023;16029;7764208;64116;2464313;7983;0;0;489280512;4114688;0.22;0.00;0.00;1911252;16073;7709300;64292;2438172;8081;0;0;488685824;4092928;0.22;0.00;0.00;1908929;15988;7699668;63952;2431985;7966;0;0;487932672;4113408;0.22;0.00;0.00;1905987;16068;7688220;64272;2449004;8028;0;0;503421440;4108544;0.21;0.00;0.00;1966490;16049;7930156;64196;2493292;8031;0;0;
1564577646;4389967382;204544;3185152;0.00;0.00;0.00;799;12442;52964;49768;134;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;134;33;0;0;200704;3182848;0.00;0.00;0.00;784;12433;52868;49732;134;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;134;33;0;0;218277888;4890624;0.20;0.00;0.00;852648;19104;3487008;76416;1060685;13693;0;0;214022656;4969728;0.19;0.00;0.00;836026;19413;3421756;77652;1038107;13958;0;0;214431232;4997376;0.19;0.00;0.00;837622;19521;3428572;78084;1038394;14155;0;0;213156864;5024256;0.19;0.00;0.00;832644;19626;3409080;78504;1029983;14168;0;0;207312128;4940288;0.20;0.00;0.00;809813;19298;3316444;77192;1013575;13927;0;0;208904960;4961792;0.20;0.00;0.00;816035;19382;3341668;77528;1016020;13927;0;0;
1564577648;4389985408;210176;3187712;0.00;0.00;0.00;821;12452;53092;49808;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;200192;3180544;0.00;0.00;0.00;782;12424;52824;49696;134;33;0;0;200448;3180032;0.00;0.00;0.00;783;12422;52820;49688;134;33;0;0;200192;3180032;0.00;0.00;0.00;782;12422;52816;49688;134;33;0;0;200192;3180544;0.00;0.00;0.00;782;12424;52824;49696;134;33;0;0;127010304;4230656;0.25;0.00;0.00;496134;16526;2050640;66104;659647;11352;0;0;124737792;4227840;0.25;0.00;0.00;487257;16515;2015088;66060;653572;11390;0;0;125610496;4235264;0.25;0.00;0.00;490666;16544;2028840;66176;651926;11404;0;0;124872448;4200960;0.25;0.00;0.00;487783;16410;2016772;65640;651129;11378;0;0;126079232;4218368;0.25;0.00;0.00;492497;16478;2035900;65912;656290;11352;0;0;124962560;4232960;0.25;0.00;0.00;488135;16535;2018680;66140;654913;11401;0;0;
1564577650;4389960536;207872;3186432;0.00;0.00;0.00;812;12447;53036;49788;134;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;201216;3182336;0.00;0.00;0.00;786;12431;52868;49724;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;200704;3182080;0.00;0.00;0.00;784;12430;52856;49720;134;33;0;0;125870592;4081664;0.25;0.00;0.00;491682;15944;2030504;63776;655628;10476;0;0;126465792;4089600;0.25;0.00;0.00;494007;15975;2039928;63900;656893;10545;0;0;124285952;4082176;0.25;0.00;0.00;485492;15946;2005752;63784;649562;10505;0;0;125701632;4083200;0.25;0.00;0.00;491022;15950;2027888;63800;650368;10548;0;0;127725824;4073216;0.24;0.00;0.00;498929;15911;2059360;63644;654765;10458;0;0;128003840;4082176;0.25;0.00;0.00;500015;15946;2063844;63784;662900;10538;0;0;
1564577652;4389961582;204288;3183360;0.00;0.00;0.00;798;12435;52932;49740;134;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;134;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;134;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;134;33;0;0;127060224;4223488;0.25;0.00;0.00;496329;16498;2051308;65992;658807;11502;0;0;124837632;4232960;0.24;0.00;0.00;487647;16535;2016728;66140;642249;11515;0;0;126355712;4252416;0.25;0.00;0.00;493577;16611;2040752;66444;655680;11544;0;0;126995712;4213504;0.24;0.00;0.00;496077;16459;2050144;65836;655200;11474;0;0;126022656;4241664;0.25;0.00;0.00;492276;16569;2035380;66276;657684;11505;0;0;125688832;4204544;0.25;0.00;0.00;490972;16424;2029584;65696;653915;11404;0;0;
1564577654;4389967106;201728;3183104;0.00;0.00;0.00;788;12434;52888;49736;134;33;0;0;200704;3182848;0.00;0.00;0.00;784;12433;52868;49732;134;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;134;33;0;0;201984;3184128;0.00;0.00;0.00;789;12438;52908;49752;134;33;0;0;200704;3184128;0.00;0.00;0.00;784;12438;52888;49752;134;33;0;0;200448;3184640;0.00;0.00;0.00;783;12440;52892;49760;134;33;0;0;129109504;4558848;0.17;0.00;0.00;504334;17808;2088568;71232;609101;13022;0;0;128954368;4539648;0.17;0.00;0.00;503728;17733;2085844;70932;607545;12947;0;0;130274304;4544768;0.18;0.00;0.00;508884;17753;2106548;71012;618539;12987;0;0;126939392;4593664;0.18;0.00;0.00;495857;17944;2055204;71776;604231;13031;0;0;129195264;4556032;0.17;0.00;0.00;504669;17797;2089864;71188;608380;12956;0;0;129449984;4571904;0.17;0.00;0.00;505664;17859;2094092;71436;608000;12903;0;0;
1564577656;4390024548;207872;3186432;0.00;0.00;0.00;812;12447;53036;49788;134;33;0;0;200448;3180544;0.00;0.00;0.00;783;12424;52828;49696;134;33;0;0;200192;3180288;0.00;0.00;0.00;782;12423;52820;49692;134;33;0;0;201216;3181056;0.00;0.00;0.00;786;12426;52848;49704;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;200448;3180544;0.00;0.00;0.00;783;12424;52828;49696;134;33;0;0;88868352;4822272;0.22;0.00;0.00;347142;18837;1463916;75348;446722;12435;0;0;91404800;4813056;0.22;0.00;0.00;357050;18801;1503404;75204;460524;12417;0;0;89389824;4780800;0.23;0.00;0.00;349179;18675;1471416;74700;453715;12424;0;0;87758592;4842240;0.23;0.00;0.00;342807;18915;1446888;75660;443925;12488;0;0;88392704;4829952;0.23;0.00;0.00;345284;18867;1456604;75468;445680;12453;0;0;90087168;4817408;0.22;0.00;0.00;351903;18818;1482884;75272;452185;12548;0;0;
1564577658;4389963416;204544;3184128;0.00;0.00;0.00;799;12438;52948;49752;134;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;134;33;0;0;200704;3183360;0.00;0.00;0.00;784;12435;52876;49740;134;33;0;0;200448;3184128;0.00;0.00;0.00;783;12438;52884;49752;134;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;134;33;0;0;200704;3182336;0.00;0.00;0.00;784;12431;52860;49724;134;33;0;0;85372160;4693504;0.23;0.00;0.00;333485;18334;1407276;73336;433416;12874;0;0;89571328;4739328;0.23;0.00;0.00;349888;18513;1473604;74052;454142;12998;0;0;87981312;4728576;0.23;0.00;0.00;343677;18471;1448592;73884;445396;12969;0;0;86774528;4715008;0.23;0.00;0.00;338963;18418;1429524;73672;442605;12960;0;0;85029888;4693760;0.23;0.00;0.00;332148;18335;1401932;73340;432057;12820;0;0;88112640;4722688;0.23;0.00;0.00;344190;18448;1450552;73792;445163;12913;0;0;
1564577660;4389964128;208640;3186944;0.00;0.00;0.00;815;12449;53056;49796;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;134;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;134;33;0;0;200192;3181056;0.00;0.00;0.00;782;12426;52832;49704;134;33;0;0;200192;3181056;0.00;0.00;0.00;782;12426;52832;49704;134;33;0;0;91910400;4859392;0.23;0.00;0.00;359025;18982;1512028;75928;465082;12662;0;0;94197504;4894208;0.23;0.00;0.00;367959;19118;1548308;76472;475823;12612;0;0;94693888;4941568;0.23;0.00;0.00;369898;19303;1556804;77212;481323;12583;0;0;91086080;4890880;0.23;0.00;0.00;355805;19105;1499640;76420;463829;12602;0;0;91750400;4900864;0.23;0.00;0.00;358400;19144;1510176;76576;466769;12647;0;0;92215552;4858624;0.23;0.00;0.00;360217;18979;1516784;75916;465838;12533;0;0;
1564577662;4390010240;203520;3184640;0.00;0.00;0.00;795;12440;52940;49760;134;33;0;0;200448;3183104;0.00;0.00;0.00;783;12434;52868;49736;134;33;0;0;200704;3184640;0.00;0.00;0.00;784;12440;52896;49760;134;33;0;0;201472;3186432;0.00;0.00;0.00;787;12447;52936;49788;134;33;0;0;200704;3186432;0.00;0.00;0.00;784;12447;52924;49788;134;33;0;0;200704;3186176;0.00;0.00;0.00;784;12446;52920;49784;134;33;0;0;14151168;4576000;0.24;0.00;0.00;55278;17875;292612;71500;72981;7568;0;0;13426432;4578304;0.25;0.00;0.00;52447;17884;281324;71536;69986;7660;0;0;12545792;4555776;0.25;0.00;0.00;49007;17796;267212;71184;64981;7533;0;0;11656192;4552704;0.24;0.00;0.00;45532;17784;253264;71136;59833;7379;0;0;10354944;4529664;0.25;0.00;0.00;40449;17694;232572;70776;53944;7379;0;0;9543424;4490752;0.24;0.00;0.00;37279;17542;219284;70168;49076;7219;0;0;
1564577664;4390040600;202752;3181824;0.00;0.00;0.00;792;12429;52884;49716;134;33;0;0;200192;3179520;0.00;0.00;0.00;782;12420;52808;49680;134;33;0;0;200192;3177984;0.00;0.00;0.00;782;12414;52784;49656;134;33;0;0;199936;3177728;0.00;0.00;0.00;781;12413;52776;49652;134;33;0;0;200192;3177984;0.00;0.00;0.00;782;12414;52784;49656;134;33;0;0;200192;3178752;0.00;0.00;0.00;782;12417;52796;49668;134;33;0;0;208640;3208960;0.00;0.00;0.00;815;12535;53400;50140;101;136;0;0;205824;3211520;0.00;0.00;0.00;804;12545;53396;50180;101;154;0;0;217856;3216128;0.00;0.00;0.00;851;12563;53656;50252;101;128;0;0;207616;3212544;0.00;0.00;0.00;811;12549;53440;50196;101;152;0;0;207872;3215104;0.00;0.00;0.00;812;12559;53484;50236;101;166;0;0;205056;3204352;0.00;0.00;0.00;801;12517;53272;50068;101;131;0;0;
1564577666;4390025826;209408;3187200;0.00;0.00;0.00;818;12450;53072;49800;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;205568;3201280;0.00;0.00;0.00;803;12505;53232;50020;101;92;0;0;206336;3201792;0.00;0.00;0.00;806;12507;53252;50028;101;99;0;0;210432;3201536;0.00;0.00;0.00;822;12506;53312;50024;101;84;0;0;208128;3198464;0.00;0.00;0.00;813;12494;53228;49976;101;84;0;0;210944;3202048;0.00;0.00;0.00;824;12508;53328;50032;101;88;0;0;207616;3201536;0.00;0.00;0.00;811;12506;53268;50024;101;100;0;0;
1564577668;4390022898;206592;3185152;0.00;0.00;0.00;807;12442;52996;49768;134;33;0;0;200704;3181056;0.00;0.00;0.00;784;12426;52840;49704;134;33;0;0;200192;3180800;0.00;0.00;0.00;782;12425;52828;49700;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;134;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;134;33;0;0;203264;3187456;0.00;0.00;0.00;794;12451;52980;49804;101;49;0;0;203520;3187456;0.00;0.00;0.00;795;12451;52984;49804;101;49;0;0;208128;3191552;0.00;0.00;0.00;813;12467;53120;49868;101;56;0;0;207360;3193344;0.00;0.00;0.00;810;12474;53136;49896;101;62;0;0;204288;3190784;0.00;0.00;0.00;798;12464;53048;49856;101;58;0;0;210432;3197696;0.00;0.00;0.00;822;12491;53252;49964;101;71;0;0;
