# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 08:59:58 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564578000;4390029414;207360;3166720;0.00;0.00;0.00;810;12370;52720;49480;135;33;0;0;198912;3159296;0.00;0.00;0.00;777;12341;52472;49364;134;33;0;0;199168;3161088;0.00;0.00;0.00;778;12348;52504;49392;134;33;0;0;199680;3158784;0.00;0.00;0.00;780;12339;52476;49356;135;33;0;0;198912;3159040;0.00;0.00;0.00;777;12340;52468;49360;134;33;0;0;198912;3158016;0.00;0.00;0.00;777;12336;52452;49344;134;33;0;0;191271168;1240126464;0.72;0.65;0.66;747153;4844244;22365588;19376976;2667570;13830144;0;0;194146304;1248708352;0.72;0.65;0.66;758384;4877767;22544604;19511068;2714031;13874912;0;0;186075648;533769984;0.74;0.24;0.31;726858;2085039;11247588;8340156;2760307;2736573;0;0;186203392;537309696;0.74;0.23;0.31;727357;2098866;11304892;8395464;2761054;2742255;0;0;186665472;538435840;0.74;0.23;0.31;729162;2103265;11329708;8413060;2763013;2745595;0;0;186447872;538899968;0.74;0.23;0.31;728312;2105078;11333560;8420312;2762962;2746931;0;0;
1564578002;4390052978;209152;3187456;0.00;0.00;0.00;817;12451;53072;49804;134;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;134;33;0;0;200192;3180544;0.00;0.00;0.00;782;12424;52824;49696;134;33;0;0;200960;3180800;0.00;0.00;0.00;785;12425;52840;49700;134;33;0;0;200192;3180032;0.00;0.00;0.00;782;12422;52816;49688;134;33;0;0;200192;3179520;0.00;0.00;0.00;782;12420;52808;49680;134;33;0;0;443659520;426559744;0.75;0.24;0.33;1733045;1666249;13597176;6664996;6842001;2183993;0;0;440567040;417605376;0.75;0.24;0.33;1720965;1631271;13408944;6525084;6794495;2138700;0;0;437424384;408156416;0.75;0.24;0.33;1708689;1594361;13212200;6377444;6748077;2092247;0;0;434278656;400849664;0.75;0.23;0.33;1696401;1565819;13048880;6263276;6700783;2046602;0;0;431148544;391836416;0.75;0.23;0.33;1684174;1530611;12859140;6122444;6652463;1999820;0;0;428167936;382871552;0.75;0.23;0.34;1672531;1495592;12672492;5982368;6606715;1953939;0;0;
1564578004;4390001448;207360;3185152;0.00;0.00;0.00;810;12442;53008;49768;134;33;0;0;200448;3180032;0.00;0.00;0.00;783;12422;52820;49688;134;33;0;0;200192;3180288;0.00;0.00;0.00;782;12423;52820;49692;134;33;0;0;201216;3181568;0.00;0.00;0.00;786;12428;52856;49712;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;203264;3492864;0.00;0.00;0.00;794;13644;57752;54576;101;1258;0;0;199168;3446528;0.00;0.00;0.00;778;13463;56964;53852;101;1040;0;0;217856;3451392;0.00;0.00;0.00;851;13482;57332;53928;101;1083;0;0;208896;3427840;0.00;0.00;0.00;816;13390;56824;53560;101;998;0;0;213504;3459328;0.00;0.00;0.00;834;13513;57388;54052;101;1109;0;0;207360;3431680;0.00;0.00;0.00;810;13405;56860;53620;101;1005;0;0;
1564578006;4390040090;226816;3206912;0.00;0.00;0.00;886;12527;53652;50108;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;200448;3180544;0.00;0.00;0.00;783;12424;52828;49696;134;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;134;33;0;0;211200;3313664;0.00;0.00;0.00;825;12944;55076;51776;101;563;0;0;210944;3313920;0.00;0.00;0.00;824;12945;55076;51780;101;592;0;0;212736;3335680;0.00;0.00;0.00;831;13030;55444;52120;101;620;0;0;198144;3324672;0.00;0.00;0.00;774;12987;55044;51948;101;577;0;0;200192;3328768;0.00;0.00;0.00;782;13003;55140;52012;101;597;0;0;206592;3320320;0.00;0.00;0.00;807;12970;55108;51880;101;594;0;0;
1564578008;4390010958;207360;3185920;0.00;0.00;0.00;810;12445;53020;49780;134;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;134;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;134;33;0;0;200704;3183104;0.00;0.00;0.00;784;12434;52872;49736;134;33;0;0;200448;3183104;0.00;0.00;0.00;783;12434;52868;49736;134;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;134;33;0;0;200960;3364864;0.00;0.00;0.00;785;13144;55716;52576;101;696;0;0;195072;3340288;0.00;0.00;0.00;762;13048;55240;52192;101;621;0;0;195072;3323392;0.00;0.00;0.00;762;12982;54976;51928;101;554;0;0;204032;3307008;0.00;0.00;0.00;797;12918;54860;51672;101;516;0;0;201216;3311616;0.00;0.00;0.00;786;12936;54888;51744;101;537;0;0;201728;3299328;0.00;0.00;0.00;788;12888;54704;51552;101;494;0;0;
1564578010;4389996058;210176;3188480;0.00;0.00;0.00;821;12455;53104;49820;134;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;134;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;134;33;0;0;200192;3180288;0.00;0.00;0.00;782;12423;52820;49692;134;33;0;0;200448;3180288;0.00;0.00;0.00;783;12423;52824;49692;134;33;0;0;200192;3180800;0.00;0.00;0.00;782;12425;52828;49700;134;33;0;0;202496;3234816;0.00;0.00;0.00;791;12636;53708;50544;101;246;0;0;199936;3233024;0.00;0.00;0.00;781;12629;53640;50516;101;229;0;0;207360;3244288;0.00;0.00;0.00;810;12673;53932;50692;101;259;0;0;207104;3227136;0.00;0.00;0.00;809;12606;53660;50424;101;212;0;0;202496;3226112;0.00;0.00;0.00;791;12602;53572;50408;101;205;0;0;195584;3229952;0.00;0.00;0.00;764;12617;53524;50468;101;198;0;0;
1564578012;4390019208;206336;3186176;0.00;0.00;0.00;806;12446;53008;49784;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;200704;3182336;0.00;0.00;0.00;784;12431;52860;49724;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;200448;3262976;0.00;0.00;0.00;783;12746;54116;50984;101;348;0;0;202752;3262464;0.00;0.00;0.00;792;12744;54144;50976;101;347;0;0;205568;3256576;0.00;0.00;0.00;803;12721;54096;50884;101;323;0;0;199680;3248384;0.00;0.00;0.00;780;12689;53876;50756;101;286;0;0;203008;3255040;0.00;0.00;0.00;793;12715;54032;50860;101;315;0;0;212224;3253760;0.00;0.00;0.00;829;12710;54156;50840;101;321;0;0;
1564578014;4390048916;208384;3187712;0.00;0.00;0.00;814;12452;53064;49808;134;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;134;33;0;0;200704;3182080;0.00;0.00;0.00;784;12430;52856;49720;134;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;134;33;0;0;200448;3183360;0.00;0.00;0.00;783;12435;52872;49740;134;33;0;0;200448;3184128;0.00;0.00;0.00;783;12438;52884;49752;134;33;0;0;204544;3244288;0.00;0.00;0.00;799;12673;53888;50692;101;263;0;0;201728;3248128;0.00;0.00;0.00;788;12688;53904;50752;101;279;0;0;205312;3250432;0.00;0.00;0.00;802;12697;53996;50788;101;279;0;0;212736;3244288;0.00;0.00;0.00;831;12673;54016;50692;101;254;0;0;213504;3246336;0.00;0.00;0.00;834;12681;54060;50724;101;304;0;0;200448;3262976;0.00;0.00;0.00;783;12746;54116;50984;101;317;0;0;
1564578016;4390014006;204544;3183616;0.00;0.00;0.00;799;12436;52940;49744;134;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;134;33;0;0;200192;3181056;0.00;0.00;0.00;782;12426;52832;49704;134;33;0;0;200448;3180032;0.00;0.00;0.00;783;12422;52820;49688;134;33;0;0;200192;3179776;0.00;0.00;0.00;782;12421;52812;49684;134;33;0;0;200704;3180032;0.00;0.00;0.00;784;12422;52824;49688;134;33;0;0;207616;3253504;0.00;0.00;0.00;811;12709;54080;50836;101;310;0;0;208896;3257088;0.00;0.00;0.00;816;12723;54156;50892;101;322;0;0;205568;3254528;0.00;0.00;0.00;803;12713;54064;50852;101;325;0;0;200704;3255552;0.00;0.00;0.00;784;12717;54004;50868;101;324;0;0;194560;3255808;0.00;0.00;0.00;760;12718;53912;50872;101;292;0;0;205568;3236352;0.00;0.00;0.00;803;12642;53780;50568;101;261;0;0;
1564578018;4390001686;204544;3184128;0.00;0.00;0.00;799;12438;52948;49752;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;200192;3180800;0.00;0.00;0.00;782;12425;52828;49700;134;33;0;0;202240;3212544;0.00;0.00;0.00;790;12549;53356;50196;101;147;0;0;201216;3203328;0.00;0.00;0.00;786;12513;53196;50052;101;119;0;0;203776;3208448;0.00;0.00;0.00;796;12533;53316;50132;101;116;0;0;204288;3198720;0.00;0.00;0.00;798;12495;53172;49980;101;81;0;0;204032;3199744;0.00;0.00;0.00;797;12499;53184;49996;101;93;0;0;203776;3198720;0.00;0.00;0.00;796;12495;53164;49980;101;89;0;0;
