# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 09:04:41 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564578283;4390020594;204544;3164160;0.00;0.00;0.00;799;12360;52636;49440;135;33;0;0;198912;3158784;0.00;0.00;0.00;777;12339;52464;49356;134;33;0;0;198912;3158272;0.00;0.00;0.00;777;12337;52456;49348;134;33;0;0;198656;3155456;0.00;0.00;0.00;776;12326;52408;49304;134;33;0;0;198656;3154176;0.00;0.00;0.00;776;12321;52388;49284;134;33;0;0;198400;3148800;0.00;0.00;0.00;775;12300;52300;49200;134;33;0;0;193074176;1246329856;0.72;0.65;0.66;754196;4868476;22490688;19473904;2697616;13858040;0;0;184662528;530346240;0.74;0.24;0.31;721338;2071665;11172012;8286660;2734531;2713859;0;0;184886272;530605568;0.74;0.24;0.31;722212;2072678;11179560;8290712;2731637;2712895;0;0;184682752;531644928;0.74;0.23;0.31;721417;2076738;11192620;8306952;2730944;2714643;0;0;184428800;531621632;0.74;0.24;0.31;720425;2076647;11188288;8306588;2730798;2716108;0;0;184512000;531887616;0.74;0.24;0.31;720750;2077686;11193744;8310744;2731472;2716929;0;0;
1564578285;4390014336;205312;3185152;0.00;0.00;0.00;802;12442;52976;49768;134;33;0;0;200704;3183616;0.00;0.00;0.00;784;12436;52880;49744;134;33;0;0;200704;3184384;0.00;0.00;0.00;784;12439;52892;49756;134;33;0;0;200704;3185664;0.00;0.00;0.00;784;12444;52912;49776;134;33;0;0;200704;3186688;0.00;0.00;0.00;784;12448;52928;49792;134;33;0;0;200704;3187456;0.00;0.00;0.00;784;12451;52940;49804;134;33;0;0;288439040;187107840;0.75;0.23;0.44;1126715;730890;7430420;2923560;4442280;945265;0;0;285362432;178313984;0.75;0.23;0.45;1114697;696539;7244944;2786156;4397481;901238;0;0;282358272;169764096;0.75;0.23;0.46;1102962;663141;7064412;2652564;4353033;857427;0;0;279491584;161415680;0.75;0.22;0.47;1091764;630530;6889176;2522120;4308331;813260;0;0;276475648;152628736;0.75;0.22;0.48;1079983;596206;6704756;2384824;4263215;768550;0;0;273408000;143931648;0.75;0.22;0.50;1068000;562233;6520932;2248932;4217451;724156;0;0;
1564578287;4390050838;206848;3184896;0.00;0.00;0.00;808;12441;52996;49764;134;33;0;0;200704;3180544;0.00;0.00;0.00;784;12424;52832;49696;134;33;0;0;200192;3180288;0.00;0.00;0.00;782;12423;52820;49692;134;33;0;0;200448;3180032;0.00;0.00;0.00;783;12422;52820;49688;134;33;0;0;200448;3180032;0.00;0.00;0.00;783;12422;52820;49688;134;33;0;0;200192;3180288;0.00;0.00;0.00;782;12423;52820;49692;134;33;0;0;203776;3333888;0.00;0.00;0.00;796;13023;55276;52092;101;611;0;0;201472;3333376;0.00;0.00;0.00;787;13021;55232;52084;101;615;0;0;197632;3315200;0.00;0.00;0.00;772;12950;54888;51800;101;561;0;0;200960;3325440;0.00;0.00;0.00;785;12990;55100;51960;101;608;0;0;203264;3344640;0.00;0.00;0.00;794;13065;55436;52260;101;685;0;0;200704;3331072;0.00;0.00;0.00;784;13012;55184;52048;101;623;0;0;
1564578289;4390034674;207104;3186688;0.00;0.00;0.00;809;12448;53028;49792;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;134;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;134;33;0;0;200192;3180800;0.00;0.00;0.00;782;12425;52828;49700;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;204032;3243776;0.00;0.00;0.00;797;12671;53872;50684;101;264;0;0;201472;3235840;0.00;0.00;0.00;787;12640;53708;50560;101;240;0;0;200192;3248384;0.00;0.00;0.00;782;12689;53884;50756;101;285;0;0;201472;3246592;0.00;0.00;0.00;787;12682;53876;50728;101;280;0;0;199424;3238400;0.00;0.00;0.00;779;12650;53716;50600;101;236;0;0;204544;3226368;0.00;0.00;0.00;799;12603;53608;50412;101;202;0;0;
1564578291;4390044490;203008;3183360;0.00;0.00;0.00;793;12435;52912;49740;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;200704;3181824;0.00;0.00;0.00;784;12429;52852;49716;134;33;0;0;200192;3182336;0.00;0.00;0.00;782;12431;52852;49724;134;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;134;33;0;0;200704;3180800;0.00;0.00;0.00;784;12425;52836;49700;134;33;0;0;201216;3201536;0.00;0.00;0.00;786;12506;53168;50024;101;113;0;0;202240;3206912;0.00;0.00;0.00;790;12527;53268;50108;101;130;0;0;201216;3205888;0.00;0.00;0.00;786;12523;53236;50092;101;125;0;0;202752;3208192;0.00;0.00;0.00;792;12532;53296;50128;101;128;0;0;203776;3209216;0.00;0.00;0.00;796;12536;53328;50144;101;130;0;0;204288;3208448;0.00;0.00;0.00;798;12533;53324;50132;101;131;0;0;
1564578293;4390004634;205312;3184640;0.00;0.00;0.00;802;12440;52968;49760;134;33;0;0;200192;3181824;0.00;0.00;0.00;782;12429;52844;49716;134;33;0;0;200192;3182336;0.00;0.00;0.00;782;12431;52852;49724;134;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;134;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;134;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;134;33;0;0;204032;3200256;0.00;0.00;0.00;797;12501;53192;50004;101;112;0;0;206336;3213824;0.00;0.00;0.00;806;12554;53440;50216;101;164;0;0;203776;3217152;0.00;0.00;0.00;796;12567;53452;50268;101;169;0;0;207104;3220992;0.00;0.00;0.00;809;12582;53564;50328;101;177;0;0;206336;3224064;0.00;0.00;0.00;806;12594;53600;50376;101;196;0;0;210944;3237888;0.00;0.00;0.00;824;12648;53888;50592;101;263;0;0;
1564578295;4390042598;212480;3191296;0.00;0.00;0.00;830;12466;53184;49864;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;208896;3351808;0.00;0.00;0.00;816;13093;55636;52372;101;689;0;0;199680;3359744;0.00;0.00;0.00;780;13124;55616;52496;101;712;0;0;203008;3365376;0.00;0.00;0.00;793;13146;55756;52584;101;750;0;0;206336;3362816;0.00;0.00;0.00;806;13136;55768;52544;101;723;0;0;210688;3356928;0.00;0.00;0.00;823;13113;55744;52452;101;695;0;0;195072;3327488;0.00;0.00;0.00;762;12998;55040;51992;101;585;0;0;
1564578297;4390025252;203264;3183872;0.00;0.00;0.00;794;12437;52924;49748;134;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;134;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;205824;3230976;0.00;0.00;0.00;804;12621;53700;50484;101;240;0;0;201984;3235072;0.00;0.00;0.00;789;12637;53704;50548;101;239;0;0;206080;3245824;0.00;0.00;0.00;805;12679;53936;50716;101;271;0;0;206080;3243520;0.00;0.00;0.00;805;12670;53900;50680;101;296;0;0;206848;3255552;0.00;0.00;0.00;808;12717;54100;50868;101;328;0;0;207872;3273984;0.00;0.00;0.00;812;12789;54404;51156;101;400;0;0;
1564578299;4390029934;207360;3186176;0.00;0.00;0.00;810;12446;53024;49784;134;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;134;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;134;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;134;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;134;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;33;0;0;196096;3291392;0.00;0.00;0.00;766;12857;54492;51428;101;439;0;0;206848;3271424;0.00;0.00;0.00;808;12779;54348;51116;101;374;0;0;205312;3270912;0.00;0.00;0.00;802;12777;54316;51108;101;377;0;0;198656;3255040;0.00;0.00;0.00;776;12715;53964;50860;101;292;0;0;198656;3247360;0.00;0.00;0.00;776;12685;53844;50740;101;277;0;0;198912;3235840;0.00;0.00;0.00;777;12640;53668;50560;101;221;0;0;
1564578301;4390044970;211968;3188992;0.00;0.00;0.00;828;12457;53140;49828;134;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;134;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;134;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;134;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;134;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;134;33;0;0;206080;3236096;0.00;0.00;0.00;805;12641;53784;50564;101;237;0;0;206848;3249664;0.00;0.00;0.00;808;12694;54008;50776;101;297;0;0;205056;3243776;0.00;0.00;0.00;801;12671;53888;50684;101;272;0;0;209408;3255296;0.00;0.00;0.00;818;12716;54136;50864;101;310;0;0;207872;3249920;0.00;0.00;0.00;812;12695;54028;50780;101;308;0;0;205312;3271424;0.00;0.00;0.00;802;12779;54324;51116;101;388;0;0;
