# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 09:44:29 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564580671;4390008244;344064;3159296;0.00;0.00;0.00;1344;12341;54740;49364;101;33;0;0;215040;3167488;0.00;0.00;0.00;840;12373;52852;49492;101;33;0;0;398080;3151616;0.00;0.00;0.00;1555;12311;55464;49244;102;33;0;0;396800;3148032;0.00;0.00;0.00;1550;12297;55388;49188;101;33;0;0;395776;3143424;0.00;0.00;0.00;1546;12279;55300;49116;101;33;0;0;133632;1060352;0.00;0.00;0.00;522;4142;18656;16568;101;33;0;0;46621952;129754624;0.73;0.24;0.54;182117;506854;2755884;2027416;675115;669353;0;0;43507968;120745216;0.73;0.24;0.56;169953;471661;2566456;1886644;628253;623604;0;0;39955200;111609344;0.73;0.24;0.59;156075;435974;2368196;1743896;580147;576243;0;0;37256960;103126784;0.73;0.24;0.62;145535;402839;2193496;1611356;533317;530424;0;0;33848832;93735680;0.73;0.24;0.66;132222;366155;1993508;1464620;485170;482734;0;0;30629376;84259072;0.73;0.24;0.70;119646;329137;1795132;1316548;437303;434790;0;0;
1564580673;4389961834;347648;3184896;0.00;0.00;0.00;1358;12441;55196;49764;101;33;0;0;217344;3196672;0.00;0.00;0.00;849;12487;53344;49948;101;33;0;0;401664;3182592;0.00;0.00;0.00;1569;12432;56004;49728;101;33;0;0;400896;3181824;0.00;0.00;0.00;1566;12429;55980;49716;101;33;0;0;400896;3181056;0.00;0.00;0.00;1566;12426;55968;49704;101;33;0;0;400384;3181312;0.00;0.00;0.00;1564;12427;55964;49708;101;33;0;0;14098688;34607360;0.73;0.33;0.00;55073;135185;761032;540740;203121;201428;0;0;14137600;34420992;0.73;0.33;0.00;55225;134457;758728;537828;203124;201194;0;0;14166272;34588160;0.73;0.33;0.00;55337;135110;761788;540440;203003;201073;0;0;14095872;34550272;0.73;0.33;0.00;55062;134962;760096;539848;203264;200910;0;0;14121984;34583808;0.73;0.33;0.00;55164;135093;761028;540372;203434;201240;0;0;14216704;34790656;0.73;0.33;0.00;55534;135901;765740;543604;203346;201533;0;0;
1564580675;4389956860;360192;3186432;0.00;0.00;0.00;1407;12447;55416;49788;101;33;0;0;224256;3203328;0.00;0.00;0.00;876;12513;53556;50052;101;33;0;0;400896;3181824;0.00;0.00;0.00;1566;12429;55980;49716;101;33;0;0;401664;3182592;0.00;0.00;0.00;1569;12432;56004;49728;101;33;0;0;400896;3182592;0.00;0.00;0.00;1566;12432;55992;49728;101;33;0;0;400896;3182336;0.00;0.00;0.00;1566;12431;55988;49724;101;33;0;0;14242048;34663424;0.73;0.33;0.00;55633;135404;764148;541616;203115;202064;0;0;14194432;34841344;0.73;0.33;0.00;55447;136099;766184;544396;203104;202030;0;0;14248448;34654208;0.73;0.33;0.00;55658;135368;764104;541472;203092;202282;0;0;14173440;34789376;0.73;0.33;0.00;55365;135896;765044;543584;203165;202263;0;0;14232832;34823424;0.73;0.33;0.00;55597;136029;766504;544116;202978;201860;0;0;14221568;34941952;0.73;0.32;0.00;55553;136492;768180;545968;203027;202127;0;0;
1564580677;4389963240;353536;3186944;0.00;0.00;0.00;1381;12449;55320;49796;101;33;0;0;232960;3211264;0.00;0.00;0.00;910;12544;53816;50176;101;33;0;0;400384;3181568;0.00;0.00;0.00;1564;12428;55968;49712;101;33;0;0;401152;3181824;0.00;0.00;0.00;1567;12429;55984;49716;101;33;0;0;400896;3182080;0.00;0.00;0.00;1566;12430;55984;49720;101;33;0;0;400896;3181568;0.00;0.00;0.00;1566;12428;55976;49712;101;33;0;0;14124800;34992896;0.73;0.32;0.00;55175;136691;767464;546764;203149;202049;0;0;14062336;35177984;0.73;0.32;0.00;54931;137414;769380;549656;203185;202042;0;0;14122240;34900480;0.73;0.33;0.00;55165;136330;765980;545320;203200;202016;0;0;14088704;34951168;0.73;0.33;0.00;55034;136528;766248;546112;203241;202293;0;0;14156800;34898944;0.73;0.32;0.00;55300;136324;766496;545296;203303;201921;0;0;14184704;34767104;0.73;0.33;0.00;55409;135809;764872;543236;203414;202186;0;0;
1564580679;4389962208;355584;3188992;0.00;0.00;0.00;1389;12457;55384;49828;101;33;0;0;224256;3204096;0.00;0.00;0.00;876;12516;53568;50064;101;33;0;0;400896;3181824;0.00;0.00;0.00;1566;12429;55980;49716;101;33;0;0;400896;3181056;0.00;0.00;0.00;1566;12426;55968;49704;101;33;0;0;401920;3181312;0.00;0.00;0.00;1570;12427;55988;49708;101;33;0;0;400384;3181056;0.00;0.00;0.00;1564;12426;55960;49704;101;33;0;0;14377728;34824960;0.72;0.33;0.00;56163;136035;768792;544140;203319;202461;0;0;14218240;35008000;0.73;0.32;0.00;55540;136750;769160;547000;203414;202274;0;0;14292480;34860288;0.73;0.33;0.00;55830;136173;768012;544692;203346;202462;0;0;14208768;34709504;0.73;0.33;0.00;55503;135584;764348;542336;203444;202634;0;0;14322688;34801408;0.73;0.33;0.00;55948;135943;767564;543772;203468;202773;0;0;14327552;34703360;0.72;0.33;0.00;55967;135560;766108;542240;203351;202510;0;0;
1564580681;4389978530;363008;3188480;0.00;0.00;0.00;1418;12455;55492;49820;101;33;0;0;228864;3207680;0.00;0.00;0.00;894;12530;53696;50120;101;33;0;0;400896;3181824;0.00;0.00;0.00;1566;12429;55980;49716;101;33;0;0;400896;3181824;0.00;0.00;0.00;1566;12429;55980;49716;101;33;0;0;400896;3182592;0.00;0.00;0.00;1566;12432;55992;49728;101;33;0;0;400896;3182848;0.00;0.00;0.00;1566;12433;55996;49732;101;33;0;0;14309376;35040256;0.73;0.32;0.00;55896;136876;771088;547504;203500;202413;0;0;14354688;35233536;0.72;0.32;0.00;56073;137631;774816;550524;203431;202790;0;0;14344448;34999296;0.72;0.32;0.00;56033;136716;770996;546864;203485;202358;0;0;14221056;34946048;0.73;0.33;0.00;55551;136508;768236;546032;203557;202426;0;0;14251776;34941952;0.73;0.33;0.00;55671;136492;768652;545968;203427;202404;0;0;14260736;35195648;0.73;0.32;0.00;55706;137483;772756;549932;203567;202769;0;0;
1564580683;4389955228;354304;3188736;0.00;0.00;0.00;1384;12456;55360;49824;101;33;0;0;236032;3215104;0.00;0.00;0.00;922;12559;53924;50236;101;33;0;0;401408;3182336;0.00;0.00;0.00;1568;12431;55996;49724;101;33;0;0;400896;3182592;0.00;0.00;0.00;1566;12432;55992;49728;101;33;0;0;400896;3181824;0.00;0.00;0.00;1566;12429;55980;49716;101;33;0;0;400896;3182592;0.00;0.00;0.00;1566;12432;55992;49728;101;33;0;0;14382336;35194624;0.72;0.32;0.00;56181;137479;774640;549916;203020;202161;0;0;14316800;35047680;0.72;0.32;0.00;55925;136905;771320;547620;203051;202106;0;0;14428160;35093504;0.72;0.32;0.00;56360;137084;773776;548336;202990;202159;0;0;14441216;35100160;0.72;0.32;0.00;56411;137110;774084;548440;202865;202142;0;0;14396160;34966528;0.72;0.32;0.00;56235;136588;771292;546352;202888;202186;0;0;14410496;34916608;0.72;0.32;0.00;56291;136393;770736;545572;202841;201802;0;0;
1564580685;4390027588;352256;3186176;0.00;0.00;0.00;1376;12446;55288;49784;101;33;0;0;235520;3214080;0.00;0.00;0.00;920;12555;53900;50220;101;33;0;0;400896;3181056;0.00;0.00;0.00;1566;12426;55968;49704;101;33;0;0;401920;3181824;0.00;0.00;0.00;1570;12429;55996;49716;101;33;0;0;400896;3182080;0.00;0.00;0.00;1566;12430;55984;49720;101;33;0;0;401408;3182336;0.00;0.00;0.00;1568;12431;55996;49724;101;33;0;0;11195136;29726208;0.72;0.28;0.00;43731;116118;639396;464472;156359;161385;0;0;11169024;29712384;0.72;0.28;0.00;43629;116064;638772;464256;155173;160206;0;0;10960128;29248768;0.72;0.28;0.00;42813;114253;628264;457012;154087;158954;0;0;10919680;29370368;0.72;0.28;0.00;42655;114728;629532;458912;153173;158796;0;0;10870272;29200896;0.72;0.28;0.00;42462;114066;626112;456264;152009;157575;0;0;10763776;28924416;0.72;0.28;0.00;42046;112986;620128;451944;150933;156609;0;0;
1564580687;4389972854;348672;3185408;0.00;0.00;0.00;1362;12443;55220;49772;101;33;0;0;225280;3206912;0.00;0.00;0.00;880;12527;53628;50108;101;33;0;0;400896;3184384;0.00;0.00;0.00;1566;12439;56020;49756;101;33;0;0;401664;3185152;0.00;0.00;0.00;1569;12442;56044;49768;101;33;0;0;400896;3184384;0.00;0.00;0.00;1566;12439;56020;49756;101;33;0;0;401408;3184640;0.00;0.00;0.00;1568;12440;56032;49760;101;33;0;0;384000;3230208;0.00;0.00;0.00;1500;12618;56472;50472;134;208;0;0;398336;3236864;0.00;0.00;0.00;1556;12644;56800;50576;134;204;0;0;371456;3230976;0.00;0.00;0.00;1451;12621;56288;50484;134;218;0;0;386048;3264256;0.00;0.00;0.00;1508;12751;57036;51004;134;345;0;0;384256;3261440;0.00;0.00;0.00;1501;12740;56964;50960;134;337;0;0;395776;3272192;0.00;0.00;0.00;1546;12782;57312;51128;134;350;0;0;
1564580689;4390035030;352000;3185920;0.00;0.00;0.00;1375;12445;55280;49780;101;33;0;0;225024;3202816;0.00;0.00;0.00;879;12511;53560;50044;101;33;0;0;400896;3181056;0.00;0.00;0.00;1566;12426;55968;49704;101;33;0;0;400896;3180800;0.00;0.00;0.00;1566;12425;55964;49700;101;33;0;0;400896;3180544;0.00;0.00;0.00;1566;12424;55960;49696;101;33;0;0;400384;3180032;0.00;0.00;0.00;1564;12422;55944;49688;101;33;0;0;386304;3195392;0.00;0.00;0.00;1509;12482;55964;49928;134;84;0;0;379904;3196160;0.00;0.00;0.00;1484;12485;55876;49940;134;91;0;0;377344;3195136;0.00;0.00;0.00;1474;12481;55820;49924;134;84;0;0;384000;3197696;0.00;0.00;0.00;1500;12491;55964;49964;134;89;0;0;381184;3203328;0.00;0.00;0.00;1489;12513;56008;50052;134;109;0;0;382208;3203840;0.00;0.00;0.00;1493;12515;56032;50060;134;103;0;0;
