# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 10:44:55 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564584297;4390026344;221184;3172352;0.00;0.00;0.00;864;12392;53024;49568;102;33;0;0;201216;3152384;0.00;0.00;0.00;786;12314;52400;49256;101;33;0;0;198144;3144192;0.00;0.00;0.00;774;12282;52224;49128;101;33;0;0;197632;3137792;0.00;0.00;0.00;772;12257;52116;49028;101;33;0;0;197376;3130624;0.00;0.00;0.00;771;12229;52000;48916;101;33;0;0;196864;3123968;0.00;0.00;0.00;769;12203;51888;48812;101;33;0;0;170274816;484812032;0.74;0.24;0.32;665136;1893797;10235732;7575188;2519842;2503126;0;0;170290688;485164288;0.74;0.24;0.32;665198;1895173;10241484;7580692;2519771;2506516;0;0;170265856;485463296;0.74;0.24;0.32;665101;1896341;10245768;7585364;2519070;2506675;0;0;170379264;487575808;0.74;0.24;0.32;665544;1904593;10280548;7618372;2518548;2507275;0;0;170613248;488328960;0.74;0.24;0.32;666458;1907535;10295972;7630140;2519132;2508387;0;0;171033344;488653824;0.73;0.24;0.32;668099;1908804;10307612;7635216;2520711;2509655;0;0;
1564584299;4389969528;217600;3192576;0.00;0.00;0.00;850;12471;53284;49884;101;33;0;0;201984;3182848;0.00;0.00;0.00;789;12433;52888;49732;101;33;0;0;200704;3181312;0.00;0.00;0.00;784;12427;52844;49708;101;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;101;33;0;0;200192;3180800;0.00;0.00;0.00;782;12425;52828;49700;101;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;101;33;0;0;666965248;866821120;0.33;0.11;0.16;2605333;3386020;23965412;13544080;3866308;3788749;0;0;667645184;862407936;0.32;0.10;0.16;2607989;3368781;23907080;13475124;3836473;3759623;0;0;667772672;857254912;0.31;0.10;0.16;2608487;3348652;23828556;13394608;3807002;3729876;0;0;631131136;818555136;0.32;0.10;0.16;2465356;3197481;22651348;12789924;3640672;3567847;0;0;631396864;813243392;0.32;0.10;0.16;2466394;3176732;22572504;12706928;3609953;3536305;0;0;632779264;809268992;0.31;0.10;0.16;2471794;3161207;22532004;12644828;3581948;3509473;0;0;
1564584301;4390016742;227840;3202560;0.00;0.00;0.00;890;12510;53600;50040;101;33;0;0;202240;3182848;0.00;0.00;0.00;790;12433;52892;49732;101;33;0;0;200192;3182336;0.00;0.00;0.00;782;12431;52852;49724;101;33;0;0;200960;3182848;0.00;0.00;0.00;785;12433;52872;49732;101;33;0;0;200704;3183616;0.00;0.00;0.00;784;12436;52880;49744;101;33;0;0;200704;3183616;0.00;0.00;0.00;784;12436;52880;49744;101;33;0;0;339934976;352946944;0.02;0.00;0.14;1327871;1378699;10826280;5514796;1359214;1376161;0;0;336184064;349186304;0.02;0.00;0.15;1313219;1364009;10708912;5456036;1345149;1361995;0;0;332250112;345379328;0.02;0.00;0.15;1297852;1349138;10587960;5396552;1330045;1347290;0;0;302824960;317671936;0.03;0.00;0.16;1182910;1240906;9695264;4963624;1218181;1239995;0;0;300083200;315028992;0.03;0.00;0.16;1172200;1230582;9611128;4922328;1206997;1229432;0;0;295834880;310628352;0.03;0.00;0.16;1155605;1213392;9475988;4853568;1190938;1212651;0;0;
1564584303;4390028206;216576;3195392;0.00;0.00;0.00;846;12482;53312;49928;101;33;0;0;201472;3182592;0.00;0.00;0.00;787;12432;52876;49728;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;200192;3182080;0.00;0.00;0.00;782;12430;52848;49720;101;33;0;0;200192;3182080;0.00;0.00;0.00;782;12430;52848;49720;101;33;0;0;200192;3182336;0.00;0.00;0.00;782;12431;52852;49724;101;33;0;0;218624;3592448;0.00;0.00;0.00;854;14033;59548;56132;134;1648;0;0;241920;3610624;0.00;0.00;0.00;945;14104;60196;56416;134;1646;0;0;230912;3613952;0.00;0.00;0.00;902;14117;60076;56468;134;1704;0;0;232960;3580416;0.00;0.00;0.00;910;13986;59584;55944;134;1554;0;0;242432;3598848;0.00;0.00;0.00;947;14058;60020;56232;134;1632;0;0;235520;3604224;0.00;0.00;0.00;920;14079;59996;56316;134;1645;0;0;
1564584305;4390037392;217088;3191552;0.00;0.00;0.00;848;12467;53260;49868;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200704;3181056;0.00;0.00;0.00;784;12426;52840;49704;101;33;0;0;200704;3181312;0.00;0.00;0.00;784;12427;52844;49708;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;247552;3802368;0.00;0.00;0.00;967;14853;63280;59412;134;2393;0;0;254208;3817984;0.00;0.00;0.00;993;14914;63628;59656;134;2433;0;0;220672;3804416;0.00;0.00;0.00;862;14861;62892;59444;134;2450;0;0;229632;3753472;0.00;0.00;0.00;897;14662;62236;58648;134;2226;0;0;239104;3764992;0.00;0.00;0.00;934;14707;62564;58828;134;2327;0;0;248576;3759616;0.00;0.00;0.00;971;14686;62628;58744;134;2222;0;0;
1564584307;4389968290;219904;3195136;0.00;0.00;0.00;859;12481;53360;49924;101;33;0;0;201472;3182336;0.00;0.00;0.00;787;12431;52872;49724;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;101;33;0;0;225792;3224320;0.00;0.00;0.00;882;12595;53908;50380;134;131;0;0;234240;3239168;0.00;0.00;0.00;915;12653;54272;50612;134;160;0;0;222208;3220992;0.00;0.00;0.00;868;12582;53800;50328;134;128;0;0;219392;3242240;0.00;0.00;0.00;857;12665;54088;50660;134;219;0;0;208384;3243520;0.00;0.00;0.00;814;12670;53936;50680;134;201;0;0;231680;3243776;0.00;0.00;0.00;905;12671;54304;50684;134;181;0;0;
1564584309;4389960406;225024;3198464;0.00;0.00;0.00;879;12494;53492;49976;101;33;0;0;201216;3182592;0.00;0.00;0.00;786;12432;52872;49728;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;200704;3183616;0.00;0.00;0.00;784;12436;52880;49744;101;33;0;0;233984;3225600;0.00;0.00;0.00;914;12600;54056;50400;134;106;0;0;235008;3228672;0.00;0.00;0.00;918;12612;54120;50448;134;112;0;0;226048;3217408;0.00;0.00;0.00;883;12568;53804;50272;134;107;0;0;228608;3217152;0.00;0.00;0.00;893;12567;53840;50268;134;92;0;0;216064;3207168;0.00;0.00;0.00;844;12528;53488;50112;134;92;0;0;229632;3223296;0.00;0.00;0.00;897;12591;53952;50364;134;102;0;0;
1564584311;4389977034;228864;3203072;0.00;0.00;0.00;894;12512;53624;50048;101;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;236800;3217408;0.00;0.00;0.00;925;12568;53972;50272;134;72;0;0;230912;3210496;0.00;0.00;0.00;902;12541;53772;50164;134;63;0;0;227328;3208192;0.00;0.00;0.00;888;12532;53680;50128;134;74;0;0;220928;3218432;0.00;0.00;0.00;863;12572;53740;50288;134;127;0;0;216064;3212032;0.00;0.00;0.00;844;12547;53564;50188;134;118;0;0;220160;3208960;0.00;0.00;0.00;860;12535;53580;50140;134;102;0;0;
1564584313;4390019734;225024;3197696;0.00;0.00;0.00;879;12491;53480;49964;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;101;33;0;0;200192;3181824;0.00;0.00;0.00;782;12429;52844;49716;101;33;0;0;200192;3181056;0.00;0.00;0.00;782;12426;52832;49704;101;33;0;0;200192;3180288;0.00;0.00;0.00;782;12423;52820;49692;101;33;0;0;220928;3326976;0.00;0.00;0.00;863;12996;55436;51984;134;573;0;0;225280;3337728;0.00;0.00;0.00;880;13038;55672;52152;134;597;0;0;239360;3335936;0.00;0.00;0.00;935;13031;55864;52124;134;556;0;0;221952;3316480;0.00;0.00;0.00;867;12955;55288;51820;134;524;0;0;222976;3312384;0.00;0.00;0.00;871;12939;55240;51756;134;508;0;0;242944;3336192;0.00;0.00;0.00;949;13032;55924;52128;134;540;0;0;
1564584315;4389987726;224768;3198464;0.00;0.00;0.00;878;12494;53488;49976;101;33;0;0;201984;3182848;0.00;0.00;0.00;789;12433;52888;49732;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200704;3182080;0.00;0.00;0.00;784;12430;52856;49720;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;231424;3365120;0.00;0.00;0.00;904;13145;56196;52580;134;683;0;0;232448;3363072;0.00;0.00;0.00;908;13137;56180;52548;134;666;0;0;230656;3367424;0.00;0.00;0.00;901;13154;56220;52616;134;692;0;0;225536;3393280;0.00;0.00;0.00;881;13255;56544;53020;134;817;0;0;236288;3403776;0.00;0.00;0.00;923;13296;56876;53184;134;809;0;0;228608;3398912;0.00;0.00;0.00;893;13277;56680;53108;134;814;0;0;
