# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 10:01:56 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564581718;4390021424;218624;3173888;0.00;0.00;0.00;854;12398;53008;49592;101;33;0;0;222976;3184640;0.00;0.00;0.00;871;12440;53244;49760;101;33;0;0;198912;3158528;0.00;0.00;0.00;777;12338;52460;49352;101;33;0;0;216832;3176704;0.00;0.00;0.00;847;12409;53024;49636;102;33;0;0;198912;3158784;0.00;0.00;0.00;777;12339;52464;49356;101;33;0;0;68352;1087232;0.00;0.00;0.00;267;4247;18056;16988;101;33;0;0;179725312;508436992;0.74;0.25;0.32;702052;1986082;10752536;7944328;2655906;2642090;0;0;179697664;508233472;0.74;0.25;0.32;701944;1985287;10748924;7941148;2655567;2641913;0;0;179377920;508452864;0.74;0.25;0.32;700695;1986144;10747356;7944576;2654675;2642326;0;0;179726848;511373568;0.74;0.24;0.32;702058;1997553;10798444;7990212;2656008;2644512;0;0;179313408;511291392;0.74;0.24;0.32;700443;1997232;10790700;7988928;2656373;2645077;0;0;179706112;511671808;0.74;0.24;0.32;701977;1998718;10802780;7994872;2655519;2644696;0;0;
1564581720;4389999404;231424;3207168;0.00;0.00;0.00;904;12528;53728;50112;101;33;0;0;221696;3201280;0.00;0.00;0.00;866;12505;53484;50020;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;216832;3197696;0.00;0.00;0.00;847;12491;53352;49964;101;33;0;0;200448;3184128;0.00;0.00;0.00;783;12438;52884;49752;101;33;0;0;200448;3183616;0.00;0.00;0.00;783;12436;52876;49744;101;33;0;0;374331392;309137920;0.75;0.24;0.37;1462232;1207570;10679208;4830280;5748083;1595853;0;0;371404032;301025280;0.75;0.24;0.37;1450797;1175880;10506708;4703520;5703662;1552458;0;0;368458496;292667648;0.75;0.24;0.37;1439291;1143233;10330096;4572932;5659117;1507953;0;0;365486336;285488384;0.75;0.24;0.37;1427681;1115189;10171480;4460756;5614597;1464104;0;0;362235904;276945664;0.75;0.24;0.38;1414984;1081819;9987212;4327276;5569899;1419625;0;0;359394560;268649472;0.75;0.24;0.38;1403885;1049412;9813188;4197648;5526727;1376703;0;0;
1564581722;4389995166;228608;3204096;0.00;0.00;0.00;893;12516;53636;50064;101;33;0;0;226816;3206144;0.00;0.00;0.00;886;12524;53640;50096;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;224000;3204608;0.00;0.00;0.00;875;12518;53572;50072;101;33;0;0;200704;3183104;0.00;0.00;0.00;784;12434;52872;49736;101;33;0;0;200448;3183872;0.00;0.00;0.00;783;12437;52880;49748;101;33;0;0;204800;3205120;0.00;0.00;0.00;800;12520;53280;50080;134;111;0;0;206336;3202304;0.00;0.00;0.00;806;12509;53260;50036;134;100;0;0;203008;3204608;0.00;0.00;0.00;793;12518;53244;50072;134;112;0;0;206336;3217664;0.00;0.00;0.00;806;12569;53500;50276;134;155;0;0;228096;3225856;0.00;0.00;0.00;891;12601;53968;50404;134;110;0;0;200960;3204096;0.00;0.00;0.00;785;12516;53204;50064;134;116;0;0;
1564581724;4389990942;222976;3200000;0.00;0.00;0.00;871;12500;53484;50000;101;33;0;0;231936;3210240;0.00;0.00;0.00;906;12540;53784;50160;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;214272;3193088;0.00;0.00;0.00;837;12473;53240;49892;101;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;209920;3328256;0.00;0.00;0.00;820;13001;55284;52004;134;595;0;0;220416;3344896;0.00;0.00;0.00;861;13066;55708;52264;134;610;0;0;204544;3334400;0.00;0.00;0.00;799;13025;55296;52100;134;633;0;0;204032;3305216;0.00;0.00;0.00;797;12911;54832;51644;134;512;0;0;234496;3344640;0.00;0.00;0.00;916;13065;55924;52260;134;576;0;0;203520;3312896;0.00;0.00;0.00;795;12941;54944;51764;134;541;0;0;
1564581726;4389998888;226048;3203584;0.00;0.00;0.00;883;12514;53588;50056;101;33;0;0;222976;3202048;0.00;0.00;0.00;871;12508;53516;50032;101;33;0;0;200704;3181568;0.00;0.00;0.00;784;12428;52848;49712;101;33;0;0;214272;3194112;0.00;0.00;0.00;837;12477;53256;49908;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200192;3198976;0.00;0.00;0.00;782;12496;53112;49984;134;99;0;0;231424;3227136;0.00;0.00;0.00;904;12606;54040;50424;134;103;0;0;222976;3222272;0.00;0.00;0.00;871;12587;53832;50348;134;103;0;0;203776;3201792;0.00;0.00;0.00;796;12507;53212;50028;134;106;0;0;216320;3211264;0.00;0.00;0.00;845;12544;53556;50176;134;102;0;0;201728;3197440;0.00;0.00;0.00;788;12490;53112;49960;134;95;0;0;
1564581728;4390047428;223744;3202048;0.00;0.00;0.00;874;12508;53528;50032;101;33;0;0;215040;3195392;0.00;0.00;0.00;840;12482;53288;49928;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;205312;3185408;0.00;0.00;0.00;802;12443;52980;49772;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;201984;3193088;0.00;0.00;0.00;789;12473;53048;49892;134;74;0;0;222464;3206656;0.00;0.00;0.00;869;12526;53580;50104;134;54;0;0;224768;3210496;0.00;0.00;0.00;878;12541;53676;50164;134;49;0;0;201984;3195648;0.00;0.00;0.00;789;12483;53088;49932;134;78;0;0;207360;3195136;0.00;0.00;0.00;810;12481;53164;49924;134;60;0;0;202496;3193600;0.00;0.00;0.00;791;12475;53064;49900;134;69;0;0;
1564581730;4390010112;225024;3204608;0.00;0.00;0.00;879;12518;53588;50072;101;33;0;0;232960;3211776;0.00;0.00;0.00;910;12546;53824;50184;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;203520;3184384;0.00;0.00;0.00;795;12439;52936;49756;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;208640;3187712;0.00;0.00;0.00;815;12452;53068;49808;134;38;0;0;205312;3184896;0.00;0.00;0.00;802;12441;52972;49764;134;36;0;0;203264;3183616;0.00;0.00;0.00;794;12436;52920;49744;134;35;0;0;200960;3183872;0.00;0.00;0.00;785;12437;52888;49748;134;41;0;0;202496;3185920;0.00;0.00;0.00;791;12445;52944;49780;134;48;0;0;203008;3184128;0.00;0.00;0.00;793;12438;52924;49752;134;38;0;0;
1564581732;4390028522;231680;3208704;0.00;0.00;0.00;905;12534;53756;50136;101;33;0;0;228608;3207936;0.00;0.00;0.00;893;12531;53696;50124;101;33;0;0;200192;3181056;0.00;0.00;0.00;782;12426;52832;49704;101;33;0;0;204032;3183616;0.00;0.00;0.00;797;12436;52932;49744;101;33;0;0;200192;3181824;0.00;0.00;0.00;782;12429;52844;49716;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;211200;3193344;0.00;0.00;0.00;825;12474;53196;49896;134;43;0;0;204544;3186432;0.00;0.00;0.00;799;12447;52984;49788;134;43;0;0;205824;3186432;0.00;0.00;0.00;804;12447;53004;49788;134;43;0;0;201984;3185664;0.00;0.00;0.00;789;12444;52932;49776;134;52;0;0;206848;3190528;0.00;0.00;0.00;808;12463;53084;49852;134;54;0;0;214016;3194368;0.00;0.00;0.00;836;12478;53256;49912;134;47;0;0;
1564581734;4390033340;214784;3193344;0.00;0.00;0.00;839;12474;53252;49896;101;33;0;0;228864;3207936;0.00;0.00;0.00;894;12531;53700;50124;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200192;3182080;0.00;0.00;0.00;782;12430;52848;49720;101;33;0;0;228096;3236864;0.00;0.00;0.00;891;12644;54140;50576;134;146;0;0;204800;3204352;0.00;0.00;0.00;800;12517;53268;50068;134;111;0;0;200448;3207936;0.00;0.00;0.00;783;12531;53256;50124;134;128;0;0;203776;3205376;0.00;0.00;0.00;796;12521;53268;50084;134;114;0;0;202496;3206656;0.00;0.00;0.00;791;12526;53268;50104;134;120;0;0;208128;3208192;0.00;0.00;0.00;813;12532;53380;50128;134;117;0;0;
1564581736;4390025320;204288;3184384;0.00;0.00;0.00;798;12439;52948;49756;101;33;0;0;224512;3204096;0.00;0.00;0.00;877;12516;53572;50064;101;33;0;0;200704;3181824;0.00;0.00;0.00;784;12429;52852;49716;101;33;0;0;203776;3184384;0.00;0.00;0.00;796;12439;52940;49756;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;225280;3213056;0.00;0.00;0.00;880;12551;53724;50204;134;72;0;0;204544;3195392;0.00;0.00;0.00;799;12482;53124;49928;134;82;0;0;202752;3192576;0.00;0.00;0.00;792;12471;53052;49884;134;73;0;0;203008;3193600;0.00;0.00;0.00;793;12475;53072;49900;134;76;0;0;204544;3197440;0.00;0.00;0.00;799;12490;53156;49960;134;87;0;0;206080;3196928;0.00;0.00;0.00;805;12488;53172;49952;134;77;0;0;
1564581738;4390037194;223744;3199232;0.00;0.00;0.00;874;12497;53484;49988;101;33;0;0;215552;3194624;0.00;0.00;0.00;842;12479;53284;49916;101;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;101;33;0;0;202752;3182080;0.00;0.00;0.00;792;12430;52888;49720;101;33;0;0;200448;3180544;0.00;0.00;0.00;783;12424;52828;49696;101;33;0;0;200704;3181568;0.00;0.00;0.00;784;12428;52848;49712;101;33;0;0;210432;3195392;0.00;0.00;0.00;822;12482;53216;49928;134;51;0;0;208896;3190784;0.00;0.00;0.00;816;12464;53120;49856;134;50;0;0;203264;3190016;0.00;0.00;0.00;794;12461;53020;49844;134;57;0;0;201728;3184640;0.00;0.00;0.00;788;12440;52912;49760;134;46;0;0;204800;3184896;0.00;0.00;0.00;800;12441;52964;49764;134;40;0;0;223232;3203584;0.00;0.00;0.00;872;12514;53544;50056;134;44;0;0;
1564581740;4390022688;230912;3205376;0.00;0.00;0.00;902;12521;53692;50084;101;33;0;0;227072;3205632;0.00;0.00;0.00;887;12522;53636;50088;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;205056;3186688;0.00;0.00;0.00;801;12448;52996;49792;101;33;0;0;200192;3182080;0.00;0.00;0.00;782;12430;52848;49720;101;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;101;33;0;0;207616;3185664;0.00;0.00;0.00;811;12444;53020;49776;134;36;0;0;201984;3182592;0.00;0.00;0.00;789;12432;52884;49728;134;37;0;0;208896;3186432;0.00;0.00;0.00;816;12447;53052;49788;134;36;0;0;206080;3189504;0.00;0.00;0.00;805;12459;53056;49836;134;48;0;0;202752;3187456;0.00;0.00;0.00;792;12451;52972;49804;134;48;0;0;214272;3194880;0.00;0.00;0.00;837;12480;53268;49920;134;42;0;0;
1564581742;4390045386;231680;3208192;0.00;0.00;0.00;905;12532;53748;50128;101;33;0;0;228352;3207424;0.00;0.00;0.00;892;12529;53684;50116;101;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;101;33;0;0;222976;3202048;0.00;0.00;0.00;871;12508;53516;50032;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;200192;3182848;0.00;0.00;0.00;782;12433;52860;49732;101;33;0;0;201728;3184128;0.00;0.00;0.00;788;12438;52904;49752;134;37;0;0;201728;3183104;0.00;0.00;0.00;788;12434;52888;49736;134;36;0;0;219648;3196672;0.00;0.00;0.00;858;12487;53380;49948;134;33;0;0;205824;3184640;0.00;0.00;0.00;804;12440;52976;49760;134;35;0;0;204800;3184896;0.00;0.00;0.00;800;12441;52964;49764;134;38;0;0;204544;3185920;0.00;0.00;0.00;799;12445;52976;49780;134;37;0;0;
1564581744;4389994322;224256;3203072;0.00;0.00;0.00;876;12512;53552;50048;101;33;0;0;229376;3208192;0.00;0.00;0.00;896;12532;53712;50128;101;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;101;33;0;0;225280;3202816;0.00;0.00;0.00;880;12511;53564;50044;101;33;0;0;200704;3179776;0.00;0.00;0.00;784;12421;52820;49684;101;33;0;0;200448;3180288;0.00;0.00;0.00;783;12423;52824;49692;101;33;0;0;207360;3193344;0.00;0.00;0.00;810;12474;53136;49896;134;70;0;0;232448;3217408;0.00;0.00;0.00;908;12568;53904;50272;134;69;0;0;226304;3214592;0.00;0.00;0.00;884;12557;53764;50228;134;73;0;0;216320;3203584;0.00;0.00;0.00;845;12514;53436;50056;134;66;0;0;203520;3189760;0.00;0.00;0.00;795;12460;53020;49840;134;61;0;0;201472;3187200;0.00;0.00;0.00;787;12450;52948;49800;134;57;0;0;
1564581746;4390031386;229632;3208448;0.00;0.00;0.00;897;12533;53720;50132;101;33;0;0;230912;3210496;0.00;0.00;0.00;902;12541;53772;50164;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;219648;3200768;0.00;0.00;0.00;858;12503;53444;50012;101;33;0;0;200448;3183360;0.00;0.00;0.00;783;12435;52872;49740;101;33;0;0;200448;3183104;0.00;0.00;0.00;783;12434;52868;49736;101;33;0;0;203520;3214592;0.00;0.00;0.00;795;12557;53408;50228;134;155;0;0;209152;3216640;0.00;0.00;0.00;817;12565;53528;50260;134;152;0;0;233984;3247616;0.00;0.00;0.00;914;12686;54400;50744;134;174;0;0;220672;3224832;0.00;0.00;0.00;862;12597;53836;50388;134;132;0;0;207104;3211520;0.00;0.00;0.00;809;12545;53416;50180;134;129;0;0;205056;3213568;0.00;0.00;0.00;801;12553;53416;50212;134;141;0;0;
1564581748;4390021984;225792;3202560;0.00;0.00;0.00;882;12510;53568;50040;101;33;0;0;212992;3192832;0.00;0.00;0.00;832;12472;53216;49888;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;218112;3196672;0.00;0.00;0.00;852;12487;53356;49948;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;208640;3188224;0.00;0.00;0.00;815;12454;53076;49816;134;38;0;0;200960;3183104;0.00;0.00;0.00;785;12434;52876;49736;134;38;0;0;220416;3198464;0.00;0.00;0.00;861;12494;53420;49976;134;35;0;0;210176;3189760;0.00;0.00;0.00;821;12460;53124;49840;134;42;0;0;216832;3196672;0.00;0.00;0.00;847;12487;53336;49948;134;44;0;0;201728;3184128;0.00;0.00;0.00;788;12438;52904;49752;134;44;0;0;
1564581750;4390057486;232448;3209728;0.00;0.00;0.00;908;12538;53784;50152;101;33;0;0;231936;3210752;0.00;0.00;0.00;906;12542;53792;50168;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;222464;3201536;0.00;0.00;0.00;869;12506;53500;50024;101;33;0;0;200192;3181056;0.00;0.00;0.00;782;12426;52832;49704;101;33;0;0;200704;3181312;0.00;0.00;0.00;784;12427;52844;49708;101;33;0;0;201728;3183360;0.00;0.00;0.00;788;12435;52892;49740;134;35;0;0;210688;3189760;0.00;0.00;0.00;823;12460;53132;49840;134;35;0;0;213248;3193344;0.00;0.00;0.00;833;12474;53228;49896;134;35;0;0;206592;3189248;0.00;0.00;0.00;807;12458;53060;49832;134;42;0;0;221952;3202304;0.00;0.00;0.00;867;12509;53504;50036;134;37;0;0;202496;3184384;0.00;0.00;0.00;791;12439;52920;49756;134;35;0;0;
1564581752;4390003284;233728;3209984;0.00;0.00;0.00;913;12539;53808;50156;101;33;0;0;227840;3206912;0.00;0.00;0.00;890;12527;53668;50108;101;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;101;33;0;0;222208;3200768;0.00;0.00;0.00;868;12503;53484;50012;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;200192;3180544;0.00;0.00;0.00;782;12424;52824;49696;101;33;0;0;204544;3183104;0.00;0.00;0.00;799;12434;52932;49736;134;36;0;0;230144;3210240;0.00;0.00;0.00;899;12540;53756;50160;134;44;0;0;205056;3185664;0.00;0.00;0.00;801;12444;52980;49776;134;35;0;0;204544;3185920;0.00;0.00;0.00;799;12445;52976;49780;134;43;0;0;214016;3194624;0.00;0.00;0.00;836;12479;53260;49916;134;43;0;0;200960;3183360;0.00;0.00;0.00;785;12435;52880;49740;134;43;0;0;
1564581754;4390044718;229888;3205376;0.00;0.00;0.00;898;12521;53676;50084;101;33;0;0;230912;3210240;0.00;0.00;0.00;902;12540;53768;50160;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;214784;3195136;0.00;0.00;0.00;839;12481;53280;49924;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;200448;3183360;0.00;0.00;0.00;783;12435;52872;49740;101;33;0;0;205568;3193856;0.00;0.00;0.00;803;12476;53116;49904;134;67;0;0;230656;3215360;0.00;0.00;0.00;901;12560;53844;50240;134;60;0;0;211456;3199488;0.00;0.00;0.00;826;12498;53296;49992;134;64;0;0;201728;3190528;0.00;0.00;0.00;788;12463;53004;49852;134;60;0;0;204544;3193344;0.00;0.00;0.00;799;12474;53092;49896;134;62;0;0;209664;3198208;0.00;0.00;0.00;819;12493;53248;49972;134;69;0;0;
