# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 11:05:44 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564585546;4390012430;206592;3159040;0.00;0.00;0.00;807;12340;52588;49360;101;33;0;0;201984;3152128;0.00;0.00;0.00;789;12313;52408;49252;101;33;0;0;198144;3147776;0.00;0.00;0.00;774;12296;52280;49184;102;33;0;0;198656;3143168;0.00;0.00;0.00;776;12278;52216;49112;101;33;0;0;197376;3136000;0.00;0.00;0.00;771;12250;52084;49000;101;33;0;0;197376;3129088;0.00;0.00;0.00;771;12223;51976;48892;101;33;0;0;298772992;813597696;0.74;0.28;0.32;1167082;3178116;17380792;12712464;4424968;4407088;0;0;300798464;819019264;0.74;0.28;0.32;1174994;3199294;17497152;12797176;4454450;4440230;0;0;303231488;827358976;0.74;0.28;0.32;1184498;3231871;17665476;12927484;4495252;4482865;0;0;305767168;830938112;0.74;0.28;0.33;1194403;3245852;17761020;12983408;4531088;4519082;0;0;308225024;836947456;0.74;0.28;0.33;1204004;3269326;17893320;13077304;4564277;4552657;0;0;310384640;843344128;0.74;0.28;0.33;1212440;3294313;18027012;13177252;4599906;4588716;0;0;
1564585548;4389967398;206848;3185408;0.00;0.00;0.00;808;12443;53004;49772;101;33;0;0;204288;3184640;0.00;0.00;0.00;798;12440;52952;49760;101;33;0;0;200704;3181824;0.00;0.00;0.00;784;12429;52852;49716;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;991999488;2685148416;0.73;0.27;0.28;3874998;10488861;57455436;41955444;14389429;14285022;0;0;990950400;2681188608;0.73;0.27;0.28;3870900;10473393;57377172;41893572;14362803;14257595;0;0;991192576;2682661120;0.73;0.27;0.28;3871846;10479145;57403964;41916580;14376710;14270178;0;0;991074048;2672236032;0.73;0.27;0.28;3871383;10438422;57239220;41753688;14366062;14259926;0;0;991723264;2673520640;0.73;0.27;0.28;3873919;10443440;57269436;41773760;14373221;14266323;0;0;991238912;2673086208;0.73;0.27;0.28;3872027;10441743;57255080;41766972;14366107;14258167;0;0;
1564585550;4389960546;206848;3186432;0.00;0.00;0.00;808;12447;53020;49788;101;33;0;0;202752;3183616;0.00;0.00;0.00;792;12436;52912;49744;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;101;33;0;0;993453056;2670443008;0.73;0.25;0.26;3880676;10431418;57248376;41725672;14143754;13919586;0;0;993047552;2668021760;0.73;0.25;0.26;3879092;10421960;57204208;41687840;14127599;13902360;0;0;992753408;2668340736;0.73;0.25;0.26;3877943;10423206;57204596;41692824;14131245;13904924;0;0;993749760;2659487488;0.72;0.25;0.27;3881835;10388623;57081832;41554492;14107488;13882536;0;0;993665280;2661386496;0.73;0.25;0.27;3881505;10396041;57110184;41584164;14121900;13894564;0;0;993117696;2659810816;0.73;0.25;0.27;3879366;10389886;57077008;41559544;14116898;13892362;0;0;
1564585552;4389968124;210432;3187968;0.00;0.00;0.00;822;12453;53100;49812;101;34;0;0;201984;3182592;0.00;0.00;0.00;789;12432;52884;49728;101;33;0;0;200192;3180800;0.00;0.00;0.00;782;12425;52828;49700;101;33;0;0;200192;3180800;0.00;0.00;0.00;782;12425;52828;49700;101;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;991288064;2641460224;0.72;0.24;0.25;3872219;10318204;56761692;41272816;13904876;13568727;0;0;991274240;2640142592;0.72;0.24;0.25;3872165;10313057;56740888;41252228;13900092;13562422;0;0;991267328;2639227136;0.72;0.24;0.25;3872138;10309481;56726476;41237924;13894049;13555524;0;0;989794560;2628600576;0.72;0.24;0.26;3866385;10267971;56537424;41071884;13870753;13533546;0;0;990858240;2633542912;0.72;0.24;0.26;3870540;10287277;56631268;41149108;13903783;13562510;0;0;990717440;2633064704;0.72;0.24;0.26;3869990;10285409;56621596;41141636;13896502;13560409;0;0;
1564585554;4389963358;208384;3187200;0.00;0.00;0.00;814;12450;53056;49800;101;33;0;0;204544;3184384;0.00;0.00;0.00;799;12439;52952;49756;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;997398784;2628640000;0.72;0.23;0.25;3896089;10268125;56656856;41072500;13799012;13378173;0;0;997498112;2627567104;0.72;0.23;0.25;3896477;10263934;56641644;41055736;13794860;13373141;0;0;998486528;2627294976;0.72;0.23;0.25;3900338;10262871;56652836;41051484;13786600;13361814;0;0;996570624;2617268224;0.72;0.23;0.25;3892854;10223704;56466232;40894816;13757966;13334115;0;0;996448256;2621620992;0.72;0.23;0.25;3892376;10240707;56532332;40962828;13792676;13364072;0;0;996380160;2616464896;0.72;0.23;0.25;3892110;10220566;56450704;40882264;13762611;13340022;0;0;
1564585556;4390021868;207104;3185408;0.00;0.00;0.00;809;12443;53008;49772;101;33;0;0;202496;3183616;0.00;0.00;0.00;791;12436;52908;49744;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;200448;3183616;0.00;0.00;0.00;783;12436;52876;49744;101;33;0;0;200448;3183872;0.00;0.00;0.00;783;12437;52880;49748;101;33;0;0;1006769664;2616969984;0.71;0.22;0.24;3932694;10222539;56620932;40890156;13646591;13181560;0;0;1007001856;2616900608;0.71;0.22;0.24;3933601;10222268;56623476;40889072;13648889;13181049;0;0;1005690624;2611518976;0.71;0.22;0.24;3928479;10201246;56518900;40804984;13630219;13160263;0;0;1004903168;2601265920;0.71;0.22;0.24;3925403;10161195;56346392;40644780;13576182;13109916;0;0;1005069568;2603390464;0.71;0.23;0.24;3926053;10169494;56382188;40677976;13596072;13126952;0;0;1004720384;2602142464;0.71;0.23;0.24;3924689;10164619;56357232;40658476;13586035;13120156;0;0;
1564585558;4389965000;208640;3186176;0.00;0.00;0.00;815;12446;53044;49784;101;33;0;0;201216;3182336;0.00;0.00;0.00;786;12431;52868;49724;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200704;3180800;0.00;0.00;0.00;784;12425;52836;49700;101;33;0;0;200448;3179776;0.00;0.00;0.00;783;12421;52816;49684;101;33;0;0;1014056448;2626372352;0.71;0.22;0.23;3961158;10259267;56881700;41037068;13632172;13140752;0;0;1013432064;2624209408;0.71;0.22;0.23;3958719;10250818;56838148;41003272;13627807;13133037;0;0;1013664768;2620835840;0.71;0.22;0.23;3959628;10237640;56789072;40950560;13611474;13117127;0;0;1011908352;2609895680;0.71;0.22;0.23;3952767;10194905;56590688;40779620;13554482;13062022;0;0;1012645888;2615888128;0.71;0.22;0.24;3955648;10218313;56695844;40873252;13592175;13096042;0;0;1011566592;2609232640;0.71;0.22;0.24;3951432;10192315;56574988;40769260;13559445;13067648;0;0;
1564585560;4389953532;205824;3184896;0.00;0.00;0.00;804;12441;52980;49764;101;33;0;0;201472;3182336;0.00;0.00;0.00;787;12431;52872;49724;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200192;3180032;0.00;0.00;0.00;782;12422;52816;49688;101;33;0;0;200448;3179776;0.00;0.00;0.00;783;12421;52816;49684;101;33;0;0;200192;3180544;0.00;0.00;0.00;782;12424;52824;49696;101;33;0;0;1017925632;2620221696;0.71;0.22;0.23;3976272;10235241;56846052;40940964;13576445;13053382;0;0;1016950528;2617861632;0.71;0.22;0.23;3972463;10226022;56793940;40904088;13570834;13042068;0;0;1017718016;2615431424;0.71;0.22;0.23;3975461;10216529;56767960;40866116;13558452;13029382;0;0;1016396288;2606070528;0.71;0.22;0.23;3970298;10179963;56601044;40719852;13511448;12985868;0;0;1016625920;2609340928;0.71;0.22;0.23;3971195;10192738;56655732;40770952;13534961;13007190;0;0;1016454144;2605271552;0.71;0.22;0.23;3970524;10176842;56589464;40707368;13514588;12989645;0;0;
1564585562;4389952014;208128;3186688;0.00;0.00;0.00;813;12448;53044;49792;101;33;0;0;203264;3183360;0.00;0.00;0.00;794;12435;52916;49740;101;33;0;0;200192;3180800;0.00;0.00;0.00;782;12425;52828;49700;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;1017639680;2597775104;0.70;0.21;0.23;3975155;10147559;56490856;40590236;13421854;12896037;0;0;1016858880;2594993664;0.70;0.21;0.23;3972105;10136694;56435196;40546776;13405946;12877102;0;0;1017315584;2593162496;0.70;0.21;0.23;3973889;10129541;56413720;40518164;13400623;12872205;0;0;1015894784;2583107584;0.70;0.21;0.23;3968339;10090264;56234412;40361056;13358211;12831932;0;0;1016216576;2584360960;0.70;0.21;0.23;3969596;10095160;56259024;40380640;13371341;12840345;0;0;1015857664;2581106432;0.70;0.21;0.23;3968194;10082447;56202564;40329788;13349926;12826017;0;0;
1564585564;4389960248;201472;3182336;0.00;0.00;0.00;787;12431;52872;49724;101;33;0;0;204288;3184128;0.00;0.00;0.00;798;12438;52944;49752;101;33;0;0;200704;3181568;0.00;0.00;0.00;784;12428;52848;49712;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;1017468928;2579529984;0.70;0.21;0.22;3974488;10076289;56203108;40305156;13265886;12741432;0;0;1017257216;2576350464;0.70;0.21;0.22;3973661;10063869;56150120;40255476;13240797;12713321;0;0;1017373696;2575570944;0.70;0.21;0.22;3974116;10060824;56139760;40243296;13246615;12718068;0;0;1017060864;2566193152;0.70;0.21;0.22;3972894;10024192;55988344;40096768;13196445;12670702;0;0;1017000448;2565476864;0.70;0.21;0.22;3972658;10021394;55976208;40085576;13200290;12667174;0;0;1015376128;2562406912;0.70;0.21;0.23;3966313;10009402;55902860;40037608;13188038;12663791;0;0;
