# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 10:11:35 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564582297;4390011688;204288;3160320;0.00;0.00;0.00;798;12345;52572;49380;101;33;0;0;216576;3166208;0.00;0.00;0.00;846;12368;52856;49472;101;33;0;0;198144;3144192;0.00;0.00;0.00;774;12282;52224;49128;101;33;0;0;211456;3148800;0.00;0.00;0.00;826;12300;52504;49200;101;33;0;0;66048;1049600;0.00;0.00;0.00;258;4100;17432;16400;101;33;0;0;66304;1049856;0.00;0.00;0.00;259;4101;17440;16404;101;33;0;0;111495680;71071744;0.25;0.13;0.76;435530;277624;2852616;1110496;583502;318908;0;0;110376448;63271680;0.21;0.11;0.83;431158;247155;2713252;988620;546203;278062;0;0;107647488;54612224;0.16;0.09;0.94;420498;213329;2535308;853316;502123;233631;0;0;102045696;45881600;0.11;0.05;0.00;398616;179225;2311364;716900;445510;188323;0;0;98713856;41325056;0.08;0.03;0.00;385601;161426;2188108;645704;420953;166756;0;0;93583616;39469312;0.09;0.03;0.00;365561;154177;2078952;616708;402224;159407;0;0;
1564582299;4389968832;203776;3183104;0.00;0.00;0.00;796;12434;52920;49736;101;33;0;0;224000;3203072;0.00;0.00;0.00;875;12512;53548;50048;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;215296;3194880;0.00;0.00;0.00;841;12480;53284;49920;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;101;33;0;0;180196864;88020480;0.12;0.03;0.60;703894;343830;4190896;1375320;798633;355522;0;0;181959424;88807424;0.13;0.04;0.59;710779;346904;4230732;1387616;813209;359974;0;0;181574144;88936448;0.12;0.04;0.59;709274;347408;4226728;1389632;807389;360010;0;0;172634112;89657600;0.13;0.04;0.59;674352;350225;4098308;1400900;777975;364574;0;0;173996800;89915392;0.13;0.04;0.59;679675;351232;4123628;1404928;785639;367580;0;0;175030528;89552384;0.13;0.05;0.59;683713;349814;4134108;1399256;789231;366650;0;0;
1564582301;4389964422;208896;3186688;0.00;0.00;0.00;816;12448;53056;49792;101;33;0;0;226560;3206144;0.00;0.00;0.00;885;12524;53636;50096;101;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;101;33;0;0;220160;3198464;0.00;0.00;0.00;860;12494;53416;49976;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;179006976;87782400;0.12;0.03;0.60;699246;342900;4168584;1371600;793492;354156;0;0;179743744;89009920;0.12;0.04;0.59;702124;347695;4199276;1390780;801931;360795;0;0;177792000;87980288;0.12;0.03;0.60;694500;343673;4152692;1374692;793365;355153;0;0;173809920;90379008;0.13;0.03;0.58;678945;353043;4127952;1412172;777802;364985;0;0;174888704;91075328;0.13;0.04;0.58;683159;355763;4155688;1423052;785967;369860;0;0;174765824;90229248;0.13;0.04;0.58;682679;352458;4140548;1409832;785682;366386;0;0;
1564582303;4389954162;205056;3183872;0.00;0.00;0.00;801;12437;52952;49748;101;33;0;0;226048;3206400;0.00;0.00;0.00;883;12525;53632;50100;101;33;0;0;200704;3182848;0.00;0.00;0.00;784;12433;52868;49732;101;33;0;0;204032;3185920;0.00;0.00;0.00;797;12445;52968;49780;101;33;0;0;200192;3182080;0.00;0.00;0.00;782;12430;52848;49720;101;33;0;0;200192;3179008;0.00;0.00;0.00;782;12418;52800;49672;101;33;0;0;177537792;88434944;0.12;0.03;0.59;693507;345449;4155824;1381796;789878;356323;0;0;179243520;90011904;0.13;0.03;0.58;700170;351609;4207116;1406436;805500;363606;0;0;176365568;87770624;0.13;0.03;0.60;688928;342854;4127128;1371416;789038;353912;0;0;172980736;89536768;0.13;0.03;0.58;675706;349753;4101836;1399012;776175;360595;0;0;174979072;91511040;0.13;0.04;0.58;683512;357465;4163908;1429860;788634;371875;0;0;175344896;90702848;0.13;0.04;0.58;684941;354308;4156996;1417232;791509;368670;0;0;
1564582305;4389973478;206336;3185920;0.00;0.00;0.00;806;12445;53004;49780;101;33;0;0;227840;3206144;0.00;0.00;0.00;890;12524;53656;50096;101;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;101;33;0;0;223744;3202560;0.00;0.00;0.00;874;12510;53536;50040;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;200704;3185152;0.00;0.00;0.00;784;12442;52904;49768;102;33;0;0;179814400;88927232;0.12;0.03;0.59;702400;347372;4199088;1389488;799339;357805;0;0;182163200;90931968;0.13;0.03;0.58;711575;355203;4267112;1420812;815246;367206;0;0;179723264;89798656;0.13;0.03;0.58;702044;350776;4211280;1403104;803432;361656;0;0;175464960;91373824;0.13;0.03;0.58;685410;356929;4169356;1427716;790601;369807;0;0;176743680;93030400;0.14;0.04;0.57;690405;363400;4215220;1453600;799190;378939;0;0;177389824;91738880;0.13;0.04;0.58;692929;358355;4205136;1433420;800258;373982;0;0;
1564582307;4389964952;204288;3183616;0.00;0.00;0.00;798;12436;52936;49744;101;33;0;0;228096;3206912;0.00;0.00;0.00;891;12527;53672;50108;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;216064;3194624;0.00;0.00;0.00;844;12479;53292;49916;101;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;177093632;88027136;0.13;0.03;0.59;691772;343856;4142512;1375424;791727;353735;0;0;180356096;89807104;0.13;0.04;0.59;704516;350809;4221300;1403236;812523;363982;0;0;177487616;88487680;0.13;0.03;0.59;693311;345655;4155864;1382620;796945;357495;0;0;173878528;91196928;0.14;0.03;0.58;679213;356238;4141804;1424952;785305;368526;0;0;176230400;92393984;0.14;0.04;0.57;688400;360914;4197256;1443656;797550;375265;0;0;175507456;91490816;0.14;0.04;0.58;685576;357386;4171848;1429544;794832;371867;0;0;
1564582309;4389966706;205312;3184384;0.00;0.00;0.00;802;12439;52964;49756;101;33;0;0;236288;3215104;0.00;0.00;0.00;923;12559;53928;50236;101;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;101;33;0;0;211200;3190016;0.00;0.00;0.00;825;12461;53144;49844;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;177542656;88722688;0.12;0.03;0.59;693526;346573;4160396;1386292;791408;356998;0;0;180932352;90365696;0.13;0.03;0.58;706767;352991;4239032;1411964;812825;364591;0;0;178945024;88948480;0.13;0.03;0.59;699004;347455;4185836;1389820;801979;359262;0;0;174500352;92409856;0.13;0.03;0.57;681642;360976;4170472;1443904;787870;373486;0;0;175175680;92384256;0.14;0.04;0.57;684280;360876;4180624;1443504;794168;375062;0;0;175666432;92175104;0.14;0.04;0.57;686197;360059;4185024;1440236;796624;374252;0;0;
1564582311;4389966504;214528;3193600;0.00;0.00;0.00;838;12475;53252;49900;101;33;0;0;225792;3205376;0.00;0.00;0.00;882;12521;53612;50084;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;218112;3198464;0.00;0.00;0.00;852;12494;53384;49976;101;33;0;0;200448;3183360;0.00;0.00;0.00;783;12435;52872;49740;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;180041728;89200384;0.12;0.03;0.58;703288;348439;4206908;1393756;799976;357655;0;0;181705728;90817024;0.13;0.03;0.58;709788;354754;4258168;1419016;817054;366867;0;0;179256576;89510656;0.13;0.03;0.59;700221;349651;4199488;1398604;806596;361531;0;0;176224512;92279296;0.13;0.03;0.57;688377;360466;4195372;1441864;793356;371473;0;0;177550848;93623040;0.14;0.04;0.56;693558;365715;4237092;1462860;802755;379301;0;0;177946112;92782848;0.13;0.04;0.57;695102;362433;4230140;1449732;802803;376000;0;0;
1564582313;4389966112;203008;3183360;0.00;0.00;0.00;793;12435;52912;49740;101;33;0;0;226816;3205632;0.00;0.00;0.00;886;12522;53632;50088;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;226304;3205120;0.00;0.00;0.00;884;12520;53616;50080;101;33;0;0;200704;3181568;0.00;0.00;0.00;784;12428;52848;49712;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;179163904;89015040;0.12;0.03;0.59;699859;347715;4190296;1390860;797672;357400;0;0;180888064;91313664;0.13;0.03;0.57;706594;356694;4253152;1426776;815260;367841;0;0;178400256;90239488;0.13;0.03;0.58;696876;352498;4197496;1409992;803254;362686;0;0;175271680;93144064;0.13;0.03;0.56;684655;363844;4193996;1455376;789684;374650;0;0;177516288;93258752;0.14;0.03;0.56;693423;364292;4230860;1457168;802892;376125;0;0;177478400;93287168;0.14;0.04;0.57;693275;364403;4230712;1457612;803805;378525;0;0;
1564582315;4389955384;205056;3184640;0.00;0.00;0.00;801;12440;52964;49760;101;33;0;0;228864;3207936;0.00;0.00;0.00;894;12531;53700;50124;101;33;0;0;200704;3180800;0.00;0.00;0.00;784;12425;52836;49700;101;33;0;0;216576;3195648;0.00;0.00;0.00;846;12483;53316;49932;101;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;101;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;101;33;0;0;182183936;91180288;0.12;0.02;0.57;711656;356173;4271316;1424692;809091;365091;0;0;181988096;91725824;0.13;0.03;0.57;710891;358304;4276780;1433216;818706;368960;0;0;180398080;91403008;0.13;0.03;0.57;704680;357043;4246892;1428172;811918;368090;0;0;177272064;93838336;0.14;0.03;0.56;692469;366556;4236100;1466224;801050;379070;0;0;179056640;95067648;0.14;0.04;0.56;699440;371358;4283192;1485432;812275;385227;0;0;178371584;93661184;0.14;0.04;0.56;696764;365864;4250512;1463456;808291;379277;0;0;
