# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 10:26:12 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564583174;4390025164;203264;3157760;0.00;0.00;0.00;794;12335;52516;49340;102;33;0;0;199680;3150080;0.00;0.00;0.00;780;12305;52340;49220;101;33;0;0;198144;3143424;0.00;0.00;0.00;774;12279;52212;49116;101;33;0;0;218112;3154432;0.00;0.00;0.00;852;12322;52696;49288;101;33;0;0;66304;1052928;0.00;0.00;0.00;259;4113;17488;16452;101;33;0;0;66304;1051904;0.00;0.00;0.00;259;4109;17472;16436;101;33;0;0;269964544;32359936;0.53;0.16;0.00;1054549;126406;4723820;505624;2243838;150447;0;0;270876416;23072512;0.52;0.13;0.00;1058111;90127;4592952;360508;2225900;103190;0;0;274225152;15189760;0.52;0.07;0.00;1071192;59335;4522108;237340;2225003;63934;0;0;267108096;10968576;0.51;0.00;0.00;1043391;42846;4344948;171384;2112916;41537;0;0;266211584;5020928;0.50;0.00;0.00;1039889;19613;4238008;78452;2060963;17550;0;0;266239744;1970432;0.49;0.00;0.00;1039999;7697;4190784;30788;2053529;5418;0;0;
1564583176;4389957364;203776;3183872;0.00;0.00;0.00;796;12437;52932;49748;101;33;0;0;202496;3183104;0.00;0.00;0.00;791;12434;52900;49736;101;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;101;33;0;0;217856;3197184;0.00;0.00;0.00;851;12489;53360;49956;101;33;0;0;200704;3181824;0.00;0.00;0.00;784;12429;52852;49716;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;791316224;4674048;0.48;0.00;0.00;3091079;18258;12437348;73032;5913910;10300;0;0;786616320;4611072;0.48;0.00;0.00;3072720;18012;12362928;72048;5892673;10139;0;0;793039872;4643840;0.48;0.00;0.00;3097812;18140;12463808;72560;5961947;10247;0;0;779464448;4676352;0.48;0.00;0.00;3044783;18267;12252200;73068;5834429;10273;0;0;777921792;4678144;0.48;0.00;0.00;3038757;18274;12228124;73096;5845521;10499;0;0;783282688;4673792;0.48;0.00;0.00;3059698;18257;12311820;73028;5881604;10407;0;0;
1564583178;4389962676;208640;3186688;0.00;0.00;0.00;815;12448;53052;49792;101;33;0;0;202496;3183104;0.00;0.00;0.00;791;12434;52900;49736;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;214784;3194880;0.00;0.00;0.00;839;12480;53276;49920;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;101;33;0;0;788622848;4625152;0.47;0.00;0.00;3080558;18067;12394500;72268;5794797;10725;0;0;783294720;4627968;0.47;0.00;0.00;3059745;18078;12311292;72312;5776034;10679;0;0;787869696;4610816;0.47;0.00;0.00;3077616;18011;12382508;72044;5815946;10656;0;0;777961472;4655872;0.47;0.00;0.00;3038912;18187;12228396;72748;5715513;10733;0;0;776716800;4609536;0.47;0.00;0.00;3034050;18006;12208224;72024;5708534;10629;0;0;776552192;4604672;0.47;0.00;0.00;3033407;17987;12205576;71948;5735364;10682;0;0;
1564583180;4389966880;207616;3186432;0.00;0.00;0.00;811;12447;53032;49788;101;33;0;0;201984;3182592;0.00;0.00;0.00;789;12432;52884;49728;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;214784;3193600;0.00;0.00;0.00;839;12475;53256;49900;101;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;791559680;4765184;0.46;0.00;0.00;3092030;18614;12442576;74456;5741351;11310;0;0;792255744;4756224;0.46;0.00;0.00;3094749;18579;12453312;74316;5772078;11350;0;0;795827200;4760576;0.46;0.00;0.00;3108700;18596;12509184;74384;5798529;11374;0;0;787964160;4760576;0.46;0.00;0.00;3077985;18596;12386324;74384;5720355;11301;0;0;781157888;4774912;0.46;0.00;0.00;3051398;18652;12280200;74608;5687091;11390;0;0;785165056;4767488;0.47;0.00;0.00;3067051;18623;12342696;74492;5735465;11275;0;0;
1564583182;4389961796;208128;3186688;0.00;0.00;0.00;813;12448;53044;49792;101;33;0;0;207360;3185920;0.00;0.00;0.00;810;12445;53020;49780;101;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;101;33;0;0;215808;3194624;0.00;0.00;0.00;843;12479;53288;49916;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;774688512;4728832;0.45;0.00;0.00;3026127;18472;12178396;73888;5534379;11341;0;0;774529024;4692224;0.45;0.00;0.00;3025504;18329;12175332;73316;5546664;11286;0;0;773412608;4710400;0.45;0.00;0.00;3021143;18400;12158172;73600;5520030;11340;0;0;771355904;4707840;0.46;0.00;0.00;3013109;18390;12125996;73560;5535074;11292;0;0;767288064;4688896;0.45;0.00;0.00;2997219;18316;12062140;73264;5490979;11263;0;0;766918400;4720128;0.45;0.00;0.00;2995775;18438;12056852;73752;5487284;11323;0;0;
1564583184;4389966260;210688;3188736;0.00;0.00;0.00;823;12456;53116;49824;101;33;0;0;208128;3188736;0.00;0.00;0.00;813;12456;53076;49824;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;212224;3191808;0.00;0.00;0.00;829;12468;53188;49872;101;33;0;0;200192;3182592;0.00;0.00;0.00;782;12432;52856;49728;101;33;0;0;200704;3182336;0.00;0.00;0.00;784;12431;52860;49724;101;33;0;0;763258624;4651008;0.46;0.00;0.00;2981479;18168;11998588;72672;5474094;10914;0;0;760641792;4680704;0.46;0.00;0.00;2971257;18284;11958164;73136;5484759;10909;0;0;757204480;4646912;0.46;0.00;0.00;2957830;18152;11903928;72608;5437813;10821;0;0;754574080;4619520;0.46;0.00;0.00;2947555;18045;11862400;72180;5441677;10820;0;0;754941952;4638208;0.46;0.00;0.00;2948992;18118;11868440;72472;5422499;10769;0;0;757571584;4634112;0.46;0.00;0.00;2959264;18102;11909464;72408;5463221;10799;0;0;
1564583186;4389964538;205056;3183616;0.00;0.00;0.00;801;12436;52948;49744;101;33;0;0;207872;3187200;0.00;0.00;0.00;812;12450;53048;49800;101;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;101;33;0;0;206848;3186944;0.00;0.00;0.00;808;12449;53028;49796;101;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;101;33;0;0;200192;3181056;0.00;0.00;0.00;782;12426;52832;49704;101;33;0;0;755928320;4468480;0.46;0.00;0.00;2952845;17455;11881200;69820;5420834;10156;0;0;755788288;4444416;0.46;0.00;0.00;2952298;17361;11878636;69444;5435786;10125;0;0;751623424;4453632;0.46;0.00;0.00;2936029;17397;11813704;69588;5400038;10153;0;0;749155840;4461312;0.46;0.00;0.00;2926390;17427;11775268;69708;5414121;10169;0;0;749382144;4455936;0.46;0.00;0.00;2927274;17406;11778720;69624;5397186;10113;0;0;751825664;4432128;0.46;0.00;0.00;2936819;17313;11816528;69252;5410319;10047;0;0;
1564583188;4389957220;211200;3187712;0.00;0.00;0.00;825;12452;53108;49808;101;33;0;0;203776;3184384;0.00;0.00;0.00;796;12439;52940;49756;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;207104;3186432;0.00;0.00;0.00;809;12447;53024;49788;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;757137408;4442112;0.45;0.00;0.00;2957568;17352;11899680;69408;5385785;8025;0;0;757930496;4342016;0.45;0.00;0.00;2960666;16961;11910508;67844;5417704;7926;0;0;751118592;4426752;0.45;0.00;0.00;2934057;17292;11805396;69168;5345883;8074;0;0;749797376;4420352;0.45;0.00;0.00;2928896;17267;11784652;69068;5355745;8070;0;0;753028352;5037056;0.45;0.00;0.00;2941517;19676;11844772;78704;5385429;8987;0;0;747591936;6530048;0.45;0.00;0.00;2920281;25508;11783156;102032;5321156;14882;0;0;
1564583190;4389965976;205568;3185920;0.00;0.00;0.00;803;12445;52992;49780;101;33;0;0;203520;3184384;0.00;0.00;0.00;795;12439;52936;49756;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;205056;3187200;0.00;0.00;0.00;801;12450;53004;49800;101;33;0;0;200448;3183616;0.00;0.00;0.00;783;12436;52876;49744;101;33;0;0;200448;3183872;0.00;0.00;0.00;783;12437;52880;49748;101;33;0;0;15474944;4899584;0.44;0.00;0.00;60449;19139;318352;76556;108663;7536;0;0;11271936;4888832;0.45;0.00;0.00;44031;19097;252512;76388;79963;7503;0;0;6557952;4876800;0.44;0.00;0.00;25617;19050;178668;76200;45869;7417;0;0;2657024;4961280;0.47;0.00;0.00;10379;19380;119036;77520;19666;7559;0;0;363008;4254464;0.49;0.00;0.00;1418;16619;72148;66476;2773;6709;0;0;159232;2800896;0.00;0.00;0.00;622;10941;46252;43764;134;604;0;0;
1564583192;4389999030;212224;3189504;0.00;0.00;0.00;829;12459;53152;49836;101;33;0;0;203264;3184128;0.00;0.00;0.00;794;12438;52928;49752;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;206592;3187712;0.00;0.00;0.00;807;12452;53036;49808;101;33;0;0;200448;3183616;0.00;0.00;0.00;783;12436;52876;49744;101;33;0;0;200704;3183616;0.00;0.00;0.00;784;12436;52880;49744;101;33;0;0;228608;3213568;0.00;0.00;0.00;893;12553;53784;50212;134;56;0;0;212480;3200256;0.00;0.00;0.00;830;12501;53324;50004;134;60;0;0;201984;3187200;0.00;0.00;0.00;789;12450;52956;49800;134;47;0;0;221952;3207680;0.00;0.00;0.00;867;12530;53588;50120;134;58;0;0;213248;3201024;0.00;0.00;0.00;833;12504;53348;50016;134;59;0;0;200960;3188224;0.00;0.00;0.00;785;12454;52956;49816;134;55;0;0;
