# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 10:31:35 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564583497;4390020224;201216;3155968;0.00;0.00;0.00;786;12328;52456;49312;101;33;0;0;200704;3150080;0.00;0.00;0.00;784;12305;52356;49220;101;33;0;0;198144;3140864;0.00;0.00;0.00;774;12269;52172;49076;101;33;0;0;216576;3150848;0.00;0.00;0.00;846;12308;52616;49232;101;33;0;0;196864;3126528;0.00;0.00;0.00;769;12213;51928;48852;101;33;0;0;196608;3119616;0.00;0.00;0.00;768;12186;51816;48744;101;33;0;0;189226752;538385664;0.73;0.24;0.31;739167;2103069;11368944;8412276;2767277;2756227;0;0;189033472;538521600;0.73;0.24;0.31;738412;2103600;11368048;8414400;2766939;2757375;0;0;189170944;539121920;0.73;0.24;0.31;738949;2105945;11379576;8423780;2767163;2757972;0;0;188941312;541195520;0.73;0.23;0.31;738052;2114045;11408388;8456180;2768522;2760406;0;0;189508864;541671424;0.73;0.23;0.31;740269;2115904;11424692;8463616;2768681;2760977;0;0;189400832;541638400;0.73;0.23;0.31;739847;2115775;11422488;8463100;2767461;2760145;0;0;
1564583499;4390018574;207872;3185664;0.00;0.00;0.00;812;12444;53024;49776;101;33;0;0;201216;3181824;0.00;0.00;0.00;786;12429;52860;49716;101;33;0;0;200192;3181312;0.00;0.00;0.00;782;12427;52836;49708;101;33;0;0;227072;3205120;0.00;0.00;0.00;887;12520;53628;50080;101;33;0;0;200448;3180288;0.00;0.00;0.00;783;12423;52824;49692;101;33;0;0;200192;3179776;0.00;0.00;0.00;782;12421;52812;49684;101;33;0;0;287327232;397454848;0.75;0.24;0.34;1122372;1552558;10699720;6210232;4421582;2035895;0;0;284189440;387604992;0.75;0.24;0.34;1110115;1514082;10496788;6056328;4372132;1987661;0;0;281017600;378368000;0.75;0.24;0.34;1097725;1478000;10302900;5912000;4324769;1939468;0;0;277797120;370388992;0.75;0.24;0.34;1085145;1446832;10127908;5787328;4277239;1892242;0;0;274518528;361331456;0.75;0.24;0.34;1072338;1411451;9935156;5645804;4229379;1845171;0;0;271510272;352065792;0.75;0.24;0.35;1060587;1375257;9743376;5501028;4183621;1799340;0;0;
1564583501;4390031038;209152;3188224;0.00;0.00;0.00;817;12454;53084;49816;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;223232;3203072;0.00;0.00;0.00;872;12512;53536;50048;101;33;0;0;200704;3182592;0.00;0.00;0.00;784;12432;52864;49728;101;33;0;0;200448;3183104;0.00;0.00;0.00;783;12434;52868;49736;101;33;0;0;200704;3196160;0.00;0.00;0.00;784;12485;53076;49940;134;78;0;0;226304;3213824;0.00;0.00;0.00;884;12554;53752;50216;134;63;0;0;230912;3214592;0.00;0.00;0.00;902;12557;53836;50228;134;51;0;0;205056;3192832;0.00;0.00;0.00;801;12472;53092;49888;134;60;0;0;206592;3194624;0.00;0.00;0.00;807;12479;53144;49916;134;51;0;0;205312;3188736;0.00;0.00;0.00;802;12456;53032;49824;134;49;0;0;
1564583503;4390024276;206080;3184640;0.00;0.00;0.00;805;12440;52980;49760;101;33;0;0;200192;3181824;0.00;0.00;0.00;782;12429;52844;49716;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;226304;3204864;0.00;0.00;0.00;884;12519;53612;50076;101;33;0;0;200192;3180544;0.00;0.00;0.00;782;12424;52824;49696;101;33;0;0;200192;3180288;0.00;0.00;0.00;782;12423;52820;49692;101;33;0;0;211712;3201536;0.00;0.00;0.00;827;12506;53332;50024;134;78;0;0;226304;3213312;0.00;0.00;0.00;884;12552;53744;50208;134;73;0;0;219136;3210496;0.00;0.00;0.00;856;12541;53588;50164;134;85;0;0;203776;3197440;0.00;0.00;0.00;796;12490;53144;49960;134;86;0;0;204800;3200256;0.00;0.00;0.00;800;12501;53204;50004;134;96;0;0;209664;3196672;0.00;0.00;0.00;819;12487;53224;49948;134;74;0;0;
1564583505;4390040324;209664;3187456;0.00;0.00;0.00;819;12451;53080;49804;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;211200;3191552;0.00;0.00;0.00;825;12467;53168;49868;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;231168;3280384;0.00;0.00;0.00;903;12814;54868;51256;134;319;0;0;230144;3286784;0.00;0.00;0.00;899;12839;54952;51356;134;347;0;0;204800;3259904;0.00;0.00;0.00;800;12734;54136;50936;134;335;0;0;200192;3243520;0.00;0.00;0.00;782;12670;53808;50680;134;278;0;0;208640;3256064;0.00;0.00;0.00;815;12719;54136;50876;134;304;0;0;205312;3254528;0.00;0.00;0.00;802;12713;54060;50852;134;305;0;0;
1564583507;4390036882;206080;3184384;0.00;0.00;0.00;805;12439;52976;49756;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200192;3181056;0.00;0.00;0.00;782;12426;52832;49704;101;33;0;0;224512;3202816;0.00;0.00;0.00;877;12511;53552;50044;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;224256;3207936;0.00;0.00;0.00;876;12531;53628;50124;134;48;0;0;230400;3215360;0.00;0.00;0.00;900;12560;53840;50240;134;59;0;0;202752;3190784;0.00;0.00;0.00;792;12464;53024;49856;134;63;0;0;201728;3187712;0.00;0.00;0.00;788;12452;52960;49808;134;55;0;0;204544;3190784;0.00;0.00;0.00;799;12464;53052;49856;134;65;0;0;208128;3194112;0.00;0.00;0.00;813;12477;53160;49908;134;62;0;0;
1564583509;4390027092;204288;3183360;0.00;0.00;0.00;798;12435;52932;49740;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;226304;3205120;0.00;0.00;0.00;884;12520;53616;50080;101;33;0;0;200192;3181056;0.00;0.00;0.00;782;12426;52832;49704;101;33;0;0;200448;3180544;0.00;0.00;0.00;783;12424;52828;49696;101;33;0;0;208640;3186944;0.00;0.00;0.00;815;12449;53056;49796;134;43;0;0;229376;3208192;0.00;0.00;0.00;896;12532;53712;50128;134;39;0;0;202496;3184640;0.00;0.00;0.00;791;12440;52924;49760;134;46;0;0;201984;3184128;0.00;0.00;0.00;789;12438;52908;49752;134;42;0;0;205824;3188224;0.00;0.00;0.00;804;12454;53032;49816;134;43;0;0;218368;3199232;0.00;0.00;0.00;853;12497;53400;49988;134;39;0;0;
1564583511;4390017116;205312;3184896;0.00;0.00;0.00;802;12441;52972;49764;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;223744;3204608;0.00;0.00;0.00;874;12518;53568;50072;101;33;0;0;200704;3183360;0.00;0.00;0.00;784;12435;52876;49740;101;33;0;0;200448;3183104;0.00;0.00;0.00;783;12434;52868;49736;101;33;0;0;201984;3184384;0.00;0.00;0.00;789;12439;52912;49756;134;36;0;0;222976;3203584;0.00;0.00;0.00;871;12514;53540;50056;134;34;0;0;210432;3192064;0.00;0.00;0.00;822;12469;53164;49876;134;37;0;0;202240;3184384;0.00;0.00;0.00;790;12439;52916;49756;134;36;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;134;35;0;0;223488;3201024;0.00;0.00;0.00;873;12504;53508;50016;134;33;0;0;
1564583513;4390031678;203008;3182848;0.00;0.00;0.00;793;12433;52904;49732;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;218880;3198208;0.00;0.00;0.00;855;12493;53392;49972;101;33;0;0;200192;3182080;0.00;0.00;0.00;782;12430;52848;49720;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3183104;0.00;0.00;0.00;783;12434;52868;49736;134;37;0;0;217856;3198976;0.00;0.00;0.00;851;12496;53388;49984;134;38;0;0;215808;3193344;0.00;0.00;0.00;843;12474;53268;49896;134;35;0;0;208640;3189760;0.00;0.00;0.00;815;12460;53100;49840;134;38;0;0;203008;3183872;0.00;0.00;0.00;793;12437;52920;49748;134;35;0;0;228352;3207168;0.00;0.00;0.00;892;12528;53680;50112;134;33;0;0;
1564583515;4390025970;204288;3184896;0.00;0.00;0.00;798;12441;52956;49764;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;215552;3195904;0.00;0.00;0.00;842;12484;53304;49936;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;200448;3183104;0.00;0.00;0.00;783;12434;52868;49736;101;33;0;0;201984;3197184;0.00;0.00;0.00;789;12489;53112;49956;134;84;0;0;206336;3196416;0.00;0.00;0.00;806;12486;53168;49944;134;74;0;0;208640;3206656;0.00;0.00;0.00;815;12526;53364;50104;134;98;0;0;213504;3203072;0.00;0.00;0.00;834;12512;53384;50048;134;70;0;0;205568;3197440;0.00;0.00;0.00;803;12490;53172;49960;134;69;0;0;230144;3220992;0.00;0.00;0.00;899;12582;53924;50328;134;72;0;0;
