# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 10:36:17 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564583779;4390021970;201728;3158272;0.00;0.00;0.00;788;12337;52500;49348;102;35;0;0;201472;3152384;0.00;0.00;0.00;787;12314;52404;49256;101;33;0;0;218880;3162112;0.00;0.00;0.00;855;12352;52828;49408;101;33;0;0;198400;3137536;0.00;0.00;0.00;775;12256;52124;49024;101;33;0;0;197120;3129088;0.00;0.00;0.00;770;12223;51972;48892;101;33;0;0;66560;1055488;0.00;0.00;0.00;260;4123;17532;16492;101;33;0;0;217297664;126400000;0.58;0.25;0.55;848819;493750;5370276;1975000;2013492;655754;0;0;217655040;117772032;0.57;0.25;0.57;850215;460047;5241048;1840188;1993529;611069;0;0;217207808;109390848;0.57;0.25;0.60;848468;427308;5103104;1709232;1961390;567091;0;0;210189056;101492224;0.57;0.24;0.63;821051;396454;4870020;1585816;1897782;523937;0;0;206742272;93119232;0.56;0.24;0.66;807587;363747;4685336;1454988;1835936;481068;0;0;206643968;84708096;0.56;0.24;0.70;807203;330891;4552376;1323564;1815753;437271;0;0;
1564583781;4389952494;210432;3187712;0.00;0.00;0.00;822;12452;53096;49808;101;33;0;0;202496;3183616;0.00;0.00;0.00;791;12436;52908;49744;101;33;0;0;217856;3196928;0.00;0.00;0.00;851;12488;53356;49952;101;33;0;0;200448;3180800;0.00;0.00;0.00;783;12425;52832;49700;101;33;0;0;200448;3180288;0.00;0.00;0.00;783;12423;52824;49692;101;33;0;0;200192;3180288;0.00;0.00;0.00;782;12423;52820;49692;101;33;0;0;583616000;9225472;0.42;0.09;0.00;2279750;36037;9263148;144148;3935554;39554;0;0;589621248;9222656;0.42;0.09;0.00;2303208;36026;9356936;144104;3986527;39450;0;0;589752320;9167616;0.42;0.08;0.00;2303720;35811;9358124;143244;3961105;39024;0;0;549757440;9242880;0.42;0.07;0.00;2147490;36105;8734380;144420;3685823;38945;0;0;545780480;9142016;0.42;0.07;0.00;2131955;35711;8670664;142844;3647548;38419;0;0;543474944;9111040;0.41;0.07;0.00;2122949;35590;8634156;142360;3615272;38308;0;0;
1564583783;4389965106;204032;3184128;0.00;0.00;0.00;797;12438;52940;49752;101;33;0;0;204032;3184128;0.00;0.00;0.00;797;12438;52940;49752;101;33;0;0;219136;3197952;0.00;0.00;0.00;856;12492;53392;49968;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;759778304;6660352;0.45;0.00;0.00;2967884;26017;11975604;104068;5385583;21635;0;0;766188544;6682112;0.45;0.00;0.00;2992924;26102;12076104;104408;5453252;21531;0;0;762272256;6590464;0.45;0.00;0.00;2977626;25744;12013480;102976;5415977;21439;0;0;743440896;6687744;0.45;0.00;0.00;2904066;26124;11720760;104496;5301207;21427;0;0;745290496;6672896;0.45;0.00;0.00;2911291;26066;11749428;104264;5304293;21513;0;0;746579200;6708224;0.45;0.00;0.00;2916325;26204;11770116;104816;5322782;21530;0;0;
1564583785;4389970176;203776;3183104;0.00;0.00;0.00;796;12434;52920;49736;101;33;0;0;203008;3183360;0.00;0.00;0.00;793;12435;52912;49740;101;33;0;0;218368;3197952;0.00;0.00;0.00;853;12492;53380;49968;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;200192;3182080;0.00;0.00;0.00;782;12430;52848;49720;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;882313728;5716224;0.49;0.00;0.00;3446538;22329;13875468;89316;6704177;15134;0;0;888615680;5717248;0.49;0.00;0.00;3471155;22333;13973952;89332;6767658;15283;0;0;877237504;5683968;0.49;0.00;0.00;3426709;22203;13795648;88812;6682629;15202;0;0;876414720;5702656;0.49;0.00;0.00;3423495;22276;13783084;89104;6678067;15192;0;0;879476480;5688576;0.49;0.00;0.00;3435455;22221;13830704;88884;6722678;15187;0;0;880828672;5647616;0.49;0.00;0.00;3440737;22061;13851192;88244;6748997;14886;0;0;
1564583787;4389963016;204800;3184640;0.00;0.00;0.00;800;12440;52960;49760;101;33;0;0;203776;3183872;0.00;0.00;0.00;796;12437;52932;49748;101;33;0;0;217088;3195136;0.00;0.00;0.00;848;12481;53316;49924;101;33;0;0;200448;3180544;0.00;0.00;0.00;783;12424;52828;49696;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;951431168;5278464;0.52;0.00;0.00;3716528;20619;14948588;82476;7674640;11950;0;0;951367680;5267456;0.52;0.00;0.00;3716280;20576;14947424;82304;7680175;11892;0;0;949292800;5316096;0.52;0.00;0.00;3708175;20766;14915764;83064;7656781;12054;0;0;950261504;5343232;0.52;0.00;0.00;3711959;20872;14931324;83488;7658535;11990;0;0;952417792;5304064;0.52;0.00;0.00;3720382;20719;14964404;82876;7696922;11987;0;0;950244352;5260544;0.52;0.00;0.00;3711892;20549;14929764;82196;7706412;11910;0;0;
1564583789;4389958830;207104;3184896;0.00;0.00;0.00;809;12441;53000;49764;101;34;0;0;203008;3183360;0.00;0.00;0.00;793;12435;52912;49740;101;33;0;0;217856;3197696;0.00;0.00;0.00;851;12491;53368;49964;101;33;0;0;200448;3182848;0.00;0.00;0.00;783;12433;52864;49732;101;33;0;0;200704;3183360;0.00;0.00;0.00;784;12435;52876;49740;101;33;0;0;200448;3183616;0.00;0.00;0.00;783;12436;52876;49744;101;33;0;0;999209216;5263104;0.54;0.00;0.00;3903161;20559;15694880;82236;8422049;11536;0;0;1000334080;5241344;0.54;0.00;0.00;3907555;20474;15712116;81896;8455543;11496;0;0;1000474880;5267712;0.54;0.00;0.00;3908105;20577;15714728;82308;8434474;11327;0;0;1001070592;5303040;0.54;0.00;0.00;3910432;20715;15724588;82860;8436233;11540;0;0;1001802752;5282816;0.54;0.00;0.00;3913292;20636;15735712;82544;8449302;11560;0;0;998968576;5259520;0.54;0.00;0.00;3902221;20545;15691064;82180;8433520;11634;0;0;
1564583791;4389969474;206080;3186176;0.00;0.00;0.00;805;12446;53004;49784;101;33;0;0;202496;3183616;0.00;0.00;0.00;791;12436;52908;49744;101;33;0;0;223232;3203584;0.00;0.00;0.00;872;12514;53544;50056;101;33;0;0;200448;3182336;0.00;0.00;0.00;783;12431;52856;49724;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3181056;0.00;0.00;0.00;783;12426;52836;49704;101;33;0;0;1036693760;5105920;0.55;0.00;0.00;4049585;19945;16278120;79780;9090855;10440;0;0;1039799296;5101824;0.56;0.00;0.00;4061716;19929;16326580;79716;9140350;10609;0;0;1040909824;5116672;0.55;0.00;0.00;4066054;19987;16344164;79948;9116906;10574;0;0;1040825600;5126656;0.55;0.00;0.00;4065725;20026;16343004;80104;9098848;10466;0;0;1041138432;5118464;0.55;0.00;0.00;4066947;19994;16347764;79976;9136608;10503;0;0;1039411968;5153792;0.55;0.00;0.00;4060203;20132;16321340;80528;9093786;10631;0;0;
1564583793;4389956328;204032;3184384;0.00;0.00;0.00;797;12439;52944;49756;101;35;0;0;204032;3184128;0.00;0.00;0.00;797;12438;52940;49752;101;33;0;0;222720;3201280;0.00;0.00;0.00;870;12505;53500;50020;101;33;0;0;200448;3181824;0.00;0.00;0.00;783;12429;52848;49716;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;101;33;0;0;1058886400;5032960;0.57;0.00;0.00;4136275;19660;16623740;78640;9582195;9420;0;0;1059688960;5017088;0.57;0.00;0.00;4139410;19598;16636032;78392;9593859;9461;0;0;1063276288;4971264;0.57;0.00;0.00;4153423;19419;16691368;77676;9595642;9410;0;0;1064467968;5013504;0.57;0.00;0.00;4158078;19584;16710648;78336;9578632;9517;0;0;1064677120;5004800;0.57;0.00;0.00;4158895;19550;16713780;78200;9625491;9492;0;0;1061445120;4975104;0.57;0.00;0.00;4146270;19434;16662816;77736;9553147;9496;0;0;
1564583795;4389952960;203520;3183872;0.00;0.00;0.00;795;12437;52928;49748;101;33;0;0;204288;3184384;0.00;0.00;0.00;798;12439;52948;49756;101;33;0;0;200448;3181568;0.00;0.00;0.00;783;12428;52844;49712;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;200192;3181568;0.00;0.00;0.00;782;12428;52840;49712;101;33;0;0;200448;3181312;0.00;0.00;0.00;783;12427;52840;49708;101;33;0;0;1081173760;5041920;0.58;0.00;0.00;4223335;19695;16972120;78780;10046628;9877;0;0;1080640768;5042944;0.58;0.00;0.00;4221253;19699;16963808;78796;10037606;9753;0;0;1080985600;5017856;0.58;0.00;0.00;4222600;19601;16968804;78404;10028122;9869;0;0;1085567744;5044480;0.58;0.00;0.00;4240499;19705;17040816;78820;10042146;9911;0;0;1084881152;5009152;0.58;0.00;0.00;4237817;19567;17029536;78268;10041508;9593;0;0;1082585088;5037568;0.58;0.00;0.00;4228848;19678;16994104;78712;10007772;9742;0;0;
1564583797;4389956176;207104;3185920;0.00;0.00;0.00;809;12445;53016;49780;101;33;0;0;202496;3183360;0.00;0.00;0.00;791;12435;52904;49740;101;33;0;0;200448;3182592;0.00;0.00;0.00;783;12432;52860;49728;101;33;0;0;200448;3182080;0.00;0.00;0.00;783;12430;52852;49720;101;33;0;0;202240;3183104;0.00;0.00;0.00;790;12434;52896;49736;101;33;0;0;200704;3181824;0.00;0.00;0.00;784;12429;52852;49716;101;33;0;0;1083621632;4884736;0.59;0.00;0.00;4232897;19081;17007912;76324;10299454;9255;0;0;1084781056;4831488;0.59;0.00;0.00;4237426;18873;17025196;75492;10274659;9126;0;0;1083452672;4834560;0.59;0.00;0.00;4232237;18885;17004488;75540;10299525;9189;0;0;1088039424;4811520;0.59;0.00;0.00;4250154;18795;17075796;75180;10302336;9043;0;0;1086562048;4834560;0.59;0.00;0.00;4244383;18885;17053072;75540;10294140;9220;0;0;1088096256;4796416;0.59;0.00;0.00;4250376;18736;17076448;74944;10295452;9118;0;0;
