# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 14:22:44 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564597365;2195123180;607918080;222471680;0.20;0.41;0.48;2374680;869030;12974840;3476120;2975532;1466420;0;0;100352;1566720;0.00;0.00;0.00;392;6120;26048;24480;235;66;0;0;98304;1560832;0.00;0.00;0.00;384;6097;25924;24388;235;66;0;0;98560;1566976;0.00;0.00;0.00;385;6121;26024;24484;235;66;0;0;98816;1568256;0.00;0.00;0.00;386;6126;26048;24504;235;66;0;0;98048;1558528;0.00;0.00;0.00;383;6088;25884;24352;235;66;0;0;104960;2537472;0.00;0.00;0.00;410;9912;41288;39648;236;4013;0;0;103424;2566912;0.00;0.00;0.00;404;10027;41724;40108;235;4137;0;0;89600;2520064;0.00;0.00;0.00;350;9844;40776;39376;235;3939;0;0;97024;2306816;0.00;0.00;0.00;379;9011;37560;36044;235;3079;0;0;99328;2206208;0.00;0.00;0.00;388;8618;36024;34472;235;2669;0;0;98560;2237696;0.00;0.00;0.00;385;8741;36504;34964;236;2804;0;0;
1564597366;2195129422;201456384;34561280;0.18;0.05;0.75;786939;135005;3687776;540020;956338;142207;0;0;104704;1595648;0.00;0.00;0.00;409;6233;26568;24932;235;66;0;0;100352;1592832;0.00;0.00;0.00;392;6222;26456;24888;235;66;0;0;99584;1582080;0.00;0.00;0.00;389;6180;26276;24720;235;66;0;0;99584;1581056;0.00;0.00;0.00;389;6176;26260;24704;235;66;0;0;99584;1580800;0.00;0.00;0.00;389;6175;26256;24700;235;66;0;0;106496;1725696;0.00;0.00;0.00;416;6741;28628;26964;235;656;0;0;101632;1711360;0.00;0.00;0.00;397;6685;28328;26740;235;589;0;0;105216;1721088;0.00;0.00;0.00;411;6723;28536;26892;235;661;0;0;104192;1732864;0.00;0.00;0.00;407;6769;28704;27076;235;698;0;0;101888;1704960;0.00;0.00;0.00;398;6660;28232;26640;235;613;0;0;99584;1671936;0.00;0.00;0.00;389;6531;27680;26124;235;475;0;0;
1564597367;2195122414;78031360;30338560;0.26;0.04;0.85;304810;118510;1693280;474040;412128;123780;0;0;103424;1594880;0.00;0.00;0.00;404;6230;26536;24920;235;66;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;235;66;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;235;66;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;235;66;0;0;100608;1592064;0.00;0.00;0.00;393;6219;26448;24876;235;66;0;0;99328;1702656;0.00;0.00;0.00;388;6651;28156;26604;235;485;0;0;108032;1716992;0.00;0.00;0.00;422;6707;28516;26828;235;624;0;0;98816;1711616;0.00;0.00;0.00;386;6686;28288;26744;235;527;0;0;102400;1681920;0.00;0.00;0.00;400;6570;27880;26280;235;435;0;0;107776;1670656;0.00;0.00;0.00;421;6526;27788;26104;235;412;0;0;102144;1688576;0.00;0.00;0.00;399;6596;27980;26384;235;454;0;0;
1564597368;2195112798;50433280;30616320;0.24;0.08;0.85;197005;119595;1266400;478380;260452;130472;0;0;101888;1592576;0.00;0.00;0.00;398;6221;26476;24884;235;66;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;235;66;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;235;66;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;235;66;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;235;66;0;0;98560;1712640;0.00;0.00;0.00;385;6690;28300;26760;235;549;0;0;93952;1704960;0.00;0.00;0.00;367;6660;28108;26640;235;476;0;0;103168;1678080;0.00;0.00;0.00;403;6555;27832;26220;235;428;0;0;108800;1672192;0.00;0.00;0.00;425;6532;27828;26128;235;423;0;0;96512;1689600;0.00;0.00;0.00;377;6600;27908;26400;235;440;0;0;100608;1682688;0.00;0.00;0.00;393;6573;27864;26292;235;431;0;0;
1564597369;2195126330;13951232;23581440;0.37;0.02;0.00;54497;92115;586448;368460;87130;93861;0;0;101376;1592320;0.00;0.00;0.00;396;6220;26464;24880;235;66;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;235;66;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;235;66;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;235;66;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;235;66;0;0;104704;1690880;0.00;0.00;0.00;409;6605;28056;26420;235;447;0;0;101120;1687808;0.00;0.00;0.00;395;6593;27952;26372;235;443;0;0;100864;1677824;0.00;0.00;0.00;394;6554;27792;26216;235;386;0;0;91648;1670144;0.00;0.00;0.00;358;6524;27528;26096;235;339;0;0;96768;1644800;0.00;0.00;0.00;378;6425;27212;25700;235;256;0;0;100352;1652992;0.00;0.00;0.00;392;6457;27396;25828;235;314;0;0;
1564597370;2195128400;309504;5810176;0.16;0.22;0.00;1209;22696;95620;90784;1438;29080;0;0;102400;1593600;0.00;0.00;0.00;400;6225;26500;24900;235;66;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;235;66;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;235;66;0;0;100352;1593344;0.00;0.00;0.00;392;6224;26464;24896;235;66;0;0;100352;1593088;0.00;0.00;0.00;392;6223;26460;24892;235;66;0;0;100352;1678848;0.00;0.00;0.00;392;6558;27800;26232;235;414;0;0;102144;1670144;0.00;0.00;0.00;399;6524;27692;26096;235;373;0;0;101632;1680384;0.00;0.00;0.00;397;6564;27844;26256;235;430;0;0;101376;1675264;0.00;0.00;0.00;396;6544;27760;26176;235;410;0;0;101120;1683200;0.00;0.00;0.00;395;6575;27880;26300;235;441;0;0;100352;1672192;0.00;0.00;0.00;392;6532;27696;26128;235;390;0;0;
1564597371;2195126436;118784;2393344;0.00;0.00;0.00;464;9349;39252;37396;235;3239;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;235;66;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;235;66;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;235;66;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;235;66;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;235;66;0;0;103168;1641728;0.00;0.00;0.00;403;6413;27264;25652;235;284;0;0;103424;1661696;0.00;0.00;0.00;404;6491;27580;25964;235;352;0;0;101632;1658112;0.00;0.00;0.00;397;6477;27496;25908;235;335;0;0;101120;1644032;0.00;0.00;0.00;395;6422;27268;25688;235;288;0;0;101120;1639424;0.00;0.00;0.00;395;6404;27196;25616;235;258;0;0;102144;1641984;0.00;0.00;0.00;399;6414;27252;25656;235;270;0;0;
1564597372;2195131154;114176;2365696;0.00;0.00;0.00;446;9241;38748;36964;235;3158;0;0;101632;1592576;0.00;0.00;0.00;397;6221;26472;24884;235;66;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;235;66;0;0;101120;1592832;0.00;0.00;0.00;395;6222;26468;24888;235;66;0;0;100352;1593088;0.00;0.00;0.00;392;6223;26460;24892;235;66;0;0;100352;1592832;0.00;0.00;0.00;392;6222;26456;24888;235;66;0;0;98560;1671680;0.00;0.00;0.00;385;6530;27660;26120;235;380;0;0;101120;1664000;0.00;0.00;0.00;395;6500;27580;26000;235;345;0;0;101376;1664768;0.00;0.00;0.00;396;6503;27596;26012;235;352;0;0;102144;1654016;0.00;0.00;0.00;399;6461;27440;25844;235;300;0;0;101376;1656320;0.00;0.00;0.00;396;6470;27464;25880;235;323;0;0;102400;1659136;0.00;0.00;0.00;400;6481;27524;25924;235;335;0;0;
1564597373;2195122952;122368;2489856;0.00;0.00;0.00;478;9726;40816;38904;235;3668;0;0;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;235;66;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;235;66;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;235;66;0;0;100096;1588992;0.00;0.00;0.00;391;6207;26392;24828;235;66;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;235;66;0;0;100608;1608192;0.00;0.00;0.00;393;6282;26700;25128;235;143;0;0;101632;1611520;0.00;0.00;0.00;397;6295;26768;25180;235;158;0;0;102912;1602304;0.00;0.00;0.00;402;6259;26644;25036;235;122;0;0;100608;1601792;0.00;0.00;0.00;393;6257;26600;25028;235;128;0;0;100608;1597440;0.00;0.00;0.00;393;6240;26532;24960;235;105;0;0;100864;1602048;0.00;0.00;0.00;394;6258;26608;25032;235;126;0;0;
1564597374;2195126344;108544;1829376;0.00;0.00;0.00;424;7146;30280;28584;235;997;0;0;101632;1590784;0.00;0.00;0.00;397;6214;26444;24856;235;66;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;235;66;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;235;66;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;235;66;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;235;66;0;0;102144;1663744;0.00;0.00;0.00;399;6499;27592;25996;235;367;0;0;101120;1648384;0.00;0.00;0.00;395;6439;27336;25756;235;306;0;0;102144;1665024;0.00;0.00;0.00;399;6504;27612;26016;235;367;0;0;101120;1656832;0.00;0.00;0.00;395;6472;27468;25888;235;330;0;0;101376;1665536;0.00;0.00;0.00;396;6506;27608;26024;235;372;0;0;101376;1658624;0.00;0.00;0.00;396;6479;27500;25916;235;335;0;0;
