# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 14:15:43 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564596944;2195212012;975990016;1208911104;0.23;0.23;0.24;3812461;4722309;34139080;18889236;4966747;6110024;0;0;106240;1590016;0.00;0.00;0.00;415;6211;26504;24844;203;66;0;0;99840;1585664;0.00;0.00;0.00;390;6194;26336;24776;203;66;0;0;99584;1580544;0.00;0.00;0.00;389;6174;26252;24696;202;66;0;0;99072;1573632;0.00;0.00;0.00;387;6147;26136;24588;202;66;0;0;98816;1567744;0.00;0.00;0.00;386;6124;26040;24496;202;66;0;0;99840;1608448;0.00;0.00;0.00;390;6283;26692;25132;269;243;0;0;102144;1600000;0.00;0.00;0.00;399;6250;26596;25000;269;220;0;0;101120;1596928;0.00;0.00;0.00;395;6238;26532;24952;268;218;0;0;99584;1590272;0.00;0.00;0.00;389;6212;26404;24848;268;216;0;0;101376;1606144;0.00;0.00;0.00;396;6274;26680;25096;268;304;0;0;100352;1580288;0.00;0.00;0.00;392;6173;26260;24692;268;223;0;0;
1564596945;2195127506;938677248;908330240;0.00;0.00;0.03;3666708;3548165;28859492;14192660;3673226;3564208;0;0;103424;1593856;0.00;0.00;0.00;404;6226;26520;24904;202;66;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;202;66;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;202;66;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;202;66;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;202;66;0;0;101376;1593344;0.00;0.00;0.00;396;6224;26480;24896;268;75;0;0;102144;1592576;0.00;0.00;0.00;399;6221;26480;24884;268;75;0;0;102400;1592832;0.00;0.00;0.00;400;6222;26488;24888;268;71;0;0;102656;1595136;0.00;0.00;0.00;401;6231;26528;24924;268;82;0;0;103936;1598464;0.00;0.00;0.00;406;6244;26600;24976;268;89;0;0;101376;1595392;0.00;0.00;0.00;396;6232;26512;24928;268;85;0;0;
1564596946;2195137112;895204864;859730688;0.00;0.00;0.03;3496894;3358323;27420868;13433292;3492673;3368914;0;0;103680;1593088;0.00;0.00;0.00;405;6223;26512;24892;202;66;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;202;66;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;202;66;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;202;66;0;0;100608;1591552;0.00;0.00;0.00;393;6217;26440;24868;202;66;0;0;103424;1596160;0.00;0.00;0.00;404;6235;26556;24940;268;72;0;0;102400;1595136;0.00;0.00;0.00;400;6231;26524;24924;268;69;0;0;103936;1596928;0.00;0.00;0.00;406;6238;26576;24952;268;69;0;0;102144;1599232;0.00;0.00;0.00;399;6247;26584;24988;268;85;0;0;102144;1597696;0.00;0.00;0.00;399;6241;26560;24964;268;84;0;0;103680;1597952;0.00;0.00;0.00;405;6242;26588;24968;268;83;0;0;
1564596947;2195136970;839843840;805425920;0.00;0.00;0.04;3280640;3146195;25707340;12584780;3277055;3157173;0;0;103424;1593088;0.00;0.00;0.00;404;6223;26508;24892;202;66;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;202;66;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;202;66;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;202;66;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;202;66;0;0;103168;1596160;0.00;0.00;0.00;403;6235;26552;24940;268;82;0;0;105216;1599232;0.00;0.00;0.00;411;6247;26632;24988;268;85;0;0;105216;1596928;0.00;0.00;0.00;411;6238;26596;24952;268;86;0;0;103424;1596416;0.00;0.00;0.00;404;6236;26560;24944;268;85;0;0;104448;1600000;0.00;0.00;0.00;408;6250;26632;25000;268;96;0;0;101632;1596672;0.00;0.00;0.00;397;6237;26536;24948;268;91;0;0;
1564596948;2195124528;781672192;745918464;0.00;0.00;0.04;3053407;2913744;23868604;11654976;3051802;2927908;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;202;66;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;202;66;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;202;66;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;202;66;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;202;66;0;0;104448;1599232;0.00;0.00;0.00;408;6247;26620;24988;268;80;0;0;104448;1599488;0.00;0.00;0.00;408;6248;26624;24992;268;82;0;0;104448;1598976;0.00;0.00;0.00;408;6246;26616;24984;268;84;0;0;108800;1602560;0.00;0.00;0.00;425;6260;26740;25040;268;81;0;0;102912;1596672;0.00;0.00;0.00;402;6237;26556;24948;268;81;0;0;105472;1598464;0.00;0.00;0.00;412;6244;26624;24976;268;82;0;0;
1564596949;2195139980;707089920;674499584;0.00;0.01;0.05;2762070;2634764;21587336;10539056;2763379;2663188;0;0;104704;1594368;0.00;0.00;0.00;409;6228;26548;24912;202;66;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;202;66;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;202;66;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;202;66;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;202;66;0;0;100864;1590016;0.00;0.00;0.00;394;6211;26420;24844;268;68;0;0;102912;1591808;0.00;0.00;0.00;402;6218;26480;24872;268;68;0;0;106240;1594880;0.00;0.00;0.00;415;6230;26580;24920;268;69;0;0;106496;1595904;0.00;0.00;0.00;416;6234;26600;24936;268;72;0;0;107264;1597440;0.00;0.00;0.00;419;6240;26636;24960;268;72;0;0;105984;1595904;0.00;0.00;0.00;414;6234;26592;24936;268;71;0;0;
1564596950;2195134074;626358016;592440320;0.00;0.01;0.05;2446711;2314220;19043724;9256880;2448621;2332241;0;0;103680;1593344;0.00;0.00;0.00;405;6224;26516;24896;202;66;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;202;66;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;202;66;0;0;100352;1593088;0.00;0.00;0.00;392;6223;26460;24892;202;66;0;0;100352;1592832;0.00;0.00;0.00;392;6222;26456;24888;202;66;0;0;101120;1593344;0.00;0.00;0.00;395;6224;26476;24896;268;66;0;0;102400;1594368;0.00;0.00;0.00;400;6228;26512;24912;268;68;0;0;103936;1594880;0.00;0.00;0.00;406;6230;26544;24920;268;67;0;0;105472;1597952;0.00;0.00;0.00;412;6242;26616;24968;268;69;0;0;106752;1599744;0.00;0.00;0.00;417;6249;26664;24996;268;71;0;0;101888;1595392;0.00;0.00;0.00;398;6232;26520;24928;268;69;0;0;
1564596951;2195131634;541855488;511211520;0.00;0.01;0.06;2116623;1996920;16454172;7987680;2122221;2016207;0;0;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;202;66;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;202;66;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;202;66;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;202;66;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;202;66;0;0;101120;1590272;0.00;0.00;0.00;395;6212;26428;24848;268;68;0;0;102400;1592576;0.00;0.00;0.00;400;6221;26484;24884;268;73;0;0;104704;1594112;0.00;0.00;0.00;409;6227;26544;24908;268;71;0;0;103424;1593600;0.00;0.00;0.00;404;6225;26516;24900;268;77;0;0;104192;1593600;0.00;0.00;0.00;407;6225;26528;24900;268;77;0;0;103680;1590528;0.00;0.00;0.00;405;6213;26472;24852;268;70;0;0;
1564596952;2195126824;436056832;411528960;0.02;0.01;0.07;1703347;1607535;13243528;6430140;1731849;1626409;0;0;104960;1594112;0.00;0.00;0.00;410;6227;26548;24908;202;66;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;202;66;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;202;66;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;202;66;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;202;66;0;0;102400;1593088;0.00;0.00;0.00;400;6223;26492;24892;268;70;0;0;103936;1593856;0.00;0.00;0.00;406;6226;26528;24904;268;70;0;0;103936;1594112;0.00;0.00;0.00;406;6227;26532;24908;268;68;0;0;101632;1593344;0.00;0.00;0.00;397;6224;26484;24896;268;72;0;0;103424;1594112;0.00;0.00;0.00;404;6227;26524;24908;268;71;0;0;100608;1592064;0.00;0.00;0.00;393;6219;26448;24876;268;67;0;0;
1564596953;2195120096;353250048;335307776;0.03;0.01;0.09;1379883;1309796;10758716;5239184;1426512;1329447;0;0;100608;1591296;0.00;0.00;0.00;393;6216;26436;24864;202;66;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;202;66;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;202;66;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;202;66;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;202;66;0;0;102656;1598464;0.00;0.00;0.00;401;6244;26580;24976;268;92;0;0;104960;1599232;0.00;0.00;0.00;410;6247;26628;24988;268;87;0;0;103936;1603072;0.00;0.00;0.00;406;6262;26672;25048;268;108;0;0;102400;1609472;0.00;0.00;0.00;400;6287;26748;25148;268;137;0;0;100352;1609728;0.00;0.00;0.00;392;6288;26720;25152;268;143;0;0;102400;1606912;0.00;0.00;0.00;400;6277;26708;25108;268;126;0;0;
