# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 14:41:00 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564598461;2195186048;690296832;2059691520;0.73;0.39;0.40;2696472;8045670;42968568;32182680;10141475;13245142;0;0;102912;1588736;0.00;0.00;0.00;402;6206;26432;24824;236;66;0;0;99584;1581312;0.00;0.00;0.00;389;6177;26264;24708;236;66;0;0;99072;1576448;0.00;0.00;0.00;387;6158;26180;24632;237;66;0;0;99072;1572608;0.00;0.00;0.00;387;6143;26120;24572;236;66;0;0;98560;1561344;0.00;0.00;0.00;385;6099;25936;24396;235;66;0;0;94720;1996032;0.00;0.00;0.00;370;7797;32668;31188;236;1740;0;0;102912;1922048;0.00;0.00;0.00;402;7508;31640;30032;236;1448;0;0;101376;1860864;0.00;0.00;0.00;396;7269;30660;29076;236;1182;0;0;91392;1808128;0.00;0.00;0.00;357;7063;29680;28252;236;1017;0;0;95488;1784320;0.00;0.00;0.00;373;6970;29372;27880;236;935;0;0;97280;1723904;0.00;0.00;0.00;380;6734;28456;26936;235;699;0;0;
1564598462;2195137472;911721216;2046817792;0.72;0.08;0.09;3561411;7995382;46227172;31981528;12871228;8647484;0;0;103680;1593600;0.00;0.00;0.00;405;6225;26520;24900;237;66;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;236;66;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;235;66;0;0;99840;1585920;0.00;0.00;0.00;390;6195;26340;24780;236;66;0;0;99840;1586688;0.00;0.00;0.00;390;6198;26352;24792;236;66;0;0;104960;1720832;0.00;0.00;0.00;410;6722;28528;26888;236;585;0;0;101632;1723904;0.00;0.00;0.00;397;6734;28524;26936;235;613;0;0;108544;1734400;0.00;0.00;0.00;424;6775;28796;27100;236;645;0;0;103680;1702144;0.00;0.00;0.00;405;6649;28216;26596;235;531;0;0;103680;1695744;0.00;0.00;0.00;405;6624;28116;26496;235;514;0;0;107008;1696768;0.00;0.00;0.00;418;6628;28184;26512;235;538;0;0;
1564598463;2195130952;917931776;2046173952;0.72;0.07;0.08;3585671;7992867;46314152;31971468;12616272;8623003;0;0;102912;1588736;0.00;0.00;0.00;402;6206;26432;24824;235;66;0;0;99840;1584896;0.00;0.00;0.00;390;6191;26324;24764;235;66;0;0;100352;1584384;0.00;0.00;0.00;392;6189;26324;24756;235;66;0;0;99840;1586176;0.00;0.00;0.00;390;6196;26344;24784;236;66;0;0;99584;1582336;0.00;0.00;0.00;389;6181;26280;24724;236;66;0;0;100864;1651968;0.00;0.00;0.00;394;6453;27388;25812;236;360;0;0;103424;1649664;0.00;0.00;0.00;404;6444;27392;25776;235;344;0;0;101888;1648384;0.00;0.00;0.00;398;6439;27348;25756;236;350;0;0;105216;1657856;0.00;0.00;0.00;411;6476;27548;25904;236;372;0;0;104192;1678336;0.00;0.00;0.00;407;6556;27852;26224;237;449;0;0;100864;1658880;0.00;0.00;0.00;394;6480;27496;25920;235;372;0;0;
1564598464;2195206376;922892288;2046814464;0.71;0.07;0.08;3605048;7995369;46401668;31981476;12522884;8608299;0;0;102912;1593600;0.00;0.00;0.00;402;6225;26508;24900;236;66;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;235;66;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;236;66;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;235;66;0;0;100352;1593088;0.00;0.00;0.00;392;6223;26460;24892;236;66;0;0;108288;1662720;0.00;0.00;0.00;423;6495;27672;25980;236;307;0;0;100352;1649408;0.00;0.00;0.00;392;6443;27340;25772;235;281;0;0;100608;1649664;0.00;0.00;0.00;393;6444;27348;25776;236;269;0;0;121600;1670912;0.00;0.00;0.00;475;6527;28008;26108;235;281;0;0;105984;1634560;0.00;0.00;0.00;414;6385;27196;25540;235;198;0;0;102656;1632512;0.00;0.00;0.00;401;6377;27112;25508;235;195;0;0;
1564598465;2195270176;925456384;2048924160;0.71;0.07;0.08;3615064;8003610;46474696;32014440;12520084;8602511;0;0;103168;1594624;0.00;0.00;0.00;403;6229;26528;24916;236;66;0;0;100608;1595136;0.00;0.00;0.00;393;6231;26496;24924;236;66;0;0;101632;1596672;0.00;0.00;0.00;397;6237;26536;24948;236;66;0;0;100352;1595392;0.00;0.00;0.00;392;6232;26496;24928;236;66;0;0;100608;1597184;0.00;0.00;0.00;393;6239;26528;24956;236;66;0;0;102912;1630464;0.00;0.00;0.00;402;6369;27084;25476;236;201;0;0;104192;1635072;0.00;0.00;0.00;407;6387;27176;25548;237;204;0;0;106496;1634560;0.00;0.00;0.00;416;6385;27204;25540;235;214;0;0;106496;1626368;0.00;0.00;0.00;416;6353;27076;25412;236;178;0;0;103424;1623040;0.00;0.00;0.00;404;6340;26976;25360;235;205;0;0;100352;1629184;0.00;0.00;0.00;392;6364;27024;25456;236;233;0;0;
1564598466;2195203028;930476800;2045211904;0.71;0.07;0.08;3634675;7989109;46495136;31956436;12410218;8591480;0;0;102400;1592576;0.00;0.00;0.00;400;6221;26484;24884;235;66;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;236;66;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;236;66;0;0;100352;1593344;0.00;0.00;0.00;392;6224;26464;24896;235;66;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;236;66;0;0;106240;1630720;0.00;0.00;0.00;415;6370;27140;25480;236;201;0;0;102912;1626624;0.00;0.00;0.00;402;6354;27024;25416;236;201;0;0;102144;1634304;0.00;0.00;0.00;399;6384;27132;25536;236;231;0;0;102400;1636864;0.00;0.00;0.00;400;6394;27176;25576;235;245;0;0;104192;1657088;0.00;0.00;0.00;407;6473;27520;25892;235;281;0;0;102400;1643776;0.00;0.00;0.00;400;6421;27284;25684;235;239;0;0;
1564598467;2195200554;933415936;2044903424;0.71;0.07;0.08;3646156;7987904;46536240;31951616;12369292;8578582;0;0;101120;1592576;0.00;0.00;0.00;395;6221;26464;24884;236;66;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;236;66;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;236;66;0;0;100352;1589248;0.00;0.00;0.00;392;6208;26400;24832;236;66;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;236;66;0;0;104448;1637888;0.00;0.00;0.00;408;6398;27224;25592;236;236;0;0;102912;1638912;0.00;0.00;0.00;402;6402;27216;25608;236;238;0;0;101888;1622272;0.00;0.00;0.00;398;6337;26940;25348;236;172;0;0;101888;1619456;0.00;0.00;0.00;398;6326;26896;25304;236;168;0;0;103424;1609216;0.00;0.00;0.00;404;6286;26760;25144;236;132;0;0;105728;1611520;0.00;0.00;0.00;413;6295;26832;25180;236;141;0;0;
1564598468;2195185326;934193920;2042074112;0.70;0.07;0.08;3649195;7976852;46504188;31907408;12346024;8574895;0;0;101120;1589248;0.00;0.00;0.00;395;6208;26412;24832;235;66;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;236;66;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;236;66;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;236;66;0;0;99840;1585152;0.00;0.00;0.00;390;6192;26328;24768;236;66;0;0;102656;1601024;0.00;0.00;0.00;401;6254;26620;25016;235;148;0;0;100864;1595136;0.00;0.00;0.00;394;6231;26500;24924;235;137;0;0;98816;1591808;0.00;0.00;0.00;386;6218;26416;24872;236;148;0;0;102400;1598208;0.00;0.00;0.00;400;6243;26572;24972;236;148;0;0;101376;1599744;0.00;0.00;0.00;396;6249;26580;24996;236;166;0;0;103424;1604096;0.00;0.00;0.00;404;6266;26680;25064;236;172;0;0;
1564598469;2195232336;934498816;2047063296;0.70;0.07;0.08;3650386;7996341;46586908;31985364;12353751;8589234;0;0;101632;1593088;0.00;0.00;0.00;397;6223;26480;24892;235;66;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;236;66;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;235;66;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;236;66;0;0;100352;1593856;0.00;0.00;0.00;392;6226;26472;24904;237;66;0;0;102400;1623808;0.00;0.00;0.00;400;6343;26972;25372;237;152;0;0;103424;1620992;0.00;0.00;0.00;404;6332;26944;25328;236;136;0;0;107008;1630976;0.00;0.00;0.00;418;6371;27156;25484;235;144;0;0;104960;1640192;0.00;0.00;0.00;410;6407;27268;25628;236;214;0;0;107520;1638656;0.00;0.00;0.00;420;6401;27284;25604;235;170;0;0;103680;1634560;0.00;0.00;0.00;405;6385;27160;25540;236;171;0;0;
1564598470;2195149340;935642368;2045957376;0.70;0.07;0.08;3654853;7992021;46587496;31968084;12335550;8575058;0;0;100864;1592576;0.00;0.00;0.00;394;6221;26460;24884;235;66;0;0;100352;1594112;0.00;0.00;0.00;392;6227;26476;24908;235;66;0;0;100352;1593856;0.00;0.00;0.00;392;6226;26472;24904;235;66;0;0;100352;1593088;0.00;0.00;0.00;392;6223;26460;24892;235;66;0;0;100352;1593600;0.00;0.00;0.00;392;6225;26468;24900;236;66;0;0;103168;1609984;0.00;0.00;0.00;403;6289;26768;25156;235;119;0;0;103680;1609728;0.00;0.00;0.00;405;6288;26772;25152;236;119;0;0;110592;1607936;0.00;0.00;0.00;432;6281;26852;25124;235;146;0;0;100864;1616896;0.00;0.00;0.00;394;6316;26840;25264;236;117;0;0;108032;1619968;0.00;0.00;0.00;422;6328;27000;25312;235;121;0;0;102912;1617664;0.00;0.00;0.00;402;6319;26884;25276;235;136;0;0;
