# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 14:25:38 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564597539;2195116844;116992;1591552;0.00;0.00;0.00;457;6217;26696;24868;203;66;0;0;99328;1578496;0.00;0.00;0.00;388;6166;26216;24664;202;66;0;0;99584;1582080;0.00;0.00;0.00;389;6180;26276;24720;202;66;0;0;99840;1582080;0.00;0.00;0.00;390;6180;26280;24720;202;66;0;0;99584;1582080;0.00;0.00;0.00;389;6180;26276;24720;202;66;0;0;99584;1582336;0.00;0.00;0.00;389;6181;26280;24724;202;66;0;0;567784704;76182272;0.74;0.29;0.53;2217909;297587;10061984;1190348;8676336;419973;0;0;571019520;64205056;0.74;0.23;0.54;2230545;250801;9925384;1003204;8720969;326896;0;0;573002752;51023616;0.74;0.23;0.61;2238292;199311;9750412;797244;8754072;257375;0;0;574368000;37908992;0.74;0.22;0.75;2243625;148082;9566828;592328;8741382;190104;0;0;576226560;24624896;0.74;0.20;0.00;2250885;96191;9388304;384764;8774451;119875;0;0;577848064;11431680;0.74;0.10;0.00;2257219;44655;9207496;178620;8796397;49808;0;0;
1564597540;2195121008;109824;1598464;0.00;0.00;0.00;429;6244;26692;24976;202;66;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;202;66;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;202;66;0;0;100864;1590784;0.00;0.00;0.00;394;6214;26432;24856;202;66;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;202;66;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;202;66;0;0;584058624;1883392;0.74;0.00;0.00;2281479;7357;9155344;29428;8794106;690;0;0;584057856;1878272;0.74;0.00;0.00;2281476;7337;9155252;29348;8786032;663;0;0;584335616;1884416;0.74;0.00;0.00;2282561;7361;9159688;29444;8802181;683;0;0;584092160;1927680;0.74;0.00;0.00;2281610;7530;9156560;30120;8757797;872;0;0;584027392;1915904;0.74;0.00;0.00;2281357;7484;9155364;29936;8760028;803;0;0;584091648;1907712;0.74;0.00;0.00;2281608;7452;9156240;29808;8758681;799;0;0;
1564597541;2195112752;109568;1596928;0.00;0.00;0.00;428;6238;26664;24952;202;66;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;202;66;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;202;66;0;0;100864;1591040;0.00;0.00;0.00;394;6215;26436;24860;202;66;0;0;100608;1590272;0.00;0.00;0.00;393;6212;26420;24848;202;66;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;202;66;0;0;586233600;1806080;0.74;0.00;0.00;2289975;7055;9188120;28220;8750153;377;0;0;586438144;1798912;0.74;0.00;0.00;2290774;7027;9191204;28108;8747844;359;0;0;586684928;1798656;0.74;0.00;0.00;2291738;7026;9195056;28104;8760757;348;0;0;586222592;1817856;0.74;0.00;0.00;2289932;7101;9188132;28404;8710660;412;0;0;585985024;1811456;0.74;0.00;0.00;2289004;7076;9184320;28304;8709528;408;0;0;585614336;1807872;0.74;0.00;0.00;2287556;7062;9178472;28248;8701482;390;0;0;
1564597542;2195110684;109056;1596672;0.00;0.00;0.00;426;6237;26652;24948;202;66;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;202;66;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;202;66;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;202;66;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;202;66;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;202;66;0;0;581182464;1772544;0.74;0.00;0.00;2270244;6924;9108672;27696;8622899;242;0;0;580681984;1773056;0.74;0.00;0.00;2268289;6926;9100860;27704;8614359;230;0;0;580626432;1770240;0.74;0.00;0.00;2268072;6915;9099948;27660;8615283;243;0;0;580039680;1780224;0.74;0.00;0.00;2265780;6954;9090936;27816;8563556;283;0;0;580305920;1780736;0.74;0.00;0.00;2266820;6956;9095104;27824;8567467;247;0;0;580263424;1775872;0.74;0.00;0.00;2266654;6937;9094364;27748;8564354;276;0;0;
1564597543;2195117584;118272;1603840;0.00;0.00;0.00;462;6265;26908;25060;202;66;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;202;66;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;202;66;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;202;66;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;202;66;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;202;66;0;0;579122176;1985280;0.73;0.00;0.00;2262196;7755;9079804;31020;8508127;5945;0;0;579259392;1996032;0.73;0.00;0.00;2262732;7797;9082116;31188;8501538;5954;0;0;579370240;1997056;0.73;0.00;0.00;2263165;7801;9083864;31204;8511989;5855;0;0;578871040;1992960;0.73;0.00;0.00;2261215;7785;9076000;31140;8459157;5848;0;0;578956288;1983744;0.73;0.00;0.00;2261548;7749;9077188;30996;8453472;5798;0;0;578911232;1996800;0.73;0.00;0.00;2261372;7800;9076688;31200;8456276;5973;0;0;
1564597544;2195112978;118784;1605888;0.00;0.00;0.00;464;6273;26948;25092;202;66;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;202;66;0;0;100608;1591808;0.00;0.00;0.00;393;6218;26444;24872;202;66;0;0;101632;1592064;0.00;0.00;0.00;397;6219;26464;24876;202;66;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;202;66;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;202;66;0;0;578785024;1754112;0.73;0.00;0.00;2260879;6852;9070924;27408;8340393;176;0;0;578459648;1767424;0.73;0.00;0.00;2259608;6904;9066048;27616;8336427;228;0;0;578646528;1761536;0.73;0.00;0.00;2260338;6881;9068876;27524;8334578;212;0;0;578101504;1761280;0.73;0.00;0.00;2258209;6880;9060356;27520;8278863;210;0;0;577842688;1759744;0.73;0.00;0.00;2257198;6874;9056288;27496;8264000;197;0;0;578338304;1760000;0.73;0.00;0.00;2259134;6875;9064036;27500;8276589;203;0;0;
1564597545;2195128210;113152;1598976;0.00;0.00;0.00;442;6246;26752;24984;202;66;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;202;66;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;202;66;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;202;66;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;202;66;0;0;100096;1592320;0.00;0.00;0.00;391;6220;26444;24880;202;66;0;0;567466752;1745920;0.73;0.00;0.00;2216667;6820;8893948;27280;8096955;161;0;0;567254784;1756672;0.73;0.00;0.00;2215839;6862;8890804;27448;8101319;192;0;0;567105536;1751296;0.73;0.00;0.00;2215256;6841;8888388;27364;8086076;183;0;0;566165248;1752832;0.72;0.00;0.00;2211583;6847;8873720;27388;8034300;187;0;0;565880064;1746944;0.72;0.00;0.00;2210469;6824;8869172;27296;8017025;171;0;0;566161408;1755136;0.72;0.00;0.00;2211568;6856;8873696;27424;8025110;196;0;0;
1564597546;2195116748;116224;1602304;0.00;0.00;0.00;454;6259;26852;25036;202;66;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;202;66;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;202;66;0;0;101120;1591296;0.00;0.00;0.00;395;6216;26444;24864;202;66;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;202;66;0;0;100608;1590784;0.00;0.00;0.00;393;6214;26428;24856;202;66;0;0;560996608;1737216;0.72;0.00;0.00;2191393;6786;8792716;27144;7951092;128;0;0;560626432;1738240;0.72;0.00;0.00;2189947;6790;8786948;27160;7951772;133;0;0;560761600;1735424;0.72;0.00;0.00;2190475;6779;8789016;27116;7949615;128;0;0;560154624;1735424;0.72;0.00;0.00;2188104;6779;8779532;27116;7899273;136;0;0;559876352;1733632;0.72;0.00;0.00;2187017;6772;8775156;27088;7873824;139;0;0;560605696;1741312;0.72;0.00;0.00;2189866;6802;8786672;27208;7901051;143;0;0;
1564597547;2195123986;113920;1601280;0.00;0.00;0.00;445;6255;26800;25020;202;66;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;202;66;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;202;66;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;202;66;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;202;66;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;202;66;0;0;557445888;1734912;0.72;0.00;0.00;2177523;6777;8737200;27108;7844871;121;0;0;557195264;1734912;0.72;0.00;0.00;2176544;6777;8733284;27108;7853901;141;0;0;557455104;1736192;0.72;0.00;0.00;2177559;6782;8737364;27128;7846859;133;0;0;556695552;1741824;0.72;0.00;0.00;2174592;6804;8725584;27216;7800768;147;0;0;556266496;1736192;0.72;0.00;0.00;2172916;6782;8718792;27128;7777163;149;0;0;556798464;1742848;0.72;0.00;0.00;2174994;6808;8727208;27232;7798185;173;0;0;
1564597548;2195118868;115456;1602816;0.00;0.00;0.00;451;6261;26848;25044;202;66;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;202;66;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;202;66;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;202;66;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;202;66;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;202;66;0;0;550886144;1725440;0.72;0.00;0.00;2151899;6740;8634556;26960;7693280;107;0;0;550647296;1732096;0.72;0.00;0.00;2150966;6766;8630928;27064;7698053;120;0;0;550883840;1728000;0.72;0.00;0.00;2151890;6750;8634560;27000;7693146;107;0;0;550222336;1731584;0.72;0.00;0.00;2149306;6764;8624280;27056;7651467;120;0;0;549750272;1724160;0.72;0.00;0.00;2147462;6735;8616788;26940;7621318;108;0;0;550667008;1935360;0.72;0.00;0.00;2151043;7560;8634412;30240;7651234;5852;0;0;
