# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 13:21:09 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564593670;2195123358;108800;1577984;0.00;0.00;0.00;425;6164;26356;24656;134;33;0;0;99840;1569792;0.00;0.00;0.00;390;6132;26088;24528;134;33;0;0;99072;1573120;0.00;0.00;0.00;387;6145;26128;24580;135;33;0;0;100352;1571840;0.00;0.00;0.00;392;6140;26128;24560;134;33;0;0;98560;1567744;0.00;0.00;0.00;385;6124;26036;24496;134;33;0;0;98560;1563648;0.00;0.00;0.00;385;6108;25972;24432;134;33;0;0;107313408;38784256;0.23;0.48;0.82;419193;151501;2282776;606004;543642;294131;0;0;107600640;38628864;0.23;0.49;0.83;420315;150894;2284836;603576;544538;293770;0;0;108497152;38612736;0.23;0.49;0.83;423817;150831;2298592;603324;548683;293895;0;0;107564800;33522688;0.21;0.46;0.87;420175;130948;2204492;523792;532757;244567;0;0;105040128;22781696;0.16;0.43;0.00;410313;88991;1997216;355964;488993;156450;0;0;93270528;21979392;0.17;0.42;0.00;364338;85857;1800780;343428;439769;149268;0;0;
1564593671;2195127452;113664;1598464;0.00;0.00;0.00;444;6244;26752;24976;134;34;0;0;103936;1593344;0.00;0.00;0.00;406;6224;26520;24896;134;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;134;33;0;0;101632;1590016;0.00;0.00;0.00;397;6211;26432;24844;134;33;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;134;33;0;0;99840;1587968;0.00;0.00;0.00;390;6203;26372;24812;134;33;0;0;19845888;7033344;0.15;0.00;0.00;77523;27474;419988;109896;91714;25714;0;0;19030528;7026432;0.16;0.00;0.00;74338;27447;407140;109788;88230;25756;0;0;18641664;7048192;0.16;0.00;0.00;72819;27532;401404;110128;86553;25821;0;0;19194624;7046144;0.17;0.00;0.00;74979;27524;410012;110096;90323;25628;0;0;19770112;6939904;0.17;0.00;0.00;77227;27109;417344;108436;92947;25321;0;0;18601472;6900736;0.17;0.00;0.00;72662;26956;398472;107824;87381;25179;0;0;
1564593672;2195121288;111360;1600768;0.00;0.00;0.00;435;6253;26752;25012;134;46;0;0;103936;1593856;0.00;0.00;0.00;406;6226;26528;24904;134;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;5643776;5899520;0.29;0.00;0.00;22046;23045;180364;92180;31053;20775;0;0;5732096;5919488;0.29;0.00;0.00;22391;23123;182056;92492;31506;20895;0;0;5744896;5863680;0.29;0.00;0.00;22441;22905;181384;91620;31712;20629;0;0;5788160;5804544;0.30;0.00;0.00;22610;22674;181136;90696;32431;20532;0;0;5783296;5839872;0.30;0.00;0.00;22591;22812;181612;91248;32374;20776;0;0;5661440;5817344;0.30;0.00;0.00;22115;22724;179356;90896;31435;20626;0;0;
1564593673;2195118844;105728;1596928;0.00;0.00;0.00;413;6238;26604;24952;134;41;0;0;101632;1591296;0.00;0.00;0.00;397;6216;26452;24864;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;4321792;5616128;0.36;0.00;0.00;16882;21938;155280;87752;26299;20365;0;0;4316672;5605376;0.36;0.00;0.00;16862;21896;155032;87584;26348;20268;0;0;4397312;5752576;0.36;0.00;0.00;17177;22471;158592;89884;26784;20852;0;0;4502016;5658368;0.36;0.00;0.00;17586;22103;158756;88412;27331;20471;0;0;4464128;5676288;0.36;0.00;0.00;17438;22173;158444;88692;27118;20521;0;0;4381184;5668352;0.36;0.00;0.00;17114;22142;157024;88568;26701;20462;0;0;
1564593674;2195176310;112896;1600512;0.00;0.00;0.00;441;6252;26772;25008;134;37;0;0;101632;1592064;0.00;0.00;0.00;397;6219;26464;24876;134;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;134;33;0;0;102912;1595136;0.00;0.00;0.00;402;6231;26532;24924;134;33;0;0;100352;1593856;0.00;0.00;0.00;392;6226;26472;24904;134;33;0;0;100352;1594880;0.00;0.00;0.00;392;6230;26488;24920;134;33;0;0;983040;4261632;0.61;0.00;0.00;3840;16647;81948;66588;9948;12923;0;0;969728;4141056;0.61;0.00;0.00;3788;16176;79856;64704;9768;12474;0;0;884224;4150784;0.63;0.00;0.00;3454;16214;78672;64856;9271;12367;0;0;865024;4034304;0.60;0.00;0.00;3379;15759;76552;63036;8540;11872;0;0;781056;4003840;0.63;0.00;0.00;3051;15640;74764;62560;8253;11808;0;0;731136;3920640;0.63;0.00;0.00;2856;15315;72684;61260;7680;11371;0;0;
1564593675;2195191558;109056;1596928;0.00;0.00;0.00;426;6238;26656;24952;134;33;0;0;104192;1594880;0.00;0.00;0.00;407;6230;26548;24920;134;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;134;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;134;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;134;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;134;33;0;0;101376;1836544;0.00;0.00;0.00;396;7174;30280;28696;101;1024;0;0;101120;1830912;0.00;0.00;0.00;395;7152;30188;28608;101;1017;0;0;98816;1836032;0.00;0.00;0.00;386;7172;30232;28688;101;1010;0;0;109568;1812992;0.00;0.00;0.00;428;7082;30040;28328;101;957;0;0;109312;1841664;0.00;0.00;0.00;427;7194;30484;28776;101;1096;0;0;101632;1845504;0.00;0.00;0.00;397;7209;30424;28836;101;1113;0;0;
1564593676;2195186796;112384;1601280;0.00;0.00;0.00;439;6255;26776;25020;134;50;0;0;102400;1593600;0.00;0.00;0.00;400;6225;26500;24900;134;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;134;33;0;0;101632;1592576;0.00;0.00;0.00;397;6221;26472;24884;134;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;134;33;0;0;100096;1592320;0.00;0.00;0.00;391;6220;26444;24880;134;33;0;0;166144;1843968;0.44;0.00;0.00;649;7203;31408;28812;1159;2729;0;0;166912;1842176;0.44;0.00;0.00;652;7196;31392;28784;1163;2717;0;0;170496;1837312;0.43;0.00;0.00;666;7177;31372;28708;1170;2693;0;0;166144;1839616;0.48;0.00;0.00;649;7186;31340;28744;1238;2828;0;0;160000;1824512;0.46;0.00;0.00;625;7127;31008;28508;1166;2624;0;0;168192;1809152;0.44;0.00;0.00;657;7067;30896;28268;1169;2603;0;0;
1564593677;2195124936;111360;1598464;0.00;0.00;0.00;435;6244;26716;24976;134;33;0;0;103424;1593344;0.00;0.00;0.00;404;6224;26512;24896;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;134;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;134;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;134;33;0;0;106496;1614848;0.00;0.00;0.00;416;6308;26896;25232;101;112;0;0;100864;1614336;0.00;0.00;0.00;394;6306;26800;25224;101;126;0;0;117760;1626880;0.00;0.00;0.00;460;6355;27260;25420;101;207;0;0;102144;1642752;0.00;0.00;0.00;399;6417;27264;25668;101;256;0;0;104704;1651968;0.00;0.00;0.00;409;6453;27448;25812;101;292;0;0;100096;1649408;0.00;0.00;0.00;391;6443;27336;25772;101;266;0;0;
1564593678;2195162094;116480;1603584;0.00;0.00;0.00;455;6264;26876;25056;134;33;0;0;101376;1591808;0.00;0.00;0.00;396;6218;26456;24872;134;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;134;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;134;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;134;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;134;33;0;0;100352;1697024;0.00;0.00;0.00;392;6629;28084;26516;101;476;0;0;100352;1689600;0.00;0.00;0.00;392;6600;27968;26400;101;421;0;0;94208;1697280;0.00;0.00;0.00;368;6630;27992;26520;101;419;0;0;103680;1655552;0.00;0.00;0.00;405;6467;27488;25868;101;307;0;0;109312;1672704;0.00;0.00;0.00;427;6534;27844;26136;101;359;0;0;106496;1664512;0.00;0.00;0.00;416;6502;27672;26008;101;319;0;0;
1564593679;2195156586;108032;1597696;0.00;0.00;0.00;422;6241;26652;24964;134;45;0;0;101888;1591808;0.00;0.00;0.00;398;6218;26464;24872;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;134;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;134;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;134;33;0;0;102912;1701888;0.00;0.00;0.00;402;6648;28200;26592;101;502;0;0;106240;1690112;0.00;0.00;0.00;415;6602;28068;26408;101;438;0;0;100608;1697280;0.00;0.00;0.00;393;6630;28092;26520;101;482;0;0;100096;1696512;0.00;0.00;0.00;391;6627;28072;26508;101;465;0;0;101888;1684480;0.00;0.00;0.00;398;6580;27912;26320;101;417;0;0;101888;1693696;0.00;0.00;0.00;398;6616;28056;26464;101;445;0;0;
1564593680;2195167004;113920;1600512;0.00;0.00;0.00;445;6252;26788;25008;134;33;0;0;101888;1591808;0.00;0.00;0.00;398;6218;26464;24872;134;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;134;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;134;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;134;33;0;0;101120;1743616;0.00;0.00;0.00;395;6811;28824;27244;101;651;0;0;103168;1744896;0.00;0.00;0.00;403;6816;28876;27264;101;664;0;0;101376;1751552;0.00;0.00;0.00;396;6842;28952;27368;101;686;0;0;99328;1744128;0.00;0.00;0.00;388;6813;28804;27252;101;653;0;0;96256;1743616;0.00;0.00;0.00;376;6811;28748;27244;101;639;0;0;106752;1726464;0.00;0.00;0.00;417;6744;28644;26976;101;591;0;0;
1564593681;2195128738;115200;1602560;0.00;0.00;0.00;450;6260;26840;25040;134;34;0;0;102400;1592320;0.00;0.00;0.00;400;6220;26480;24880;134;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;101888;1592064;0.00;0.00;0.00;398;6219;26468;24876;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;134;33;0;0;157696;1693696;0.40;0.00;0.00;616;6616;28928;26464;1020;1886;0;0;156672;1698304;0.40;0.00;0.00;612;6634;28984;26536;1015;1902;0;0;173056;1702144;0.45;0.00;0.00;676;6649;29300;26596;1236;2254;0;0;173056;1701120;0.45;0.00;0.00;676;6645;29284;26580;1229;2242;0;0;162560;1692672;0.42;0.00;0.00;635;6612;28988;26448;1090;1989;0;0;171520;1700352;0.46;0.00;0.00;670;6642;29248;26568;1231;2227;0;0;
1564593682;2195203002;110336;1597696;0.00;0.00;0.00;431;6241;26688;24964;134;34;0;0;102144;1592576;0.00;0.00;0.00;399;6221;26480;24884;134;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;134;33;0;0;101120;1592576;0.00;0.00;0.00;395;6221;26464;24884;134;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;134;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;134;33;0;0;109056;1686528;0.00;0.00;0.00;426;6588;28056;26352;101;437;0;0;112384;1724160;0.00;0.00;0.00;439;6735;28696;26940;101;606;0;0;106240;1726720;0.00;0.00;0.00;415;6745;28640;26980;101;600;0;0;114688;1718272;0.00;0.00;0.00;448;6712;28640;26848;101;586;0;0;104448;1748480;0.00;0.00;0.00;408;6830;28952;27320;101;671;0;0;102144;1748992;0.00;0.00;0.00;399;6832;28924;27328;101;692;0;0;
