# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 13:14:02 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564593243;2195120220;123904;1594368;0.00;0.00;0.00;484;6228;26848;24912;134;33;0;0;101888;1573888;0.00;0.00;0.00;398;6148;26184;24592;134;33;0;0;99328;1576448;0.00;0.00;0.00;388;6158;26184;24632;134;33;0;0;99072;1573632;0.00;0.00;0.00;387;6147;26136;24588;134;33;0;0;99072;1570816;0.00;0.00;0.00;387;6136;26092;24544;134;33;0;0;98816;1566976;0.00;0.00;0.00;386;6121;26028;24484;134;33;0;0;195183616;242073088;0.29;0.24;0.32;762436;945598;6832136;3782392;1068162;1242291;0;0;198490368;245014784;0.28;0.24;0.32;775353;957089;6929768;3828356;1080202;1254761;0;0;201495808;246755328;0.28;0.23;0.31;787093;963888;7003924;3855552;1088732;1249360;0;0;200120064;239731968;0.26;0.20;0.29;781719;936453;6872688;3745812;1052433;1174890;0;0;200279040;231960064;0.23;0.18;0.27;782340;906094;6753736;3624376;1021963;1100352;0;0;200994048;225336832;0.21;0.14;0.24;785133;880222;6661420;3520888;993670;1029132;0;0;
1564593244;2195129956;123648;1611520;0.00;0.00;0.00;483;6295;27112;25180;134;33;0;0;103424;1593600;0.00;0.00;0.00;404;6225;26516;24900;134;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;138940672;164137472;0.21;0.03;0.19;542737;641162;4735596;2564648;690582;664294;0;0;137547264;163197952;0.22;0.03;0.19;537294;637492;4699144;2549968;685165;660099;0;0;139670528;164690432;0.21;0.03;0.18;545588;643322;4755640;2573288;691333;666227;0;0;137224192;163113216;0.22;0.03;0.19;536032;637161;4692772;2548644;683561;659955;0;0;138627840;164413184;0.22;0.03;0.19;541515;642239;4735016;2568956;690717;665348;0;0;137309184;162584576;0.21;0.03;0.19;536364;635096;4685840;2540384;683145;657573;0;0;
1564593245;2195124792;117504;1605632;0.00;0.00;0.00;459;6272;26924;25088;134;33;0;0;103936;1594368;0.00;0.00;0.00;406;6228;26536;24912;134;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;134;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;134;33;0;0;120280576;145221888;0.24;0.04;0.21;469846;567273;4148476;2269092;614950;589576;0;0;119095552;144676352;0.24;0.04;0.21;465217;565142;4121436;2260568;611145;586773;0;0;120631808;146030848;0.24;0.04;0.21;471218;570433;4166604;2281732;617364;592761;0;0;119256320;144878848;0.24;0.04;0.21;465845;565933;4127112;2263732;611674;587456;0;0;120603392;146028544;0.24;0.04;0.21;471107;570424;4166124;2281696;619452;593343;0;0;119675136;144095232;0.23;0.04;0.21;467481;562872;4121412;2251488;610222;584580;0;0;
1564593246;2195127548;125952;1612288;0.00;0.00;0.00;492;6298;27160;25192;134;33;0;0;102400;1592064;0.00;0.00;0.00;400;6219;26476;24876;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;134;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;102596864;125849344;0.25;0.04;0.24;400769;491599;3569472;1966396;537238;512984;0;0;102961920;128192768;0.26;0.04;0.23;402195;500753;3611792;2003012;545705;522891;0;0;101606400;125478400;0.26;0.04;0.24;396900;490150;3548200;1960600;535341;512392;0;0;100807424;124685824;0.26;0.04;0.24;393779;487054;3523332;1948216;529783;507479;0;0;102352128;126820864;0.26;0.04;0.24;399813;495394;3580828;1981576;540493;517219;0;0;101689600;125585664;0.26;0.04;0.24;397225;490569;3551176;1962276;535785;512222;0;0;
1564593247;2195122064;125952;1612032;0.00;0.00;0.00;492;6297;27156;25188;134;33;0;0;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;134;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;86406656;106397952;0.26;0.05;0.28;337526;415617;3012572;1662468;458811;435376;0;0;87071744;108430336;0.27;0.05;0.27;340124;423556;3054720;1694224;465690;444367;0;0;85304064;106013440;0.27;0.05;0.28;333219;414115;2989336;1656460;455581;433901;0;0;85359104;106170624;0.27;0.04;0.27;333434;414729;2992652;1658916;455002;433886;0;0;85405696;106074880;0.27;0.05;0.28;333616;414355;2991884;1657420;456529;434770;0;0;84253184;104133120;0.26;0.04;0.28;329114;406770;2943536;1627080;447149;425316;0;0;
1564593248;2195122542;116224;1604352;0.00;0.00;0.00;454;6267;26884;25068;134;33;0;0;106240;1595904;0.00;0.00;0.00;415;6234;26596;24936;134;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;134;33;0;0;100864;1589760;0.00;0.00;0.00;394;6210;26416;24840;134;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;134;33;0;0;100096;1588992;0.00;0.00;0.00;391;6207;26392;24828;134;33;0;0;70998272;86697216;0.27;0.05;0.33;277337;338661;2463992;1354644;379221;356833;0;0;71360768;87498496;0.27;0.05;0.33;278753;341791;2482176;1367164;381054;360109;0;0;69746432;85367296;0.27;0.05;0.34;272447;333466;2423652;1333864;373085;351906;0;0;68373760;83340544;0.26;0.05;0.34;267085;325549;2370536;1302196;361498;341784;0;0;70045696;85098496;0.26;0.05;0.33;273616;332416;2424128;1329664;370307;349295;0;0;68229120;82641408;0.26;0.05;0.34;266520;322818;2357352;1291272;360635;339833;0;0;
1564593249;2195120370;119552;1606656;0.00;0.00;0.00;467;6276;26972;25104;134;33;0;0;102400;1592320;0.00;0.00;0.00;400;6220;26480;24880;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;134;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;134;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;134;33;0;0;56705280;68274432;0.27;0.06;0.41;221505;266697;1952808;1066788;303430;284473;0;0;56950784;69094144;0.27;0.06;0.41;222464;269899;1969452;1079596;305298;288092;0;0;56217344;67554560;0.26;0.06;0.42;219599;263885;1933936;1055540;298758;281246;0;0;54234112;64203008;0.25;0.05;0.43;211852;250793;1850580;1003172;280706;264709;0;0;55466240;65885184;0.25;0.06;0.42;216665;257364;1896116;1029456;289833;272925;0;0;53246208;63027712;0.25;0.06;0.44;207993;246202;1816780;984808;277573;261306;0;0;
1564593250;2195118068;119552;1606656;0.00;0.00;0.00;467;6276;26972;25104;134;33;0;0;107008;1596416;0.00;0.00;0.00;418;6236;26616;24944;134;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;134;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;134;33;0;0;44702208;52197888;0.26;0.06;0.52;174618;203898;1514064;815592;235996;217193;0;0;45191680;53281536;0.26;0.06;0.51;176530;208131;1538644;832524;238478;221648;0;0;44630016;52345856;0.26;0.06;0.52;174336;204476;1515248;817904;234319;217177;0;0;41537536;48493312;0.24;0.05;0.55;162256;189427;1406732;757708;214356;199745;0;0;42779648;49967872;0.25;0.05;0.54;167108;195187;1449180;780748;221952;206411;0;0;42280448;49357824;0.24;0.05;0.54;165158;192804;1431848;771216;217723;203108;0;0;
1564593251;2195114558;128000;1615872;0.00;0.00;0.00;500;6312;27248;25248;134;33;0;0;108544;1597952;0.00;0.00;0.00;424;6242;26664;24968;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;134;33;0;0;32163840;36367616;0.24;0.05;0.72;125640;142061;1070804;568244;166084;150107;0;0;33463296;38160384;0.25;0.06;0.69;130716;149064;1119120;596256;173377;158013;0;0;32193792;36188928;0.23;0.05;0.72;125757;141363;1068480;565452;163972;148692;0;0;31188736;35369216;0.23;0.04;0.74;121831;138161;1039968;552644;157458;144289;0;0;31859200;36305920;0.24;0.05;0.72;124450;141820;1065080;567280;164199;149854;0;0;30819328;34856960;0.23;0.05;0.75;120388;136160;1026192;544640;156062;142873;0;0;
1564593252;2195115758;117504;1605376;0.00;0.00;0.00;459;6271;26920;25084;134;33;0;0;112896;1602304;0.00;0.00;0.00;441;6259;26800;25036;134;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;19071488;20373760;0.22;0.02;0.00;74498;79585;616332;318340;95110;81362;0;0;19983872;21601792;0.22;0.03;0.00;78062;84382;649776;337528;99721;86577;0;0;18746368;20220672;0.22;0.02;0.00;73228;78987;608860;315948;93905;80778;0;0;20214016;22050560;0.21;0.02;0.00;78961;86135;660384;344540;100103;87962;0;0;20775168;22628096;0.22;0.03;0.00;81153;88391;678176;353564;103748;90925;0;0;20112128;22101760;0.22;0.03;0.00;78563;86335;659592;345340;101004;88930;0;0;
