# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 13:02:14 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564592535;2195110682;108800;1577984;0.00;0.00;0.00;425;6164;26356;24656;135;33;0;0;100096;1570560;0.00;0.00;0.00;391;6135;26104;24540;135;33;0;0;99072;1573632;0.00;0.00;0.00;387;6147;26136;24588;135;33;0;0;99840;1574656;0.00;0.00;0.00;390;6151;26164;24604;135;33;0;0;99328;1575424;0.00;0.00;0.00;388;6154;26168;24616;135;33;0;0;99072;1575168;0.00;0.00;0.00;387;6153;26160;24612;134;33;0;0;284495872;1083137280;0.75;0.52;0.53;1111312;4231005;21369268;16924020;4405670;8726586;0;0;287887616;1096124416;0.75;0.52;0.53;1124561;4281736;21625188;17126944;4459619;8831765;0;0;290990080;1108190976;0.75;0.51;0.53;1136680;4328871;21862204;17315484;4506634;8916063;0;0;290944256;1106959872;0.75;0.52;0.53;1136501;4324062;21842252;17296248;4505821;8919515;0;0;291055616;1107279616;0.75;0.52;0.53;1136936;4325311;21848988;17301244;4507519;8919559;0;0;290819584;1106207744;0.75;0.52;0.53;1136014;4321124;21828552;17284496;4504242;8913738;0;0;
1564592536;2195133814;109312;1599232;0.00;0.00;0.00;427;6247;26696;24988;134;33;0;0;104192;1595648;0.00;0.00;0.00;407;6233;26560;24932;134;33;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;134;33;0;0;101120;1592064;0.00;0.00;0.00;395;6219;26456;24876;134;33;0;0;100608;1592576;0.00;0.00;0.00;393;6221;26456;24884;134;33;0;0;100608;1593856;0.00;0.00;0.00;393;6226;26476;24904;134;33;0;0;690479616;96968960;0.58;0.49;0.62;2697186;378785;12303884;1515140;6469781;740847;0;0;699585792;83855872;0.58;0.48;0.64;2732757;327562;12241276;1310248;6464735;635590;0;0;708231168;71109888;0.57;0.48;0.67;2766528;277773;12177204;1111092;6460301;533753;0;0;717018880;58557696;0.57;0.47;0.70;2800855;228741;12118384;914964;6455124;431127;0;0;725617408;45555200;0.56;0.46;0.76;2834443;177950;12049572;711800;6448344;327328;0;0;734305536;33281792;0.55;0.43;0.87;2868381;130007;11993552;520028;6444935;229813;0;0;
1564592537;2195144130;110336;1596416;0.00;0.00;0.00;431;6236;26668;24944;134;33;0;0;104192;1593856;0.00;0.00;0.00;407;6226;26532;24904;134;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;134;33;0;0;100352;1593088;0.00;0.00;0.00;392;6223;26460;24892;134;33;0;0;100352;1594368;0.00;0.00;0.00;392;6228;26480;24912;134;33;0;0;100352;1593856;0.00;0.00;0.00;392;6226;26472;24904;134;33;0;0;1029677312;1912320;0.00;0.00;0.00;4022177;7470;16118588;29880;4027623;469;0;0;1021864704;14650880;0.01;0.20;0.00;3991659;57230;16195556;228920;4050643;71207;0;0;1009810688;14732032;0.01;0.20;0.00;3944573;57547;16008480;230188;4003499;71668;0;0;998161664;14586112;0.01;0.20;0.00;3899069;56977;15824184;227908;3958094;71358;0;0;986102528;14631936;0.02;0.20;0.00;3851963;57156;15636476;228624;3910782;71682;0;0;973577216;14636288;0.02;0.20;0.00;3803036;57173;15440836;228692;3861901;71386;0;0;
1564592538;2195194416;115456;1599232;0.00;0.00;0.00;451;6247;26792;24988;134;33;0;0;101632;1589760;0.00;0.00;0.00;397;6210;26428;24840;134;33;0;0;100096;1587712;0.00;0.00;0.00;391;6202;26372;24808;134;33;0;0;100608;1587456;0.00;0.00;0.00;393;6201;26376;24804;134;33;0;0;99840;1585664;0.00;0.00;0.00;390;6194;26336;24776;134;33;0;0;99840;1586176;0.00;0.00;0.00;390;6196;26344;24784;134;33;0;0;4759552;14498816;0.74;0.21;0.00;18592;56636;300912;226544;71845;71556;0;0;93440;1791232;0.00;0.00;0.00;365;6997;29448;27988;101;791;0;0;95232;1692160;0.00;0.00;0.00;372;6610;27928;26440;102;400;0;0;95488;1654528;0.00;0.00;0.00;373;6463;27344;25852;101;248;0;0;102912;1645312;0.00;0.00;0.00;402;6427;27316;25708;101;234;0;0;100096;1640960;0.00;0.00;0.00;391;6410;27204;25640;101;220;0;0;
1564592539;2195201406;109824;1596416;0.00;0.00;0.00;429;6236;26660;24944;134;33;0;0;106240;1595648;0.00;0.00;0.00;415;6233;26592;24932;134;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;134;33;0;0;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;134;33;0;0;102400;1619712;0.00;0.00;0.00;400;6327;26908;25308;101;142;0;0;104704;1617664;0.00;0.00;0.00;409;6319;26912;25276;101;130;0;0;101888;1618176;0.00;0.00;0.00;398;6321;26876;25284;101;137;0;0;100608;1623808;0.00;0.00;0.00;393;6343;26944;25372;101;161;0;0;102656;1621248;0.00;0.00;0.00;401;6333;26936;25332;101;148;0;0;99584;1618176;0.00;0.00;0.00;389;6321;26840;25284;101;139;0;0;
1564592540;2195205430;110080;1597952;0.00;0.00;0.00;430;6242;26688;24968;134;33;0;0;102144;1592832;0.00;0.00;0.00;399;6222;26484;24888;134;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;134;33;0;0;100864;1592320;0.00;0.00;0.00;394;6220;26456;24880;134;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;134;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;134;33;0;0;165888;1686016;0.44;0.00;0.00;648;6586;28936;26344;1162;2058;0;0;167424;1687296;0.45;0.00;0.00;654;6591;28980;26364;1179;2068;0;0;169472;1683968;0.43;0.00;0.00;662;6578;28960;26312;1166;2056;0;0;165632;1687552;0.45;0.00;0.00;647;6592;28956;26368;1172;2079;0;0;168192;1686272;0.44;0.00;0.00;657;6587;28976;26348;1164;2070;0;0;165120;1683200;0.45;0.00;0.00;645;6575;28880;26300;1167;2064;0;0;
1564592541;2195175972;108800;1596928;0.00;0.00;0.00;425;6238;26652;24952;134;33;0;0;105216;1594368;0.00;0.00;0.00;411;6228;26556;24912;134;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;134;33;0;0;100864;1590272;0.00;0.00;0.00;394;6212;26424;24848;134;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;100864;1596160;0.00;0.00;0.00;394;6235;26516;24940;101;59;0;0;100864;1598976;0.00;0.00;0.00;394;6246;26560;24984;101;71;0;0;102144;1600000;0.00;0.00;0.00;399;6250;26596;25000;101;73;0;0;102912;1598464;0.00;0.00;0.00;402;6244;26584;24976;101;61;0;0;100096;1598720;0.00;0.00;0.00;391;6245;26544;24980;101;68;0;0;100608;1596928;0.00;0.00;0.00;393;6238;26524;24952;101;60;0;0;
1564592542;2195195666;113408;1601536;0.00;0.00;0.00;443;6256;26796;25024;134;33;0;0;102656;1593088;0.00;0.00;0.00;401;6223;26496;24892;134;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;134;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;134;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;101632;1601536;0.00;0.00;0.00;397;6256;26612;25024;101;68;0;0;100352;1598976;0.00;0.00;0.00;392;6246;26552;24984;101;68;0;0;122624;1617920;0.00;0.00;0.00;479;6320;27196;25280;101;57;0;0;101120;1601280;0.00;0.00;0.00;395;6255;26600;25020;101;75;0;0;104704;1599232;0.00;0.00;0.00;409;6247;26624;24988;101;59;0;0;102144;1598976;0.00;0.00;0.00;399;6246;26580;24984;101;68;0;0;
1564592543;2195202544;110592;1599232;0.00;0.00;0.00;432;6247;26716;24988;134;33;0;0;103168;1593344;0.00;0.00;0.00;403;6224;26508;24896;134;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;134;33;0;0;101632;1592320;0.00;0.00;0.00;397;6220;26468;24880;134;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;134;33;0;0;104192;1605888;0.00;0.00;0.00;407;6273;26720;25092;101;85;0;0;101632;1604864;0.00;0.00;0.00;397;6269;26664;25076;101;86;0;0;101376;1604096;0.00;0.00;0.00;396;6266;26648;25064;101;79;0;0;104192;1605888;0.00;0.00;0.00;407;6273;26720;25092;101;87;0;0;103424;1610752;0.00;0.00;0.00;404;6292;26784;25168;101;103;0;0;102912;1605888;0.00;0.00;0.00;402;6273;26700;25092;101;86;0;0;
1564592544;2195196304;108288;1595392;0.00;0.00;0.00;423;6232;26620;24928;134;33;0;0;101888;1592064;0.00;0.00;0.00;398;6219;26468;24876;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;134;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;134;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;134;33;0;0;100608;1626880;0.00;0.00;0.00;393;6355;26992;25420;101;173;0;0;101632;1619968;0.00;0.00;0.00;397;6328;26900;25312;101;141;0;0;102400;1619456;0.00;0.00;0.00;400;6326;26904;25304;101;135;0;0;100096;1628160;0.00;0.00;0.00;391;6360;27004;25440;101;175;0;0;100352;1625856;0.00;0.00;0.00;392;6351;26972;25404;101;173;0;0;100096;1621504;0.00;0.00;0.00;391;6334;26900;25336;101;156;0;0;
