# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Jul 31 13:06:50 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1564592811;2195118474;106752;1576192;0.00;0.00;0.00;417;6157;26296;24628;135;33;0;0;106240;1575424;0.00;0.00;0.00;415;6154;26276;24616;134;33;0;0;98560;1565952;0.00;0.00;0.00;385;6117;26008;24468;134;33;0;0;98560;1562880;0.00;0.00;0.00;385;6105;25960;24420;134;33;0;0;98304;1559040;0.00;0.00;0.00;384;6090;25896;24360;134;33;0;0;97792;1555712;0.00;0.00;0.00;382;6077;25836;24308;134;33;0;0;424434432;198563072;0.15;0.26;0.35;1657947;775637;9734336;3102548;1952888;1045749;0;0;427751680;190104320;0.14;0.23;0.34;1670905;742595;9654000;2970380;1932806;967239;0;0;431033344;181204736;0.12;0.20;0.31;1683724;707831;9566220;2831324;1912464;881961;0;0;438676736;170094848;0.10;0.16;0.29;1713581;664433;9512056;2657732;1912338;792247;0;0;441996800;161609472;0.09;0.12;0.26;1726550;631287;9431348;2525148;1896609;713934;0;0;440756736;150074624;0.07;0.05;0.21;1721706;586229;9231740;2344916;1854577;618019;0;0;
1564592812;2195131162;101120;1591296;0.00;0.00;0.00;395;6216;26444;24864;134;33;0;0;108288;1597952;0.00;0.00;0.00;423;6242;26660;24968;134;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;134;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;134;33;0;0;433711616;148585216;0.06;0.01;0.18;1694186;580411;9098388;2321644;1809351;587253;0;0;431838464;147428352;0.06;0.01;0.18;1686869;575892;9051044;2303568;1802376;583062;0;0;434653696;148786176;0.06;0.01;0.18;1697866;581196;9116248;2324784;1811273;588293;0;0;438318080;145341952;0.07;0.01;0.19;1712180;567742;9119688;2270968;1832680;574751;0;0;439602944;145867520;0.07;0.01;0.19;1717199;569795;9147976;2279180;1838224;576576;0;0;436490496;145080320;0.07;0.01;0.19;1705041;566720;9087044;2266880;1827277;573431;0;0;
1564592813;2195132742;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;134;33;0;0;115200;1604608;0.00;0.00;0.00;450;6268;26872;25072;134;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;134;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;134;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;134;33;0;0;431989504;148012544;0.06;0.01;0.18;1687459;578174;9062532;2312696;1804727;586337;0;0;432538624;147623424;0.07;0.01;0.19;1689604;576654;9065032;2306616;1807680;585374;0;0;432325888;148408576;0.06;0.01;0.18;1688773;579721;9073976;2318884;1804147;587837;0;0;439142144;145728512;0.07;0.01;0.19;1715399;569252;9138604;2277008;1836371;577134;0;0;438823424;145534976;0.07;0.01;0.19;1714154;568496;9130600;2273984;1838242;576487;0;0;436135424;144909312;0.07;0.01;0.19;1703654;566052;9078824;2264208;1827132;573997;0;0;
1564592814;2195130156;102912;1592576;0.00;0.00;0.00;402;6221;26492;24884;134;33;0;0;106496;1596160;0.00;0.00;0.00;416;6235;26604;24940;134;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;134;33;0;0;432748288;148761344;0.07;0.01;0.18;1690423;581099;9086088;2324396;1808829;589689;0;0;433076480;148377088;0.06;0.01;0.18;1691705;579598;9085212;2318392;1808727;588368;0;0;432899072;148503808;0.07;0.01;0.18;1691012;580093;9084420;2320372;1808756;588798;0;0;438633728;146023680;0.07;0.01;0.19;1713413;570405;9135272;2281620;1834918;578807;0;0;438434816;145837312;0.07;0.01;0.19;1712636;569677;9129252;2278708;1837868;578042;0;0;435827200;144572928;0.07;0.01;0.19;1702450;564738;9068752;2258952;1826783;573286;0;0;
1564592815;2195125120;102400;1592064;0.00;0.00;0.00;400;6219;26476;24876;134;33;0;0;112896;1602816;0.00;0.00;0.00;441;6261;26808;25044;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;433337088;149135360;0.07;0.01;0.18;1692723;582560;9101132;2330240;1810424;590590;0;0;432082176;147922944;0.06;0.01;0.18;1687821;577824;9062580;2311296;1804454;586177;0;0;433629696;148892672;0.06;0.01;0.18;1693866;581612;9101912;2326448;1810071;589614;0;0;438488832;145986304;0.07;0.01;0.19;1712847;570259;9132424;2281036;1834709;578775;0;0;440386304;146889216;0.07;0.01;0.19;1720259;573786;9176180;2295144;1844030;581956;0;0;435514112;145390592;0.07;0.01;0.19;1701227;567932;9076636;2271728;1824720;576142;0;0;
1564592816;2195131906;103680;1593088;0.00;0.00;0.00;405;6223;26512;24892;134;33;0;0;112896;1602560;0.00;0.00;0.00;441;6260;26804;25040;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;134;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;134;33;0;0;431678208;148293888;0.07;0.02;0.19;1686243;579273;9062064;2317092;1806061;589313;0;0;430701312;147567360;0.07;0.02;0.19;1682427;576435;9035448;2305740;1802706;586855;0;0;432219648;147968000;0.07;0.02;0.19;1688358;578000;9065432;2312000;1806735;588038;0;0;437446912;144862208;0.07;0.02;0.19;1708777;565868;9098580;2263472;1833641;575986;0;0;437256192;144883712;0.07;0.02;0.19;1708032;565952;9095936;2263808;1834680;575866;0;0;435463936;144501760;0.07;0.02;0.19;1701031;564460;9061964;2257840;1826919;574799;0;0;
1564592817;2195130586;103936;1593088;0.00;0.00;0.00;406;6223;26516;24892;134;33;0;0;105984;1595392;0.00;0.00;0.00;414;6232;26584;24928;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;134;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;134;33;0;0;431027456;147845888;0.07;0.01;0.18;1683701;577523;9044896;2310092;1804324;585878;0;0;432089856;147880960;0.07;0.01;0.19;1687851;577660;9062044;2310640;1806027;586255;0;0;432273152;148102144;0.07;0.01;0.18;1688567;578524;9068364;2314096;1807284;586617;0;0;438292736;145307904;0.07;0.01;0.19;1712081;567609;9118760;2270436;1835575;575821;0;0;437327872;144566528;0.07;0.01;0.19;1708312;564713;9092100;2258852;1835475;573095;0;0;436254720;144801792;0.07;0.01;0.19;1704120;565632;9079008;2262528;1829413;573738;0;0;
1564592818;2195132368;104704;1594624;0.00;0.00;0.00;409;6229;26552;24916;134;33;0;0;111616;1601280;0.00;0.00;0.00;436;6255;26764;25020;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;134;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;134;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;134;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;134;33;0;0;432178944;148514304;0.07;0.01;0.18;1688199;580134;9073332;2320536;1808250;588438;0;0;432632064;147675136;0.07;0.01;0.19;1689969;576856;9067300;2307424;1808067;585228;0;0;433356032;148514816;0.07;0.01;0.18;1692797;580136;9091732;2320544;1811038;588496;0;0;438183424;145223936;0.07;0.01;0.19;1711654;567281;9115740;2269124;1834429;575337;0;0;438482432;145744640;0.07;0.01;0.19;1712822;569315;9128548;2277260;1838837;577516;0;0;435818752;144567552;0.07;0.01;0.19;1702417;564717;9068536;2258868;1827013;572957;0;0;
1564592819;2195128848;104704;1593856;0.00;0.00;0.00;409;6226;26540;24904;134;33;0;0;105472;1595904;0.00;0.00;0.00;412;6234;26584;24936;134;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;134;33;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;134;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;134;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;134;33;0;0;431462912;148006144;0.06;0.01;0.18;1685402;578149;9054204;2312596;1801215;585819;0;0;430233600;147250944;0.06;0.01;0.19;1680600;575199;9023196;2300796;1796756;583417;0;0;432694272;148290048;0.06;0.01;0.18;1690212;579258;9077880;2317032;1804156;586904;0;0;436186112;144605696;0.07;0.01;0.19;1703852;564866;9074872;2259464;1824487;572849;0;0;435356160;144097792;0.07;0.01;0.19;1700610;562882;9053968;2251528;1824700;570913;0;0;432205312;143756032;0.07;0.01;0.19;1688302;561547;8999396;2246188;1811271;568904;0;0;
1564592820;2195131312;105216;1594880;0.00;0.00;0.00;411;6230;26564;24920;134;33;0;0;108032;1598208;0.00;0.00;0.00;422;6243;26660;24972;134;33;0;0;100608;1591808;0.00;0.00;0.00;393;6218;26444;24872;134;33;0;0;101376;1592064;0.00;0.00;0.00;396;6219;26460;24876;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;134;33;0;0;432766720;149003520;0.06;0.01;0.18;1690495;582045;9090160;2328180;1807579;588618;0;0;434606080;148886528;0.06;0.01;0.18;1697680;581588;9117072;2326352;1813472;589278;0;0;435531008;149629696;0.06;0.01;0.18;1701293;584491;9143136;2337964;1815298;591226;0;0;440293632;146414080;0.07;0.01;0.19;1719897;571930;9167308;2287720;1842723;579453;0;0;440014080;146176256;0.07;0.01;0.19;1718805;571001;9159224;2284004;1844128;578184;0;0;439021056;146547200;0.07;0.01;0.18;1714926;572450;9149504;2289800;1839087;579279;0;0;
