# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 20 04:08:02 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561018083;2195184014;100608;1596928;0.00;0.00;0.00;393;6238;26524;24952;135;67;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;135;33;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;135;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;135;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;135;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;135;33;0;0;113152;1603072;0.00;0.00;0.00;442;6262;26816;25048;102;33;0;0;113152;1603840;0.00;0.00;0.00;442;6265;26828;25060;102;33;0;0;111616;1602048;0.00;0.00;0.00;436;6258;26776;25032;102;33;0;0;109056;1600512;0.00;0.00;0.00;426;6252;26712;25008;102;33;0;0;102912;1594368;0.00;0.00;0.00;402;6228;26520;24912;102;33;0;0;116992;1608448;0.00;0.00;0.00;457;6283;26960;25132;102;33;0;0;
1561018084;2195087516;4577024;71783424;0.00;0.00;0.00;17879;280404;1193132;1121616;135;300;0;0;4521472;71684608;0.00;0.00;0.00;17662;280018;1190720;1120072;135;33;0;0;4515072;71681536;0.00;0.00;0.00;17637;280006;1190572;1120024;135;33;0;0;4515328;71682048;0.00;0.00;0.00;17638;280008;1190584;1120032;135;33;0;0;4515584;71681280;0.00;0.00;0.00;17639;280005;1190576;1120020;135;33;0;0;4515072;71681792;0.00;0.00;0.00;17637;280007;1190576;1120028;135;33;0;0;196904448;30659135488;0.00;0.75;0.75;769158;119762248;482125624;479048992;99894;475432310;0;0;198172928;30662258432;0.00;0.75;0.75;774113;119774447;482194240;479097788;114534;475447603;0;0;198352640;30663439104;0.00;0.75;0.75;774815;119779059;482215496;479116236;129155;475462917;0;0;199915008;30667133184;0.00;0.75;0.75;780918;119793489;482297628;479173956;143747;475473552;0;0;199278848;30668538368;0.00;0.75;0.75;778433;119798978;482309644;479195912;158469;475487263;0;0;204384256;30675159040;0.00;0.75;0.75;798376;119824840;482492864;479299360;173735;475503650;0;0;
1561018148;140470526432;2042624;31757824;0.00;0.00;0.00;7979;124054;528132;496216;135;57;0;0;2017536;31734528;0.00;0.00;0.00;7881;123963;527376;495852;135;33;0;0;1998336;31721728;0.00;0.00;0.00;7806;123913;526876;495652;135;33;0;0;1997824;31722240;0.00;0.00;0.00;7804;123915;526876;495660;135;33;0;0;1998080;31722496;0.00;0.00;0.00;7805;123916;526884;495664;135;33;0;0;1998592;31723008;0.00;0.00;0.00;7807;123918;526900;495672;135;33;0;0;1806252544;4103247104;0.70;0.25;0.55;7055674;16028309;92335932;64113236;23631778;21411592;0;0;1836283904;4100990208;0.70;0.25;0.55;7172984;16019493;92769908;64077972;23757572;21399094;0;0;1832341504;4098994944;0.70;0.25;0.55;7157584;16011699;92677132;64046796;23744347;21385770;0;0;1810476800;4120592128;0.70;0.25;0.55;7072175;16096063;92672952;64384252;23628554;21372067;0;0;1810106624;4117878016;0.70;0.25;0.55;7070729;16085461;92624760;64341844;23588868;21356814;0;0;1812349696;4114784256;0.70;0.25;0.55;7079491;16073376;92611468;64293504;23627785;21343934;0;0;
1561018212;140470530398;7010048;102331648;0.00;0.00;0.00;27383;399733;1708464;1598932;135;51;0;0;6457600;101840896;0.00;0.00;0.00;25225;397816;1692164;1591264;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413312;101811200;0.00;0.00;0.00;25052;397700;1691008;1590800;135;33;0;0;6413056;101810944;0.00;0.00;0.00;25051;397699;1691000;1590796;135;33;0;0;6413056;101810176;0.00;0.00;0.00;25051;397696;1690988;1590784;135;33;0;0;1713649152;281790208;0.35;0.22;0.00;6693942;1100743;31178740;4402972;10308117;1412783;0;0;1791967744;282382336;0.34;0.22;0.00;6999874;1103056;32411720;4412224;10682349;1412083;0;0;1822994944;282563072;0.34;0.22;0.00;7121074;1103762;32899344;4415048;10861414;1413603;0;0;1709026816;285628160;0.36;0.21;0.00;6675886;1115735;31166484;4462940;10361924;1412845;0;0;1680296448;285614080;0.35;0.21;0.00;6563658;1115680;30717352;4462720;10127038;1412463;0;0;1774616320;286069760;0.35;0.21;0.00;6932095;1117460;32198220;4469840;10650120;1412353;0;0;
1561018276;140470557448;6990592;102317824;0.00;0.00;0.00;27307;399679;1707944;1598716;135;49;0;0;6435328;101824768;0.00;0.00;0.00;25138;397753;1691564;1591012;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;6415616;101812224;0.00;0.00;0.00;25061;397704;1691060;1590816;135;33;0;0;6413568;101810944;0.00;0.00;0.00;25053;397699;1691008;1590796;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;1746129664;291358976;0.34;0.20;0.00;6820819;1138121;31835760;4552484;10369954;1415847;0;0;1785752576;291638784;0.34;0.20;0.00;6975596;1139214;32459240;4556856;10567268;1417329;0;0;1805454848;291025152;0.34;0.20;0.00;7052558;1136817;32757500;4547268;10745057;1416366;0;0;1726787328;295550720;0.35;0.19;0.00;6745263;1154495;31599032;4617980;10403448;1416620;0;0;1685937152;295705600;0.35;0.18;0.00;6585692;1155100;30963168;4620400;10148639;1415454;0;0;1755045376;295775488;0.35;0.18;0.00;6855646;1155373;32044076;4621492;10519247;1416227;0;0;
1561018340;140470532736;7001600;102315776;0.00;0.00;0.00;27350;399671;1708084;1598684;135;36;0;0;6441984;101828608;0.00;0.00;0.00;25164;397768;1691728;1591072;135;33;0;0;6413312;101809920;0.00;0.00;0.00;25052;397695;1690988;1590780;135;33;0;0;6418176;101812224;0.00;0.00;0.00;25071;397704;1691100;1590816;135;33;0;0;6412800;101809920;0.00;0.00;0.00;25050;397695;1690980;1590780;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;1720184832;292288768;0.35;0.20;0.00;6719472;1141753;31444900;4567012;10298075;1419209;0;0;1802345984;291931648;0.34;0.20;0.00;7040414;1140358;32723088;4561432;10678333;1419730;0;0;1800976128;293130240;0.34;0.19;0.00;7035063;1145040;32720412;4580160;10705623;1419449;0;0;1726211840;296655360;0.35;0.18;0.00;6743015;1158810;31607300;4635240;10378274;1420737;0;0;1682672640;296462848;0.35;0.18;0.00;6572940;1158058;30923992;4632232;10093236;1419458;0;0;1766556928;296677376;0.35;0.18;0.00;6900613;1158896;32238036;4635584;10547552;1419293;0;0;
1561018404;140470531330;6980864;102301184;0.00;0.00;0.00;27269;399614;1707532;1598456;135;61;0;0;6420992;101815296;0.00;0.00;0.00;25082;397716;1691192;1590864;135;33;0;0;6413312;101810432;0.00;0.00;0.00;25052;397697;1690996;1590788;135;33;0;0;6413056;101810176;0.00;0.00;0.00;25051;397696;1690988;1590784;135;33;0;0;6413312;101809920;0.00;0.00;0.00;25052;397695;1690988;1590780;135;33;0;0;6413312;101810176;0.00;0.00;0.00;25052;397696;1690992;1590784;135;33;0;0;1722897664;292552448;0.35;0.19;0.00;6730069;1142783;31491408;4571132;10304304;1419256;0;0;1787335424;292461568;0.34;0.19;0.00;6981779;1142428;32496828;4569712;10636596;1419004;0;0;1811757056;293568256;0.34;0.19;0.00;7077176;1146751;32895708;4587004;10804739;1420177;0;0;1723901696;296984832;0.35;0.18;0.00;6733991;1160097;31576352;4640388;10426666;1418864;0;0;1681142016;296880640;0.35;0.18;0.00;6566961;1159690;30906604;4638760;10107972;1418367;0;0;1744802048;297227776;0.35;0.18;0.00;6815633;1161046;31906716;4644184;10485311;1419602;0;0;
1561018468;140470528772;6993920;102321152;0.00;0.00;0.00;27320;399692;1708048;1598768;135;58;0;0;6465024;101845504;0.00;0.00;0.00;25254;397834;1692352;1591336;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;6413056;101809920;0.00;0.00;0.00;25051;397695;1690984;1590780;135;33;0;0;6413056;101809920;0.00;0.00;0.00;25051;397695;1690984;1590780;135;33;0;0;6412800;101809920;0.00;0.00;0.00;25050;397695;1690980;1590780;135;33;0;0;1741565952;295885312;0.35;0.19;0.00;6802992;1155802;31835176;4623208;10388188;1418734;0;0;1792637440;296045312;0.34;0.18;0.00;7002490;1156427;32635668;4625708;10598389;1418470;0;0;1832879104;296166656;0.34;0.18;0.00;7159684;1156901;33266340;4627604;10813285;1417584;0;0;1709035520;299864832;0.35;0.17;0.00;6675920;1171347;31389068;4685388;10302413;1417896;0;0;1691506432;300608256;0.35;0.17;0.00;6607447;1174251;31126792;4697004;10183539;1418870;0;0;1758158336;300645632;0.35;0.17;0.00;6867806;1174397;32168812;4697588;10545592;1418246;0;0;
1561018532;140470532624;6868224;102199808;0.00;0.00;0.00;26829;399218;1704188;1596872;135;39;0;0;6463488;101843968;0.00;0.00;0.00;25248;397828;1692304;1591312;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;6414592;101812224;0.00;0.00;0.00;25057;397704;1691044;1590816;135;33;0;0;6413056;101810944;0.00;0.00;0.00;25051;397699;1691000;1590796;135;33;0;0;6413312;101811712;0.00;0.00;0.00;25052;397702;1691016;1590808;135;33;0;0;1737871360;294148864;0.34;0.19;0.00;6788560;1149019;31750316;4596076;10328334;1417864;0;0;1803530752;294376448;0.34;0.19;0.00;7045042;1149908;32779800;4599632;10646551;1417861;0;0;1817979136;294612224;0.34;0.19;0.00;7101481;1150829;33009240;4603316;10764038;1417943;0;0;1736460544;298765312;0.35;0.18;0.00;6783049;1167052;31800404;4668208;10455487;1417991;0;0;1681100288;298971392;0.35;0.18;0.00;6566798;1167857;30938620;4671428;10086161;1417808;0;0;1739717888;298701568;0.35;0.18;0.00;6795773;1166803;31850304;4667212;10398727;1417138;0;0;
1561018596;140470503232;7263232;102434560;0.00;0.00;0.00;28372;400135;1714028;1600540;135;35;0;0;6439936;101826048;0.00;0.00;0.00;25156;397758;1691656;1591032;135;33;0;0;6413056;101809920;0.00;0.00;0.00;25051;397695;1690984;1590780;135;33;0;0;6417920;101811712;0.00;0.00;0.00;25070;397702;1691088;1590808;135;33;0;0;6413312;101810432;0.00;0.00;0.00;25052;397697;1690996;1590788;135;33;0;0;6413056;101810176;0.00;0.00;0.00;25051;397696;1690988;1590784;135;33;0;0;1734027008;296531200;0.34;0.18;0.00;6773543;1158325;31727472;4633300;10313509;1418346;0;0;1807461888;296963072;0.34;0.18;0.00;7060398;1160012;32881640;4640048;10643457;1418369;0;0;1833083392;296894208;0.34;0.18;0.00;7160482;1159743;33280900;4638972;10822656;1419335;0;0;1704829952;301099008;0.35;0.17;0.00;6659492;1176168;31342640;4704672;10291726;1418206;0;0;1701440000;301229824;0.35;0.17;0.00;6646250;1176679;31291716;4706716;10175231;1418939;0;0;1752622848;301431040;0.35;0.17;0.00;6846183;1177465;32094592;4709860;10502457;1418774;0;0;
