# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 20 08:38:47 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561034328;2195172972;117504;1602816;0.00;0.00;0.00;459;6261;26880;25044;135;33;0;0;100608;1587968;0.00;0.00;0.00;393;6203;26384;24812;135;33;0;0;99840;1587712;0.00;0.00;0.00;390;6202;26368;24808;135;33;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;135;33;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;135;33;0;0;100352;1589248;0.00;0.00;0.00;392;6208;26400;24832;135;33;0;0;101632;1590016;0.00;0.00;0.00;397;6211;26432;24844;102;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;102;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;102;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;102;33;0;0;101888;1591808;0.00;0.00;0.00;398;6218;26464;24872;102;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;
1561034329;2195090578;5154816;72426240;0.00;0.00;0.00;20136;282915;1212204;1131660;135;46;0;0;4566272;71879680;0.00;0.00;0.00;17837;280780;1194468;1123120;135;33;0;0;4526336;71852032;0.00;0.00;0.00;17681;280672;1193412;1122688;135;33;0;0;4526080;71851776;0.00;0.00;0.00;17680;280671;1193404;1122684;135;33;0;0;4525824;71852032;0.00;0.00;0.00;17679;280672;1193404;1122688;135;33;0;0;4525824;71852288;0.00;0.00;0.00;17679;280673;1193408;1122692;135;33;0;0;186779648;30643525888;0.00;0.75;0.75;729608;119701273;481723524;478805092;72037;475395480;0;0;189151488;30646182144;0.00;0.75;0.75;738873;119711649;481802088;478846596;80444;475402523;0;0;187371264;30644660992;0.00;0.75;0.75;731919;119705707;481750504;478822828;89115;475410312;0;0;191737088;30650377984;0.00;0.75;0.75;748973;119728039;481908048;478912156;97278;475413663;0;0;190844160;30649678848;0.00;0.75;0.75;745485;119725308;481883172;478901232;105391;475419394;0;0;192392448;30651912960;0.00;0.75;0.75;751533;119734035;481942272;478936140;114110;475426605;0;0;
1561034393;140470523220;2242048;31782912;0.00;0.00;0.00;8758;124152;531640;496608;135;38;0;0;2002432;31560192;0.00;0.00;0.00;7822;123282;524416;493128;135;33;0;0;1987328;31549696;0.00;0.00;0.00;7763;123241;524016;492964;135;33;0;0;1987072;31549952;0.00;0.00;0.00;7762;123242;524016;492968;135;33;0;0;1987584;31549952;0.00;0.00;0.00;7764;123242;524024;492968;135;33;0;0;1987584;31549952;0.00;0.00;0.00;7764;123242;524024;492968;135;33;0;0;8172985856;13431651584;0.67;0.16;0.26;31925726;52467389;337572460;209869556;97936346;62290957;0;0;8172660480;13437898496;0.67;0.16;0.26;31924455;52491791;337664984;209967164;98042600;62349460;0;0;8176066560;13450755584;0.67;0.16;0.26;31937760;52542014;337919096;210168056;98012034;62374827;0;0;8200416768;13421760000;0.67;0.16;0.26;32032878;52428750;337846512;209715000;98431367;62406409;0;0;8212999936;13425815808;0.67;0.16;0.26;32082031;52444593;338106496;209778372;98569301;62427967;0;0;8205865216;13419843072;0.67;0.16;0.26;32054161;52421262;337901692;209685048;98491656;62370512;0;0;
1561034457;140470558666;7272960;102592000;0.00;0.00;0.00;28410;400750;1716640;1603000;135;36;0;0;6473984;101851392;0.00;0.00;0.00;25289;397857;1692584;1591428;135;33;0;0;6413056;101811200;0.00;0.00;0.00;25051;397700;1691004;1590800;135;33;0;0;6414336;101811712;0.00;0.00;0.00;25056;397702;1691032;1590808;135;33;0;0;6413056;101811456;0.00;0.00;0.00;25051;397701;1691008;1590804;135;33;0;0;6413056;101812480;0.00;0.00;0.00;25051;397705;1691024;1590820;135;33;0;0;26343482880;41494422016;0.65;0.15;0.18;102904230;162087586;1059967264;648350344;297854419;190341675;0;0;26331901952;41471311872;0.65;0.15;0.18;102858992;161997312;1059425216;647989248;298007866;190306393;0;0;26353282816;41518059520;0.65;0.15;0.18;102942511;162179920;1060489724;648719680;298176040;190471341;0;0;26429035264;41437667328;0.65;0.15;0.18;103238419;161865888;1060417228;647463552;299170268;190529299;0;0;26452485376;41464163328;0.66;0.15;0.18;103330021;161969388;1061197636;647877552;299641877;190663363;0;0;26423631360;41394846720;0.65;0.15;0.18;103217310;161698620;1059663720;646794480;299126400;190251957;0;0;
1561034521;140470532132;7305216;102623488;0.00;0.00;0.00;28536;400873;1717636;1603492;135;35;0;0;6455552;101838592;0.00;0.00;0.00;25217;397807;1692096;1591228;135;33;0;0;6413312;101810432;0.00;0.00;0.00;25052;397697;1690996;1590788;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;26315489024;40882584832;0.65;0.15;0.18;102794879;159697597;1049969904;638790388;294072636;187353132;0;0;26320514816;40878409216;0.65;0.15;0.18;102814511;159681286;1049983188;638725144;294321672;187381729;0;0;26311385344;40860115968;0.65;0.15;0.18;102778849;159609828;1049554708;638439312;293954920;187248833;0;0;26387333120;40788993792;0.65;0.15;0.18;103075520;159332007;1049630108;637328028;295216869;187333433;0;0;26425333504;40802028800;0.65;0.15;0.18;103223959;159382925;1050427536;637531700;295410613;187385001;0;0;26392886528;40763003136;0.65;0.15;0.18;103097213;159230481;1049310776;636921924;295111989;187153623;0;0;
1561034585;140470534812;7286272;102603264;0.00;0.00;0.00;28462;400794;1717024;1603176;135;33;0;0;6484224;101859840;0.00;0.00;0.00;25329;397890;1692876;1591560;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;6413568;101810688;0.00;0.00;0.00;25053;397698;1691004;1590792;135;33;0;0;6412800;101810432;0.00;0.00;0.00;25050;397697;1690988;1590788;135;33;0;0;6413312;101810432;0.00;0.00;0.00;25052;397697;1690996;1590788;135;33;0;0;26386200320;40665001728;0.65;0.15;0.18;103071095;158847663;1047675032;635390652;293752314;186284617;0;0;26396168960;40668256768;0.65;0.15;0.18;103110035;158860378;1047881652;635441512;293969719;186290488;0;0;26371789312;40664550912;0.65;0.15;0.18;103014802;158845902;1047442816;635383608;293737594;186278838;0;0;26440082944;40589790208;0.65;0.15;0.18;103281574;158553868;1047341768;634215472;294939478;186348901;0;0;26469735680;40567769856;0.65;0.15;0.18;103397405;158467851;1047461024;633871404;295046623;186226985;0;0;26470011136;40566476288;0.65;0.15;0.18;103398481;158462798;1047445116;633851192;294796961;186184128;0;0;
1561034649;140470541966;7260416;102578944;0.00;0.00;0.00;28361;400699;1716240;1602796;135;37;0;0;6486016;101860352;0.00;0.00;0.00;25336;397892;1692912;1591568;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6412800;101811200;0.00;0.00;0.00;25050;397700;1691000;1590800;135;33;0;0;6413568;101810176;0.00;0.00;0.00;25053;397696;1690996;1590784;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;26415372032;40525022720;0.65;0.15;0.18;103185047;158300870;1045943668;633203480;293390336;185497216;0;0;26403829504;40531286784;0.65;0.15;0.18;103139959;158325339;1045861192;633301356;293602835;185528013;0;0;26393342208;40496598016;0.65;0.15;0.18;103098993;158189836;1045155316;632759344;293127633;185336904;0;0;26458712576;40430496512;0.65;0.15;0.18;103354346;157931627;1045143892;631726508;294443157;185450502;0;0;26497170432;40409252608;0.65;0.15;0.18;103504572;157848643;1045412860;631394572;294529772;185350049;0;0;26503853056;40436555008;0.65;0.15;0.18;103530676;157955293;1045943876;631821172;294589100;185400007;0;0;
1561034713;140470533130;7271424;102586624;0.00;0.00;0.00;28404;400729;1716532;1602916;135;40;0;0;6487808;101862144;0.00;0.00;0.00;25343;397899;1692968;1591596;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;6413312;101811200;0.00;0.00;0.00;25052;397700;1691008;1590800;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;6413568;101811456;0.00;0.00;0.00;25053;397701;1691016;1590804;135;33;0;0;26279560192;40279336448;0.65;0.15;0.18;102654532;157341158;1039982760;629364632;291661318;184249370;0;0;26290638080;40308285184;0.65;0.15;0.18;102697805;157454239;1040608176;629816956;291998237;184389019;0;0;26276084992;40286754560;0.65;0.15;0.18;102640957;157370135;1040044368;629480540;291607759;184282309;0;0;26352983040;40213220096;0.65;0.15;0.18;102941340;157082891;1040096924;628331564;292968535;184351510;0;0;26368125440;40161110528;0.65;0.15;0.18;103000490;156879338;1039519312;627517352;292782635;184094952;0;0;26377846528;40193906176;0.65;0.15;0.18;103038463;157007446;1040183636;628029784;292776386;184181913;0;0;
1561034777;140470535486;7245056;102559232;0.00;0.00;0.00;28301;400622;1715692;1602488;135;36;0;0;6475776;101851392;0.00;0.00;0.00;25296;397857;1692612;1591428;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413056;101809920;0.00;0.00;0.00;25051;397695;1690984;1590780;135;33;0;0;6413056;101809920;0.00;0.00;0.00;25051;397695;1690984;1590780;135;33;0;0;6412800;101810688;0.00;0.00;0.00;25050;397698;1690992;1590792;135;33;0;0;26411665152;40369625856;0.65;0.15;0.18;103170567;157693851;1043457672;630775404;293075283;184766106;0;0;26428965376;40375360512;0.65;0.15;0.18;103238146;157716252;1043817592;630865008;293117696;184762153;0;0;26405520128;40376656896;0.65;0.15;0.18;103146563;157721316;1043471516;630885264;293025057;184819164;0;0;26489732864;40317609472;0.65;0.15;0.18;103475519;157490662;1043864724;629962648;294306474;184926060;0;0;26499102720;40244738048;0.65;0.15;0.18;103512120;157206008;1042872512;628824032;294062658;184590565;0;0;26510191360;40303876352;0.65;0.15;0.18;103555435;157437017;1043969808;629748068;294071096;184768373;0;0;
1561034841;140470532444;7250944;102570240;0.00;0.00;0.00;28324;400665;1715956;1602660;135;35;0;0;6477312;101855232;0.00;0.00;0.00;25302;397872;1692696;1591488;135;33;0;0;6413056;101810176;0.00;0.00;0.00;25051;397696;1690988;1590784;135;33;0;0;6414336;101811200;0.00;0.00;0.00;25056;397700;1691024;1590800;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;6413312;101810944;0.00;0.00;0.00;25052;397699;1691004;1590796;135;33;0;0;26423529216;40331049472;0.65;0.15;0.18;103216911;157543162;1043040292;630172648;292954337;184580856;0;0;26438980608;40311937024;0.65;0.15;0.18;103277268;157468504;1042983088;629874016;293138067;184488515;0;0;26408885248;40314645760;0.65;0.15;0.18;103159708;157479085;1042555172;629916340;292899119;184552503;0;0;26504183552;40280498688;0.65;0.15;0.18;103531967;157345698;1043510660;629382792;294361022;184743792;0;0;26508783616;40203336192;0.65;0.15;0.18;103549936;157044282;1042376872;628177128;293991387;184373595;0;0;26507304448;40242149632;0.65;0.15;0.18;103544158;157195897;1042960220;628783588;293997948;184507426;0;0;
