# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 20 05:23:25 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561022606;2195211678;100352;1588736;0.00;0.00;0.00;392;6206;26392;24824;135;41;0;0;99840;1587200;0.00;0.00;0.00;390;6200;26360;24800;135;33;0;0;100096;1587968;0.00;0.00;0.00;391;6203;26376;24812;135;33;0;0;100096;1587968;0.00;0.00;0.00;391;6203;26376;24812;135;33;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;135;33;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;135;33;0;0;99840;1589248;0.00;0.00;0.00;390;6208;26392;24832;102;33;0;0;103424;1592064;0.00;0.00;0.00;404;6219;26492;24876;102;33;0;0;103680;1591296;0.00;0.00;0.00;405;6216;26484;24864;102;33;0;0;100608;1590272;0.00;0.00;0.00;393;6212;26420;24848;102;33;0;0;105472;1593088;0.00;0.00;0.00;412;6223;26540;24892;102;33;0;0;102912;1591808;0.00;0.00;0.00;402;6218;26480;24872;102;33;0;0;
1561022607;2194992458;4708608;72231424;0.00;0.00;0.00;18393;282154;1202188;1128616;135;1764;0;0;4545024;71673344;0.00;0.00;0.00;17754;279974;1190912;1119896;135;33;0;0;4513280;71652608;0.00;0.00;0.00;17630;279893;1190092;1119572;135;33;0;0;4516864;71654656;0.00;0.00;0.00;17644;279901;1190180;1119604;135;33;0;0;4513536;71653888;0.00;0.00;0.00;17631;279898;1190116;1119592;135;33;0;0;4513536;71654400;0.00;0.00;0.00;17631;279900;1190124;1119600;135;33;0;0;197500160;30659667968;0.00;0.75;0.75;771485;119764328;482143252;479057312;124491;475448649;0;0;199560448;30663416320;0.00;0.75;0.75;779533;119778970;482234012;479115880;140843;475465319;0;0;200852736;30666155008;0.00;0.75;0.75;784581;119789668;482296996;479158672;155881;475481608;0;0;201128960;30668819968;0.00;0.75;0.75;785660;119800078;482342952;479200312;171416;475493283;0;0;203715840;30673114368;0.00;0.75;0.75;795765;119816853;482450472;479267412;188426;475508867;0;0;205912832;30677391616;0.00;0.75;0.75;804347;119833561;482551632;479334244;204777;475526598;0;0;
1561022671;140470558646;2105600;31930880;0.00;0.00;0.00;8225;124730;531820;498920;135;415;0;0;2012672;31759872;0.00;0.00;0.00;7862;124062;527696;496248;135;33;0;0;2000384;31750656;0.00;0.00;0.00;7814;124026;527360;496104;135;33;0;0;1999616;31750144;0.00;0.00;0.00;7811;124024;527340;496096;135;33;0;0;1999872;31749120;0.00;0.00;0.00;7812;124020;527328;496080;135;33;0;0;1999872;31749120;0.00;0.00;0.00;7812;124020;527328;496080;135;33;0;0;14220641536;218638080;0.01;0.10;0.00;55549381;854055;225613744;3416220;56293382;953904;0;0;14253961728;215963648;0.01;0.10;0.00;55679538;843608;226092584;3374432;56411195;938872;0;0;14250995456;213150720;0.01;0.10;0.00;55667951;832620;226002284;3330480;56388035;924132;0;0;14367645952;209993728;0.01;0.10;0.00;56123617;820288;227775620;3281152;56839067;909738;0;0;14348564992;206626816;0.01;0.10;0.00;56049082;807136;227424872;3228544;56752477;893818;0;0;14376016128;203790080;0.01;0.09;0.00;56156313;796055;227809472;3184220;56847972;878447;0;0;
1561022735;140470540906;6769408;102142720;0.00;0.00;0.00;26443;398995;1701752;1595980;135;212;0;0;6425856;101818112;0.00;0.00;0.00;25101;397727;1691312;1590908;135;33;0;0;6412800;101810688;0.00;0.00;0.00;25050;397698;1690992;1590792;135;33;0;0;6414336;101810944;0.00;0.00;0.00;25056;397699;1691020;1590796;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;6413312;101810432;0.00;0.00;0.00;25052;397697;1690996;1590788;135;33;0;0;45943714048;118876672;0.00;0.00;0.00;179467633;464362;719727980;1857448;179682864;35513;0;0;46048572928;118949632;0.00;0.00;0.00;179877238;464647;721367540;1858588;180091787;35557;0;0;46031241472;118919680;0.00;0.00;0.00;179809537;464530;721096268;1858120;180023730;35553;0;0;46374798080;118871040;0.00;0.00;0.00;181151555;464340;726463580;1857360;181384599;35554;0;0;46310430720;118871552;0.00;0.00;0.00;180900120;464342;725457848;1857368;181132666;35511;0;0;46394393600;118911232;0.00;0.00;0.00;181228100;464497;726770388;1857988;181462972;35550;0;0;
1561022799;140470545342;7024384;102375168;0.00;0.00;0.00;27439;399903;1709368;1599612;135;122;0;0;6413312;101809664;0.00;0.00;0.00;25052;397694;1690984;1590776;135;33;0;0;6413312;101809920;0.00;0.00;0.00;25052;397695;1690988;1590780;135;33;0;0;6414592;101810944;0.00;0.00;0.00;25057;397699;1691024;1590796;135;33;0;0;6413568;101810432;0.00;0.00;0.00;25053;397697;1691000;1590788;135;33;0;0;6412800;101811456;0.00;0.00;0.00;25050;397701;1691004;1590804;135;33;0;0;45942923520;118822400;0.00;0.00;0.00;179464545;464150;719714780;1856600;179703565;35538;0;0;46048736768;118898176;0.00;0.00;0.00;179877878;464446;721369296;1857784;180114852;35548;0;0;46033060864;118784000;0.00;0.00;0.00;179816644;464000;721122576;1856000;180055091;35554;0;0;46365111552;118848768;0.00;0.00;0.00;181113717;464253;726311880;1857012;181367281;35553;0;0;46303367936;118834176;0.00;0.00;0.00;180872531;464196;725346908;1856784;181126346;35541;0;0;46387668736;118858496;0.00;0.00;0.00;181201831;464291;726664488;1857164;181456358;35546;0;0;
1561022863;140470536912;7021312;102358016;0.00;0.00;0.00;27427;399836;1709052;1599344;135;81;0;0;6455040;101838080;0.00;0.00;0.00;25215;397805;1692080;1591220;135;33;0;0;6413312;101810176;0.00;0.00;0.00;25052;397696;1690992;1590784;135;33;0;0;6416640;101811968;0.00;0.00;0.00;25065;397703;1691072;1590812;135;33;0;0;6412800;101809920;0.00;0.00;0.00;25050;397695;1690980;1590780;135;33;0;0;6413568;101809664;0.00;0.00;0.00;25053;397694;1690988;1590776;135;33;0;0;45933236480;118928896;0.00;0.00;0.00;179426705;464566;719565084;1858264;179620262;35555;0;0;46039435008;118964480;0.00;0.00;0.00;179841543;464705;721224992;1858820;180033776;35558;0;0;46021168896;118961152;0.00;0.00;0.00;179770191;464692;720939532;1858768;179963307;35553;0;0;46369889024;119028480;0.00;0.00;0.00;181132379;464955;726389336;1859820;181344737;35553;0;0;46306283776;118942976;0.00;0.00;0.00;180883921;464621;725394168;1858484;181095899;35556;0;0;46388540928;118932736;0.00;0.00;0.00;181205238;464581;726679276;1858324;181418142;35559;0;0;
1561022927;140470541260;7068672;102396416;0.00;0.00;0.00;27612;399986;1710392;1599944;135;63;0;0;6441216;101829888;0.00;0.00;0.00;25161;397773;1691736;1591092;135;33;0;0;6413312;101810944;0.00;0.00;0.00;25052;397699;1691004;1590796;135;33;0;0;6415616;101812480;0.00;0.00;0.00;25061;397705;1691064;1590820;135;33;0;0;6413312;101810176;0.00;0.00;0.00;25052;397696;1690992;1590784;135;33;0;0;6413056;101810944;0.00;0.00;0.00;25051;397699;1691000;1590796;135;33;0;0;45938150912;118894848;0.00;0.00;0.00;179445902;464433;719641340;1857732;179636814;35601;0;0;46043726080;118972416;0.00;0.00;0.00;179858305;464736;721292164;1858944;180047954;35558;0;0;46028416768;119000064;0.00;0.00;0.00;179798503;464844;721053388;1859376;179987190;35555;0;0;46364524288;118937344;0.00;0.00;0.00;181111423;464599;726304088;1858396;181320566;35557;0;0;46301120512;118914560;0.00;0.00;0.00;180863752;464510;725313048;1858040;181073115;35583;0;0;46385458176;118957056;0.00;0.00;0.00;181193196;464676;726631488;1858704;181402623;35560;0;0;
1561022991;140470541508;6878976;102245376;0.00;0.00;0.00;26871;399396;1705068;1597584;135;210;0;0;6453248;101836800;0.00;0.00;0.00;25208;397800;1692032;1591200;135;33;0;0;6412800;101810176;0.00;0.00;0.00;25050;397696;1690984;1590784;135;33;0;0;6413312;101810432;0.00;0.00;0.00;25052;397697;1690996;1590788;135;33;0;0;6413056;101809664;0.00;0.00;0.00;25051;397694;1690980;1590776;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;45947060480;119224320;0.00;0.00;0.00;179480705;465720;719785700;1862880;179710544;35516;0;0;46051199232;118955264;0.00;0.00;0.00;179887497;464669;721408664;1858676;180117927;35556;0;0;46034547968;118965760;0.00;0.00;0.00;179822453;464710;721148652;1858840;180053874;35556;0;0;46373023232;118931968;0.00;0.00;0.00;181144622;464578;726436800;1858312;181391897;35554;0;0;46310375680;119016192;0.00;0.00;0.00;180899905;464907;725459248;1859628;181145720;35527;0;0;46393632768;118949888;0.00;0.00;0.00;181225128;464648;726759104;1858592;181474739;35556;0;0;
1561023055;140470544852;6725120;102057472;0.00;0.00;0.00;26270;398662;1699728;1594648;135;51;0;0;6421248;101815808;0.00;0.00;0.00;25083;397718;1691204;1590872;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;45950421760;119974144;0.00;0.00;0.00;179493835;468649;719849936;1874596;179712182;35547;0;0;46056608000;119345664;0.00;0.00;0.00;179908625;466194;721499276;1864776;180128354;35553;0;0;46039834368;119329792;0.00;0.00;0.00;179843103;466132;721236940;1864528;180063500;35553;0;0;46377434112;119864064;0.00;0.00;0.00;181161852;468219;726520284;1872876;181396603;35558;0;0;46312270592;119264000;0.00;0.00;0.00;180907307;465875;725492728;1863500;181144677;35554;0;0;46397375744;119321856;0.00;0.00;0.00;181239749;466101;726823400;1864404;181478510;35550;0;0;
1561023119;140470534702;6756608;119447040;0.00;0.00;0.00;26393;466590;1971932;1866360;135;69373;0;0;6440704;101827328;0.00;0.00;0.00;25159;397763;1691688;1591052;135;33;0;0;6413056;101810176;0.00;0.00;0.00;25051;397696;1690988;1590784;135;33;0;0;6414592;101811456;0.00;0.00;0.00;25057;397701;1691032;1590804;135;33;0;0;6413568;101809920;0.00;0.00;0.00;25053;397695;1690992;1590780;135;33;0;0;6413312;101811200;0.00;0.00;0.00;25052;397700;1691008;1590800;135;33;0;0;45926205440;119442176;0.00;0.00;0.00;179399240;466571;719463244;1866284;179563650;35611;0;0;46033032704;119721472;0.00;0.00;0.00;179816534;467662;721136784;1870648;179979117;35556;0;0;46015236864;119015424;0.00;0.00;0.00;179747019;464904;720847692;1859616;179913385;35555;0;0;46370247936;119659776;0.00;0.00;0.00;181133781;467421;726404808;1869684;181319142;35558;0;0;46304615936;119240960;0.00;0.00;0.00;180877406;465785;725372764;1863140;181064095;35600;0;0;46391081216;119641088;0.00;0.00;0.00;181215161;467348;726730036;1869392;181401944;35558;0;0;
