# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 20 09:32:58 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561037579;2195173254;114688;1601280;0.00;0.00;0.00;448;6255;26812;25020;135;33;0;0;99840;1587712;0.00;0.00;0.00;390;6202;26368;24808;135;33;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;135;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;135;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;135;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;135;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;102;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;102;33;0;0;101120;1591808;0.00;0.00;0.00;395;6218;26452;24872;102;33;0;0;101376;1592064;0.00;0.00;0.00;396;6219;26460;24876;102;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;102;33;0;0;100864;1592576;0.00;0.00;0.00;394;6221;26460;24884;102;33;0;0;
1561037580;2195083410;5135616;72400640;0.00;0.00;0.00;20061;282815;1211504;1131260;135;132;0;0;4524800;71830528;0.00;0.00;0.00;17675;280588;1193052;1122352;135;33;0;0;4524800;71830528;0.00;0.00;0.00;17675;280588;1193052;1122352;135;33;0;0;4524544;71828992;0.00;0.00;0.00;17674;280582;1193024;1122328;135;33;0;0;4524544;71828736;0.00;0.00;0.00;17674;280581;1193020;1122324;135;33;0;0;4524800;71828992;0.00;0.00;0.00;17675;280582;1193028;1122328;135;33;0;0;186666240;30647130624;0.00;0.75;0.75;729165;119715354;481778076;478861416;98167;475428595;0;0;188396800;30650175744;0.00;0.75;0.75;735925;119727249;481852696;478908996;111582;475442391;0;0;187138304;30649857024;0.00;0.75;0.75;731009;119726004;481828052;478904016;125329;475456374;0;0;190716416;30655680256;0.00;0.75;0.75;744986;119748751;481974948;478995004;138219;475465787;0;0;193757184;30659463680;0.00;0.75;0.75;756864;119763530;482081576;479054120;151253;475477422;0;0;195020288;30662351360;0.00;0.75;0.75;761798;119774810;482146432;479099240;164113;475491312;0;0;
1561037644;140470549564;2272512;31823360;0.00;0.00;0.00;8877;124310;532748;497240;135;41;0;0;1988608;31572992;0.00;0.00;0.00;7768;123332;524400;493328;135;33;0;0;1988864;31573504;0.00;0.00;0.00;7769;123334;524412;493336;135;33;0;0;1988608;31573760;0.00;0.00;0.00;7768;123335;524412;493340;135;33;0;0;1988864;31574016;0.00;0.00;0.00;7769;123336;524420;493344;135;33;0;0;1988864;31574528;0.00;0.00;0.00;7769;123338;524428;493352;135;33;0;0;5391391744;4344736768;0.06;0.01;0.38;21060124;16971628;152127008;67886512;22378786;17078697;0;0;5373232640;4335358208;0.06;0.01;0.38;20989190;16934993;151696732;67739972;22292678;17035991;0;0;5388118528;4339339776;0.06;0.01;0.38;21047338;16950546;151991536;67802184;22346521;17050339;0;0;5167945472;4246083328;0.06;0.01;0.39;20187287;16586263;147094200;66345052;21585088;16702039;0;0;5163323648;4242669312;0.06;0.01;0.39;20169233;16572927;146968640;66291708;21560247;16688571;0;0;5165619456;4241661952;0.06;0.01;0.39;20178201;16568992;146988772;66275968;21559980;16681250;0;0;
1561037708;140470547762;7267072;102575360;0.00;0.00;0.00;28387;400685;1716288;1602740;135;36;0;0;6413568;101810688;0.00;0.00;0.00;25053;397698;1691004;1590792;135;33;0;0;6413056;101810944;0.00;0.00;0.00;25051;397699;1691000;1590796;135;33;0;0;6413568;101810432;0.00;0.00;0.00;25053;397697;1691000;1590788;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;17339180800;13606408704;0.03;0.00;0.11;67731175;53150034;483524836;212600136;69626152;52653205;0;0;17284373504;13580033280;0.03;0.00;0.11;67517084;53047005;482256356;212188020;69406805;52553110;0;0;17336583936;13601442816;0.03;0.00;0.11;67721031;53130636;483406668;212522544;69619671;52638449;0;0;16637917440;13318319104;0.03;0.00;0.12;64991865;52024684;468066196;208098736;67253670;51587027;0;0;16623430656;13313713408;0.03;0.00;0.12;64935276;52006693;467767876;208026772;67191510;51566793;0;0;16626596352;13312454400;0.03;0.00;0.12;64947642;52001775;467797668;208007100;67215742;51568522;0;0;
1561037772;140470537954;7321088;103351040;0.00;0.00;0.00;28598;403715;1729252;1614860;135;2951;0;0;6412800;101809920;0.00;0.00;0.00;25050;397695;1690980;1590780;135;33;0;0;6413312;101810176;0.00;0.00;0.00;25052;397696;1690992;1590784;134;33;0;0;6414080;101810688;0.00;0.00;0.00;25055;397698;1691012;1590792;135;33;0;0;6413312;101809408;0.00;0.00;0.00;25052;397693;1690980;1590772;135;33;0;0;6413312;101810176;0.00;0.00;0.00;25052;397696;1690992;1590784;135;33;0;0;17330069248;13577513472;0.03;0.00;0.11;67695583;53037162;482930980;212148648;69462472;52481696;0;0;17278434816;13553279232;0.03;0.00;0.11;67493886;52942497;481745532;211769988;69244153;52383132;0;0;17329428736;13574525440;0.03;0.00;0.11;67693081;53025490;482874284;212101960;69451051;52467733;0;0;16621833216;13288482560;0.03;0.00;0.11;64929036;51908135;467348684;207632540;67059951;51412111;0;0;16602870272;13281435392;0.03;0.00;0.11;64854962;51880607;466942276;207522428;66985959;51386437;0;0;16605668096;13278892800;0.03;0.00;0.12;64865891;51870675;466946264;207482700;66997791;51383781;0;0;
1561037836;140470534908;7255296;102561792;0.00;0.00;0.00;28341;400632;1715892;1602528;135;34;0;0;6413312;101810944;0.00;0.00;0.00;25052;397699;1691004;1590796;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;6415360;101811456;0.00;0.00;0.00;25060;397701;1691044;1590804;135;33;0;0;6412800;101811456;0.00;0.00;0.00;25050;397701;1691004;1590804;135;33;0;0;6413312;101812480;0.00;0.00;0.00;25052;397705;1691028;1590820;135;33;0;0;17314014720;13573187840;0.02;0.00;0.11;67632870;53020265;482612540;212081060;69340543;52441633;0;0;17263917056;13548695808;0.02;0.00;0.11;67437176;52924593;481447076;211698372;69149634;52353763;0;0;17316290816;13573014272;0.02;0.00;0.11;67641761;53019587;482645392;212078348;69351270;52438739;0;0;16647549696;13306138880;0.03;0.00;0.11;65029491;51977105;468026384;207908420;67107617;51455710;0;0;16627008256;13298622976;0.03;0.00;0.11;64949251;51947746;467587988;207790984;67035745;51433134;0;0;16634558976;13300851456;0.03;0.00;0.11;64978746;51956451;467740788;207825804;67040946;51430650;0;0;
1561037900;140470536410;7272192;102582016;0.00;0.00;0.00;28407;400711;1716472;1602844;135;34;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;6413312;101810176;0.00;0.00;0.00;25052;397696;1690992;1590784;135;33;0;0;6415360;101812224;0.00;0.00;0.00;25060;397704;1691056;1590816;135;33;0;0;6413312;101809920;0.00;0.00;0.00;25052;397695;1690988;1590780;135;33;0;0;6412800;101809664;0.00;0.00;0.00;25050;397694;1690976;1590776;135;33;0;0;17277276160;13538982144;0.02;0.00;0.11;67489360;52886649;481504036;211546596;69177336;52320730;0;0;17236115712;13518958336;0.02;0.00;0.11;67328577;52808431;480548032;211233724;69021909;52250698;0;0;17276296448;13534053120;0.02;0.00;0.11;67485533;52867395;481411712;211469580;69180558;52310337;0;0;16621003776;13278941696;0.03;0.00;0.11;64925796;51870866;467186648;207483464;66995526;51366500;0;0;16600511488;13271906560;0.03;0.00;0.11;64845748;51843385;466756532;207373540;66904062;51335167;0;0;16598879488;13268523520;0.03;0.00;0.11;64839373;51830170;466678172;207320680;66905856;51327831;0;0;
1561037964;140470552548;7312640;102622464;0.00;0.00;0.00;28565;400869;1717736;1603476;135;35;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;6413056;101810176;0.00;0.00;0.00;25051;397696;1690988;1590784;135;33;0;0;6414336;101811456;0.00;0.00;0.00;25056;397701;1691028;1590804;135;33;0;0;6413056;101809664;0.00;0.00;0.00;25051;397694;1690980;1590776;135;33;0;0;6413312;101810432;0.00;0.00;0.00;25052;397697;1690996;1590788;135;33;0;0;17293705984;13575417088;0.02;0.00;0.11;67553539;53028973;482330048;212115892;69279484;52469426;0;0;17260954624;13557587968;0.02;0.00;0.11;67425604;52959328;481539728;211837312;69137230;52396866;0;0;17292579328;13570003200;0.02;0.00;0.11;67549138;53007825;482227852;212031300;69261540;52447432;0;0;16644524800;13315187456;0.03;0.00;0.11;65017675;52012451;468120504;208049804;67113677;51508203;0;0;16615718400;13303225600;0.03;0.00;0.11;64905150;51965725;467483500;207862900;67007352;51468152;0;0;16614778368;13301304576;0.03;0.00;0.11;64901478;51958221;467438796;207832884;66995029;51458154;0;0;
1561038028;140470510146;7233024;102543872;0.00;0.00;0.00;28254;400562;1715264;1602248;135;33;0;0;6413056;101809920;0.00;0.00;0.00;25051;397695;1690984;1590780;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413056;101809920;0.00;0.00;0.00;25051;397695;1690984;1590780;135;33;0;0;6413056;101811200;0.00;0.00;0.00;25051;397700;1691004;1590800;135;33;0;0;17333276672;13612368896;0.03;0.00;0.11;67708112;53173316;483525712;212693264;69457092;52618389;0;0;17308407808;13597898752;0.03;0.00;0.11;67610968;53116792;482911040;212467168;69349536;52562803;0;0;17330505472;13607485696;0.03;0.00;0.11;67697287;53154241;483406112;212616964;69433569;52598939;0;0;16684496640;13351639808;0.03;0.00;0.11;65173815;52154843;469314632;208619372;67292004;51654191;0;0;16657941760;13340369920;0.03;0.00;0.11;65070085;52110820;468723620;208443280;67196372;51616488;0;0;16654212608;13337751808;0.03;0.00;0.11;65055518;52100593;468624444;208402372;67172907;51602632;0;0;
1561038092;140470575282;7287296;102603776;0.00;0.00;0.00;28466;400796;1717048;1603184;135;33;0;0;6413568;101809920;0.00;0.00;0.00;25053;397695;1690992;1590780;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413312;101811200;0.00;0.00;0.00;25052;397700;1691008;1590800;135;33;0;0;17314297856;13580207616;0.02;0.00;0.11;67633976;53047686;482726648;212190744;69318178;52462703;0;0;17293141248;13567744256;0.02;0.00;0.11;67551333;52999001;482201336;211996004;69227618;52414941;0;0;17294722304;13568391936;0.02;0.00;0.11;67557509;53001531;482236160;212006124;69243743;52416798;0;0;16652921600;13314118656;0.03;0.00;0.11;65050475;52008276;468235004;208033104;67117766;51489214;0;0;16632332544;13307339520;0.03;0.00;0.11;64970049;51981795;467807376;207927180;67033732;51455799;0;0;16622662144;13299880448;0.03;0.00;0.11;64932274;51952658;467539728;207810632;66975394;51424643;0;0;
