# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Fri Jun 21 02:30:57 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561098658;2195192224;114176;1601536;0.00;0.00;0.00;446;6256;26808;25024;135;34;0;0;100608;1588992;0.00;0.00;0.00;393;6207;26400;24828;135;33;0;0;100352;1589248;0.00;0.00;0.00;392;6208;26400;24832;135;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;135;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;135;33;0;0;102144;1597440;0.00;0.00;0.00;399;6240;26556;24960;102;46;0;0;100608;1596416;0.00;0.00;0.00;393;6236;26516;24944;102;47;0;0;100096;1597184;0.00;0.00;0.00;391;6239;26520;24956;102;47;0;0;100352;1597184;0.00;0.00;0.00;392;6239;26524;24956;102;44;0;0;101632;1597184;0.00;0.00;0.00;397;6239;26544;24956;102;44;0;0;100864;1597952;0.00;0.00;0.00;394;6242;26544;24968;102;47;0;0;
1561098659;2195144540;1169864704;183553773312;0.00;0.75;0.75;4569784;717006927;2886306844;2868027708;137224;2852188810;0;0;8164864;127910912;0.00;0.00;0.00;31894;499652;2126184;1998608;135;33;0;0;8051968;127833600;0.00;0.00;0.00;31453;499350;2123212;1997400;135;33;0;0;8051968;127840512;0.00;0.00;0.00;31453;499377;2123320;1997508;135;33;0;0;8052224;127838976;0.00;0.00;0.00;31454;499371;2123300;1997484;135;33;0;0;8052224;127847680;0.00;0.00;0.00;31454;499405;2123436;1997620;134;33;0;0;8177920;128099840;0.00;0.00;0.00;31945;500390;2129340;2001560;102;622;0;0;8183808;128090368;0.00;0.00;0.00;31968;500353;2129284;2001412;102;620;0;0;8390656;128369408;0.00;0.00;0.00;32776;501443;2136876;2005772;102;578;0;0;8172032;128143616;0.00;0.00;0.00;31922;500561;2129932;2002244;102;633;0;0;8185856;128093952;0.00;0.00;0.00;31976;500367;2129372;2001468;102;593;0;0;8164864;128062976;0.00;0.00;0.00;31894;500246;2128560;2000984;102;610;0;0;
1561098787;280940822654;15659191552;31345883392;0.63;0.07;0.16;61168717;122444857;734454296;489779428;167002652;131252091;0;0;4943872;77430784;0.00;0.00;0.00;19312;302464;1287104;1209856;135;33;0;0;4874240;77384192;0.00;0.00;0.00;19040;302282;1285288;1209128;135;33;0;0;4874496;77382656;0.00;0.00;0.00;19041;302276;1285268;1209104;135;33;0;0;4874240;77381376;0.00;0.00;0.00;19040;302271;1285244;1209084;135;33;0;0;4873728;77387008;0.00;0.00;0.00;19038;302293;1285324;1209172;136;33;0;0;4940800;77450240;0.00;0.00;0.00;19300;302540;1287360;1210160;102;92;0;0;4937728;77451264;0.00;0.00;0.00;19288;302544;1287328;1210176;102;111;0;0;5514496;78029568;0.00;0.00;0.00;21541;304803;1305376;1219212;102;92;0;0;4951552;77493248;0.00;0.00;0.00;19342;302708;1288200;1210832;102;117;0;0;4937216;77453568;0.00;0.00;0.00;19286;302553;1287356;1210212;102;117;0;0;4932864;77435136;0.00;0.00;0.00;19269;302481;1287000;1209924;102;117;0;0;
1561098915;280940814480;26554346496;3041203456;0.29;0.28;0.00;103727916;11879701;462430468;47518804;145525413;16548203;0;0;12955904;203717120;0.00;0.00;0.00;50609;795770;3385516;3183080;135;33;0;0;12826112;203631872;0.00;0.00;0.00;50102;795437;3382156;3181748;135;33;0;0;12826368;203641344;0.00;0.00;0.00;50103;795474;3382308;3181896;135;33;0;0;12826112;203632384;0.00;0.00;0.00;50102;795439;3382164;3181756;135;33;0;0;12826368;203653120;0.00;0.00;0.00;50103;795520;3382492;3182080;135;33;0;0;13016832;203814144;0.00;0.00;0.00;50847;796149;3387984;3184596;102;69;0;0;13021696;203821312;0.00;0.00;0.00;50866;796177;3388172;3184708;102;62;0;0;13043968;203899392;0.00;0.00;0.00;50953;796482;3389740;3185928;102;86;0;0;13052416;203945216;0.00;0.00;0.00;50986;796661;3390588;3186644;102;70;0;0;13017600;203839232;0.00;0.00;0.00;50850;796247;3388388;3184988;102;67;0;0;13003264;203759616;0.00;0.00;0.00;50794;795936;3386920;3183744;102;83;0;0;
1561099043;280940839774;26537442048;3052274432;0.29;0.28;0.00;103661883;11922947;462339320;47691788;145560214;16557069;0;0;12893184;203667200;0.00;0.00;0.00;50364;795575;3383756;3182300;135;33;0;0;12826624;203633664;0.00;0.00;0.00;50104;795444;3382192;3181776;135;33;0;0;12827136;203643904;0.00;0.00;0.00;50106;795484;3382360;3181936;135;33;0;0;12826368;203639552;0.00;0.00;0.00;50103;795467;3382280;3181868;135;33;0;0;12826368;203662336;0.00;0.00;0.00;50103;795556;3382636;3182224;135;33;0;0;13040384;203836416;0.00;0.00;0.00;50939;796236;3388700;3184944;102;57;0;0;13019648;203824896;0.00;0.00;0.00;50858;796191;3388196;3184764;102;55;0;0;13005568;203869440;0.00;0.00;0.00;50803;796365;3388672;3185460;102;48;0;0;13047552;203959296;0.00;0.00;0.00;50967;796716;3390732;3186864;102;58;0;0;12998912;203831296;0.00;0.00;0.00;50777;796216;3387972;3184864;102;58;0;0;13008640;203764992;0.00;0.00;0.00;50815;795957;3387088;3183828;102;52;0;0;
1561099171;280940808386;26439674368;3043452416;0.29;0.28;0.00;103279978;11888486;460673856;47553944;145104375;16593848;0;0;12945920;203708416;0.00;0.00;0.00;50570;795736;3385224;3182944;135;33;0;0;12826368;203638784;0.00;0.00;0.00;50103;795464;3382268;3181856;135;33;0;0;12826624;203644672;0.00;0.00;0.00;50104;795487;3382364;3181948;135;33;0;0;12826368;203643136;0.00;0.00;0.00;50103;795481;3382336;3181924;135;33;0;0;12826368;203671808;0.00;0.00;0.00;50103;795593;3382784;3182372;135;33;0;0;12999424;203795200;0.00;0.00;0.00;50779;796075;3387416;3184300;102;37;0;0;13007360;203820032;0.00;0.00;0.00;50810;796172;3387928;3184688;102;37;0;0;13019392;203918848;0.00;0.00;0.00;50857;796558;3389660;3186232;102;41;0;0;13014016;203937280;0.00;0.00;0.00;50836;796630;3389864;3186520;102;41;0;0;13043200;203870208;0.00;0.00;0.00;50950;796368;3389272;3185472;102;40;0;0;13021696;203776000;0.00;0.00;0.00;50866;796000;3387464;3184000;102;42;0;0;
1561099299;280940814744;24860145920;3036735488;0.29;0.30;0.00;97109945;11862248;435888772;47448992;137459636;16894193;0;0;12914432;203693312;0.00;0.00;0.00;50447;795677;3384496;3182708;135;33;0;0;12826112;203638784;0.00;0.00;0.00;50102;795464;3382264;3181856;135;33;0;0;12826112;203649280;0.00;0.00;0.00;50102;795505;3382428;3182020;135;33;0;0;12826112;203645952;0.00;0.00;0.00;50102;795492;3382376;3181968;135;33;0;0;12826368;203676672;0.00;0.00;0.00;50103;795612;3382860;3182448;135;33;0;0;13010432;203814144;0.00;0.00;0.00;50822;796149;3387884;3184596;102;39;0;0;13027840;203844352;0.00;0.00;0.00;50890;796267;3388628;3185068;102;40;0;0;12988160;203930880;0.00;0.00;0.00;50735;796605;3389360;3186420;102;45;0;0;13021952;203944192;0.00;0.00;0.00;50867;796657;3390096;3186628;102;41;0;0;13000192;203850496;0.00;0.00;0.00;50782;796291;3388292;3185164;102;38;0;0;12996864;203764480;0.00;0.00;0.00;50769;795955;3386896;3183820;102;42;0;0;
1561099427;280940778972;24963789824;3043118592;0.29;0.30;0.00;97514804;11887182;437607944;47548728;138106399;16896491;0;0;12945664;203714048;0.00;0.00;0.00;50569;795758;3385308;3183032;135;33;0;0;12826368;203631616;0.00;0.00;0.00;50103;795436;3382156;3181744;135;33;0;0;12826112;203639040;0.00;0.00;0.00;50102;795465;3382268;3181860;135;33;0;0;12826368;203637504;0.00;0.00;0.00;50103;795459;3382248;3181836;135;33;0;0;12826624;203668736;0.00;0.00;0.00;50104;795581;3382740;3182324;135;33;0;0;13037568;203821056;0.00;0.00;0.00;50928;796176;3388416;3184704;102;35;0;0;13027328;203847680;0.00;0.00;0.00;50888;796280;3388672;3185120;102;34;0;0;13033984;203964160;0.00;0.00;0.00;50914;796735;3390596;3186940;102;35;0;0;13048576;203974144;0.00;0.00;0.00;50971;796774;3390980;3187096;102;33;0;0;13014016;203871232;0.00;0.00;0.00;50836;796372;3388832;3185488;102;34;0;0;12990464;203756288;0.00;0.00;0.00;50744;795923;3386668;3183692;102;34;0;0;
1561099555;280940804324;25007817472;3062036736;0.29;0.29;0.00;97686787;11961081;438591472;47844324;138305922;16894573;0;0;13019648;203767552;0.00;0.00;0.00;50858;795967;3387300;3183868;135;33;0;0;12826112;203631360;0.00;0.00;0.00;50102;795435;3382148;3181740;135;33;0;0;12826624;203639296;0.00;0.00;0.00;50104;795466;3382280;3181864;135;33;0;0;12826368;203635200;0.00;0.00;0.00;50103;795450;3382212;3181800;135;33;0;0;12826112;203661568;0.00;0.00;0.00;50102;795553;3382620;3182212;135;33;0;0;13021696;203815680;0.00;0.00;0.00;50866;796155;3388084;3184620;102;36;0;0;13040128;203849984;0.00;0.00;0.00;50938;796289;3388908;3185156;102;34;0;0;13033472;203963136;0.00;0.00;0.00;50912;796731;3390572;3186924;102;34;0;0;13024000;203952640;0.00;0.00;0.00;50875;796690;3390260;3186760;102;38;0;0;13015808;203870720;0.00;0.00;0.00;50843;796370;3388852;3185480;102;37;0;0;12993536;203754496;0.00;0.00;0.00;50756;795916;3386688;3183664;102;38;0;0;
1561099683;280940818378;25024767488;3032668928;0.29;0.30;0.00;97752998;11846363;438397444;47385452;138147292;16907089;0;0;12903680;203684608;0.00;0.00;0.00;50405;795643;3384192;3182572;135;33;0;0;12826624;203629824;0.00;0.00;0.00;50104;795429;3382132;3181716;135;33;0;0;12826368;203631872;0.00;0.00;0.00;50103;795437;3382160;3181748;135;33;0;0;12826112;203630080;0.00;0.00;0.00;50102;795430;3382128;3181720;135;33;0;0;12826624;203651072;0.00;0.00;0.00;50104;795512;3382464;3182048;135;33;0;0;13012224;203779840;0.00;0.00;0.00;50829;796015;3387376;3184060;102;65;0;0;13012992;203822592;0.00;0.00;0.00;50832;796182;3388056;3184728;102;62;0;0;13022720;203974400;0.00;0.00;0.00;50870;796775;3390580;3187100;102;55;0;0;13021440;203906816;0.00;0.00;0.00;50865;796511;3389504;3186044;102;59;0;0;13000448;203855104;0.00;0.00;0.00;50783;796309;3388368;3185236;102;61;0;0;12996352;203760896;0.00;0.00;0.00;50767;795941;3386832;3183764;102;59;0;0;
