# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Fri Jun 21 05:11:11 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561108272;2195146838;100608;1588224;0.00;0.00;0.00;393;6204;26388;24816;135;33;0;0;100864;1589248;0.00;0.00;0.00;394;6208;26408;24832;134;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;135;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;135;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;135;33;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;135;33;0;0;102144;1599744;0.00;0.00;0.00;399;6249;26592;24996;102;52;0;0;100608;1598464;0.00;0.00;0.00;393;6244;26548;24976;102;48;0;0;100096;1599232;0.00;0.00;0.00;391;6247;26552;24988;102;51;0;0;101888;1599488;0.00;0.00;0.00;398;6248;26584;24992;102;48;0;0;102144;1598208;0.00;0.00;0.00;399;6243;26568;24972;102;40;0;0;101376;1598976;0.00;0.00;0.00;396;6246;26568;24984;102;46;0;0;
1561108273;2195116572;1227113472;183600645632;0.00;0.75;0.75;4793412;717190022;2887933736;2868760088;119490;2852180263;0;0;8145920;127851264;0.00;0.00;0.00;31820;499419;2124956;1997676;135;33;0;0;8049152;127784704;0.00;0.00;0.00;31442;499159;2122404;1996636;135;33;0;0;8049152;127798016;0.00;0.00;0.00;31442;499211;2122612;1996844;135;33;0;0;8049408;127791360;0.00;0.00;0.00;31443;499185;2122512;1996740;135;33;0;0;8049664;127820288;0.00;0.00;0.00;31444;499298;2122968;1997192;135;33;0;0;8129792;127988224;0.00;0.00;0.00;31757;499954;2126844;1999816;102;487;0;0;8155392;128019968;0.00;0.00;0.00;31857;500078;2127740;2000312;102;474;0;0;8172032;128073472;0.00;0.00;0.00;31922;500287;2128836;2001148;102;491;0;0;8165120;128118016;0.00;0.00;0.00;31895;500461;2129424;2001844;102;544;0;0;8130048;128032256;0.00;0.00;0.00;31758;500126;2127536;2000504;102;520;0;0;8140288;127994624;0.00;0.00;0.00;31798;499979;2127108;1999916;102;555;0;0;
1561108401;280940821580;92565517568;47226237696;0.01;0.00;0.06;361584053;184477491;2184246176;737909964;364514056;183284417;0;0;4933376;77470976;0.00;0.00;0.00;19271;302621;1287568;1210484;135;33;0;0;4877312;77431296;0.00;0.00;0.00;19052;302466;1286072;1209864;135;33;0;0;4877312;77434112;0.00;0.00;0.00;19052;302477;1286116;1209908;135;33;0;0;4877056;77428480;0.00;0.00;0.00;19051;302455;1286024;1209820;135;33;0;0;4876800;77440000;0.00;0.00;0.00;19050;302500;1286200;1210000;135;33;0;0;4927488;77480448;0.00;0.00;0.00;19248;302658;1287624;1210632;102;54;0;0;4915712;77478912;0.00;0.00;0.00;19202;302652;1287416;1210608;102;53;0;0;4943616;77543424;0.00;0.00;0.00;19311;302904;1288860;1211616;102;52;0;0;4913408;77527808;0.00;0.00;0.00;19193;302843;1288144;1211372;102;64;0;0;4925952;77497600;0.00;0.00;0.00;19242;302725;1287868;1210900;102;63;0;0;4918272;77452032;0.00;0.00;0.00;19212;302547;1287036;1210188;102;68;0;0;
1561108529;280940833540;245661027840;122227461888;0.00;0.00;0.02;959613390;477451023;5748257652;1909804092;954788592;472703905;0;0;12924416;203692288;0.00;0.00;0.00;50486;795673;3384636;3182692;135;33;0;0;12826112;203631360;0.00;0.00;0.00;50102;795435;3382148;3181740;135;33;0;0;12826368;203639808;0.00;0.00;0.00;50103;795468;3382284;3181872;135;33;0;0;12826112;203636480;0.00;0.00;0.00;50102;795455;3382228;3181820;135;33;0;0;12826368;203677952;0.00;0.00;0.00;50103;795617;3382880;3182468;135;33;0;0;12968448;203756544;0.00;0.00;0.00;50658;795924;3386328;3183696;102;61;0;0;12977152;203824128;0.00;0.00;0.00;50692;796188;3387520;3184752;102;59;0;0;12978688;203955456;0.00;0.00;0.00;50698;796701;3389596;3186804;102;55;0;0;13001728;203967488;0.00;0.00;0.00;50788;796748;3390144;3186992;102;53;0;0;12977408;203870976;0.00;0.00;0.00;50693;796371;3388256;3185484;102;63;0;0;12966144;203743488;0.00;0.00;0.00;50649;795873;3386088;3183492;102;54;0;0;
1561108657;280940808012;245828735232;122317424128;0.00;0.00;0.02;960268497;477802438;5752283740;1911209752;955485756;473077696;0;0;12916480;203692544;0.00;0.00;0.00;50455;795674;3384516;3182696;135;33;0;0;12826112;203630336;0.00;0.00;0.00;50102;795431;3382132;3181724;135;33;0;0;12826368;203646720;0.00;0.00;0.00;50103;795495;3382392;3181980;135;33;0;0;12826112;203636992;0.00;0.00;0.00;50102;795457;3382236;3181828;135;33;0;0;12826368;203682816;0.00;0.00;0.00;50103;795636;3382956;3182544;135;33;0;0;13015808;203768576;0.00;0.00;0.00;50843;795971;3387256;3183884;102;47;0;0;12982528;203740672;0.00;0.00;0.00;50713;795862;3386300;3183448;102;42;0;0;12963328;203975936;0.00;0.00;0.00;50638;796781;3389676;3187124;102;42;0;0;12984832;203760128;0.00;0.00;0.00;50722;795938;3386640;3183752;102;55;0;0;12951296;203809536;0.00;0.00;0.00;50591;796131;3386888;3184524;102;42;0;0;13014016;203766272;0.00;0.00;0.00;50836;795962;3387192;3183848;102;53;0;0;
1561108785;280940839274;246056002560;122482849536;0.00;0.00;0.02;961156260;478448631;5758419564;1913794524;956427308;473694157;0;0;12960256;203722752;0.00;0.00;0.00;50626;795792;3385672;3183168;135;33;0;0;12826624;203633152;0.00;0.00;0.00;50104;795442;3382184;3181768;135;33;0;0;12826368;203648256;0.00;0.00;0.00;50103;795501;3382416;3182004;135;33;0;0;12826368;203642112;0.00;0.00;0.00;50103;795477;3382320;3181908;135;33;0;0;12826112;203694848;0.00;0.00;0.00;50102;795683;3383140;3182732;135;33;0;0;13324288;204071680;0.00;0.00;0.00;52048;797155;3396812;3188620;102;39;0;0;13060608;203812608;0.00;0.00;0.00;51018;796143;3388644;3184572;102;38;0;0;12972032;204001280;0.00;0.00;0.00;50672;796880;3390208;3187520;102;39;0;0;13273856;204046080;0.00;0.00;0.00;51851;797055;3395624;3188220;102;37;0;0;13031168;203782400;0.00;0.00;0.00;50903;796025;3387712;3184100;102;36;0;0;13033216;203763456;0.00;0.00;0.00;50911;795951;3387448;3183804;102;35;0;0;
1561108913;280940837544;246242673920;122567374848;0.00;0.00;0.02;961885445;478778808;5762657012;1915115232;957147502;474046168;0;0;12999168;203758080;0.00;0.00;0.00;50778;795930;3386832;3183720;135;33;0;0;12826112;203633664;0.00;0.00;0.00;50102;795444;3382184;3181776;135;33;0;0;12827392;203639808;0.00;0.00;0.00;50107;795468;3382300;3181872;135;33;0;0;12826112;203635968;0.00;0.00;0.00;50102;795453;3382220;3181812;135;33;0;0;12826112;203680512;0.00;0.00;0.00;50102;795627;3382916;3182508;135;33;0;0;13051904;203787008;0.00;0.00;0.00;50984;796043;3388108;3184172;102;39;0;0;13344256;204115968;0.00;0.00;0.00;52126;797328;3397816;3189312;102;38;0;0;12977920;203735296;0.00;0.00;0.00;50695;795841;3386144;3183364;102;41;0;0;13230080;204044032;0.00;0.00;0.00;51680;797047;3394908;3188188;102;37;0;0;13412608;204201472;0.00;0.00;0.00;52393;797662;3400220;3190648;102;38;0;0;13393920;204118784;0.00;0.00;0.00;52320;797339;3398636;3189356;102;40;0;0;
1561109041;280940767244;246302653184;122608557568;0.00;0.00;0.02;962119739;478939678;5764237668;1915758712;957381934;474200288;0;0;12914176;203693056;0.00;0.00;0.00;50446;795676;3384488;3182704;135;33;0;0;12826368;203634176;0.00;0.00;0.00;50103;795446;3382196;3181784;135;33;0;0;12826112;203634944;0.00;0.00;0.00;50102;795449;3382204;3181796;135;33;0;0;12826368;203634688;0.00;0.00;0.00;50103;795448;3382204;3181792;135;33;0;0;12826624;203668480;0.00;0.00;0.00;50104;795580;3382736;3182320;135;33;0;0;12976896;203755008;0.00;0.00;0.00;50691;795918;3386436;3183672;102;39;0;0;13004288;203754496;0.00;0.00;0.00;50798;795916;3386856;3183664;102;36;0;0;13086208;203877376;0.00;0.00;0.00;51118;796396;3390056;3185584;102;37;0;0;12944384;203767296;0.00;0.00;0.00;50564;795966;3386120;3183864;102;35;0;0;13051136;203812096;0.00;0.00;0.00;50981;796141;3388488;3184564;102;37;0;0;13039872;203767040;0.00;0.00;0.00;50937;795965;3387608;3183860;102;38;0;0;
1561109169;280940810442;246252278016;122578536960;0.00;0.00;0.02;961922961;478822410;5762981484;1915289640;957169993;474075267;0;0;12925440;203702272;0.00;0.00;0.00;50490;795712;3384808;3182848;135;33;0;0;12826368;203630336;0.00;0.00;0.00;50103;795431;3382136;3181724;135;33;0;0;12826624;203631872;0.00;0.00;0.00;50104;795437;3382164;3181748;135;33;0;0;12826624;203630592;0.00;0.00;0.00;50104;795432;3382144;3181728;135;33;0;0;12826368;203649792;0.00;0.00;0.00;50103;795507;3382440;3182028;135;33;0;0;12936192;203751936;0.00;0.00;0.00;50532;795906;3385752;3183624;102;37;0;0;12954112;203752192;0.00;0.00;0.00;50602;795907;3386036;3183628;102;39;0;0;13336576;204181760;0.00;0.00;0.00;52096;797585;3398724;3190340;102;43;0;0;12949760;203850240;0.00;0.00;0.00;50585;796290;3387500;3185160;102;36;0;0;12967936;203782656;0.00;0.00;0.00;50656;796026;3386728;3184104;102;38;0;0;12964608;203732224;0.00;0.00;0.00;50643;795829;3385888;3183316;102;36;0;0;
1561109297;280940811800;246184102912;122520596224;0.00;0.00;0.02;961656652;478596079;5761010924;1914384316;956858740;473860639;0;0;12998144;203749120;0.00;0.00;0.00;50774;795895;3386676;3183580;135;33;0;0;12826112;203623168;0.00;0.00;0.00;50102;795403;3382020;3181612;135;33;0;0;12826112;203626240;0.00;0.00;0.00;50102;795415;3382068;3181660;135;33;0;0;12826112;203623680;0.00;0.00;0.00;50102;795405;3382028;3181620;135;33;0;0;12826112;203643648;0.00;0.00;0.00;50102;795483;3382340;3181932;135;33;0;0;12965632;203758848;0.00;0.00;0.00;50647;795933;3386320;3183732;102;34;0;0;12989440;203792640;0.00;0.00;0.00;50740;796065;3387220;3184260;102;37;0;0;12994304;203781632;0.00;0.00;0.00;50759;796022;3387124;3184088;102;34;0;0;12959232;203838976;0.00;0.00;0.00;50622;796246;3387472;3184984;102;42;0;0;12960000;203788288;0.00;0.00;0.00;50625;796048;3386692;3184192;102;36;0;0;12961280;203725824;0.00;0.00;0.00;50630;795804;3385736;3183216;102;40;0;0;
