# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 20 23:47:18 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561088839;2195173460;108544;1594368;0.00;0.00;0.00;424;6228;26608;24912;135;33;0;0;100096;1587968;0.00;0.00;0.00;391;6203;26376;24812;135;33;0;0;99840;1588480;0.00;0.00;0.00;390;6205;26380;24820;135;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;135;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;135;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;135;33;0;0;101376;1590784;0.00;0.00;0.00;396;6214;26440;24856;102;33;0;0;101120;1591808;0.00;0.00;0.00;395;6218;26452;24872;102;33;0;0;100352;1593088;0.00;0.00;0.00;392;6223;26460;24892;102;33;0;0;101376;1593856;0.00;0.00;0.00;396;6226;26488;24904;102;33;0;0;102400;1596672;0.00;0.00;0.00;400;6237;26548;24948;102;33;0;0;101120;1593856;0.00;0.00;0.00;395;6226;26484;24904;102;33;0;0;
1561088840;2195081328;5124352;72521216;0.00;0.00;0.00;20017;283286;1213212;1133144;135;94;0;0;4537088;71979520;0.00;0.00;0.00;17723;281170;1195572;1124680;135;33;0;0;4533760;71975936;0.00;0.00;0.00;17710;281156;1195464;1124624;135;33;0;0;4533760;71977984;0.00;0.00;0.00;17710;281164;1195496;1124656;135;33;0;0;4533760;71976960;0.00;0.00;0.00;17710;281160;1195480;1124640;135;33;0;0;4533760;71978240;0.00;0.00;0.00;17710;281165;1195500;1124660;135;33;0;0;197526528;30654503424;0.00;0.75;0.75;771588;119744154;482062968;478976616;109076;475437700;0;0;198354176;30657244160;0.00;0.75;0.75;774821;119754860;482118724;479019440;123789;475452314;0;0;197966848;30657852672;0.00;0.75;0.75;773308;119757237;482122180;479028948;137531;475466888;0;0;204250624;30666064896;0.00;0.75;0.75;797854;119789316;482348680;479157264;152310;475478635;0;0;205062144;30667879424;0.00;0.75;0.75;801024;119796404;482389712;479185616;167848;475492341;0;0;205086208;30670239488;0.00;0.75;0.75;801118;119805623;482426964;479222492;183312;475509305;0;0;
1561088904;140470549344;2239488;31661568;0.00;0.00;0.00;8748;123678;529704;494712;135;36;0;0;1979392;31427840;0.00;0.00;0.00;7732;122765;521988;491060;135;33;0;0;1979904;31428352;0.00;0.00;0.00;7734;122767;522004;491068;135;33;0;0;1979904;31429888;0.00;0.00;0.00;7734;122773;522028;491092;135;33;0;0;1979904;31429888;0.00;0.00;0.00;7734;122773;522028;491092;135;33;0;0;1979648;31432192;0.00;0.00;0.00;7733;122782;522060;491128;135;33;0;0;14154909184;284961536;0.02;0.14;0.00;55292614;1113131;225622980;4452524;56277697;1298056;0;0;14163976192;282224128;0.02;0.14;0.00;55328032;1102438;225721880;4409752;56303394;1284874;0;0;14161298688;280142080;0.02;0.14;0.00;55317573;1094305;225647512;4377220;56280770;1271789;0;0;14217885440;277805824;0.02;0.14;0.00;55538615;1085179;226495176;4340716;56495212;1257466;0;0;14213311488;275241728;0.02;0.14;0.00;55520748;1075163;226383644;4300652;56464528;1243512;0;0;14223804416;272402176;0.02;0.13;0.00;55561736;1064071;226503228;4256284;56493998;1228554;0;0;
1561088968;140470551246;7249408;102818048;0.00;0.00;0.00;28318;401633;1719804;1606532;135;1101;0;0;6418944;101818112;0.00;0.00;0.00;25074;397727;1691204;1590908;135;33;0;0;6413056;101813504;0.00;0.00;0.00;25051;397709;1691040;1590836;135;33;0;0;6413312;101812224;0.00;0.00;0.00;25052;397704;1691024;1590816;135;33;0;0;6413056;101811456;0.00;0.00;0.00;25051;397701;1691008;1590804;135;33;0;0;6413312;101816832;0.00;0.00;0.00;25052;397722;1691096;1590888;135;33;0;0;46283047424;121656576;0.00;0.00;0.00;180793154;475221;725073500;1900884;180934052;36195;0;0;46310733312;121198848;0.00;0.00;0.00;180901302;473433;725498940;1893732;181045183;36195;0;0;46292943104;121587968;0.00;0.00;0.00;180831809;474953;725227048;1899812;180976513;36257;0;0;46472084224;121015808;0.00;0.00;0.00;181531579;472718;728017188;1890872;181686048;36237;0;0;46450658816;121435392;0.00;0.00;0.00;181447886;474357;727688972;1897428;181597885;36154;0;0;46481738496;121201152;0.00;0.00;0.00;181569291;473442;728170932;1893768;181722707;36194;0;0;
1561089032;140470546656;7245824;102557952;0.00;0.00;0.00;28304;400617;1715684;1602468;135;33;0;0;6418176;101814272;0.00;0.00;0.00;25071;397712;1691132;1590848;135;33;0;0;6413312;101811200;0.00;0.00;0.00;25052;397700;1691008;1590800;135;33;0;0;6412800;101813760;0.00;0.00;0.00;25050;397710;1691040;1590840;135;33;0;0;6413312;101811200;0.00;0.00;0.00;25052;397700;1691008;1590800;135;33;0;0;6413056;101818624;0.00;0.00;0.00;25051;397729;1691120;1590916;135;33;0;0;46279096832;120864768;0.00;0.00;0.00;180777722;472128;724999400;1888512;180929702;36131;0;0;46305645568;121113344;0.00;0.00;0.00;180881428;473099;725418108;1892396;181033868;36257;0;0;46286487040;121069056;0.00;0.00;0.00;180806590;472926;725118064;1891704;180961338;36260;0;0;46471145984;121486336;0.00;0.00;0.00;181527914;474556;728009880;1898224;181688478;36217;0;0;46448325632;121414912;0.00;0.00;0.00;181438772;474277;727652196;1897108;181596498;36182;0;0;46481926144;121099776;0.00;0.00;0.00;181570024;473046;728172280;1892184;181731250;36216;0;0;
1561089096;140470553782;7292416;102599936;0.00;0.00;0.00;28486;400781;1717068;1603124;135;33;0;0;6418432;101813760;0.00;0.00;0.00;25072;397710;1691128;1590840;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;6413312;101813248;0.00;0.00;0.00;25052;397708;1691040;1590832;135;33;0;0;6412800;101810944;0.00;0.00;0.00;25050;397699;1690996;1590796;135;33;0;0;6413312;101815296;0.00;0.00;0.00;25052;397716;1691072;1590864;135;33;0;0;46278338816;121015040;0.00;0.00;0.00;180774761;472715;724989904;1890860;180913108;36260;0;0;46305222912;120973568;0.00;0.00;0.00;180879777;472553;725409320;1890212;181020678;36129;0;0;46289176320;121428224;0.00;0.00;0.00;180817095;474329;725165696;1897316;180958685;36310;0;0;46471206400;121041920;0.00;0.00;0.00;181528150;472820;728003880;1891280;181678484;36174;0;0;46449889792;121669376;0.00;0.00;0.00;181444882;475271;727680612;1901084;181589895;36260;0;0;46481352192;121252864;0.00;0.00;0.00;181567782;473644;728165704;1894576;181717071;36173;0;0;
1561089160;140470549842;7301120;102609408;0.00;0.00;0.00;28520;400818;1717352;1603272;135;33;0;0;6417408;101812992;0.00;0.00;0.00;25068;397707;1691100;1590828;135;33;0;0;6413312;101812736;0.00;0.00;0.00;25052;397706;1691032;1590824;135;33;0;0;6413056;101812480;0.00;0.00;0.00;25051;397705;1691024;1590820;135;33;0;0;6413568;101812736;0.00;0.00;0.00;25053;397706;1691036;1590824;135;33;0;0;6413056;101815552;0.00;0.00;0.00;25051;397717;1691072;1590868;135;33;0;0;46263579904;121151488;0.00;0.00;0.00;180717109;473248;724761428;1892992;180843089;36237;0;0;46291746304;121238016;0.00;0.00;0.00;180827134;473586;725202880;1894344;180954508;36259;0;0;46273650688;121075968;0.00;0.00;0.00;180756448;472953;724917604;1891812;180886397;36210;0;0;46454192640;121397248;0.00;0.00;0.00;181461690;474208;727743592;1896832;181597456;36219;0;0;46430640128;120941568;0.00;0.00;0.00;181369688;472428;727368464;1889712;181505577;36215;0;0;46464845056;121158400;0.00;0.00;0.00;181503301;473275;727906304;1893100;181639440;36257;0;0;
1561089224;140470544922;7305984;102616832;0.00;0.00;0.00;28539;400847;1717544;1603388;135;33;0;0;6435840;101825024;0.00;0.00;0.00;25140;397754;1691576;1591016;135;33;0;0;6413056;101810176;0.00;0.00;0.00;25051;397696;1690988;1590784;135;33;0;0;6413056;101810944;0.00;0.00;0.00;25051;397699;1691000;1590796;135;33;0;0;6412800;101810944;0.00;0.00;0.00;25050;397699;1690996;1590796;135;33;0;0;6413312;101815552;0.00;0.00;0.00;25052;397717;1691076;1590868;135;33;0;0;46280954624;121330432;0.00;0.00;0.00;180784979;473947;725035704;1895788;180925616;36151;0;0;46308523520;121128960;0.00;0.00;0.00;180892670;473160;725463320;1892640;181035659;36196;0;0;46289457152;121149440;0.00;0.00;0.00;180818192;473240;725165728;1892960;180963594;36323;0;0;46476566272;121295616;0.00;0.00;0.00;181549087;473811;728091592;1895244;181702195;36257;0;0;46453065728;121218304;0.00;0.00;0.00;181457288;473509;727723188;1894036;181608086;36176;0;0;46486063360;121275392;0.00;0.00;0.00;181586185;473732;728239668;1894928;181738807;36190;0;0;
1561089288;140470537312;7232256;102547200;0.00;0.00;0.00;28251;400575;1715304;1602300;135;33;0;0;6419456;101815040;0.00;0.00;0.00;25076;397715;1691164;1590860;135;33;0;0;6413056;101811712;0.00;0.00;0.00;25051;397702;1691012;1590808;135;33;0;0;6413312;101815808;0.00;0.00;0.00;25052;397718;1691080;1590872;135;33;0;0;6413312;101813760;0.00;0.00;0.00;25052;397710;1691048;1590840;135;33;0;0;6413056;101815552;0.00;0.00;0.00;25051;397717;1691072;1590868;135;33;0;0;46281106688;121195520;0.00;0.00;0.00;180785573;473420;725035972;1893680;180923454;36197;0;0;46308489216;121306112;0.00;0.00;0.00;180892536;473852;725465552;1895408;181032142;36196;0;0;46289221632;121489152;0.00;0.00;0.00;180817272;474567;725167356;1898268;180957866;36261;0;0;46469321728;121100288;0.00;0.00;0.00;181520788;473048;727975344;1892192;181670577;36195;0;0;46447446528;121039360;0.00;0.00;0.00;181435338;472810;727632592;1891240;181582957;36196;0;0;46481537280;121752320;0.00;0.00;0.00;181568505;475595;728176400;1902380;181715104;36197;0;0;
1561089352;140470542722;7250944;102565632;0.00;0.00;0.00;28324;400647;1715884;1602588;135;33;0;0;6434048;101824256;0.00;0.00;0.00;25133;397751;1691536;1591004;135;33;0;0;6413056;101811968;0.00;0.00;0.00;25051;397703;1691016;1590812;135;33;0;0;6415360;101814272;0.00;0.00;0.00;25060;397712;1691088;1590848;135;33;0;0;6413312;101813248;0.00;0.00;0.00;25052;397708;1691040;1590832;135;33;0;0;6413056;101817856;0.00;0.00;0.00;25051;397726;1691108;1590904;135;33;0;0;46275662848;120983552;0.00;0.00;0.00;180764308;472592;724947600;1890368;180895768;36259;0;0;46302375680;120990976;0.00;0.00;0.00;180868655;472621;725365104;1890484;181001868;36191;0;0;46283724800;121098752;0.00;0.00;0.00;180795800;473042;725075368;1892168;180930234;36242;0;0;46464323840;120877056;0.00;0.00;0.00;181501265;472176;727893764;1888704;181644841;36135;0;0;46446279936;121248256;0.00;0.00;0.00;181430781;473626;727617628;1894504;181570659;36259;0;0;46477780480;121046016;0.00;0.00;0.00;181553830;472836;728106664;1891344;181696018;36196;0;0;
