# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Fri Jun 21 09:00:22 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561122023;2195155236;101376;1586688;0.00;0.00;0.00;396;6198;26376;24792;101;33;0;0;99840;1586176;0.00;0.00;0.00;390;6196;26344;24784;102;33;0;0;99840;1585920;0.00;0.00;0.00;390;6195;26340;24780;101;33;0;0;99840;1586432;0.00;0.00;0.00;390;6197;26348;24788;102;33;0;0;100096;1586432;0.00;0.00;0.00;391;6197;26352;24788;102;33;0;0;99840;1587200;0.00;0.00;0.00;390;6200;26360;24800;101;33;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;134;33;0;0;100864;1590016;0.00;0.00;0.00;394;6211;26420;24844;134;33;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;135;33;0;0;100864;1592832;0.00;0.00;0.00;394;6222;26464;24888;135;33;0;0;101888;1590528;0.00;0.00;0.00;398;6213;26444;24852;135;33;0;0;100352;1588992;0.00;0.00;0.00;392;6207;26396;24828;135;33;0;0;
1561122024;2195151300;4550144;70678272;0.00;0.00;0.00;17774;276087;1175444;1104348;102;33;0;0;4447488;70603520;0.00;0.00;0.00;17373;275795;1172672;1103180;102;33;0;0;4446976;70607872;0.00;0.00;0.00;17371;275812;1172732;1103248;102;33;0;0;4447232;70610432;0.00;0.00;0.00;17372;275822;1172776;1103288;102;33;0;0;4446976;70610688;0.00;0.00;0.00;17371;275823;1172776;1103292;102;33;0;0;4446976;70616576;0.00;0.00;0.00;17371;275846;1172868;1103384;102;33;0;0;176553472;30636129536;0.00;0.75;0.75;689662;119672381;481448172;478689524;98801;475435614;0;0;178657280;30639749376;0.00;0.75;0.75;697880;119686521;481537604;478746084;113694;475451793;0;0;180423936;30643113728;0.00;0.75;0.75;704781;119699663;481617776;478798652;129463;475469166;0;0;179355392;30644615168;0.00;0.75;0.75;700607;119705528;481624540;478822112;144504;475480636;0;0;180055808;30646972672;0.00;0.75;0.75;703343;119714737;481672320;478858948;160316;475495709;0;0;182068480;30650636800;0.00;0.75;0.75;711205;119729050;481761020;478916200;176042;475512683;0;0;
1561122088;140470557718;2110720;32825344;0.00;0.00;0.00;8245;128224;545876;512896;102;33;0;0;2066176;32800768;0.00;0.00;0.00;8071;128128;544796;512512;102;33;0;0;2065920;32801792;0.00;0.00;0.00;8070;128132;544808;512528;102;33;0;0;2066176;32802816;0.00;0.00;0.00;8071;128136;544828;512544;102;33;0;0;2066176;32802560;0.00;0.00;0.00;8071;128135;544824;512540;102;33;0;0;2066176;32808192;0.00;0.00;0.00;8071;128157;544912;512628;102;33;0;0;10786711296;178102272;0.01;0.00;0.00;42135591;695712;171325212;2782848;42537179;674833;0;0;10779843072;175170816;0.01;0.00;0.00;42108762;684261;171172092;2737044;42499070;659794;0;0;10797716224;172044032;0.01;0.00;0.00;42178579;672047;171402504;2688188;42558497;644388;0;0;10881230592;169036800;0.01;0.00;0.00;42504807;660300;172660428;2641200;42875490;629889;0;0;10888199680;166023424;0.01;0.00;0.00;42532030;648529;172722236;2594116;42891350;614886;0;0;10902533376;163332864;0.01;0.00;0.00;42588021;638019;172904160;2552076;42937011;599999;0;0;
1561122152;140470570556;6522624;101877760;0.00;0.00;0.00;25479;397960;1693756;1591840;102;33;0;0;6413056;101817600;0.00;0.00;0.00;25051;397725;1691104;1590900;102;33;0;0;6413312;101823744;0.00;0.00;0.00;25052;397749;1691204;1590996;102;33;0;0;6413056;101828096;0.00;0.00;0.00;25051;397766;1691268;1591064;102;33;0;0;6413056;101834496;0.00;0.00;0.00;25051;397791;1691368;1591164;102;33;0;0;6412800;101850880;0.00;0.00;0.00;25050;397855;1691620;1591420;102;33;0;0;33259317248;166809856;0.00;0.00;0.00;129919208;651601;522283236;2606404;129997356;224125;0;0;33252927488;166668032;0.00;0.00;0.00;129894248;651047;522181180;2604188;129972179;224384;0;0;33294284288;166740992;0.00;0.00;0.00;130055798;651332;522828520;2605328;130134773;224227;0;0;33537297408;166831872;0.00;0.00;0.00;131005068;651687;526627020;2606748;131086692;224265;0;0;33555330304;166832128;0.00;0.00;0.00;131075509;651688;526908788;2606752;131156442;224202;0;0;33595204864;166619136;0.00;0.00;0.00;131231269;650856;527528500;2603424;131315366;224293;0;0;
1561122216;140470534284;6525440;101885440;0.00;0.00;0.00;25490;397990;1693920;1591960;102;33;0;0;6413056;101817600;0.00;0.00;0.00;25051;397725;1691104;1590900;102;33;0;0;6413056;101822976;0.00;0.00;0.00;25051;397746;1691188;1590984;102;33;0;0;6413312;101831680;0.00;0.00;0.00;25052;397780;1691328;1591120;102;33;0;0;6413312;101828608;0.00;0.00;0.00;25052;397768;1691280;1591072;102;33;0;0;6413312;101852672;0.00;0.00;0.00;25052;397862;1691656;1591448;102;33;0;0;33145257984;166668032;0.00;0.00;0.00;129473664;651047;520498844;2604188;129565754;223263;0;0;33161947392;166700288;0.00;0.00;0.00;129538857;651173;520760120;2604692;129632323;223302;0;0;33180858880;166811904;0.00;0.00;0.00;129612730;651609;521057356;2606436;129706084;223295;0;0;33426173696;166904320;0.00;0.00;0.00;130570991;651970;524891844;2607880;130666153;223451;0;0;33438101248;166659072;0.00;0.00;0.00;130617583;651012;525074380;2604048;130713610;223428;0;0;33486614784;166874112;0.00;0.00;0.00;130807089;651852;525835764;2607408;130904633;223513;0;0;
1561122280;140470544504;6511616;101872896;0.00;0.00;0.00;25436;397941;1693508;1591764;102;33;0;0;6413312;101815552;0.00;0.00;0.00;25052;397717;1691076;1590868;102;33;0;0;6413056;101823232;0.00;0.00;0.00;25051;397747;1691192;1590988;102;33;0;0;6413056;101826048;0.00;0.00;0.00;25051;397758;1691236;1591032;102;33;0;0;6412800;101828096;0.00;0.00;0.00;25050;397766;1691264;1591064;102;33;0;0;6413312;101846272;0.00;0.00;0.00;25052;397837;1691556;1591348;102;33;0;0;33285504000;166675200;0.00;0.00;0.00;130021500;651075;522690300;2604300;130079115;224406;0;0;33311784704;166679040;0.00;0.00;0.00;130124159;651090;523100996;2604360;130183216;224310;0;0;33317073920;166955520;0.00;0.00;0.00;130144820;652170;523187960;2608680;130203117;224357;0;0;33576868096;166978048;0.00;0.00;0.00;131159641;652258;527247596;2609032;131218594;224168;0;0;33576187648;166947584;0.00;0.00;0.00;131156983;652139;527236488;2608556;131217718;223973;0;0;33645800448;166970368;0.00;0.00;0.00;131428908;652228;528324544;2608912;131491167;224204;0;0;
1561122344;140470551888;6522368;101885696;0.00;0.00;0.00;25478;397991;1693876;1591964;102;33;0;0;6413056;101818624;0.00;0.00;0.00;25051;397729;1691120;1590916;102;33;0;0;6413312;101818368;0.00;0.00;0.00;25052;397728;1691120;1590912;102;33;0;0;6413056;101826816;0.00;0.00;0.00;25051;397761;1691248;1591044;102;33;0;0;6413312;101828352;0.00;0.00;0.00;25052;397767;1691276;1591068;102;33;0;0;6413056;101852672;0.00;0.00;0.00;25051;397862;1691652;1591448;102;33;0;0;33379161088;167227136;0.00;0.00;0.00;130387348;653231;524162316;2612924;130445874;225061;0;0;33422316544;167056640;0.00;0.00;0.00;130555924;652565;524833956;2610260;130615277;224947;0;0;33408338944;167022848;0.00;0.00;0.00;130501324;652433;524615028;2609732;130563490;224901;0;0;33665112064;167531776;0.00;0.00;0.00;131504344;654421;528635060;2617684;131565895;225023;0;0;33670381312;167427584;0.00;0.00;0.00;131524927;654014;528715764;2616056;131588428;225177;0;0;33743858944;167204608;0.00;0.00;0.00;131811949;653143;529860368;2612572;131877530;225199;0;0;
1561122408;140470570402;6521856;101879552;0.00;0.00;0.00;25476;397967;1693772;1591868;102;33;0;0;6413312;101816064;0.00;0.00;0.00;25052;397719;1691084;1590876;102;33;0;0;6413056;101814784;0.00;0.00;0.00;25051;397714;1691060;1590856;102;33;0;0;6571520;101969664;0.00;0.00;0.00;25670;398319;1695956;1593276;102;33;0;0;6412800;101818112;0.00;0.00;0.00;25050;397727;1691108;1590908;102;33;0;0;6412800;101835008;0.00;0.00;0.00;25050;397793;1691372;1591172;102;33;0;0;33133145600;167498496;0.00;0.00;0.00;129426350;654291;520322564;2617164;129543485;227011;0;0;33191485184;167388160;0.00;0.00;0.00;129654239;653860;521232396;2615440;129773136;226931;0;0;33174242816;167554048;0.00;0.00;0.00;129586886;654508;520965576;2618032;129709070;227260;0;0;33351907328;167714560;0.00;0.00;0.00;130280888;655135;523744092;2620540;130401268;226778;0;0;33377900800;167583488;0.00;0.00;0.00;130382425;654623;524148192;2618492;130503748;227018;0;0;33442006272;167507200;0.00;0.00;0.00;130632837;654325;525148648;2617300;130757004;226793;0;0;
1561122472;140470538842;6518784;101877248;0.00;0.00;0.00;25464;397958;1693688;1591832;102;33;0;0;6413056;101822720;0.00;0.00;0.00;25051;397745;1691184;1590980;102;33;0;0;6576896;101970944;0.00;0.00;0.00;25691;398324;1696060;1593296;102;33;0;0;6413056;101833728;0.00;0.00;0.00;25051;397788;1691356;1591152;102;33;0;0;6418944;101829632;0.00;0.00;0.00;25074;397772;1691384;1591088;102;33;0;0;6413312;101859072;0.00;0.00;0.00;25052;397887;1691756;1591548;102;33;0;0;25020986112;165475584;0.00;0.00;0.00;97738227;646389;393538464;2585556;98001390;227528;0;0;25068616448;165818624;0.00;0.00;0.00;97924283;647729;394288048;2590916;98193027;228140;0;0;25080282368;165793024;0.00;0.00;0.00;97969853;647629;394469928;2590516;98235090;227718;0;0;25206366720;165284096;0.00;0.00;0.00;98462370;645641;396432044;2582564;98713527;225716;0;0;25165894912;165003776;0.00;0.00;0.00;98304277;644546;395795292;2578184;98549818;225319;0;0;25218253056;164904704;0.00;0.00;0.00;98508801;644159;396611840;2576636;98764000;225037;0;0;
1561122536;140470617628;6520320;101881344;0.00;0.00;0.00;25470;397974;1693776;1591896;102;33;0;0;12032256;101819136;0.00;0.00;0.00;47001;397731;1778928;1590924;101;33;0;0;6413312;101820160;0.00;0.00;0.00;25052;397735;1691148;1590940;102;33;0;0;6413312;101825536;0.00;0.00;0.00;25052;397756;1691232;1591024;102;33;0;0;6413312;101825792;0.00;0.00;0.00;25052;397757;1691236;1591028;102;33;0;0;6413056;101850624;0.00;0.00;0.00;25051;397854;1691620;1591416;102;33;0;0;357889024;109256448;0.11;0.00;0.00;1398004;426783;7299148;1707132;1567829;33140;0;0;362900992;109515008;0.11;0.00;0.00;1417582;427793;7381500;1711172;1588567;34125;0;0;362033408;109574656;0.10;0.00;0.00;1414193;428026;7368876;1712104;1578406;33793;0;0;248383744;109364480;0.11;0.00;0.00;970249;427205;5589816;1708820;1087720;33282;0;0;236208384;109430528;0.11;0.00;0.00;922689;427463;5400608;1709852;1038902;33725;0;0;237756160;109317888;0.12;0.00;0.00;928735;427023;5423032;1708092;1051621;33486;0;0;
