# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Fri Jun 21 06:45:38 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561113939;2195169778;101632;1588736;0.00;0.00;0.00;397;6206;26412;24824;135;40;0;0;101632;1587456;0.00;0.00;0.00;397;6201;26392;24804;135;33;0;0;99840;1586432;0.00;0.00;0.00;390;6197;26348;24788;135;33;0;0;99840;1585920;0.00;0.00;0.00;390;6195;26340;24780;135;33;0;0;100096;1586432;0.00;0.00;0.00;391;6197;26352;24788;135;33;0;0;99840;1586432;0.00;0.00;0.00;390;6197;26348;24788;135;33;0;0;110848;1596416;0.00;0.00;0.00;433;6236;26676;24944;102;33;0;0;101376;1588736;0.00;0.00;0.00;396;6206;26408;24824;101;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;101;33;0;0;106752;1596160;0.00;0.00;0.00;417;6235;26608;24940;102;33;0;0;100864;1590784;0.00;0.00;0.00;394;6214;26432;24856;102;33;0;0;100864;1589504;0.00;0.00;0.00;394;6209;26412;24836;102;33;0;0;
1561113940;2195077094;4613120;72216576;0.00;0.00;0.00;18020;282096;1200464;1128384;135;937;0;0;4572416;71964672;0.00;0.00;0.00;17861;281112;1195892;1124448;135;33;0;0;4531200;71935488;0.00;0.00;0.00;17700;280998;1194792;1123992;135;33;0;0;4531200;71937792;0.00;0.00;0.00;17700;281007;1194828;1124028;135;33;0;0;4530944;71938048;0.00;0.00;0.00;17699;281008;1194828;1124032;135;33;0;0;4531456;71946240;0.00;0.00;0.00;17701;281040;1194964;1124160;135;33;0;0;179369216;30633114112;0.00;0.75;0.75;700661;119660602;481445052;478642408;73963;475396413;0;0;180405760;30634635264;0.00;0.75;0.75;704710;119666544;481485016;478666176;82225;475403316;0;0;181844480;30636494080;0.00;0.75;0.75;710330;119673805;481536540;478695220;90010;475410485;0;0;182031104;30637448192;0.00;0.75;0.75;711059;119677532;481554364;478710128;98733;475413822;0;0;181033216;30637511424;0.00;0.75;0.75;707161;119677779;481539760;478711116;107975;475420015;0;0;182976256;30639854848;0.00;0.75;0.75;714751;119686933;481606736;478747732;116617;475427610;0;0;
1561114004;140470539388;2014464;31498496;0.00;0.00;0.00;7869;123041;523640;492164;135;59;0;0;1984512;31471616;0.00;0.00;0.00;7752;122936;522752;491744;135;33;0;0;1982208;31468544;0.00;0.00;0.00;7743;122924;522668;491696;135;33;0;0;1982208;31471104;0.00;0.00;0.00;7743;122934;522708;491736;135;33;0;0;1982464;31470080;0.00;0.00;0.00;7744;122930;522696;491720;135;33;0;0;1981952;31472896;0.00;0.00;0.00;7742;122941;522732;491764;135;33;0;0;8203566848;13381660928;0.67;0.16;0.26;32045183;52272113;337269184;209088452;97644366;61879136;0;0;8207987456;13383904000;0.67;0.16;0.26;32062451;52280875;337373304;209123500;97726672;61898352;0;0;8200123136;13369835520;0.67;0.16;0.26;32031731;52225920;337030604;208903680;97599191;61822543;0;0;8227230976;13351827968;0.67;0.16;0.26;32137621;52155578;337172796;208622312;97954258;61846294;0;0;8232910592;13345265408;0.67;0.16;0.26;32159807;52129943;337159000;208519772;98021214;61834304;0;0;8231620608;13330224384;0.67;0.16;0.26;32154768;52071189;336903828;208284756;97841513;61688285;0;0;
1561114068;140470536976;6546432;101940736;0.00;0.00;0.00;25572;398206;1695112;1592824;136;139;0;0;6463232;101850624;0.00;0.00;0.00;25247;397854;1692404;1591416;135;33;0;0;6413312;101813504;0.00;0.00;0.00;25052;397709;1691044;1590836;135;33;0;0;6413312;101817600;0.00;0.00;0.00;25052;397725;1691108;1590900;135;33;0;0;6413056;101814784;0.00;0.00;0.00;25051;397714;1691060;1590856;135;33;0;0;6413312;101835520;0.00;0.00;0.00;25052;397795;1691388;1591180;135;33;0;0;26412152064;41647446784;0.66;0.15;0.18;103172469;162685339;1063431232;650741356;300230191;191310941;0;0;26410439424;41584213504;0.66;0.15;0.18;103165779;162438334;1062416452;649753336;299993445;190985569;0;0;26429715968;41600287232;0.66;0.15;0.18;103241078;162501122;1062968800;650004488;300366104;191038759;0;0;26515697664;41621914368;0.66;0.15;0.18;103576944;162585603;1064650188;650342412;301830810;191541979;0;0;26555712512;41670327808;0.66;0.15;0.18;103733252;162774718;1066031880;651098872;302548190;191760894;0;0;26509403392;41557201152;0.66;0.15;0.18;103552357;162332817;1063540696;649331268;301669160;191128551;0;0;
1561114132;140470531514;6514944;101895680;0.00;0.00;0.00;25449;398030;1693916;1592120;135;110;0;0;6426880;101823232;0.00;0.00;0.00;25105;397747;1691408;1590988;135;33;0;0;6413312;101813504;0.00;0.00;0.00;25052;397709;1691044;1590836;135;33;0;0;6413056;101819392;0.00;0.00;0.00;25051;397732;1691132;1590928;135;33;0;0;6413312;101820672;0.00;0.00;0.00;25052;397737;1691156;1590948;135;33;0;0;6413056;101832704;0.00;0.00;0.00;25051;397784;1691340;1591136;135;33;0;0;26320114944;40909705472;0.65;0.15;0.18;102812949;159803537;1050465944;639214148;294789914;187392693;0;0;26300290304;40880196096;0.65;0.15;0.18;102735509;159688266;1049695100;638753064;294570665;187303117;0;0;26315894016;40819277312;0.65;0.15;0.18;102796461;159450302;1048987052;637801208;294540669;186948178;0;0;26385307648;40887434496;0.65;0.15;0.18;103067608;159716541;1051136596;638866164;296039916;187691763;0;0;26418002176;40883614976;0.65;0.15;0.18;103195321;159701621;1051587768;638806484;296756222;187714513;0;0;26385014016;40839369728;0.65;0.15;0.18;103066461;159528788;1050380996;638115152;296131485;187390744;0;0;
1561114196;140470534198;6522624;101897984;0.00;0.00;0.00;25479;398039;1694072;1592156;135;65;0;0;6429952;101827328;0.00;0.00;0.00;25117;397763;1691520;1591052;135;33;0;0;6413056;101815808;0.00;0.00;0.00;25051;397718;1691076;1590872;135;33;0;0;6413312;101818624;0.00;0.00;0.00;25052;397729;1691124;1590916;135;33;0;0;6413056;101818624;0.00;0.00;0.00;25051;397729;1691120;1590916;135;33;0;0;6413312;101835264;0.00;0.00;0.00;25052;397794;1691384;1591176;135;33;0;0;26413113088;40691761664;0.65;0.15;0.18;103176223;158952194;1048513668;635808776;294304017;186289637;0;0;26386458624;40696578304;0.65;0.15;0.18;103072104;158971009;1048172452;635884036;294247926;186352743;0;0;26396184576;40627491328;0.65;0.15;0.18;103110096;158701138;1047244936;634804552;294152987;185999973;0;0;26477825536;40666766592;0.65;0.15;0.18;103429006;158854557;1049134252;635418228;295662542;186568939;0;0;26504544768;40674705152;0.65;0.15;0.18;103533378;158885567;1049675780;635542268;296062998;186602776;0;0;26480357888;40696576000;0.65;0.15;0.18;103438898;158971000;1049639592;635884000;295933398;186609886;0;0;
1561114260;140470535438;6576128;101960192;0.00;0.00;0.00;25688;398282;1695880;1593128;135;121;0;0;6429440;101826560;0.00;0.00;0.00;25115;397760;1691500;1591040;135;33;0;0;6413056;101817088;0.00;0.00;0.00;25051;397723;1691096;1590892;135;33;0;0;6413056;101818880;0.00;0.00;0.00;25051;397730;1691124;1590920;135;33;0;0;6413312;101819392;0.00;0.00;0.00;25052;397732;1691136;1590928;135;33;0;0;6412800;101834752;0.00;0.00;0.00;25050;397792;1691368;1591168;135;33;0;0;26433025280;40543485440;0.65;0.15;0.18;103254005;158372990;1046507980;633491960;293790378;185569590;0;0;26399102464;40551263488;0.65;0.15;0.18;103121494;158403373;1046099468;633613492;293755661;185670057;0;0;26413897216;40490738688;0.65;0.15;0.18;103179286;158166948;1045384936;632667792;293669626;185357454;0;0;26502153984;40549189376;0.65;0.15;0.18;103524039;158395271;1047677240;633581084;295384002;185993347;0;0;26524770816;40543376896;0.65;0.15;0.18;103612386;158372566;1047939808;633490264;295535472;185946904;0;0;26499063296;40555979520;0.65;0.15;0.18;103511966;158421795;1047735044;633687180;295348496;185919479;0;0;
1561114324;140470535456;6557184;101954048;0.00;0.00;0.00;25614;398258;1695488;1593032;135;123;0;0;6445312;101841152;0.00;0.00;0.00;25177;397817;1691976;1591268;135;33;0;0;6413056;101814528;0.00;0.00;0.00;25051;397713;1691056;1590852;135;33;0;0;6413312;101822208;0.00;0.00;0.00;25052;397743;1691180;1590972;135;33;0;0;6412800;101812480;0.00;0.00;0.00;25050;397705;1691020;1590820;135;33;0;0;6413312;101829376;0.00;0.00;0.00;25052;397771;1691292;1591084;135;33;0;0;26411272448;40380801792;0.65;0.15;0.18;103169033;157737507;1043626160;630950028;293167207;184745898;0;0;26374760192;40403014400;0.65;0.15;0.18;103026407;157824275;1043402728;631297100;293025016;184850611;0;0;26390226432;40343830272;0.65;0.15;0.18;103086822;157593087;1042719636;630372348;292909813;184556021;0;0;26486127616;40392641280;0.65;0.15;0.18;103461436;157783755;1044980764;631135020;294760797;185173799;0;0;26505166848;40391573760;0.65;0.15;0.18;103535808;157779585;1045261572;631118340;294864945;185149710;0;0;26475133184;40373393664;0.65;0.15;0.18;103418489;157708569;1044508232;630834276;294499340;184962498;0;0;
1561114388;140470534854;6519296;101896704;0.00;0.00;0.00;25466;398034;1694000;1592136;135;56;0;0;6447616;101844224;0.00;0.00;0.00;25186;397829;1692060;1591316;135;33;0;0;6413568;101816576;0.00;0.00;0.00;25053;397721;1691096;1590884;135;33;0;0;6412800;101819904;0.00;0.00;0.00;25050;397734;1691136;1590936;135;33;0;0;6413312;101818880;0.00;0.00;0.00;25052;397730;1691128;1590920;135;33;0;0;6413312;101834496;0.00;0.00;0.00;25052;397791;1691372;1591164;135;33;0;0;26414673152;40285661440;0.65;0.15;0.18;103182317;157365865;1042192728;629463460;293044802;184265268;0;0;26398289408;40296727040;0.65;0.15;0.18;103118318;157409090;1042109632;629636360;292916075;184329923;0;0;26408928768;40240935424;0.65;0.15;0.18;103159878;157191154;1041404128;628764616;292894278;184063203;0;0;26495580928;40269815296;0.65;0.15;0.18;103498363;157303966;1043209316;629215864;294452789;184548901;0;0;26529866496;40307209472;0.65;0.15;0.18;103632291;157450037;1044329312;629800148;294665175;184658135;0;0;26492993024;40270200064;0.65;0.15;0.18;103488254;157305469;1043174892;629221876;294552533;184478106;0;0;
1561114452;140470530980;6545920;102158592;0.00;0.00;0.00;25570;399057;1698508;1596228;135;989;0;0;6441216;101835776;0.00;0.00;0.00;25161;397796;1691828;1591184;135;33;0;0;6412800;101812992;0.00;0.00;0.00;25050;397707;1691028;1590828;135;33;0;0;6413312;101817088;0.00;0.00;0.00;25052;397723;1691100;1590892;135;33;0;0;6413568;101816576;0.00;0.00;0.00;25053;397721;1691096;1590884;135;33;0;0;6413312;101828608;0.00;0.00;0.00;25052;397768;1691280;1591072;135;33;0;0;26445894912;40287968512;0.65;0.15;0.18;103304277;157374877;1042716616;629499508;293293636;184364181;0;0;26409065216;40257482496;0.65;0.15;0.18;103160411;157255791;1041664808;629023164;292888425;184135964;0;0;26419388160;40201394176;0.65;0.15;0.18;103200735;157036696;1040949724;628146784;292853250;183871527;0;0;26511313664;40256438784;0.65;0.15;0.18;103559819;157251714;1043246132;629006856;294612439;184525120;0;0;26547225600;40273697792;0.65;0.15;0.18;103700100;157319132;1044076928;629276528;294724857;184568724;0;0;26525353984;40258298368;0.65;0.15;0.18;103614664;157258978;1043494568;629035912;294633066;184424103;0;0;
