# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Fri Jun 21 03:14:06 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561101247;2195187254;112384;1602560;0.00;0.00;0.00;439;6260;26796;25040;134;48;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;135;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;135;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;135;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;135;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;134;33;0;0;102400;1593088;0.00;0.00;0.00;400;6223;26492;24892;102;33;0;0;100864;1592832;0.00;0.00;0.00;394;6222;26464;24888;102;33;0;0;104960;1597696;0.00;0.00;0.00;410;6241;26604;24964;102;33;0;0;101632;1594880;0.00;0.00;0.00;397;6230;26508;24920;102;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;102;33;0;0;101888;1593344;0.00;0.00;0.00;398;6224;26488;24896;102;33;0;0;
1561101248;2195089896;5105664;72324864;0.00;0.00;0.00;19944;282519;1209852;1130076;135;1320;0;0;4513536;71466496;0.00;0.00;0.00;17631;279166;1187188;1116664;135;33;0;0;4501248;71458816;0.00;0.00;0.00;17583;279136;1186876;1116544;135;33;0;0;4502016;71459840;0.00;0.00;0.00;17586;279140;1186904;1116560;135;33;0;0;4501248;71459072;0.00;0.00;0.00;17583;279137;1186880;1116548;135;33;0;0;4501248;71463680;0.00;0.00;0.00;17583;279155;1186952;1116620;135;33;0;0;188005888;30644981760;0.00;0.75;0.75;734398;119706960;481765432;478827840;93852;475427414;0;0;189618432;30648541696;0.00;0.75;0.75;740697;119720866;481846252;478883464;107416;475441463;0;0;190541568;30650635776;0.00;0.75;0.75;744303;119729046;481893396;478916184;120957;475456223;0;0;192628224;30654580992;0.00;0.75;0.75;752454;119744457;481987644;478977828;135151;475467445;0;0;192862208;30656236800;0.00;0.75;0.75;753368;119750925;482017172;479003700;149270;475479632;0;0;194521600;30660034304;0.00;0.75;0.75;759850;119765759;482102436;479063036;163067;475495331;0;0;
1561101312;140470547154;2271232;32183552;0.00;0.00;0.00;8872;125717;538356;502868;135;57;0;0;2012672;31943424;0.00;0.00;0.00;7862;124779;530564;499116;135;33;0;0;2012160;31944192;0.00;0.00;0.00;7860;124782;530568;499128;135;33;0;0;2011904;31943680;0.00;0.00;0.00;7859;124780;530556;499120;135;33;0;0;2012160;31945216;0.00;0.00;0.00;7860;124786;530584;499144;135;33;0;0;2011904;31946240;0.00;0.00;0.00;7859;124790;530596;499160;135;33;0;0;14740799232;221784064;0.01;0.10;0.00;57581247;866344;233790364;3465376;58336457;965817;0;0;14728521216;219522304;0.01;0.10;0.00;57533286;857509;233563180;3430036;58277701;952911;0;0;14758688512;216979968;0.01;0.10;0.00;57651127;847578;233994820;3390312;58386741;939686;0;0;14115288320;214922752;0.01;0.09;0.00;55137845;839542;223909548;3358168;55850271;925961;0;0;14133707776;212596992;0.01;0.09;0.00;55209796;830457;224161012;3321828;55911901;913422;0;0;14129772032;210218496;0.01;0.09;0.00;55194422;821166;224062352;3284664;55885710;899632;0;0;
1561101376;140470543570;7260416;102592256;0.00;0.00;0.00;28361;400751;1716448;1603004;135;93;0;0;6429952;101822208;0.00;0.00;0.00;25117;397743;1691440;1590972;135;33;0;0;6413056;101812736;0.00;0.00;0.00;25051;397706;1691028;1590824;135;33;0;0;6413312;101818624;0.00;0.00;0.00;25052;397729;1691124;1590916;135;33;0;0;6413056;101813248;0.00;0.00;0.00;25051;397708;1691036;1590832;135;33;0;0;6413568;101830656;0.00;0.00;0.00;25053;397776;1691316;1591104;135;33;0;0;47302414080;120963328;0.00;0.00;0.00;184775055;472513;740990272;1890052;184955165;35564;0;0;47255659776;120884224;0.00;0.00;0.00;184592421;472204;740258500;1888816;184773300;35618;0;0;47350237696;120762880;0.00;0.00;0.00;184961866;471730;741734384;1886920;185147115;35602;0;0;45284250624;120600832;0.00;0.00;0.00;176891604;471097;709450804;1884388;177034063;35618;0;0;45334104320;120230912;0.00;0.00;0.00;177086345;469652;710223988;1878608;177230310;35558;0;0;45317749760;120738304;0.00;0.00;0.00;177022460;471634;709976376;1886536;177165232;35616;0;0;
1561101440;140470552274;7259648;102582016;0.00;0.00;0.00;28358;400711;1716276;1602844;135;54;0;0;6443520;101832448;0.00;0.00;0.00;25170;397783;1691812;1591132;135;33;0;0;6413568;101810688;0.00;0.00;0.00;25053;397698;1691004;1590792;135;33;0;0;6413312;101813760;0.00;0.00;0.00;25052;397710;1691048;1590840;135;33;0;0;6413312;101814528;0.00;0.00;0.00;25052;397713;1691060;1590852;135;33;0;0;6413056;101826048;0.00;0.00;0.00;25051;397758;1691236;1591032;135;33;0;0;47288908288;120751616;0.00;0.00;0.00;184722298;471686;740775936;1886744;184925137;35613;0;0;47240224256;120650240;0.00;0.00;0.00;184532126;471290;740013664;1885160;184735772;35555;0;0;47334901504;120927744;0.00;0.00;0.00;184901959;472374;741497332;1889496;185109088;35572;0;0;45281496832;120347392;0.00;0.00;0.00;176880847;470107;709403816;1880428;177041542;35553;0;0;45333780992;120331264;0.00;0.00;0.00;177085082;470044;710220504;1880176;177246737;35621;0;0;45315991552;120752384;0.00;0.00;0.00;177015592;471689;709949124;1886756;177176996;35559;0;0;
1561101504;140470546530;7265536;102588160;0.00;0.00;0.00;28381;400735;1716464;1602940;135;61;0;0;6457088;101839872;0.00;0.00;0.00;25223;397812;1692140;1591248;135;33;0;0;6412800;101811712;0.00;0.00;0.00;25050;397702;1691008;1590808;135;33;0;0;6412800;101817088;0.00;0.00;0.00;25050;397723;1691092;1590892;135;33;0;0;6413312;101814272;0.00;0.00;0.00;25052;397712;1691056;1590848;135;33;0;0;6413056;101825536;0.00;0.00;0.00;25051;397756;1691228;1591024;135;33;0;0;47268487680;121480704;0.00;0.00;0.00;184642530;474534;740468256;1898136;184914946;35533;0;0;47220744704;120672256;0.00;0.00;0.00;184456034;471376;739709640;1885504;184731341;35555;0;0;47316686080;120949504;0.00;0.00;0.00;184830805;472459;741213056;1889836;185109764;35537;0;0;45286177792;120240128;0.00;0.00;0.00;176899132;469688;709475280;1878752;177124949;35556;0;0;45341037056;120509696;0.00;0.00;0.00;177113426;470741;710336668;1882964;177339862;35523;0;0;45320841984;120274176;0.00;0.00;0.00;177034539;469821;710017440;1879284;177263659;35554;0;0;
1561101568;140470551352;7152896;102481408;0.00;0.00;0.00;27941;400318;1713036;1601272;135;54;0;0;6445056;101832192;0.00;0.00;0.00;25176;397782;1691832;1591128;135;33;0;0;6413312;101814016;0.00;0.00;0.00;25052;397711;1691052;1590844;135;33;0;0;6414592;101819136;0.00;0.00;0.00;25057;397731;1691152;1590924;135;33;0;0;6412800;101817344;0.00;0.00;0.00;25050;397724;1691096;1590896;135;33;0;0;6413056;101833216;0.00;0.00;0.00;25051;397786;1691348;1591144;135;33;0;0;47271448320;121057024;0.00;0.00;0.00;184654095;472879;740507896;1891516;184852382;35575;0;0;47225699072;120870656;0.00;0.00;0.00;184475387;472151;739790152;1888604;184674077;35554;0;0;47321473792;120325376;0.00;0.00;0.00;184849507;470021;741278112;1880084;185055178;35616;0;0;45262489856;120712704;0.00;0.00;0.00;176806601;471534;709112540;1886136;176962191;35589;0;0;45314535424;120119552;0.00;0.00;0.00;177009904;469217;709916484;1876868;177169608;35588;0;0;45295988736;120225280;0.00;0.00;0.00;176937456;469630;709628344;1878520;177097424;35554;0;0;
1561101632;140470552840;6537728;101924608;0.00;0.00;0.00;25538;398143;1694724;1592572;135;128;0;0;6511360;101884928;0.00;0.00;0.00;25435;397988;1693692;1591952;135;33;0;0;6413056;101812736;0.00;0.00;0.00;25051;397706;1691028;1590824;135;33;0;0;6413056;101819392;0.00;0.00;0.00;25051;397732;1691132;1590928;135;33;0;0;6413312;101815808;0.00;0.00;0.00;25052;397718;1691080;1590872;135;33;0;0;6413312;101830656;0.00;0.00;0.00;25052;397776;1691312;1591104;135;33;0;0;47285737984;120598784;0.00;0.00;0.00;184709914;471089;740724012;1884356;184911170;35555;0;0;47239543296;120914944;0.00;0.00;0.00;184529466;472324;740007160;1889296;184729219;35617;0;0;47335141888;120516352;0.00;0.00;0.00;184902898;470767;741494660;1883068;185108270;35554;0;0;45271698944;120500992;0.00;0.00;0.00;176842574;470707;709253124;1882828;177000253;35589;0;0;45323461120;120333824;0.00;0.00;0.00;177044770;470054;710059296;1880216;177204852;35556;0;0;45305715456;120521216;0.00;0.00;0.00;176975451;470786;709784948;1883144;177133796;35619;0;0;
1561101696;140470539534;6514944;101883904;0.00;0.00;0.00;25449;397984;1693732;1591936;135;49;0;0;6503936;101874944;0.00;0.00;0.00;25406;397949;1693420;1591796;135;33;0;0;6413312;101813248;0.00;0.00;0.00;25052;397708;1691040;1590832;135;33;0;0;6413312;101820160;0.00;0.00;0.00;25052;397735;1691148;1590940;135;33;0;0;6413056;101816832;0.00;0.00;0.00;25051;397722;1691092;1590888;134;33;0;0;6413312;101834752;0.00;0.00;0.00;25052;397792;1691376;1591168;135;33;0;0;47283821056;120988672;0.00;0.00;0.00;184702426;472612;740700152;1890448;184903580;35595;0;0;47238207488;120592896;0.00;0.00;0.00;184524248;471066;739981256;1884264;184726439;35554;0;0;47333298176;120700672;0.00;0.00;0.00;184895696;471487;741468732;1885948;185100898;35554;0;0;45273674496;120240128;0.00;0.00;0.00;176850291;469688;709279916;1878752;177010163;35559;0;0;45328581376;120813312;0.00;0.00;0.00;177064771;471927;710146792;1887708;177224526;35581;0;0;45309546240;120458240;0.00;0.00;0.00;176990415;470540;709843820;1882160;177151641;35554;0;0;
1561101760;140470550110;6524928;101898752;0.00;0.00;0.00;25488;398042;1694120;1592168;135;58;0;0;6481408;101859072;0.00;0.00;0.00;25318;397887;1692820;1591548;135;33;0;0;6413056;101813760;0.00;0.00;0.00;25051;397710;1691044;1590840;135;33;0;0;6413056;101820160;0.00;0.00;0.00;25051;397735;1691144;1590940;135;33;0;0;6413056;101816576;0.00;0.00;0.00;25051;397721;1691088;1590884;135;33;0;0;6413056;101837568;0.00;0.00;0.00;25051;397803;1691416;1591212;135;33;0;0;47283154688;120805376;0.00;0.00;0.00;184699823;471896;740686876;1887584;184898903;35578;0;0;47234216960;120323072;0.00;0.00;0.00;184508660;470012;739914688;1880048;184710270;35553;0;0;47329744128;120381184;0.00;0.00;0.00;184881813;470239;741408208;1880956;185087634;35569;0;0;45271308800;120393216;0.00;0.00;0.00;176841050;470286;709245344;1881144;176998548;35555;0;0;45322393856;120189952;0.00;0.00;0.00;177040601;469492;710040372;1877968;177200979;35597;0;0;45305441792;119930624;0.00;0.00;0.00;176974382;468479;709771444;1873916;177136348;35556;0;0;
