# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Fri Jun 21 21:31:43 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561167104;2195189204;113152;1599232;0.00;0.00;0.00;442;6247;26756;24988;135;33;0;0;101888;1589504;0.00;0.00;0.00;398;6209;26428;24836;134;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;135;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;135;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;135;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;135;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;102;33;0;0;101120;1593088;0.00;0.00;0.00;395;6223;26472;24892;102;33;0;0;101120;1593600;0.00;0.00;0.00;395;6225;26480;24900;102;33;0;0;103424;1594624;0.00;0.00;0.00;404;6229;26532;24916;102;33;0;0;101120;1594368;0.00;0.00;0.00;395;6228;26492;24912;102;33;0;0;100352;1592832;0.00;0.00;0.00;392;6222;26456;24888;102;33;0;0;
1561167105;2195111720;1547055872;183862997248;0.00;0.75;0.75;6043187;718214833;2897032080;2872859332;106076;2852173753;0;0;8145920;128236800;0.00;0.00;0.00;31820;500925;2130980;2003700;135;33;0;0;8075008;128187136;0.00;0.00;0.00;31543;500731;2129096;2002924;135;33;0;0;8076032;128190464;0.00;0.00;0.00;31547;500744;2129164;2002976;135;33;0;0;8074752;128190720;0.00;0.00;0.00;31542;500745;2129148;2002980;135;33;0;0;8075264;128192512;0.00;0.00;0.00;31544;500752;2129184;2003008;135;33;0;0;8154880;128241408;0.00;0.00;0.00;31855;500943;2131192;2003772;102;33;0;0;8138240;128231168;0.00;0.00;0.00;31790;500903;2130772;2003612;102;34;0;0;8143360;128242176;0.00;0.00;0.00;31810;500946;2131024;2003784;102;34;0;0;8165120;128251904;0.00;0.00;0.00;31895;500984;2131516;2003936;102;33;0;0;8162816;128252416;0.00;0.00;0.00;31886;500986;2131488;2003944;102;33;0;0;8145152;128240640;0.00;0.00;0.00;31817;500940;2131028;2003760;102;33;0;0;
1561167233;280940861530;179511751424;2122616064;0.01;0.00;0.00;701217779;8291469;2838036992;33165876;707429958;8309344;0;0;4851712;77021696;0.00;0.00;0.00;18952;300866;1279272;1203464;135;33;0;0;4851200;77019136;0.00;0.00;0.00;18950;300856;1279224;1203424;135;33;0;0;4851456;77016576;0.00;0.00;0.00;18951;300846;1279188;1203384;135;33;0;0;4851456;77015040;0.00;0.00;0.00;18951;300840;1279164;1203360;135;33;0;0;4851200;77013248;0.00;0.00;0.00;18950;300833;1279132;1203332;135;33;0;0;4898816;77041920;0.00;0.00;0.00;19136;300945;1280324;1203780;102;34;0;0;4910336;77045760;0.00;0.00;0.00;19181;300960;1280564;1203840;102;33;0;0;4905984;77051648;0.00;0.00;0.00;19164;300983;1280588;1203932;102;33;0;0;4903424;77038336;0.00;0.00;0.00;19154;300931;1280340;1203724;102;33;0;0;4888064;77027328;0.00;0.00;0.00;19094;300888;1279928;1203552;102;33;0;0;4904192;77035264;0.00;0.00;0.00;19157;300919;1280304;1203676;102;33;0;0;
1561167361;280940802782;481665385216;403172096;0.00;0.00;0.00;1881505411;1574891;7532321208;6299564;1881789325;380102;0;0;12916736;203681536;0.00;0.00;0.00;50456;795631;3384348;3182524;135;33;0;0;12826368;203621120;0.00;0.00;0.00;50103;795395;3381992;3181580;135;33;0;0;12826368;203621888;0.00;0.00;0.00;50103;795398;3382004;3181592;135;33;0;0;12826368;203620096;0.00;0.00;0.00;50103;795391;3381976;3181564;135;33;0;0;12826112;203621888;0.00;0.00;0.00;50102;795398;3382000;3181592;135;33;0;0;12962816;203703296;0.00;0.00;0.00;50636;795716;3385408;3182864;102;33;0;0;12976128;203719168;0.00;0.00;0.00;50688;795778;3385864;3183112;102;33;0;0;12987136;203729664;0.00;0.00;0.00;50731;795819;3386200;3183276;102;33;0;0;12967168;203710208;0.00;0.00;0.00;50653;795743;3385584;3182972;102;33;0;0;12963072;203715072;0.00;0.00;0.00;50637;795762;3385596;3183048;102;33;0;0;12947200;203692032;0.00;0.00;0.00;50575;795672;3384988;3182688;102;33;0;0;
1561167489;280940776552;482185275648;402329856;0.00;0.00;0.00;1883536233;1571601;7540431336;6286404;1883937543;379935;0;0;12947712;203704832;0.00;0.00;0.00;50577;795722;3385196;3182888;135;33;0;0;12826624;203619584;0.00;0.00;0.00;50104;795389;3381972;3181556;135;33;0;0;12827136;203621120;0.00;0.00;0.00;50106;795395;3382004;3181580;135;33;0;0;12826368;203620352;0.00;0.00;0.00;50103;795392;3381980;3181568;135;33;0;0;12826112;203619328;0.00;0.00;0.00;50102;795388;3381960;3181552;135;33;0;0;12961280;203700480;0.00;0.00;0.00;50630;795705;3385340;3182820;102;33;0;0;12939520;203689472;0.00;0.00;0.00;50545;795662;3384828;3182648;102;33;0;0;12989440;203728640;0.00;0.00;0.00;50740;795815;3386220;3183260;102;33;0;0;12980480;203721984;0.00;0.00;0.00;50705;795789;3385976;3183156;102;33;0;0;12952832;203695616;0.00;0.00;0.00;50597;795686;3385132;3182744;102;33;0;0;12957952;203704832;0.00;0.00;0.00;50617;795722;3385356;3182888;102;33;0;0;
1561167617;280940832410;482123305984;401967872;0.00;0.00;0.00;1883294164;1570187;7539457404;6280748;1883692303;379933;0;0;12979456;203726848;0.00;0.00;0.00;50701;795808;3386036;3183232;135;33;0;0;12826368;203622144;0.00;0.00;0.00;50103;795399;3382008;3181596;135;33;0;0;12828416;203622400;0.00;0.00;0.00;50111;795400;3382044;3181600;135;33;0;0;12826112;203621120;0.00;0.00;0.00;50102;795395;3381988;3181580;135;33;0;0;12826624;203621888;0.00;0.00;0.00;50104;795398;3382008;3181592;135;33;0;0;12982272;203724288;0.00;0.00;0.00;50712;795798;3386040;3183192;102;33;0;0;12951552;203707136;0.00;0.00;0.00;50592;795731;3385292;3182924;102;33;0;0;12956160;203697152;0.00;0.00;0.00;50610;795692;3385208;3182768;102;33;0;0;12946688;203694080;0.00;0.00;0.00;50573;795680;3385012;3182720;102;33;0;0;12941568;203692544;0.00;0.00;0.00;50553;795674;3384908;3182696;102;33;0;0;12991232;203739136;0.00;0.00;0.00;50747;795856;3386412;3183424;102;33;0;0;
1561167745;280940806538;482015177216;401625344;0.00;0.00;0.00;1882871786;1568849;7537762540;6275396;1883272366;380031;0;0;13105920;203826688;0.00;0.00;0.00;51195;796198;3389572;3184792;135;33;0;0;12990464;203752704;0.00;0.00;0.00;50744;795909;3386612;3183636;135;33;0;0;13337600;204089600;0.00;0.00;0.00;52100;797225;3397300;3188900;135;33;0;0;13381888;204132352;0.00;0.00;0.00;52273;797392;3398660;3189568;135;33;0;0;12826112;203620096;0.00;0.00;0.00;50102;795391;3381972;3181564;135;33;0;0;12944896;203689216;0.00;0.00;0.00;50566;795661;3384908;3182644;102;33;0;0;12940544;203692288;0.00;0.00;0.00;50549;795673;3384888;3182692;102;33;0;0;12968448;203712256;0.00;0.00;0.00;50658;795751;3385636;3183004;102;33;0;0;12957952;203708928;0.00;0.00;0.00;50617;795738;3385420;3182952;102;33;0;0;12936704;203685120;0.00;0.00;0.00;50534;795645;3384716;3182580;102;33;0;0;12948224;203691264;0.00;0.00;0.00;50579;795669;3384992;3182676;102;33;0;0;
1561167873;280940814166;482297139456;404060672;0.00;0.00;0.00;1883973201;1578362;7542206252;6313448;1884374160;379822;0;0;13018880;203757824;0.00;0.00;0.00;50855;795929;3387136;3183716;135;33;0;0;12826112;203621376;0.00;0.00;0.00;50102;795396;3381992;3181584;135;33;0;0;12827392;203621632;0.00;0.00;0.00;50107;795397;3382016;3181588;135;33;0;0;12826368;203620864;0.00;0.00;0.00;50103;795394;3381988;3181576;135;33;0;0;12826624;203621632;0.00;0.00;0.00;50104;795397;3382004;3181588;135;33;0;0;12957184;203707392;0.00;0.00;0.00;50614;795732;3385384;3182928;102;33;0;0;12931840;203684096;0.00;0.00;0.00;50515;795641;3384624;3182564;102;33;0;0;12960256;203705600;0.00;0.00;0.00;50626;795725;3385404;3182900;102;33;0;0;12980736;203730944;0.00;0.00;0.00;50706;795824;3386120;3183296;102;33;0;0;12937216;203686400;0.00;0.00;0.00;50536;795650;3384744;3182600;102;33;0;0;12930304;203684096;0.00;0.00;0.00;50509;795641;3384600;3182564;102;33;0;0;
1561168001;280940808862;489356883200;415207936;0.00;0.00;0.00;1911550325;1621906;7652688924;6487624;1912194524;377230;0;0;12996864;203741440;0.00;0.00;0.00;50769;795865;3386536;3183460;135;33;0;0;12826368;203619840;0.00;0.00;0.00;50103;795390;3381972;3181560;135;33;0;0;12828416;203622144;0.00;0.00;0.00;50111;795399;3382040;3181596;135;33;0;0;12826112;203619072;0.00;0.00;0.00;50102;795387;3381956;3181548;135;33;0;0;12826112;203619840;0.00;0.00;0.00;50102;795390;3381968;3181560;135;33;0;0;12934144;203686656;0.00;0.00;0.00;50524;795651;3384700;3182604;102;33;0;0;12941568;203687680;0.00;0.00;0.00;50553;795655;3384832;3182620;102;33;0;0;12963072;203714048;0.00;0.00;0.00;50637;795758;3385580;3183032;102;33;0;0;12963584;203708160;0.00;0.00;0.00;50639;795735;3385496;3182940;102;33;0;0;12954880;203700736;0.00;0.00;0.00;50605;795706;3385244;3182824;102;33;0;0;12952832;203694592;0.00;0.00;0.00;50597;795682;3385116;3182728;102;33;0;0;
1561168129;280940806256;489318756608;414144512;0.00;0.00;0.00;1911401393;1617752;7652076580;6471008;1911971374;377100;0;0;12972800;203723008;0.00;0.00;0.00;50675;795793;3385872;3183172;135;33;0;0;12826368;203619840;0.00;0.00;0.00;50103;795390;3381972;3181560;135;33;0;0;12826112;203620096;0.00;0.00;0.00;50102;795391;3381972;3181564;135;33;0;0;12826368;203619328;0.00;0.00;0.00;50103;795388;3381964;3181552;135;33;0;0;12826368;203620608;0.00;0.00;0.00;50103;795393;3381984;3181572;135;33;0;0;13645568;204330752;0.00;0.00;0.00;53303;798167;3405880;3192668;102;33;0;0;12961280;203702272;0.00;0.00;0.00;50630;795712;3385368;3182848;102;33;0;0;12968704;203709440;0.00;0.00;0.00;50659;795740;3385596;3182960;102;33;0;0;13233408;203957248;0.00;0.00;0.00;51693;796708;3393604;3186832;102;33;0;0;12968960;203706624;0.00;0.00;0.00;50660;795729;3385556;3182916;102;33;0;0;12962816;203713024;0.00;0.00;0.00;50636;795754;3385560;3183016;102;34;0;0;
