# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Jun 22 01:05:07 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561179908;2195145336;115200;1601280;0.00;0.00;0.00;450;6255;26820;25020;135;33;0;0;101632;1589504;0.00;0.00;0.00;397;6209;26424;24836;134;33;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;135;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;135;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;134;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;135;33;0;0;99584;1596672;0.00;0.00;0.00;389;6237;26504;24948;101;50;0;0;103936;1600768;0.00;0.00;0.00;406;6253;26636;25012;102;56;0;0;103168;1596928;0.00;0.00;0.00;403;6238;26564;24952;102;40;0;0;101888;1599744;0.00;0.00;0.00;398;6249;26588;24996;102;50;0;0;100608;1600000;0.00;0.00;0.00;393;6250;26572;25000;102;52;0;0;100352;1599232;0.00;0.00;0.00;392;6247;26556;24988;102;51;0;0;
1561179909;2195117840;1524726528;183843944192;0.00;0.75;0.75;5955963;718140407;2896385480;2872561628;108281;2852174271;0;0;8081408;128208640;0.00;0.00;0.00;31568;500815;2129532;2003260;135;33;0;0;8076032;128205824;0.00;0.00;0.00;31547;500804;2129404;2003216;135;33;0;0;8075776;128207104;0.00;0.00;0.00;31546;500809;2129420;2003236;135;33;0;0;8075776;128208128;0.00;0.00;0.00;31546;500813;2129436;2003252;135;33;0;0;8076288;128208896;0.00;0.00;0.00;31548;500816;2129456;2003264;135;33;0;0;8155648;128389120;0.00;0.00;0.00;31858;501520;2133512;2006080;102;568;0;0;8154624;128397056;0.00;0.00;0.00;31854;501551;2133620;2006204;102;590;0;0;8163072;128397312;0.00;0.00;0.00;31887;501552;2133756;2006208;101;542;0;0;8168704;128400640;0.00;0.00;0.00;31909;501565;2133896;2006260;102;523;0;0;8170496;128404480;0.00;0.00;0.00;31916;501580;2133984;2006320;102;527;0;0;8169984;128399360;0.00;0.00;0.00;31914;501560;2133896;2006240;101;542;0;0;
1561180037;280940871896;15423512064;31399068160;0.63;0.06;0.16;60248094;122652610;731602816;490610440;164595273;131032220;0;0;4854528;77006848;0.00;0.00;0.00;18963;300808;1279084;1203232;135;33;0;0;4850432;77003264;0.00;0.00;0.00;18947;300794;1278964;1203176;135;33;0;0;4850688;77002240;0.00;0.00;0.00;18948;300790;1278952;1203160;135;33;0;0;4850176;77000192;0.00;0.00;0.00;18946;300782;1278912;1203128;135;33;0;0;4850176;76997888;0.00;0.00;0.00;18946;300773;1278876;1203092;135;33;0;0;4894464;77029632;0.00;0.00;0.00;19119;300897;1280064;1203588;102;58;0;0;4896768;77029376;0.00;0.00;0.00;19128;300896;1280096;1203584;102;56;0;0;4900352;77029888;0.00;0.00;0.00;19142;300898;1280160;1203592;102;55;0;0;4905216;77038080;0.00;0.00;0.00;19161;300930;1280364;1203720;102;57;0;0;4894464;77023488;0.00;0.00;0.00;19119;300873;1279968;1203492;102;57;0;0;4896512;77022208;0.00;0.00;0.00;19127;300868;1279980;1203472;102;55;0;0;
1561180165;280940812776;25501600256;2913351936;0.28;0.28;0.00;99615626;11380281;443983628;45521124;138803908;15856562;0;0;12893440;203666432;0.00;0.00;0.00;50365;795572;3383748;3182288;134;33;0;0;12826368;203621888;0.00;0.00;0.00;50103;795398;3382004;3181592;135;33;0;0;12826368;203621376;0.00;0.00;0.00;50103;795396;3381996;3181584;135;33;0;0;12826624;203620864;0.00;0.00;0.00;50104;795394;3381992;3181576;135;33;0;0;12826368;203622144;0.00;0.00;0.00;50103;795399;3382008;3181596;135;33;0;0;13964032;204631040;0.00;0.00;0.00;54547;799340;3415548;3197360;102;43;0;0;13075200;203816192;0.00;0.00;0.00;51075;796157;3388928;3184628;102;41;0;0;12952320;203706112;0.00;0.00;0.00;50595;795727;3385288;3182908;102;43;0;0;13588480;204300544;0.00;0.00;0.00;53080;798049;3404516;3192196;102;42;0;0;12982272;203724288;0.00;0.00;0.00;50712;795798;3386040;3183192;102;45;0;0;13023488;203754496;0.00;0.00;0.00;50873;795916;3387156;3183664;102;35;0;0;
1561180293;280940829408;25408419584;2923276544;0.28;0.28;0.00;99251639;11419049;442682752;45676196;138328972;15860749;0;0;12865024;203644928;0.00;0.00;0.00;50254;795488;3382968;3181952;135;33;0;0;12826112;203619072;0.00;0.00;0.00;50102;795387;3381956;3181548;135;33;0;0;12830464;203622144;0.00;0.00;0.00;50119;795399;3382072;3181596;135;33;0;0;12826112;203618816;0.00;0.00;0.00;50102;795386;3381952;3181544;135;33;0;0;12826368;203618048;0.00;0.00;0.00;50103;795383;3381944;3181532;135;33;0;0;13413888;204120576;0.00;0.00;0.00;52398;797346;3398976;3189384;102;47;0;0;14078464;204739840;0.00;0.00;0.00;54994;799765;3419036;3199060;102;55;0;0;12951552;203701760;0.00;0.00;0.00;50592;795710;3385208;3182840;102;44;0;0;13557504;204271872;0.00;0.00;0.00;52959;797937;3403584;3191748;102;43;0;0;13908736;204576000;0.00;0.00;0.00;54331;799125;3413824;3196500;102;44;0;0;14118144;204769280;0.00;0.00;0.00;55149;799880;3420116;3199520;102;42;0;0;
1561180421;280940814908;25480676608;2914076672;0.28;0.28;0.00;99533893;11383112;443668020;45532448;138503697;15849363;0;0;12837888;203628032;0.00;0.00;0.00;50148;795422;3382280;3181688;135;33;0;0;12826368;203621376;0.00;0.00;0.00;50103;795396;3381996;3181584;135;33;0;0;12826368;203621376;0.00;0.00;0.00;50103;795396;3381996;3181584;135;33;0;0;12826112;203621376;0.00;0.00;0.00;50102;795396;3381992;3181584;135;33;0;0;12826112;203622400;0.00;0.00;0.00;50102;795400;3382008;3181600;135;33;0;0;13644032;204318208;0.00;0.00;0.00;53297;798118;3405660;3192472;102;49;0;0;13598464;204294656;0.00;0.00;0.00;53119;798026;3404580;3192104;102;45;0;0;13353472;204064256;0.00;0.00;0.00;52162;797126;3397152;3188504;102;39;0;0;13657856;204351488;0.00;0.00;0.00;53351;798248;3406396;3192992;102;44;0;0;13402368;204115456;0.00;0.00;0.00;52353;797326;3398716;3189304;102;45;0;0;13455104;204153088;0.00;0.00;0.00;52559;797473;3400128;3189892;102;47;0;0;
1561180549;280940818614;24210060544;2923357440;0.29;0.29;0.00;94570549;11419365;423959656;45677460;133270179;16148681;0;0;12835072;203625216;0.00;0.00;0.00;50137;795411;3382192;3181644;135;33;0;0;12826368;203619840;0.00;0.00;0.00;50103;795390;3381972;3181560;135;33;0;0;12830720;203623680;0.00;0.00;0.00;50120;795405;3382100;3181620;135;33;0;0;12826624;203619840;0.00;0.00;0.00;50104;795390;3381976;3181560;135;33;0;0;12826368;203620352;0.00;0.00;0.00;50103;795392;3381980;3181568;135;33;0;0;13160960;203868160;0.00;0.00;0.00;51410;796360;3391080;3185440;102;135;0;0;13240576;203950336;0.00;0.00;0.00;51721;796681;3393608;3186724;102;129;0;0;13849856;204546048;0.00;0.00;0.00;54101;799008;3412436;3196032;102;114;0;0;13208064;203925504;0.00;0.00;0.00;51594;796584;3392712;3186336;102;99;0;0;13550592;204252160;0.00;0.00;0.00;52932;797860;3403168;3191440;102;127;0;0;13317888;204018432;0.00;0.00;0.00;52023;796947;3395880;3187788;102;133;0;0;
1561180677;280940837314;23859915008;2913387776;0.29;0.30;0.00;93202793;11380421;418332856;45521684;131978358;16170378;0;0;12873984;203650816;0.00;0.00;0.00;50289;795511;3383200;3182044;135;33;0;0;12826112;203619584;0.00;0.00;0.00;50102;795389;3381964;3181556;135;33;0;0;12826368;203619840;0.00;0.00;0.00;50103;795390;3381972;3181560;135;33;0;0;12826112;203619072;0.00;0.00;0.00;50102;795387;3381956;3181548;135;33;0;0;12826624;203620096;0.00;0.00;0.00;50104;795391;3381980;3181564;135;33;0;0;13130752;203848960;0.00;0.00;0.00;51292;796285;3390308;3185140;102;107;0;0;13198592;203916288;0.00;0.00;0.00;51557;796548;3392420;3186192;102;88;0;0;13707776;204409856;0.00;0.00;0.00;53546;798476;3408088;3193904;102;91;0;0;13107968;203831808;0.00;0.00;0.00;51203;796218;3389684;3184872;102;90;0;0;13152256;203859456;0.00;0.00;0.00;51376;796326;3390808;3185304;102;101;0;0;13142528;203858944;0.00;0.00;0.00;51338;796324;3390648;3185296;102;83;0;0;
1561180805;280940805626;23946896896;2932099840;0.29;0.29;0.00;93542566;11453515;419984324;45814060;132547768;16178907;0;0;12872192;203653632;0.00;0.00;0.00;50282;795522;3383216;3182088;135;33;0;0;12826368;203620608;0.00;0.00;0.00;50103;795393;3381984;3181572;135;33;0;0;12826368;203621632;0.00;0.00;0.00;50103;795397;3382000;3181588;135;33;0;0;12826112;203620864;0.00;0.00;0.00;50102;795394;3381984;3181576;135;33;0;0;12826112;203620864;0.00;0.00;0.00;50102;795394;3381984;3181576;135;33;0;0;13000448;203736832;0.00;0.00;0.00;50783;795847;3386520;3183388;102;57;0;0;13110528;203819520;0.00;0.00;0.00;51213;796170;3389532;3184680;102;55;0;0;13172224;203873792;0.00;0.00;0.00;51454;796382;3391344;3185528;102;51;0;0;13076224;203795200;0.00;0.00;0.00;51079;796075;3388616;3184300;102;45;0;0;13146112;203851008;0.00;0.00;0.00;51352;796293;3390580;3185172;102;45;0;0;13085184;203790336;0.00;0.00;0.00;51114;796056;3388680;3184224;102;41;0;0;
1561180933;280940809128;23860311296;2919395584;0.30;0.30;0.00;93204341;11403889;418432920;45615556;132253597;16186820;0;0;12874240;203651584;0.00;0.00;0.00;50290;795514;3383216;3182056;135;33;0;0;12826368;203622144;0.00;0.00;0.00;50103;795399;3382008;3181596;135;33;0;0;12826112;203622144;0.00;0.00;0.00;50102;795399;3382004;3181596;135;33;0;0;12826624;203621888;0.00;0.00;0.00;50104;795398;3382008;3181592;135;33;0;0;12826368;203621888;0.00;0.00;0.00;50103;795398;3382004;3181592;135;33;0;0;12971264;203718912;0.00;0.00;0.00;50669;795777;3385784;3183108;102;55;0;0;12951808;203704832;0.00;0.00;0.00;50593;795722;3385260;3182888;102;62;0;0;13146112;203849984;0.00;0.00;0.00;51352;796289;3390564;3185156;102;55;0;0;12982272;203723776;0.00;0.00;0.00;50712;795796;3386032;3183184;102;42;0;0;13040896;203764480;0.00;0.00;0.00;50941;795955;3387584;3183820;102;55;0;0;13019136;203750912;0.00;0.00;0.00;50856;795902;3387032;3183608;102;50;0;0;
