# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Jun 22 06:38:51 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561199932;2195212868;111360;1596416;0.00;0.00;0.00;435;6236;26684;24944;135;33;0;0;99840;1587200;0.00;0.00;0.00;390;6200;26360;24800;135;33;0;0;100096;1587712;0.00;0.00;0.00;391;6202;26372;24808;135;33;0;0;100096;1588992;0.00;0.00;0.00;391;6207;26392;24828;135;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;135;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;135;33;0;0;100096;1597184;0.00;0.00;0.00;391;6239;26520;24956;101;58;0;0;100864;1596416;0.00;0.00;0.00;394;6236;26520;24944;102;47;0;0;110080;1605120;0.00;0.00;0.00;430;6270;26800;25080;102;49;0;0;100864;1599232;0.00;0.00;0.00;394;6247;26564;24988;102;54;0;0;101120;1597952;0.00;0.00;0.00;395;6242;26548;24968;102;49;0;0;102400;1598976;0.00;0.00;0.00;400;6246;26584;24984;102;48;0;0;
1561199933;2195116068;1536355840;183824798464;0.00;0.75;0.75;6001390;718065619;2896268036;2872262476;114404;2852177837;0;0;8138240;128122624;0.00;0.00;0.00;31790;500479;2129076;2001916;135;33;0;0;8067328;128076032;0.00;0.00;0.00;31513;500297;2127240;2001188;135;33;0;0;8071936;128078592;0.00;0.00;0.00;31531;500307;2127352;2001228;135;33;0;0;8067840;128077056;0.00;0.00;0.00;31515;500301;2127264;2001204;135;33;0;0;8067840;128079360;0.00;0.00;0.00;31515;500310;2127300;2001240;135;33;0;0;8151552;128215040;0.00;0.00;0.00;31842;500840;2130728;2003360;102;389;0;0;8148224;128206592;0.00;0.00;0.00;31829;500807;2130544;2003228;102;342;0;0;9096448;129102080;0.00;0.00;0.00;35533;504305;2159352;2017220;102;393;0;0;8155392;128239616;0.00;0.00;0.00;31857;500936;2131172;2003744;102;423;0;0;8185088;128271616;0.00;0.00;0.00;31973;501061;2132136;2004244;102;456;0;0;8161024;128235264;0.00;0.00;0.00;31879;500919;2131192;2003676;102;423;0;0;
1561200061;280940818292;57852024064;45289587712;0.02;0.00;0.07;225984469;176912452;1611587684;707649808;231552084;176120666;0;0;4870400;77145344;0.00;0.00;0.00;19025;301349;1281496;1205396;135;33;0;0;4859136;77136384;0.00;0.00;0.00;18981;301314;1281180;1205256;135;33;0;0;4859136;77136640;0.00;0.00;0.00;18981;301315;1281184;1205260;135;33;0;0;4858880;77135616;0.00;0.00;0.00;18980;301311;1281164;1205244;135;33;0;0;4858880;77133056;0.00;0.00;0.00;18980;301301;1281124;1205204;135;33;0;0;4907264;77162240;0.00;0.00;0.00;19169;301415;1282336;1205660;102;50;0;0;4902400;77160704;0.00;0.00;0.00;19150;301409;1282236;1205636;102;43;0;0;4984064;77234176;0.00;0.00;0.00;19469;301696;1284660;1206784;102;51;0;0;4900096;77159680;0.00;0.00;0.00;19141;301405;1282184;1205620;102;45;0;0;4911616;77161728;0.00;0.00;0.00;19186;301413;1282396;1205652;102;52;0;0;4893440;77148160;0.00;0.00;0.00;19115;301360;1281900;1205440;101;45;0;0;
1561200189;280940970360;153535592192;117389115904;0.00;0.00;0.02;599748407;458551234;4233198564;1834204936;601881318;454820437;0;0;12916736;203683584;0.00;0.00;0.00;50456;795639;3384380;3182556;135;33;0;0;12826368;203619840;0.00;0.00;0.00;50103;795390;3381972;3181560;135;33;0;0;12826112;203618304;0.00;0.00;0.00;50102;795384;3381944;3181536;135;33;0;0;12826112;203618816;0.00;0.00;0.00;50102;795386;3381952;3181544;135;33;0;0;12826112;203619584;0.00;0.00;0.00;50102;795389;3381964;3181556;135;33;0;0;13028864;203777024;0.00;0.00;0.00;50894;796004;3387592;3184016;102;74;0;0;12955904;203707648;0.00;0.00;0.00;50609;795733;3385368;3182932;102;63;0;0;12974336;203725056;0.00;0.00;0.00;50681;795801;3385928;3183204;102;59;0;0;12952064;203716608;0.00;0.00;0.00;50594;795768;3385448;3183072;102;73;0;0;12993024;203746304;0.00;0.00;0.00;50754;795884;3386552;3183536;102;93;0;0;12956672;203696896;0.00;0.00;0.00;50612;795691;3385212;3182764;102;70;0;0;
1561200317;280940804350;153187038208;117051406080;0.00;0.00;0.02;598386868;457232055;4222475692;1828928220;599863778;453212041;0;0;12937472;203696896;0.00;0.00;0.00;50537;795691;3384912;3182764;135;33;0;0;12826112;203620864;0.00;0.00;0.00;50102;795394;3381984;3181576;135;33;0;0;12826368;203621376;0.00;0.00;0.00;50103;795396;3381996;3181584;135;33;0;0;12826368;203620608;0.00;0.00;0.00;50103;795393;3381984;3181572;135;33;0;0;12826112;203621632;0.00;0.00;0.00;50102;795397;3381996;3181588;135;33;0;0;12987136;203722240;0.00;0.00;0.00;50731;795790;3386084;3183160;102;59;0;0;12964608;203713024;0.00;0.00;0.00;50643;795754;3385588;3183016;102;63;0;0;12975104;203737088;0.00;0.00;0.00;50684;795848;3386128;3183392;102;50;0;0;12961280;203735552;0.00;0.00;0.00;50630;795842;3385888;3183368;102;69;0;0;12998144;203744000;0.00;0.00;0.00;50774;795875;3386596;3183500;102;75;0;0;12983040;203724800;0.00;0.00;0.00;50715;795800;3386060;3183200;102;51;0;0;
1561200445;280940813642;153355150848;117232986368;0.00;0.00;0.02;599043558;457941353;4227939644;1831765412;600562841;453881627;0;0;12966912;203715072;0.00;0.00;0.00;50652;795762;3385656;3183048;135;33;0;0;12826368;203620352;0.00;0.00;0.00;50103;795392;3381980;3181568;135;33;0;0;12826368;203620352;0.00;0.00;0.00;50103;795392;3381980;3181568;135;33;0;0;12826368;203620352;0.00;0.00;0.00;50103;795392;3381980;3181568;135;33;0;0;12826624;203621120;0.00;0.00;0.00;50104;795395;3381996;3181580;135;33;0;0;12945664;203692544;0.00;0.00;0.00;50569;795674;3384972;3182696;102;37;0;0;12960512;203703552;0.00;0.00;0.00;50627;795717;3385376;3182868;102;43;0;0;12952320;203717120;0.00;0.00;0.00;50595;795770;3385460;3183080;102;40;0;0;12957952;203731456;0.00;0.00;0.00;50617;795826;3385772;3183304;102;44;0;0;12937216;203692800;0.00;0.00;0.00;50536;795675;3384844;3182700;102;39;0;0;12952064;203694336;0.00;0.00;0.00;50594;795681;3385100;3182724;102;38;0;0;
1561200573;280940878130;152993337088;116952316672;0.00;0.00;0.02;597630223;456844987;4217900840;1827379948;599031375;452784028;0;0;12887040;203662592;0.00;0.00;0.00;50340;795557;3383588;3182228;135;33;0;0;12826368;203621888;0.00;0.00;0.00;50103;795398;3382004;3181592;135;33;0;0;12829952;203623936;0.00;0.00;0.00;50117;795406;3382092;3181624;135;33;0;0;12826112;203620352;0.00;0.00;0.00;50102;795392;3381976;3181568;135;33;0;0;12826112;203622144;0.00;0.00;0.00;50102;795399;3382004;3181596;135;33;0;0;12955136;203702016;0.00;0.00;0.00;50606;795711;3385268;3182844;102;40;0;0;12971008;203712256;0.00;0.00;0.00;50668;795751;3385676;3183004;102;40;0;0;12979968;203751936;0.00;0.00;0.00;50703;795906;3386436;3183624;102;43;0;0;12987392;203772160;0.00;0.00;0.00;50732;795985;3386868;3183940;102;41;0;0;12967680;203720448;0.00;0.00;0.00;50655;795783;3385752;3183132;102;39;0;0;12992256;203728896;0.00;0.00;0.00;50751;795816;3386268;3183264;102;38;0;0;
1561200701;280940814938;153266819584;117223840512;0.00;0.00;0.02;598698514;457905627;4226416564;1831622508;600190697;453831610;0;0;12959744;203714816;0.00;0.00;0.00;50624;795761;3385540;3183044;135;33;0;0;12826368;203619840;0.00;0.00;0.00;50103;795390;3381972;3181560;135;33;0;0;12828160;203622656;0.00;0.00;0.00;50110;795401;3382044;3181604;135;33;0;0;12826624;203621120;0.00;0.00;0.00;50104;795395;3381996;3181580;135;33;0;0;12826368;203621888;0.00;0.00;0.00;50103;795398;3382004;3181592;135;33;0;0;12966400;203707904;0.00;0.00;0.00;50650;795734;3385536;3182936;102;45;0;0;12986368;203728640;0.00;0.00;0.00;50728;795815;3386172;3183260;102;51;0;0;12978688;203757824;0.00;0.00;0.00;50698;795929;3386508;3183716;102;51;0;0;12964096;203758592;0.00;0.00;0.00;50641;795932;3386292;3183728;102;52;0;0;12974080;203719424;0.00;0.00;0.00;50680;795779;3385836;3183116;102;46;0;0;12949760;203693824;0.00;0.00;0.00;50585;795679;3385056;3182716;102;50;0;0;
1561200829;280940815782;153596723456;117349180160;0.00;0.00;0.02;599987201;458395235;4233529744;1833580940;601579968;454319187;0;0;12953088;203705600;0.00;0.00;0.00;50598;795725;3385292;3182900;135;33;0;0;12826368;203620352;0.00;0.00;0.00;50103;795392;3381980;3181568;135;33;0;0;12827648;203620608;0.00;0.00;0.00;50108;795393;3382004;3181572;135;33;0;0;12826112;203619328;0.00;0.00;0.00;50102;795388;3381960;3181552;135;33;0;0;12826368;203621888;0.00;0.00;0.00;50103;795398;3382004;3181592;135;33;0;0;12936704;203690496;0.00;0.00;0.00;50534;795666;3384800;3182664;102;44;0;0;12968960;203713024;0.00;0.00;0.00;50660;795754;3385656;3183016;102;47;0;0;12950784;203735040;0.00;0.00;0.00;50589;795840;3385716;3183360;102;48;0;0;12945920;203721984;0.00;0.00;0.00;50570;795789;3385436;3183156;102;47;0;0;12959744;203712000;0.00;0.00;0.00;50624;795750;3385496;3183000;102;42;0;0;12975104;203716608;0.00;0.00;0.00;50684;795768;3385808;3183072;102;45;0;0;
1561200957;280941009042;153498535936;117181530368;0.00;0.00;0.02;599603656;457740353;4229376036;1830961412;601036703;453624694;0;0;12900864;203671808;0.00;0.00;0.00;50394;795593;3383948;3182372;135;33;0;0;12826112;203619328;0.00;0.00;0.00;50102;795388;3381960;3181552;135;33;0;0;12826368;203621376;0.00;0.00;0.00;50103;795396;3381996;3181584;135;33;0;0;12826112;203621632;0.00;0.00;0.00;50102;795397;3381996;3181588;135;33;0;0;12826368;203620352;0.00;0.00;0.00;50103;795392;3381980;3181568;135;33;0;0;12945664;203695360;0.00;0.00;0.00;50569;795685;3385016;3182740;102;47;0;0;12971008;203712768;0.00;0.00;0.00;50668;795753;3385684;3183012;102;40;0;0;12973056;203760384;0.00;0.00;0.00;50676;795939;3386460;3183756;102;42;0;0;12957952;203726080;0.00;0.00;0.00;50617;795805;3385688;3183220;102;42;0;0;12975104;203729920;0.00;0.00;0.00;50684;795820;3386016;3183280;102;48;0;0;12966144;203708416;0.00;0.00;0.00;50649;795736;3385540;3182944;102;46;0;0;
