# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Jun 22 07:36:43 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561203404;2195198028;110848;1598208;0.00;0.00;0.00;433;6243;26704;24972;135;36;0;0;101376;1589248;0.00;0.00;0.00;396;6208;26416;24832;135;33;0;0;100096;1588992;0.00;0.00;0.00;391;6207;26392;24828;135;33;0;0;100352;1589504;0.00;0.00;0.00;392;6209;26404;24836;135;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;135;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;135;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;102;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;102;33;0;0;108800;1600256;0.00;0.00;0.00;425;6251;26704;25004;102;33;0;0;100864;1592832;0.00;0.00;0.00;394;6222;26464;24888;102;33;0;0;101632;1594368;0.00;0.00;0.00;397;6228;26500;24912;102;33;0;0;101120;1593600;0.00;0.00;0.00;395;6225;26480;24900;102;33;0;0;
1561203405;2195088976;5097728;72310016;0.00;0.00;0.00;19913;282461;1209496;1129844;135;504;0;0;4568064;71720960;0.00;0.00;0.00;17844;280160;1192016;1120640;101;33;0;0;4515584;71686656;0.00;0.00;0.00;17639;280026;1190660;1120104;102;33;0;0;4515840;71688704;0.00;0.00;0.00;17640;280034;1190696;1120136;102;33;0;0;4515840;71689472;0.00;0.00;0.00;17640;280037;1190708;1120148;102;33;0;0;4516096;71689984;0.00;0.00;0.00;17641;280039;1190720;1120156;102;33;0;0;181398016;30644942848;0.00;0.75;0.75;708586;119706808;481661576;478827232;130094;475464362;0;0;183756032;30649052160;0.00;0.75;0.75;717797;119722860;481762628;478891440;145805;475480499;0;0;186109184;30651913728;0.00;0.75;0.75;726989;119734038;481844108;478936152;161342;475497576;0;0;185728256;30655972608;0.00;0.75;0.75;725501;119749893;481901576;478999572;187378;475517300;0;0;186571008;30658573568;0.00;0.75;0.75;728793;119760053;481955384;479040212;202101;475531247;0;0;187512320;30661523968;0.00;0.75;0.75;732470;119771578;482016192;479086312;218952;475550298;0;0;
1561203469;140470583650;2283520;32985856;0.00;0.00;0.00;8920;128851;551084;515404;102;4089;0;0;2027008;31735296;0.00;0.00;0.00;7918;123966;527536;495864;102;33;0;0;1997312;31710464;0.00;0.00;0.00;7802;123869;526684;495476;102;33;0;0;1997056;31707136;0.00;0.00;0.00;7801;123856;526628;495424;102;33;0;0;1997056;31704832;0.00;0.00;0.00;7801;123847;526592;495388;102;33;0;0;1997056;31703552;0.00;0.00;0.00;7801;123842;526572;495368;102;33;0;0;10443303680;171483648;0.01;0.00;0.00;40794155;669858;165856052;2679432;41194745;642487;0;0;10421716480;168739840;0.01;0.00;0.00;40709830;659140;165475880;2636560;41098309;627747;0;0;10446449920;166214912;0.01;0.00;0.00;40806445;649277;165822888;2597108;41182047;612628;0;0;10172480512;161977088;0.01;0.00;0.00;39736252;632723;161475900;2530892;40091351;589956;0;0;10169410816;159170048;0.01;0.00;0.00;39724261;621758;161384076;2487032;40069148;576006;0;0;10156692736;156078336;0.01;0.00;0.00;39674581;609681;161137048;2438724;40006152;558516;0;0;
1561203533;140470535924;7241728;102628864;0.00;0.00;0.00;28288;400894;1716728;1603576;102;374;0;0;6481664;101858560;0.00;0.00;0.00;25319;397885;1692816;1591540;102;33;0;0;6413312;101812992;0.00;0.00;0.00;25052;397707;1691036;1590828;102;33;0;0;6413312;101812480;0.00;0.00;0.00;25052;397705;1691028;1590820;102;33;0;0;6413568;101812224;0.00;0.00;0.00;25053;397704;1691028;1590816;102;33;0;0;6413056;101812224;0.00;0.00;0.00;25051;397704;1691020;1590816;102;33;0;0;33353718272;165914368;0.00;0.00;0.00;130287962;648103;523744260;2592412;130407366;221293;0;0;33280082688;165989888;0.00;0.00;0.00;130000323;648398;522594884;2593592;130119987;221550;0;0;33359980032;166432512;0.00;0.00;0.00;130312422;650127;523850196;2600508;130429638;221449;0;0;32469180416;166021120;0.00;0.00;0.00;126832736;648520;509925024;2594080;126952847;221494;0;0;32461911808;165923840;0.00;0.00;0.00;126804343;648140;509809932;2592560;126924950;221437;0;0;32422540032;165891328;0.00;0.00;0.00;126650547;648013;509194240;2592052;126770845;221459;0;0;
1561203597;140470541654;7275008;102618368;0.00;0.00;0.00;28418;400853;1717084;1603412;102;196;0;0;6492672;101864448;0.00;0.00;0.00;25362;397908;1693080;1591632;102;33;0;0;6413056;101809152;0.00;0.00;0.00;25051;397692;1690972;1590768;102;33;0;0;6414080;101808896;0.00;0.00;0.00;25055;397691;1690984;1590764;102;33;0;0;6413056;101808384;0.00;0.00;0.00;25051;397689;1690960;1590756;102;33;0;0;6413312;101809152;0.00;0.00;0.00;25052;397692;1690976;1590768;102;33;0;0;33257412864;165926144;0.00;0.00;0.00;129911769;648149;522239672;2592596;130027666;220643;0;0;33177316352;166269696;0.00;0.00;0.00;129598892;649491;520993532;2597964;129713079;220682;0;0;33250114304;166084352;0.00;0.00;0.00;129883259;648767;522128104;2595068;129998494;220640;0;0;32379826944;165739520;0.00;0.00;0.00;126483699;647420;508524476;2589680;126602347;220778;0;0;32367945472;165703424;0.00;0.00;0.00;126437287;647279;508338264;2589116;126555448;220682;0;0;32327060224;165666560;0.00;0.00;0.00;126277579;647135;507698856;2588540;126397304;220895;0;0;
1561203661;140470546194;7237376;102600704;0.00;0.00;0.00;28271;400784;1716220;1603136;102;285;0;0;6435072;101825024;0.00;0.00;0.00;25137;397754;1691564;1591016;102;33;0;0;6413312;101809920;0.00;0.00;0.00;25052;397695;1690988;1590780;102;33;0;0;6414336;101811456;0.00;0.00;0.00;25056;397701;1691028;1590804;102;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;102;33;0;0;6413056;101811456;0.00;0.00;0.00;25051;397701;1691008;1590804;102;33;0;0;33350681344;166179840;0.00;0.00;0.00;130276099;649140;523700956;2596560;130391059;221300;0;0;33256723456;165786112;0.00;0.00;0.00;129909076;647602;522226712;2590408;130026986;221212;0;0;33334001408;165867008;0.00;0.00;0.00;130210943;647918;523435444;2591672;130327303;221258;0;0;32473660416;165863936;0.00;0.00;0.00;126850236;647906;509992568;2591624;126967466;220995;0;0;32450698496;165658624;0.00;0.00;0.00;126760541;647104;509630580;2588416;126878771;220994;0;0;32417650688;165769216;0.00;0.00;0.00;126631448;647536;509115936;2590144;126749461;221107;0;0;
1561203725;140470550032;7290880;102612224;0.00;0.00;0.00;28480;400829;1717236;1603316;102;117;0;0;6456832;101842688;0.00;0.00;0.00;25222;397823;1692180;1591292;102;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;102;33;0;0;6414080;101811456;0.00;0.00;0.00;25055;397701;1691024;1590804;102;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;102;33;0;0;6413312;101809408;0.00;0.00;0.00;25052;397693;1690980;1590772;102;33;0;0;33450595584;166203904;0.00;0.00;0.00;130666389;649234;525262492;2596936;130784139;221908;0;0;33352077056;166108672;0.00;0.00;0.00;130281551;648862;523721652;2595448;130400540;221824;0;0;33423817472;166102016;0.00;0.00;0.00;130561787;648836;524842492;2595344;130680887;221799;0;0;32581218304;166144000;0.00;0.00;0.00;127270384;649000;511677536;2596000;127389312;222011;0;0;32561529088;165864448;0.00;0.00;0.00;127193473;647908;511365524;2591632;127313673;221902;0;0;32505540864;166035712;0.00;0.00;0.00;126974769;648577;510493384;2594308;127095076;222025;0;0;
1561203789;140470540328;7277312;102595328;0.00;0.00;0.00;28427;400763;1716760;1603052;102;104;0;0;6545408;101906944;0.00;0.00;0.00;25568;398074;1694568;1592296;102;33;0;0;6413312;101811200;0.00;0.00;0.00;25052;397700;1691008;1590800;102;33;0;0;6415104;101811712;0.00;0.00;0.00;25059;397702;1691044;1590808;102;33;0;0;6413056;101810944;0.00;0.00;0.00;25051;397699;1691000;1590796;102;33;0;0;6413056;101811200;0.00;0.00;0.00;25051;397700;1691004;1590800;102;33;0;0;33330283008;166589696;0.00;0.00;0.00;130196418;650741;523388636;2602964;130324659;224250;0;0;33235096064;166902016;0.00;0.00;0.00;129824594;651961;521906220;2607844;129951815;224238;0;0;33302652928;166910208;0.00;0.00;0.00;130088488;651993;522961924;2607972;130215827;224346;0;0;32368119040;166291456;0.00;0.00;0.00;126437965;649576;508350164;2598304;126565189;223992;0;0;32355937024;166494464;0.00;0.00;0.00;126390379;650369;508162992;2601476;126516442;224293;0;0;32287744000;166527744;0.00;0.00;0.00;126124000;650499;507097996;2601996;126251770;224140;0;0;
1561203853;140470542576;7253248;102568448;0.00;0.00;0.00;28333;400658;1715964;1602632;102;70;0;0;6505728;101876224;0.00;0.00;0.00;25413;397954;1693468;1591816;102;33;0;0;6413056;101809152;0.00;0.00;0.00;25051;397692;1690972;1590768;102;33;0;0;6414080;101809664;0.00;0.00;0.00;25055;397694;1690996;1590776;102;33;0;0;6413312;101808640;0.00;0.00;0.00;25052;397690;1690968;1590760;102;33;0;0;6413056;101809408;0.00;0.00;0.00;25051;397693;1690976;1590772;102;33;0;0;27438190336;166716672;0.00;0.00;0.00;107180431;651237;431326672;2604948;107356502;230070;0;0;27423604992;167023616;0.00;0.00;0.00;107123457;652436;431103572;2609744;107299678;230581;0;0;27439850496;166966272;0.00;0.00;0.00;107186916;652212;431356512;2608848;107364241;230773;0;0;25902925824;166353920;0.00;0.00;0.00;101183304;649820;407332496;2599280;101449033;229374;0;0;25840769024;166061056;0.00;0.00;0.00;100940504;648676;406356720;2594704;101207241;228326;0;0;25841857792;166211328;0.00;0.00;0.00;100944757;649263;406376080;2597052;101214040;228615;0;0;
1561203917;140470591726;7269632;102586112;0.00;0.00;0.00;28397;400727;1716496;1602908;102;78;0;0;6495232;101868544;0.00;0.00;0.00;25372;397924;1693184;1591696;102;33;0;0;6413312;101812480;0.00;0.00;0.00;25052;397705;1691028;1590820;102;33;0;0;6413824;101812992;0.00;0.00;0.00;25054;397707;1691044;1590828;102;33;0;0;6413312;101812736;0.00;0.00;0.00;25052;397706;1691032;1590824;102;33;0;0;6413568;101814016;0.00;0.00;0.00;25053;397711;1691056;1590844;102;33;0;0;1215033344;113170432;0.05;0.00;0.00;4746224;442072;20753184;1768288;5019908;47717;0;0;1229223168;113361920;0.05;0.00;0.00;4801653;442820;20977892;1771280;5078849;48472;0;0;1225713920;113200896;0.05;0.00;0.00;4787945;442191;20920544;1768764;5065254;48244;0;0;909135616;112998912;0.05;0.00;0.00;3551311;441402;15970852;1765608;3749875;47576;0;0;881405184;113102080;0.05;0.00;0.00;3442989;441805;15539176;1767220;3637140;48133;0;0;900086016;113142528;0.05;0.00;0.00;3515961;441963;15831696;1767852;3708642;48032;0;0;
1561203981;140470616264;7266304;102593024;0.00;0.00;0.00;28384;400754;1716552;1603016;102;135;0;0;6507776;101876480;0.00;0.00;0.00;25421;397955;1693504;1591820;102;33;0;0;6413056;101808896;0.00;0.00;0.00;25051;397691;1690968;1590764;102;33;0;0;6413056;101812480;0.00;0.00;0.00;25051;397705;1691024;1590820;135;33;0;0;6413312;101811968;0.00;0.00;0.00;25052;397703;1691020;1590812;135;33;0;0;6413312;101812992;0.00;0.00;0.00;25052;397707;1691036;1590828;135;33;0;0;6501888;101889024;0.00;0.00;0.00;25398;398004;1693608;1592016;102;85;0;0;6470400;101861632;0.00;0.00;0.00;25275;397897;1692688;1591588;101;80;0;0;6488832;101883392;0.00;0.00;0.00;25347;397982;1693316;1591928;101;97;0;0;6478848;101876992;0.00;0.00;0.00;25308;397957;1693060;1591828;102;99;0;0;6499072;101892864;0.00;0.00;0.00;25387;398019;1693624;1592076;102;94;0;0;6476032;101867520;0.00;0.00;0.00;25297;397920;1692868;1591680;102;91;0;0;
