# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Jun 23 04:03:30 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561277011;2195194492;102656;1590016;0.00;0.00;0.00;401;6211;26448;24844;135;38;0;0;102912;1590016;0.00;0.00;0.00;402;6211;26452;24844;135;33;0;0;99840;1589248;0.00;0.00;0.00;390;6208;26392;24832;135;33;0;0;100096;1588224;0.00;0.00;0.00;391;6204;26380;24816;135;33;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;135;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;135;33;0;0;104704;1593344;0.00;0.00;0.00;409;6224;26532;24896;101;40;0;0;101888;1594112;0.00;0.00;0.00;398;6227;26500;24908;102;37;0;0;104192;1596928;0.00;0.00;0.00;407;6238;26580;24952;102;36;0;0;100096;1594624;0.00;0.00;0.00;391;6229;26480;24916;102;38;0;0;101376;1595648;0.00;0.00;0.00;396;6233;26516;24932;102;39;0;0;100096;1593344;0.00;0.00;0.00;391;6224;26460;24896;102;37;0;0;
1561277012;2195088526;1124243200;183490812416;0.00;0.75;0.75;4391575;716760986;2884610244;2867043944;102151;2852298932;0;0;8134144;127847424;0.00;0.00;0.00;31774;499404;2124712;1997616;135;33;0;0;8049664;127790592;0.00;0.00;0.00;31444;499182;2122504;1996728;135;33;0;0;8049408;127797760;0.00;0.00;0.00;31443;499210;2122612;1996840;135;33;0;0;8049408;127797248;0.00;0.00;0.00;31443;499208;2122604;1996832;135;33;0;0;8049152;127812864;0.00;0.00;0.00;31442;499269;2122844;1997076;134;33;0;0;8174336;127994880;0.00;0.00;0.00;31931;499980;2127644;1999920;102;236;0;0;8182784;127997696;0.00;0.00;0.00;31964;499991;2127820;1999964;102;239;0;0;8186368;128110080;0.00;0.00;0.00;31978;500430;2129632;2001720;102;237;0;0;8189952;128086528;0.00;0.00;0.00;31992;500338;2129320;2001352;102;228;0;0;8203776;128032000;0.00;0.00;0.00;32046;500125;2128684;2000500;102;224;0;0;8208128;127959296;0.00;0.00;0.00;32063;499841;2127616;1999364;102;236;0;0;
1561277140;280940844350;51468841216;94823089664;0.67;0.05;0.08;201050161;370402694;2285811420;1481610776;613059357;388433189;0;0;4933376;77465600;0.00;0.00;0.00;19271;302600;1287484;1210400;135;33;0;0;4877056;77433088;0.00;0.00;0.00;19051;302473;1286096;1209892;135;33;0;0;4877056;77433600;0.00;0.00;0.00;19051;302475;1286104;1209900;135;33;0;0;4877312;77434624;0.00;0.00;0.00;19052;302479;1286124;1209916;135;33;0;0;4877312;77446656;0.00;0.00;0.00;19052;302526;1286312;1210104;135;33;0;0;4955904;77536512;0.00;0.00;0.00;19359;302877;1288944;1211508;102;40;0;0;4941824;77514240;0.00;0.00;0.00;19304;302790;1288376;1211160;102;38;0;0;4967424;77595648;0.00;0.00;0.00;19404;303108;1290048;1212432;102;39;0;0;4946688;77589248;0.00;0.00;0.00;19323;303083;1289624;1212332;102;42;0;0;4957952;77536768;0.00;0.00;0.00;19367;302878;1288980;1211512;102;38;0;0;4955392;77488384;0.00;0.00;0.00;19357;302689;1288184;1210756;102;37;0;0;
1561277268;280940964374;139962428672;246855498240;0.66;0.05;0.06;546728237;964279290;6044030108;3857117160;1589683461;1012690659;0;0;13000192;203747328;0.00;0.00;0.00;50782;795888;3386680;3183552;135;33;0;0;12826368;203634944;0.00;0.00;0.00;50103;795449;3382208;3181796;135;33;0;0;12833024;203643904;0.00;0.00;0.00;50129;795484;3382452;3181936;135;33;0;0;12826112;203650304;0.00;0.00;0.00;50102;795509;3382444;3182036;135;33;0;0;12826368;203672320;0.00;0.00;0.00;50103;795595;3382792;3182380;135;33;0;0;13007872;203874048;0.00;0.00;0.00;50812;796383;3388780;3185532;102;37;0;0;13028864;203903744;0.00;0.00;0.00;50894;796499;3389572;3185996;102;37;0;0;13030656;204091904;0.00;0.00;0.00;50901;797234;3392540;3188936;102;36;0;0;13028608;204068096;0.00;0.00;0.00;50893;797141;3392136;3188564;102;39;0;0;13060096;203967744;0.00;0.00;0.00;51016;796749;3391060;3186996;102;40;0;0;13026304;203801856;0.00;0.00;0.00;50884;796101;3387940;3184404;102;40;0;0;
1561277396;280940922536;141754476288;246054972928;0.65;0.05;0.06;553728423;961152238;6059522644;3844608952;1589157185;1010915210;0;0;13016320;203762432;0.00;0.00;0.00;50845;795947;3387168;3183788;135;33;0;0;12826112;203636992;0.00;0.00;0.00;50102;795457;3382236;3181828;135;33;0;0;12827136;203651072;0.00;0.00;0.00;50106;795512;3382472;3182048;135;33;0;0;12826624;203645696;0.00;0.00;0.00;50104;795491;3382380;3181964;135;33;0;0;12826368;203684608;0.00;0.00;0.00;50103;795643;3382984;3182572;135;33;0;0;13013504;203898624;0.00;0.00;0.00;50834;796479;3389252;3185916;102;34;0;0;13048576;203944448;0.00;0.00;0.00;50971;796658;3390516;3186632;102;34;0;0;13013504;204111872;0.00;0.00;0.00;50834;797312;3392584;3189248;102;37;0;0;13039616;204109824;0.00;0.00;0.00;50936;797304;3392960;3189216;102;34;0;0;13020160;203951104;0.00;0.00;0.00;50860;796684;3390176;3186736;103;35;0;0;13039360;203809536;0.00;0.00;0.00;50935;796131;3388264;3184524;102;33;0;0;
1561277524;280940887524;142514614528;245605886464;0.65;0.05;0.06;556697713;959397994;6064382828;3837591976;1590077404;1009632982;0;0;13000704;203748096;0.00;0.00;0.00;50784;795891;3386700;3183564;135;33;0;0;12826368;203634432;0.00;0.00;0.00;50103;795447;3382200;3181788;135;33;0;0;12826112;203649536;0.00;0.00;0.00;50102;795506;3382432;3182024;135;33;0;0;12826112;203647744;0.00;0.00;0.00;50102;795499;3382404;3181996;135;33;0;0;12826112;203678720;0.00;0.00;0.00;50102;795620;3382888;3182480;135;33;0;0;13055232;203933440;0.00;0.00;0.00;50997;796615;3390448;3186460;102;34;0;0;13023488;203915264;0.00;0.00;0.00;50873;796544;3389668;3186176;102;33;0;0;13050368;204163328;0.00;0.00;0.00;50978;797513;3393964;3190052;102;35;0;0;13043968;204112640;0.00;0.00;0.00;50953;797315;3393072;3189260;102;34;0;0;13015296;203988480;0.00;0.00;0.00;50841;796830;3390684;3187320;102;33;0;0;13012224;203796224;0.00;0.00;0.00;50829;796079;3387632;3184316;102;35;0;0;
1561277652;280940827912;143055451648;245339573504;0.65;0.05;0.06;558810358;958357709;6068672268;3833430836;1592338597;1008740622;0;0;12993024;203750400;0.00;0.00;0.00;50754;795900;3386616;3183600;135;33;0;0;12826368;203633152;0.00;0.00;0.00;50103;795442;3382180;3181768;135;33;0;0;12826880;203645952;0.00;0.00;0.00;50105;795492;3382388;3181968;135;33;0;0;12826112;203644416;0.00;0.00;0.00;50102;795486;3382352;3181944;135;33;0;0;12826368;203682048;0.00;0.00;0.00;50103;795633;3382944;3182532;135;33;0;0;13048576;203898112;0.00;0.00;0.00;50971;796477;3389792;3185908;102;38;0;0;13060352;203967744;0.00;0.00;0.00;51017;796749;3391064;3186996;102;37;0;0;13036544;204172032;0.00;0.00;0.00;50924;797547;3393884;3190188;102;38;0;0;13039872;204120832;0.00;0.00;0.00;50937;797347;3393136;3189388;102;38;0;0;13053696;204026880;0.00;0.00;0.00;50991;796980;3391884;3187920;102;43;0;0;13041664;203834368;0.00;0.00;0.00;50944;796228;3388688;3184912;102;35;0;0;
1561277780;280940890178;143244675840;245165327360;0.65;0.05;0.06;559549515;957677060;6068906300;3830708240;1592510549;1008296630;0;0;13004800;203762944;0.00;0.00;0.00;50800;795949;3386996;3183796;135;33;0;0;12826368;203632640;0.00;0.00;0.00;50103;795440;3382172;3181760;135;33;0;0;12826368;203639296;0.00;0.00;0.00;50103;795466;3382276;3181864;135;33;0;0;12826624;203636736;0.00;0.00;0.00;50104;795456;3382240;3181824;135;33;0;0;12826368;203671296;0.00;0.00;0.00;50103;795591;3382776;3182364;135;33;0;0;13041152;203895552;0.00;0.00;0.00;50942;796467;3389636;3185868;102;66;0;0;13036800;203914240;0.00;0.00;0.00;50925;796540;3389860;3186160;102;64;0;0;13028864;204190976;0.00;0.00;0.00;50894;797621;3394060;3190484;102;63;0;0;13033472;204091392;0.00;0.00;0.00;50912;797232;3392576;3188928;102;72;0;0;13038336;204023040;0.00;0.00;0.00;50931;796965;3391584;3187860;102;66;0;0;13065472;203861248;0.00;0.00;0.00;51037;796333;3389480;3185332;102;67;0;0;
1561277908;280940818862;143651355904;244998141184;0.65;0.05;0.06;561138109;957023989;6072648392;3828095956;1594681846;1007977306;0;0;12917504;203696896;0.00;0.00;0.00;50459;795691;3384600;3182764;135;33;0;0;12826368;203624960;0.00;0.00;0.00;50103;795410;3382052;3181640;135;33;0;0;12828416;203633920;0.00;0.00;0.00;50111;795445;3382224;3181780;135;33;0;0;12826368;203632896;0.00;0.00;0.00;50103;795441;3382176;3181764;135;33;0;0;12826368;203655168;0.00;0.00;0.00;50103;795528;3382524;3182112;135;33;0;0;12995072;203739136;0.00;0.00;0.00;50762;795856;3386472;3183424;102;41;0;0;13049600;203876096;0.00;0.00;0.00;50975;796391;3389464;3185564;102;36;0;0;13075712;204270592;0.00;0.00;0.00;51077;797932;3396036;3191728;102;43;0;0;12992512;203814912;0.00;0.00;0.00;50752;796152;3387616;3184608;102;37;0;0;13046016;203996160;0.00;0.00;0.00;50961;796860;3391284;3187440;102;39;0;0;13096192;203860992;0.00;0.00;0.00;51157;796332;3389956;3185328;102;41;0;0;
1561278036;280940809258;143851463936;244892734464;0.65;0.05;0.06;561919781;956612244;6074128100;3826448976;1595873633;1007687890;0;0;12958720;203725568;0.00;0.00;0.00;50620;795803;3385692;3183212;135;33;0;0;12826112;203624192;0.00;0.00;0.00;50102;795407;3382036;3181628;135;33;0;0;12832000;203630848;0.00;0.00;0.00;50125;795433;3382232;3181732;135;33;0;0;12825856;203620608;0.00;0.00;0.00;50101;795393;3381976;3181572;135;33;0;0;12826368;203641600;0.00;0.00;0.00;50103;795475;3382312;3181900;135;33;0;0;13031680;203830528;0.00;0.00;0.00;50905;796213;3388472;3184852;102;39;0;0;13010944;203779072;0.00;0.00;0.00;50824;796012;3387344;3184048;102;42;0;0;13054720;204175616;0.00;0.00;0.00;50995;797561;3394224;3190244;102;42;0;0;13002240;203875584;0.00;0.00;0.00;50790;796389;3388716;3185556;102;39;0;0;13027840;203760384;0.00;0.00;0.00;50890;795939;3387316;3183756;102;41;0;0;12973056;203715584;0.00;0.00;0.00;50676;795764;3385760;3183056;102;45;0;0;
