# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Jun 23 05:06:25 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561280786;2195118834;101120;1588224;0.00;0.00;0.00;395;6204;26396;24816;135;36;0;0;100608;1587968;0.00;0.00;0.00;393;6203;26384;24812;135;33;0;0;100096;1588224;0.00;0.00;0.00;391;6204;26380;24816;135;33;0;0;100352;1588992;0.00;0.00;0.00;392;6207;26396;24828;135;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;135;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;135;33;0;0;100352;1599488;0.00;0.00;0.00;392;6248;26560;24992;102;61;0;0;99840;1598976;0.00;0.00;0.00;390;6246;26544;24984;102;58;0;0;103168;1602048;0.00;0.00;0.00;403;6258;26644;25032;102;67;0;0;103424;1605120;0.00;0.00;0.00;404;6270;26696;25080;102;73;0;0;101376;1599744;0.00;0.00;0.00;396;6249;26580;24996;102;62;0;0;99840;1603328;0.00;0.00;0.00;390;6263;26612;25052;102;73;0;0;
1561280787;2195143780;1134487808;183473126912;0.00;0.75;0.75;4431593;716691902;2884493980;2866767608;195208;2852222302;0;0;8164608;128194304;0.00;0.00;0.00;31893;500759;2130608;2003036;135;33;0;0;8070912;128128000;0.00;0.00;0.00;31527;500500;2128108;2002000;135;33;0;0;8073216;128133376;0.00;0.00;0.00;31536;500521;2128228;2002084;135;33;0;0;8071168;128132352;0.00;0.00;0.00;31528;500517;2128180;2002068;135;33;0;0;8071168;128142336;0.00;0.00;0.00;31528;500556;2128336;2002224;135;33;0;0;8184064;128449536;0.00;0.00;0.00;31969;501756;2134900;2007024;102;819;0;0;8165888;128418816;0.00;0.00;0.00;31898;501636;2134136;2006544;102;769;0;0;8177664;128574720;0.00;0.00;0.00;31944;502245;2136756;2008980;102;762;0;0;8180736;128519936;0.00;0.00;0.00;31956;502031;2135948;2008124;102;886;0;0;8154624;128453632;0.00;0.00;0.00;31854;501772;2134504;2007088;102;879;0;0;8163840;128413184;0.00;0.00;0.00;31890;501614;2134016;2006456;102;889;0;0;
1561280915;280940824494;58060648704;45284479232;0.02;0.00;0.07;226799409;176892497;1614767624;707569988;231963196;176092453;0;0;4906496;77121792;0.00;0.00;0.00;19166;301257;1281692;1205028;135;33;0;0;4855552;77084928;0.00;0.00;0.00;18967;301113;1280320;1204452;135;33;0;0;4855552;77088768;0.00;0.00;0.00;18967;301128;1280380;1204512;135;33;0;0;4855296;77082880;0.00;0.00;0.00;18966;301105;1280284;1204420;135;33;0;0;4855296;77093120;0.00;0.00;0.00;18966;301145;1280444;1204580;135;33;0;0;4918016;77159424;0.00;0.00;0.00;19211;301404;1282460;1205616;102;52;0;0;4901632;77130752;0.00;0.00;0.00;19147;301292;1281756;1205168;102;47;0;0;4933632;77244672;0.00;0.00;0.00;19272;301737;1284036;1206948;102;55;0;0;4917248;77210880;0.00;0.00;0.00;19208;301605;1283252;1206420;102;64;0;0;4921088;77156608;0.00;0.00;0.00;19223;301393;1282464;1205572;102;59;0;0;4914944;77120512;0.00;0.00;0.00;19199;301252;1281804;1205008;102;65;0;0;
1561281043;280940810932;154750878720;117816284416;0.00;0.00;0.02;604495620;460219861;4258861924;1840879444;605370572;456384211;0;0;12959232;203716352;0.00;0.00;0.00;50622;795767;3385556;3183068;135;33;0;0;12826624;203625728;0.00;0.00;0.00;50104;795413;3382068;3181652;135;33;0;0;12826112;203636480;0.00;0.00;0.00;50102;795455;3382228;3181820;134;33;0;0;12826368;203631104;0.00;0.00;0.00;50103;795434;3382148;3181736;135;33;0;0;12826368;203662080;0.00;0.00;0.00;50103;795555;3382632;3182220;135;33;0;0;12974080;203824128;0.00;0.00;0.00;50680;796188;3387472;3184752;102;50;0;0;12988928;203824384;0.00;0.00;0.00;50738;796189;3387708;3184756;102;59;0;0;12992000;203991552;0.00;0.00;0.00;50750;796842;3390368;3187368;102;57;0;0;12987136;203959552;0.00;0.00;0.00;50731;796717;3389792;3186868;102;67;0;0;13007360;203856896;0.00;0.00;0.00;50810;796316;3388504;3185264;102;71;0;0;12962048;203746560;0.00;0.00;0.00;50633;795885;3386072;3183540;102;78;0;0;
1561281171;280940778184;154839290880;117730838016;0.00;0.00;0.02;604840980;459886086;4258908264;1839544344;605587918;455927621;0;0;12952576;203713536;0.00;0.00;0.00;50596;795756;3385408;3183024;135;33;0;0;12826112;203623424;0.00;0.00;0.00;50102;795404;3382024;3181616;135;33;0;0;12827648;203633920;0.00;0.00;0.00;50108;795445;3382212;3181780;135;33;0;0;12826112;203627008;0.00;0.00;0.00;50102;795418;3382080;3181672;135;33;0;0;12826112;203664384;0.00;0.00;0.00;50102;795564;3382664;3182256;135;33;0;0;12956928;203813888;0.00;0.00;0.00;50613;796148;3387044;3184592;102;47;0;0;13005824;203866112;0.00;0.00;0.00;50804;796352;3388624;3185408;102;73;0;0;13002752;203972352;0.00;0.00;0.00;50792;796767;3390236;3187068;102;62;0;0;12974336;203973888;0.00;0.00;0.00;50681;796773;3389816;3187092;102;75;0;0;13012224;203907328;0.00;0.00;0.00;50829;796513;3389368;3186052;102;58;0;0;12999680;203779328;0.00;0.00;0.00;50780;796013;3387172;3184052;102;58;0;0;
1561281299;280940804400;154687649792;117609733632;0.00;0.00;0.02;604248632;459413022;4254646616;1837652088;604860652;455382857;0;0;12947968;203708416;0.00;0.00;0.00;50578;795736;3385256;3182944;135;33;0;0;12826112;203628032;0.00;0.00;0.00;50102;795422;3382096;3181688;135;33;0;0;12826368;203640832;0.00;0.00;0.00;50103;795472;3382300;3181888;135;33;0;0;12826368;203635968;0.00;0.00;0.00;50103;795453;3382224;3181812;135;33;0;0;12826624;203671552;0.00;0.00;0.00;50104;795592;3382784;3182368;135;33;0;0;13006592;203825152;0.00;0.00;0.00;50807;796192;3387996;3184768;102;45;0;0;13015040;203881216;0.00;0.00;0.00;50840;796411;3389004;3185644;102;58;0;0;13011968;204064256;0.00;0.00;0.00;50828;797126;3391816;3188504;102;53;0;0;12961280;203983104;0.00;0.00;0.00;50630;796809;3389756;3187236;102;48;0;0;12960000;203867648;0.00;0.00;0.00;50625;796358;3387932;3185432;102;49;0;0;12959488;203750144;0.00;0.00;0.00;50623;795899;3386088;3183596;102;48;0;0;
1561281427;280940834214;154792028928;117698111744;0.00;0.00;0.02;604656363;459758249;4257658448;1839032996;605288108;455725661;0;0;12899584;203675648;0.00;0.00;0.00;50389;795608;3383988;3182432;135;33;0;0;12826624;203630336;0.00;0.00;0.00;50104;795431;3382140;3181724;135;33;0;0;12826112;203642112;0.00;0.00;0.00;50102;795477;3382316;3181908;135;33;0;0;12826624;203633920;0.00;0.00;0.00;50104;795445;3382196;3181780;135;33;0;0;12826112;203679488;0.00;0.00;0.00;50102;795623;3382900;3182492;135;33;0;0;12987136;203746560;0.00;0.00;0.00;50731;795885;3386464;3183540;102;38;0;0;12968448;203764992;0.00;0.00;0.00;50658;795957;3386460;3183828;102;34;0;0;12978176;204068864;0.00;0.00;0.00;50696;797144;3391360;3188576;102;41;0;0;13029120;203779328;0.00;0.00;0.00;50895;796013;3387632;3184052;102;39;0;0;12972288;203894528;0.00;0.00;0.00;50673;796463;3388544;3185852;102;35;0;0;12993536;203761408;0.00;0.00;0.00;50756;795943;3386796;3183772;102;37;0;0;
1561281555;280940805608;154558804480;117556463104;0.00;0.00;0.02;603745330;459204934;4251801056;1836819736;604369930;455184765;0;0;12961280;203724800;0.00;0.00;0.00;50630;795800;3385720;3183200;135;33;0;0;12826112;203629568;0.00;0.00;0.00;50102;795428;3382120;3181712;135;33;0;0;12826624;203649280;0.00;0.00;0.00;50104;795505;3382436;3182020;135;33;0;0;12826368;203641856;0.00;0.00;0.00;50103;795476;3382316;3181904;135;33;0;0;12826368;203688704;0.00;0.00;0.00;50103;795659;3383048;3182636;135;33;0;0;14222848;205000448;0.00;0.00;0.00;55558;800783;3425364;3203132;102;37;0;0;13373696;204187648;0.00;0.00;0.00;52241;797608;3399396;3190432;102;38;0;0;12978176;204103680;0.00;0.00;0.00;50696;797280;3391904;3189120;102;35;0;0;13925632;204881408;0.00;0.00;0.00;54397;800318;3418860;3201272;102;37;0;0;13021952;203807488;0.00;0.00;0.00;50867;796123;3387960;3184492;102;39;0;0;13282816;204033792;0.00;0.00;0.00;51886;797007;3395572;3188028;102;38;0;0;
1561281683;280940773254;154587553536;117574073856;0.00;0.00;0.02;603857631;459273726;4252525428;1837094904;604433292;455239065;0;0;13001216;203754752;0.00;0.00;0.00;50786;795917;3386812;3183668;135;33;0;0;12826112;203631616;0.00;0.00;0.00;50102;795436;3382152;3181744;135;33;0;0;12826112;203645952;0.00;0.00;0.00;50102;795492;3382376;3181968;135;33;0;0;12826368;203641088;0.00;0.00;0.00;50103;795473;3382304;3181892;135;33;0;0;12826368;203683328;0.00;0.00;0.00;50103;795638;3382964;3182552;135;33;0;0;14381056;205056256;0.00;0.00;0.00;56176;801001;3428708;3204004;102;37;0;0;14353152;205090048;0.00;0.00;0.00;56067;801133;3428800;3204532;102;36;0;0;12977152;203830528;0.00;0.00;0.00;50692;796213;3387620;3184852;102;36;0;0;14343936;205114368;0.00;0.00;0.00;56031;801228;3429036;3204912;102;38;0;0;14255872;205090560;0.00;0.00;0.00;55687;801135;3427288;3204540;102;38;0;0;14351360;205031936;0.00;0.00;0.00;56060;800906;3427864;3203624;102;36;0;0;
1561281811;280940809708;155338659328;117928623616;0.00;0.00;0.02;606791638;460658686;4269801296;1842634744;607500752;456607344;0;0;12915456;203696128;0.00;0.00;0.00;50451;795688;3384556;3182752;135;33;0;0;12826624;203635200;0.00;0.00;0.00;50104;795450;3382216;3181800;135;33;0;0;12826624;203642624;0.00;0.00;0.00;50104;795479;3382332;3181916;135;33;0;0;12826368;203645440;0.00;0.00;0.00;50103;795490;3382372;3181960;135;33;0;0;12826368;203681792;0.00;0.00;0.00;50103;795632;3382940;3182528;135;33;0;0;12993024;203731200;0.00;0.00;0.00;50754;795825;3386316;3183300;102;35;0;0;13923584;204611584;0.00;0.00;0.00;54389;799264;3414612;3197056;102;37;0;0;13629952;204635392;0.00;0.00;0.00;53242;799357;3410396;3197428;102;37;0;0;13311232;204034304;0.00;0.00;0.00;51997;797009;3396024;3188036;102;35;0;0;14441984;205146880;0.00;0.00;0.00;56414;801355;3431076;3205420;102;34;0;0;13953280;204635136;0.00;0.00;0.00;54505;799356;3415444;3197424;102;35;0;0;
