# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Jun 22 20:55:04 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561251305;2195160750;115200;1602048;0.00;0.00;0.00;450;6258;26832;25032;135;35;0;0;99840;1587968;0.00;0.00;0.00;390;6203;26372;24812;135;33;0;0;100096;1588480;0.00;0.00;0.00;391;6205;26384;24820;135;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;135;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;134;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;135;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;101120;1592320;0.00;0.00;0.00;395;6220;26460;24880;102;33;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;102;33;0;0;100096;1593344;0.00;0.00;0.00;391;6224;26460;24896;102;33;0;0;102400;1594368;0.00;0.00;0.00;400;6228;26512;24912;102;33;0;0;101888;1594112;0.00;0.00;0.00;398;6227;26500;24908;102;33;0;0;
1561251306;2195092748;5148416;72691712;0.00;0.00;0.00;20111;283952;1216252;1135808;135;119;0;0;4597504;72167168;0.00;0.00;0.00;17959;281903;1199448;1127612;135;33;0;0;4543232;72129536;0.00;0.00;0.00;17747;281756;1198012;1127024;135;33;0;0;4543744;72129536;0.00;0.00;0.00;17749;281756;1198020;1127024;135;33;0;0;4543488;72129536;0.00;0.00;0.00;17748;281756;1198016;1127024;135;33;0;0;4543232;72130560;0.00;0.00;0.00;17747;281760;1198028;1127040;135;33;0;0;150669056;30611582464;0.00;0.75;0.75;588551;119576494;480660180;478305976;106431;475434285;0;0;151090944;30614041856;0.00;0.75;0.75;590199;119586101;480705200;478344404;120412;475449361;0;0;152548608;30616665600;0.00;0.75;0.75;595893;119596350;480768972;478385400;135386;475464372;0;0;154352896;30620501504;0.00;0.75;0.75;602941;119611334;480857100;478445336;149480;475475235;0;0;154583296;30622451200;0.00;0.75;0.75;603841;119618950;480891164;478475800;163513;475487976;0;0;156884992;30626451200;0.00;0.75;0.75;612832;119634575;480989628;478538300;177607;475503551;0;0;
1561251370;140470553266;2234880;31510272;0.00;0.00;0.00;8730;123087;527268;492348;135;40;0;0;1998848;31295744;0.00;0.00;0.00;7808;122249;520228;488996;135;33;0;0;1970176;31274496;0.00;0.00;0.00;7696;122166;519448;488664;135;33;0;0;1970944;31276032;0.00;0.00;0.00;7699;122172;519484;488688;135;33;0;0;1969920;31278080;0.00;0.00;0.00;7695;122180;519500;488720;135;33;0;0;1969920;31276544;0.00;0.00;0.00;7695;122174;519476;488696;135;33;0;0;14035702016;286276864;0.02;0.14;0.00;54826961;1118269;223780920;4473076;55839564;1301570;0;0;14040580352;283167488;0.02;0.14;0.00;54846017;1106123;223808560;4424492;55849208;1287779;0;0;14036056576;281226240;0.02;0.14;0.00;54828346;1098540;223707544;4394160;55820187;1275246;0;0;13772478720;277891584;0.02;0.14;0.00;53798745;1085514;219537036;4342056;54783614;1261497;0;0;13778737664;275492864;0.02;0.14;0.00;53823194;1076144;219597352;4304576;54797038;1247950;0;0;13780860672;272845056;0.02;0.14;0.00;53831487;1065801;219589152;4263204;54795674;1234272;0;0;
1561251434;140470552714;7271936;102577408;0.00;0.00;0.00;28406;400693;1716396;1602772;135;38;0;0;6506496;101875456;0.00;0.00;0.00;25416;397951;1693468;1591804;135;33;0;0;6413056;101811200;0.00;0.00;0.00;25051;397700;1691004;1590800;135;33;0;0;6414336;101812224;0.00;0.00;0.00;25056;397704;1691040;1590816;135;33;0;0;6413312;101812736;0.00;0.00;0.00;25052;397706;1691032;1590824;135;33;0;0;6413312;101813760;0.00;0.00;0.00;25052;397710;1691048;1590840;135;33;0;0;46114757376;120589312;0.00;0.00;0.00;180135771;471052;722427292;1884208;180345122;36091;0;0;46125154048;120614656;0.00;0.00;0.00;180176383;471151;722590136;1884604;180386866;36124;0;0;46105181184;120407808;0.00;0.00;0.00;180098364;470343;722274828;1881372;180310846;36073;0;0;45225571328;120649728;0.00;0.00;0.00;176662388;471288;708534704;1885152;176881942;36067;0;0;45239808256;120509696;0.00;0.00;0.00;176718001;470741;708754968;1882964;176936690;36017;0;0;45243310848;120468224;0.00;0.00;0.00;176731683;470579;708809048;1882316;176954026;36129;0;0;
1561251498;140470551394;7227392;102537472;0.00;0.00;0.00;28232;400537;1715076;1602148;135;33;0;0;6499328;101870592;0.00;0.00;0.00;25388;397932;1693280;1591728;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413312;101812224;0.00;0.00;0.00;25052;397704;1691024;1590816;135;33;0;0;6413056;101813504;0.00;0.00;0.00;25051;397709;1691040;1590836;135;33;0;0;6413312;101816064;0.00;0.00;0.00;25052;397719;1691084;1590876;135;33;0;0;46117123840;120600832;0.00;0.00;0.00;180145015;471097;722464448;1884388;180352076;36042;0;0;46126788352;120366592;0.00;0.00;0.00;180182767;470182;722611796;1880728;180390869;36072;0;0;46106098432;120590592;0.00;0.00;0.00;180101947;471057;722292016;1884228;180310925;36197;0;0;45225289216;120074240;0.00;0.00;0.00;176661286;469040;708521304;1876160;176880084;36127;0;0;45241537792;119985152;0.00;0.00;0.00;176724757;468692;708773796;1874768;176942071;36120;0;0;45245330688;120238080;0.00;0.00;0.00;176739573;469680;708837012;1878720;176959618;36012;0;0;
1561251562;140470569696;7256576;102562048;0.00;0.00;0.00;28346;400633;1715916;1602532;135;35;0;0;6494208;101868032;0.00;0.00;0.00;25368;397922;1693160;1591688;135;33;0;0;6412800;101812480;0.00;0.00;0.00;25050;397705;1691020;1590820;135;33;0;0;6412800;101813760;0.00;0.00;0.00;25050;397710;1691040;1590840;135;33;0;0;6413312;101811712;0.00;0.00;0.00;25052;397702;1691016;1590808;135;33;0;0;6413056;101817856;0.00;0.00;0.00;25051;397726;1691108;1590904;135;33;0;0;46106578176;120547840;0.00;0.00;0.00;180103821;470890;722298844;1883560;180312822;36117;0;0;46117016064;120594944;0.00;0.00;0.00;180144594;471074;722462672;1884296;180354571;36063;0;0;46094988800;120509184;0.00;0.00;0.00;180058550;470739;722117156;1882956;180270751;36126;0;0;45220541696;120439296;0.00;0.00;0.00;176642741;470466;708452828;1881864;176862716;36009;0;0;45234582272;120322816;0.00;0.00;0.00;176697587;470011;708670392;1880044;176917019;36114;0;0;45238018560;120557056;0.00;0.00;0.00;176711010;470926;708727744;1883704;176933027;36123;0;0;
1561251626;140470545190;7251200;102560256;0.00;0.00;0.00;28325;400626;1715804;1602504;135;34;0;0;6637824;101999616;0.00;0.00;0.00;25929;398436;1697460;1593744;135;33;0;0;6413568;101812480;0.00;0.00;0.00;25053;397705;1691032;1590820;135;33;0;0;6413312;101813760;0.00;0.00;0.00;25052;397710;1691048;1590840;135;33;0;0;6413056;101815040;0.00;0.00;0.00;25051;397715;1691064;1590860;135;33;0;0;6413056;101818624;0.00;0.00;0.00;25051;397729;1691120;1590916;135;33;0;0;46103336448;120489216;0.00;0.00;0.00;180091158;470661;722247276;1882644;180303841;36076;0;0;46113863168;120316160;0.00;0.00;0.00;180132278;469985;722409052;1879940;180346269;36114;0;0;46092662784;120460032;0.00;0.00;0.00;180049464;470547;722080044;1882188;180265414;36137;0;0;45216343040;120025088;0.00;0.00;0.00;176626340;468848;708380752;1875392;176850691;36131;0;0;45230054400;120209408;0.00;0.00;0.00;176679900;469568;708597872;1878272;176902292;36018;0;0;45233165312;120059136;0.00;0.00;0.00;176692052;468981;708644132;1875924;176918913;36106;0;0;
1561251690;140470548902;7228672;102532352;0.00;0.00;0.00;28237;400517;1715016;1602068;135;38;0;0;6440448;101829888;0.00;0.00;0.00;25158;397773;1691724;1591092;135;33;0;0;6413056;101811200;0.00;0.00;0.00;25051;397700;1691004;1590800;135;33;0;0;6413056;101817088;0.00;0.00;0.00;25051;397723;1691096;1590892;135;33;0;0;6413312;101813760;0.00;0.00;0.00;25052;397710;1691048;1590840;135;33;0;0;6413312;101818112;0.00;0.00;0.00;25052;397727;1691116;1590908;135;33;0;0;46105467904;120324864;0.00;0.00;0.00;180099484;470019;722278012;1880076;180310838;36076;0;0;46116750592;120476928;0.00;0.00;0.00;180143557;470613;722456680;1882452;180355808;36074;0;0;46093707264;120375040;0.00;0.00;0.00;180053544;470215;722095036;1880860;180266857;36143;0;0;45219421440;120090624;0.00;0.00;0.00;176638365;469104;708429876;1876416;176860336;36067;0;0;45234173440;120250368;0.00;0.00;0.00;176695990;469728;708662872;1878912;176916713;36130;0;0;45238444544;120076032;0.00;0.00;0.00;176712674;469047;708726884;1876188;176937371;36035;0;0;
1561251754;140470545190;6546688;101894144;0.00;0.00;0.00;25573;398024;1694388;1592096;135;34;0;0;6471680;101852928;0.00;0.00;0.00;25280;397863;1692572;1591452;135;33;0;0;6413312;101812224;0.00;0.00;0.00;25052;397704;1691024;1590816;135;33;0;0;6413312;101814784;0.00;0.00;0.00;25052;397714;1691064;1590856;135;33;0;0;6412800;101818368;0.00;0.00;0.00;25050;397728;1691112;1590912;135;33;0;0;6413056;101824256;0.00;0.00;0.00;25051;397751;1691208;1591004;135;33;0;0;46113706752;120632320;0.00;0.00;0.00;180131667;471220;722411548;1884880;180341592;36068;0;0;46125116672;120574464;0.00;0.00;0.00;180176237;470994;722588924;1883976;180387305;36029;0;0;46106955520;120954368;0.00;0.00;0.00;180105295;472478;722311092;1889912;180315756;36171;0;0;45226260480;120357376;0.00;0.00;0.00;176665080;470146;708540904;1880584;176884661;36057;0;0;45238325504;119951616;0.00;0.00;0.00;176712209;468561;708723080;1874244;176933111;36068;0;0;45242641152;120670720;0.00;0.00;0.00;176729067;471370;708801748;1885480;176951267;36073;0;0;
1561251818;140470547966;6555136;101898496;0.00;0.00;0.00;25606;398041;1694588;1592164;135;33;0;0;6506752;101877248;0.00;0.00;0.00;25417;397958;1693500;1591832;135;33;0;0;6412800;101812224;0.00;0.00;0.00;25050;397704;1691016;1590816;135;33;0;0;6413056;101814528;0.00;0.00;0.00;25051;397713;1691056;1590852;135;33;0;0;6413312;101814272;0.00;0.00;0.00;25052;397712;1691056;1590848;135;33;0;0;6413056;101819392;0.00;0.00;0.00;25051;397732;1691132;1590928;135;33;0;0;46108835840;120400384;0.00;0.00;0.00;180112640;470314;722331816;1881256;180322363;36077;0;0;46121433344;120133632;0.00;0.00;0.00;180161849;469272;722524484;1877088;180374052;36118;0;0;46100525056;120318464;0.00;0.00;0.00;180080176;469994;722200680;1879976;180292771;36077;0;0;45222662912;119933952;0.00;0.00;0.00;176651027;468492;708478076;1873968;176872661;36079;0;0;45236143104;120118784;0.00;0.00;0.00;176703684;469214;708691592;1876856;176921919;36015;0;0;45240455168;119964160;0.00;0.00;0.00;176720528;468610;708756552;1874440;176944566;36126;0;0;
