# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Jun 23 06:03:56 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561284237;2195165888;102656;1588736;0.00;0.00;0.00;401;6206;26428;24824;135;35;0;0;100608;1587712;0.00;0.00;0.00;393;6202;26380;24808;135;33;0;0;100096;1587968;0.00;0.00;0.00;391;6203;26376;24812;135;33;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;134;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;135;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;135;33;0;0;100352;1593088;0.00;0.00;0.00;392;6223;26460;24892;102;33;0;0;100864;1594368;0.00;0.00;0.00;394;6228;26488;24912;102;33;0;0;101120;1596672;0.00;0.00;0.00;395;6237;26528;24948;102;33;0;0;100352;1597952;0.00;0.00;0.00;392;6242;26536;24968;102;33;0;0;100352;1595648;0.00;0.00;0.00;392;6233;26500;24932;102;33;0;0;101120;1595136;0.00;0.00;0.00;395;6231;26504;24924;102;33;0;0;
1561284238;2195083818;4634880;71920640;0.00;0.00;0.00;18105;280940;1196180;1123760;135;176;0;0;4552192;71836416;0.00;0.00;0.00;17782;280611;1193572;1122444;135;33;0;0;4523520;71816960;0.00;0.00;0.00;17670;280535;1192820;1122140;135;33;0;0;4523520;71818496;0.00;0.00;0.00;17670;280541;1192844;1122164;135;33;0;0;4523520;71813376;0.00;0.00;0.00;17670;280521;1192764;1122084;135;33;0;0;4523264;71827456;0.00;0.00;0.00;17669;280576;1192980;1122304;135;33;0;0;152314368;30612045056;0.00;0.75;0.75;594978;119578301;480693116;478313204;102590;475431996;0;0;153547520;30615305216;0.00;0.75;0.75;599795;119591036;480763324;478364144;116577;475446816;0;0;155229952;30617925632;0.00;0.75;0.75;606367;119601272;480830556;478405088;131553;475462728;0;0;154200064;30619790592;0.00;0.75;0.75;602344;119608557;480843604;478434228;145432;475473435;0;0;156065536;30623091968;0.00;0.75;0.75;609631;119621453;480924336;478485812;160343;475486421;0;0;157395968;30625976064;0.00;0.75;0.75;614828;119632719;480990188;478530876;174401;475502109;0;0;
1561284302;140470554634;2042368;31623680;0.00;0.00;0.00;7978;123530;526032;494120;135;50;0;0;2014208;31607552;0.00;0.00;0.00;7868;123467;525340;493868;135;33;0;0;1989632;31591168;0.00;0.00;0.00;7772;123403;524700;493612;135;33;0;0;1989888;31593472;0.00;0.00;0.00;7773;123412;524740;493648;135;33;0;0;1990400;31592448;0.00;0.00;0.00;7775;123408;524732;493632;135;33;0;0;1990144;31597312;0.00;0.00;0.00;7774;123427;524804;493708;135;33;0;0;10350286848;178796032;0.01;0.00;0.00;40430808;698422;164516920;2793688;40857993;678485;0;0;10338442752;176305152;0.01;0.00;0.00;40384542;688692;164292936;2754768;40799904;664917;0;0;10350983424;173565184;0.01;0.00;0.00;40433529;677989;164446072;2711956;40839138;651075;0;0;10364360960;171109888;0.01;0.00;0.00;40485785;668398;164616732;2673592;40884984;637465;0;0;10378732544;168346112;0.01;0.00;0.00;40541924;657602;164798104;2630408;40931289;624307;0;0;10382963200;165674752;0.01;0.00;0.00;40558450;647167;164822468;2588668;40936283;610290;0;0;
1561284366;140470549574;6544640;101893632;0.00;0.00;0.00;25565;398022;1694348;1592088;135;52;0;0;6485760;101863936;0.00;0.00;0.00;25335;397906;1692964;1591624;135;33;0;0;6413568;101812736;0.00;0.00;0.00;25053;397706;1691036;1590824;135;33;0;0;6414336;101817344;0.00;0.00;0.00;25056;397724;1691120;1590896;135;33;0;0;6412800;101815808;0.00;0.00;0.00;25050;397718;1691072;1590872;135;33;0;0;6413056;101826560;0.00;0.00;0.00;25051;397760;1691244;1591040;135;33;0;0;33186078464;166301184;0.00;0.00;0.00;129633119;649614;521130932;2598456;129758895;222948;0;0;33151237376;166283264;0.00;0.00;0.00;129497021;649544;520586260;2598176;129622323;223154;0;0;33184728832;166487552;0.00;0.00;0.00;129627847;650342;521112756;2601368;129754266;223122;0;0;33224007936;166557696;0.00;0.00;0.00;129781281;650616;521727588;2602464;129921078;223170;0;0;33279717120;166404352;0.00;0.00;0.00;129998895;650017;522595648;2600068;130139947;223117;0;0;33282615808;166257664;0.00;0.00;0.00;130010218;649444;522638648;2597776;130152427;223071;0;0;
1561284430;140470552080;6543360;101893632;0.00;0.00;0.00;25560;398022;1694328;1592088;135;43;0;0;6466048;101852672;0.00;0.00;0.00;25258;397862;1692480;1591448;135;33;0;0;6413056;101810944;0.00;0.00;0.00;25051;397699;1691000;1590796;135;33;0;0;6413056;101816576;0.00;0.00;0.00;25051;397721;1691088;1590884;135;33;0;0;6413312;101813504;0.00;0.00;0.00;25052;397709;1691044;1590836;135;33;0;0;6413056;101823488;0.00;0.00;0.00;25051;397748;1691196;1590992;135;33;0;0;33083908352;166621184;0.00;0.00;0.00;129234017;650864;519539524;2603456;129357827;222268;0;0;33058025728;166444544;0.00;0.00;0.00;129132913;650174;519132348;2600696;129255138;222380;0;0;33086509568;166064640;0.00;0.00;0.00;129244178;648690;519571472;2594760;129370172;222325;0;0;33131185408;166302976;0.00;0.00;0.00;129418693;649621;520273256;2598484;129558457;222449;0;0;33180869888;166389760;0.00;0.00;0.00;129612773;649960;521050932;2599840;129752943;222318;0;0;33192446464;166305536;0.00;0.00;0.00;129657994;649631;521230500;2598524;129799380;222546;0;0;
1561284494;140470550560;6546432;101907200;0.00;0.00;0.00;25572;398075;1694588;1592300;135;83;0;0;6454528;101842176;0.00;0.00;0.00;25213;397821;1692136;1591284;135;33;0;0;6413312;101813248;0.00;0.00;0.00;25052;397708;1691040;1590832;135;33;0;0;6416896;101816320;0.00;0.00;0.00;25066;397720;1691144;1590880;135;33;0;0;6413056;101815040;0.00;0.00;0.00;25051;397715;1691064;1590860;135;33;0;0;6413056;101829120;0.00;0.00;0.00;25051;397770;1691284;1591080;135;33;0;0;33169902848;166350592;0.00;0.00;0.00;129569933;649807;520878960;2599228;129693656;222988;0;0;33149968384;166266112;0.00;0.00;0.00;129492064;649477;520566164;2597908;129614980;222876;0;0;33172901120;166347520;0.00;0.00;0.00;129581645;649795;520925760;2599180;129706156;222849;0;0;33225806592;166428160;0.00;0.00;0.00;129788307;650110;521753668;2600440;129925820;222653;0;0;33260556032;166286080;0.00;0.00;0.00;129924047;649555;522294408;2598220;130062419;222618;0;0;33282403328;166468352;0.00;0.00;0.00;130009388;650267;522638620;2601068;130147344;222776;0;0;
1561284558;140470551678;6555136;101898240;0.00;0.00;0.00;25606;398040;1694584;1592160;135;35;0;0;6471168;101853952;0.00;0.00;0.00;25278;397867;1692580;1591468;135;33;0;0;6413056;101811968;0.00;0.00;0.00;25051;397703;1691016;1590812;135;33;0;0;6414080;101816832;0.00;0.00;0.00;25055;397722;1691108;1590888;135;33;0;0;6413312;101814272;0.00;0.00;0.00;25052;397712;1691056;1590848;135;33;0;0;6413568;101824256;0.00;0.00;0.00;25053;397751;1691216;1591004;135;33;0;0;33275695872;166472704;0.00;0.00;0.00;129983187;650284;522533884;2601136;130110213;223525;0;0;33282806528;166646784;0.00;0.00;0.00;130010963;650964;522647708;2603856;130135290;223312;0;0;33268081152;166616576;0.00;0.00;0.00;129953442;650846;522417152;2603384;130081884;223437;0;0;33362692096;166642432;0.00;0.00;0.00;130323016;650947;523895852;2603788;130463117;223542;0;0;33380944896;166517760;0.00;0.00;0.00;130394316;650460;524179104;2601840;130535699;223651;0;0;33404265216;166745344;0.00;0.00;0.00;130485411;651349;524547040;2605396;130626429;223603;0;0;
1561284622;140470551888;6558976;101901568;0.00;0.00;0.00;25621;398053;1694696;1592212;135;47;0;0;6483968;101862144;0.00;0.00;0.00;25328;397899;1692908;1591596;135;33;0;0;6418432;101813760;0.00;0.00;0.00;25072;397710;1691128;1590840;135;33;0;0;6930688;102287360;0.00;0.00;0.00;27073;399560;1706532;1598240;135;33;0;0;6938368;102300416;0.00;0.00;0.00;27103;399611;1706856;1598444;134;33;0;0;6413056;101818112;0.00;0.00;0.00;25051;397727;1691112;1590908;135;33;0;0;33185562624;167271168;0.00;0.00;0.00;129631104;653403;521138028;2613612;129762225;225713;0;0;33207058944;167096576;0.00;0.00;0.00;129715074;652721;521471180;2610884;129846789;225705;0;0;33176273920;167226368;0.00;0.00;0.00;129594820;653228;520992192;2612912;129729665;225789;0;0;33317440000;166987776;0.00;0.00;0.00;130146250;652296;523194184;2609184;130292814;225377;0;0;33305966336;167079680;0.00;0.00;0.00;130101431;652655;523016344;2610620;130248307;225641;0;0;33323963648;167155200;0.00;0.00;0.00;130171733;652950;523298732;2611800;130318711;225557;0;0;
1561284686;140470543892;6797312;102128128;0.00;0.00;0.00;26552;398938;1701960;1595752;135;35;0;0;6413056;101814528;0.00;0.00;0.00;25051;397713;1691056;1590852;135;33;0;0;6414336;101811200;0.00;0.00;0.00;25056;397700;1691024;1590800;135;33;0;0;6412800;101811200;0.00;0.00;0.00;25050;397700;1691000;1590800;135;33;0;0;6441728;101836800;0.00;0.00;0.00;25163;397800;1691852;1591200;135;33;0;0;6413056;101819904;0.00;0.00;0.00;25051;397734;1691140;1590936;135;33;0;0;26334056960;166430720;0.00;0.00;0.00;102867410;650120;414070120;2600480;103130758;229914;0;0;26402368768;166690560;0.00;0.00;0.00;103134253;651135;415141552;2604540;103391730;230354;0;0;26409343744;166740480;0.00;0.00;0.00;103161499;651330;415251316;2605320;103419977;230041;0;0;26526351104;166200832;0.00;0.00;0.00;103618559;649222;417071124;2596888;103895180;228400;0;0;26458952192;166210048;0.00;0.00;0.00;103355282;649258;416018160;2597032;103629194;228274;0;0;26489940224;166120192;0.00;0.00;0.00;103476329;648907;416500944;2595628;103747441;228254;0;0;
1561284750;140470619066;6738432;102078976;0.00;0.00;0.00;26322;398746;1700272;1594984;135;39;0;0;6475264;101859584;0.00;0.00;0.00;25294;397889;1692732;1591556;135;33;0;0;6413056;101813248;0.00;0.00;0.00;25051;397708;1691036;1590832;135;33;0;0;6415104;101819136;0.00;0.00;0.00;25059;397731;1691160;1590924;135;33;0;0;6412800;101816320;0.00;0.00;0.00;25050;397720;1691080;1590880;135;33;0;0;6413312;101821184;0.00;0.00;0.00;25052;397739;1691164;1590956;135;33;0;0;781649664;111263488;0.07;0.00;0.00;3053319;434623;13951768;1738492;3293043;39172;0;0;793030912;111282944;0.07;0.00;0.00;3097777;434699;14129904;1738796;3345301;40172;0;0;792388352;111198720;0.07;0.00;0.00;3095267;434370;14118548;1737480;3342673;39747;0;0;598935296;110872832;0.07;0.00;0.00;2339591;433097;11090752;1732388;2511476;39104;0;0;577049856;111042816;0.07;0.00;0.00;2254101;433761;10751448;1735044;2419308;39599;0;0;584494080;110802176;0.07;0.00;0.00;2283180;432821;10864004;1731284;2456570;39127;0;0;
1561284814;140470653582;6563328;101907968;0.00;0.00;0.00;25638;398078;1694864;1592312;135;35;0;0;6459904;101838848;0.00;0.00;0.00;25234;397808;1692168;1591232;135;33;0;0;6413056;101805824;0.00;0.00;0.00;25051;397679;1690920;1590716;135;33;0;0;6414080;101806592;0.00;0.00;0.00;25055;397682;1690948;1590728;135;33;0;0;6413056;101805056;0.00;0.00;0.00;25051;397676;1690908;1590704;135;33;0;0;6412800;101812480;0.00;0.00;0.00;25050;397705;1691020;1590820;135;33;0;0;7124736;102486272;0.00;0.00;0.00;27831;400337;1712672;1601348;102;72;0;0;6611968;102018304;0.00;0.00;0.00;25828;398509;1697348;1594036;102;86;0;0;6484992;102000384;0.00;0.00;0.00;25332;398439;1695084;1593756;102;66;0;0;7086080;102492672;0.00;0.00;0.00;27680;400362;1712168;1601448;102;67;0;0;6485504;101916672;0.00;0.00;0.00;25334;398112;1693784;1592448;102;74;0;0;6531584;101909504;0.00;0.00;0.00;25514;398084;1694392;1592336;102;63;0;0;
