# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Jun 23 00:17:52 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561263473;2195184738;111616;1613824;0.00;0.00;0.00;436;6304;26960;25216;134;93;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;135;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;135;33;0;0;100352;1590528;0.00;0.00;0.00;392;6213;26420;24852;135;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;135;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;135;33;0;0;100864;1592064;0.00;0.00;0.00;394;6219;26452;24876;102;33;0;0;101120;1593088;0.00;0.00;0.00;395;6223;26472;24892;102;33;0;0;102400;1593344;0.00;0.00;0.00;400;6224;26496;24896;103;33;0;0;102656;1595648;0.00;0.00;0.00;401;6233;26536;24932;102;33;0;0;101376;1593856;0.00;0.00;0.00;396;6226;26488;24904;102;33;0;0;101120;1593856;0.00;0.00;0.00;395;6226;26484;24904;102;33;0;0;
1561263474;2195089560;5154048;73010176;0.00;0.00;0.00;20133;285196;1221316;1140784;135;1883;0;0;4547328;71998464;0.00;0.00;0.00;17763;281244;1196028;1124976;135;33;0;0;4535040;71991808;0.00;0.00;0.00;17715;281218;1195732;1124872;135;33;0;0;4537856;71995136;0.00;0.00;0.00;17726;281231;1195828;1124924;135;33;0;0;4534784;71993088;0.00;0.00;0.00;17714;281223;1195748;1124892;135;33;0;0;4534528;72002048;0.00;0.00;0.00;17713;281258;1195884;1125032;135;33;0;0;149287936;30610584576;0.00;0.75;0.75;583156;119572596;480623008;478290384;101162;475431461;0;0;151461120;30614058752;0.00;0.75;0.75;591645;119586167;480711248;478344668;115685;475446482;0;0;151747584;30615961088;0.00;0.75;0.75;592764;119593598;480745448;478374392;130604;475462235;0;0;152816640;30619336704;0.00;0.75;0.75;596940;119606784;480814896;478427136;145049;475472951;0;0;154235136;30621954048;0.00;0.75;0.75;602481;119617008;480877956;478468032;159541;475485623;0;0;155362304;30625411584;0.00;0.75;0.75;606884;119630514;480949592;478522056;173509;475501524;0;0;
1561263538;140470552974;2224128;31655168;0.00;0.00;0.00;8688;123653;529364;494612;135;135;0;0;1990912;31418624;0.00;0.00;0.00;7777;122729;522024;490916;135;33;0;0;1978624;31411712;0.00;0.00;0.00;7729;122702;521724;490808;135;33;0;0;1978880;31414272;0.00;0.00;0.00;7730;122712;521768;490848;135;33;0;0;1978624;31414016;0.00;0.00;0.00;7729;122711;521760;490844;135;33;0;0;1978880;31415296;0.00;0.00;0.00;7730;122716;521784;490864;135;33;0;0;14182519296;221008896;0.01;0.10;0.00;55400466;863316;225055128;3453264;56161745;963218;0;0;14170855168;218330368;0.01;0.10;0.00;55354903;852853;224831024;3411412;56104687;949645;0;0;14198405120;216065536;0.01;0.10;0.00;55462520;844006;225226104;3376024;56201245;936179;0;0;14138540288;213328896;0.01;0.10;0.00;55228673;833316;224247956;3333264;55958883;922810;0;0;14131462144;210247168;0.01;0.10;0.00;55201024;821278;224089208;3285112;55921503;909514;0;0;14117694208;207669248;0.01;0.09;0.00;55147243;811208;223833804;3244832;55855661;895477;0;0;
1561263602;140470549772;7214080;102622208;0.00;0.00;0.00;28180;400868;1716192;1603472;135;457;0;0;6454784;101839616;0.00;0.00;0.00;25214;397811;1692100;1591244;135;33;0;0;6413312;101812736;0.00;0.00;0.00;25052;397706;1691032;1590824;135;33;0;0;6414336;101817856;0.00;0.00;0.00;25056;397726;1691128;1590904;135;33;0;0;6413056;101812992;0.00;0.00;0.00;25051;397707;1691032;1590828;135;33;0;0;6413056;101820928;0.00;0.00;0.00;25051;397738;1691156;1590952;135;33;0;0;46297100288;120190720;0.00;0.00;0.00;180848048;469495;725270172;1877980;181080691;35527;0;0;46251028992;120468480;0.00;0.00;0.00;180668082;470580;724554648;1882320;180898587;35491;0;0;46336807936;120681472;0.00;0.00;0.00;181003156;471412;725898272;1885648;181234024;35489;0;0;46135328000;120527104;0.00;0.00;0.00;180216125;470809;722747736;1883236;180448038;35492;0;0;46108983296;120178432;0.00;0.00;0.00;180113216;469447;722330652;1877788;180349264;35510;0;0;46058840832;120322304;0.00;0.00;0.00;179917347;470009;721549424;1880036;180151730;35490;0;0;
1561263666;140470548892;7249664;102563840;0.00;0.00;0.00;28319;400640;1715836;1602560;135;54;0;0;6453504;101837312;0.00;0.00;0.00;25209;397802;1692044;1591208;135;33;0;0;6412800;101811712;0.00;0.00;0.00;25050;397702;1691008;1590808;135;33;0;0;6415360;101819392;0.00;0.00;0.00;25060;397732;1691168;1590928;135;33;0;0;6413312;101816832;0.00;0.00;0.00;25052;397722;1691096;1590888;135;33;0;0;6413312;101825536;0.00;0.00;0.00;25052;397756;1691232;1591024;135;33;0;0;46290343936;120185088;0.00;0.00;0.00;180821656;469473;725164516;1877892;181101335;35457;0;0;46242153216;120236544;0.00;0.00;0.00;180633411;469674;724412340;1878696;180909683;35458;0;0;46328515584;120232192;0.00;0.00;0.00;180970764;469657;725761684;1878628;181250577;35490;0;0;46126613248;120308736;0.00;0.00;0.00;180182083;469956;722608156;1879824;180456170;35491;0;0;46098280960;119920384;0.00;0.00;0.00;180071410;468439;722159396;1873756;180349224;35473;0;0;46048978432;119979008;0.00;0.00;0.00;179878822;468668;721389960;1874672;180156854;35442;0;0;
1561263730;140470551480;7224832;102546176;0.00;0.00;0.00;28222;400571;1715172;1602284;135;71;0;0;6445056;101833728;0.00;0.00;0.00;25176;397788;1691856;1591152;135;33;0;0;6413312;101811712;0.00;0.00;0.00;25052;397702;1691016;1590808;135;33;0;0;6413056;101815040;0.00;0.00;0.00;25051;397715;1691064;1590860;135;33;0;0;6413312;101816064;0.00;0.00;0.00;25052;397719;1691084;1590876;135;33;0;0;6413312;101824512;0.00;0.00;0.00;25052;397752;1691216;1591008;135;33;0;0;46284282624;120114176;0.00;0.00;0.00;180797979;469196;725068700;1876784;181079234;35493;0;0;46237196032;120307968;0.00;0.00;0.00;180614047;469953;724336000;1879812;180891659;35459;0;0;46321954048;120259584;0.00;0.00;0.00;180945133;469764;725659588;1879056;181225555;35474;0;0;46119312896;120030208;0.00;0.00;0.00;180153566;468868;722489736;1875472;180430537;35439;0;0;46093063168;120219648;0.00;0.00;0.00;180051028;469608;722082544;1878432;180328634;35492;0;0;46041888768;120216832;0.00;0.00;0.00;179851128;469597;721282900;1878388;180128971;35476;0;0;
1561263794;140470551812;7278336;102595840;0.00;0.00;0.00;28431;400765;1716784;1603060;135;68;0;0;6443520;101832704;0.00;0.00;0.00;25170;397784;1691816;1591136;135;33;0;0;6413056;101811712;0.00;0.00;0.00;25051;397702;1691012;1590808;135;33;0;0;6413056;101816576;0.00;0.00;0.00;25051;397721;1691088;1590884;135;33;0;0;6413312;101814784;0.00;0.00;0.00;25052;397714;1691064;1590856;135;33;0;0;6413056;101823744;0.00;0.00;0.00;25051;397749;1691200;1590996;135;33;0;0;46274983168;119861248;0.00;0.00;0.00;180761653;468208;724919444;1872832;181043455;35486;0;0;46228880896;120124672;0.00;0.00;0.00;180581566;469237;724203212;1876948;180859529;35490;0;0;46313108736;120155904;0.00;0.00;0.00;180910581;469359;725519760;1877436;181192073;35448;0;0;46111416832;120039424;0.00;0.00;0.00;180122722;468904;722366504;1875616;180399422;35479;0;0;46083440640;120135680;0.00;0.00;0.00;180013440;469280;721930880;1877120;180292481;35484;0;0;46032499712;119917056;0.00;0.00;0.00;179814452;468426;721131512;1873704;180094379;35491;0;0;
1561263858;140470550558;7274496;102669056;0.00;0.00;0.00;28416;401051;1717868;1604204;135;398;0;0;6436096;101827584;0.00;0.00;0.00;25141;397764;1691620;1591056;135;33;0;0;6413312;101813248;0.00;0.00;0.00;25052;397708;1691040;1590832;134;33;0;0;6413312;101820160;0.00;0.00;0.00;25052;397735;1691148;1590940;134;33;0;0;6412800;101815040;0.00;0.00;0.00;25050;397715;1691060;1590860;135;33;0;0;6413056;101831680;0.00;0.00;0.00;25051;397780;1691324;1591120;135;33;0;0;46288086784;120679936;0.00;0.00;0.00;180812839;471406;725136980;1885624;181089788;35430;0;0;46238550784;120109056;0.00;0.00;0.00;180619339;469176;724354060;1876704;180897310;35492;0;0;46323876608;119934720;0.00;0.00;0.00;180952643;468495;725684552;1873980;181232505;35486;0;0;46119406848;120424192;0.00;0.00;0.00;180153933;470407;722497360;1881628;180428791;35492;0;0;46092608000;120377856;0.00;0.00;0.00;180049250;470226;722077904;1880904;180325617;35435;0;0;46041786112;119929856;0.00;0.00;0.00;179850727;468476;721276812;1873904;180129218;35493;0;0;
1561263922;140470548932;6987008;102313728;0.00;0.00;0.00;27293;399663;1707824;1598652;135;69;0;0;6419200;101814528;0.00;0.00;0.00;25075;397713;1691152;1590852;135;33;0;0;6413056;101812224;0.00;0.00;0.00;25051;397704;1691020;1590816;135;33;0;0;6413056;101823488;0.00;0.00;0.00;25051;397748;1691196;1590992;136;33;0;0;6413312;101818624;0.00;0.00;0.00;25052;397729;1691124;1590916;135;33;0;0;6413312;101831936;0.00;0.00;0.00;25052;397781;1691332;1591124;135;33;0;0;46288840448;120820992;0.00;0.00;0.00;180815783;471957;725150960;1887828;181093450;35491;0;0;46239372032;120872960;0.00;0.00;0.00;180622547;472160;724378828;1888640;180897134;35426;0;0;46325412352;120106240;0.00;0.00;0.00;180958642;469165;725711228;1876660;181239415;35469;0;0;46120501248;120972800;0.00;0.00;0.00;180158208;472550;722523032;1890200;180430804;35437;0;0;46092983040;120158720;0.00;0.00;0.00;180050715;469370;722080340;1877480;180329409;35493;0;0;46042771712;120593920;0.00;0.00;0.00;179854577;471070;721302588;1884280;180131414;35425;0;0;
1561263986;140470554124;6582272;101932800;0.00;0.00;0.00;25712;398175;1695548;1592700;135;57;0;0;6432768;101826304;0.00;0.00;0.00;25128;397759;1691548;1591036;135;33;0;0;6413312;101813248;0.00;0.00;0.00;25052;397708;1691040;1590832;135;33;0;0;6414592;101818368;0.00;0.00;0.00;25057;397728;1691140;1590912;135;33;0;0;6413056;101816320;0.00;0.00;0.00;25051;397720;1691084;1590880;135;33;0;0;6412800;101832704;0.00;0.00;0.00;25050;397784;1691336;1591136;135;33;0;0;46285023744;120236288;0.00;0.00;0.00;180800874;469673;725082188;1878692;181081300;35429;0;0;46238132992;120593664;0.00;0.00;0.00;180617707;471069;724355104;1884276;180893587;35489;0;0;46325619200;119981824;0.00;0.00;0.00;180959450;468679;725712516;1874716;181242032;35447;0;0;46118528000;120389376;0.00;0.00;0.00;180150500;470271;722483084;1881084;180426293;35481;0;0;46090502400;120393216;0.00;0.00;0.00;180041025;470286;722045244;1881144;180318121;35428;0;0;46041479424;120527872;0.00;0.00;0.00;179849529;470812;721281364;1883248;180126554;35484;0;0;
