# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Jun 23 01:54:06 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561269247;2195190130;100608;1595904;0.00;0.00;0.00;393;6234;26508;24936;135;68;0;0;100864;1588736;0.00;0.00;0.00;394;6206;26400;24824;134;33;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;135;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;135;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;135;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;135;33;0;0;102144;1593344;0.00;0.00;0.00;399;6224;26492;24896;102;33;0;0;102400;1592832;0.00;0.00;0.00;400;6222;26488;24888;102;33;0;0;102400;1594624;0.00;0.00;0.00;400;6229;26516;24916;102;33;0;0;102144;1595904;0.00;0.00;0.00;399;6234;26532;24936;102;33;0;0;116224;1607168;0.00;0.00;0.00;454;6278;26928;25112;102;33;0;0;101888;1593856;0.00;0.00;0.00;398;6226;26496;24904;102;33;0;0;
1561269248;2195090414;4656128;73510912;0.00;0.00;0.00;18188;287152;1221360;1148608;135;4996;0;0;4600320;72235008;0.00;0.00;0.00;17970;282168;1200552;1128672;135;33;0;0;4548096;72201472;0.00;0.00;0.00;17766;282037;1199212;1128148;135;33;0;0;4548352;72207360;0.00;0.00;0.00;17767;282060;1199308;1128240;135;33;0;0;4548096;72205824;0.00;0.00;0.00;17766;282054;1199280;1128216;135;33;0;0;4547840;72214528;0.00;0.00;0.00;17765;282088;1199412;1128352;135;33;0;0;150515200;30610896128;0.00;0.75;0.75;587950;119573813;480647052;478295252;99018;475428207;0;0;151914240;30613403904;0.00;0.75;0.75;593415;119583609;480708096;478334436;111962;475441644;0;0;152644352;30615861504;0.00;0.75;0.75;596267;119593209;480757904;478372836;126491;475456435;0;0;153156608;30618166528;0.00;0.75;0.75;598268;119602213;480801924;478408852;139605;475466005;0;0;155737344;30621732608;0.00;0.75;0.75;608349;119616143;480897968;478464572;153012;475478126;0;0;155197184;30623225600;0.00;0.75;0.75;606239;119621975;480912856;478487900;166216;475492005;0;0;
1561269312;140470556742;2004992;31306496;0.00;0.00;0.00;7832;122291;520492;489164;135;317;0;0;1978368;31213824;0.00;0.00;0.00;7728;121929;518628;487716;135;33;0;0;1965312;31204608;0.00;0.00;0.00;7677;121893;518280;487572;135;33;0;0;1966080;31209472;0.00;0.00;0.00;7680;121912;518368;487648;135;33;0;0;1965312;31208960;0.00;0.00;0.00;7677;121910;518348;487640;135;33;0;0;1965824;31214080;0.00;0.00;0.00;7679;121930;518436;487720;135;33;0;0;9082449152;4690699776;0.02;0.00;0.35;35478317;18323046;215205452;73292184;36283150;18365004;0;0;9070755840;4691256832;0.02;0.00;0.35;35432640;18325222;215031448;73300888;36229541;18366351;0;0;9068417280;4681511680;0.02;0.00;0.35;35423505;18287155;214842640;73148620;36218548;18330340;0;0;9060559872;4687488768;0.02;0.00;0.35;35392812;18310503;214813260;73242012;36178769;18352139;0;0;9094619648;4694917888;0.02;0.00;0.35;35525858;18339523;215461524;73358092;36297906;18374492;0;0;9071721984;4693805568;0.02;0.00;0.35;35436414;18335178;215086368;73340712;36204283;18369349;0;0;
1561269376;140470551348;6882304;102378240;0.00;0.00;0.00;26884;399915;1707196;1599660;135;677;0;0;6469120;101850880;0.00;0.00;0.00;25270;397855;1692500;1591420;135;33;0;0;6413312;101815040;0.00;0.00;0.00;25052;397715;1691068;1590860;135;33;0;0;6413056;101825536;0.00;0.00;0.00;25051;397756;1691228;1591024;135;33;0;0;6413568;101817600;0.00;0.00;0.00;25053;397725;1691112;1590900;135;33;0;0;6413056;101836032;0.00;0.00;0.00;25051;397797;1691392;1591188;135;33;0;0;29803043328;14914224128;0.00;0.00;0.10;116418138;58258688;698707304;233034752;116671684;57586454;0;0;29759963392;14923105792;0.00;0.00;0.10;116249857;58293382;698172956;233173528;116506486;57613831;0;0;29757170688;14901425664;0.00;0.00;0.10;116238948;58208694;697790568;232834776;116484389;57525955;0;0;29730238720;14924421120;0.00;0.00;0.10;116133745;58298520;697729060;233194080;116387176;57622581;0;0;29830717952;14951684608;0.00;0.00;0.10;116526242;58405018;699725040;233620072;116789254;57727553;0;0;29761925888;14953307392;0.00;0.00;0.10;116257523;58411357;698675520;233645428;116515745;57738094;0;0;
1561269440;140470545962;7264768;103664384;0.00;0.00;0.00;28378;404939;1733268;1619756;135;4287;0;0;6539520;101904896;0.00;0.00;0.00;25545;398066;1694444;1592264;135;33;0;0;6412800;101814784;0.00;0.00;0.00;25050;397714;1691056;1590856;135;33;0;0;6413056;101818880;0.00;0.00;0.00;25051;397730;1691124;1590920;135;33;0;0;6412800;101817088;0.00;0.00;0.00;25050;397723;1691092;1590892;135;33;0;0;6413312;101833472;0.00;0.00;0.00;25052;397787;1691356;1591148;135;33;0;0;29805971712;14918053376;0.00;0.00;0.10;116429577;58273646;698812892;233094584;116691289;57590605;0;0;29764764672;14923138304;0.00;0.00;0.10;116268612;58293509;698248484;233174036;116519707;57611721;0;0;29758006784;14898982400;0.00;0.00;0.10;116242214;58199150;697765456;232796600;116489798;57520396;0;0;29729257984;14919328768;0.00;0.00;0.10;116129914;58278628;697634168;233114512;116375387;57604385;0;0;29838986752;14951608832;0.00;0.00;0.10;116558542;58404722;699853056;233618888;116796859;57720427;0;0;29764139264;14953894144;0.00;0.00;0.10;116266169;58413649;698719272;233654596;116518272;57735754;0;0;
1561269504;140470548312;7223808;102748160;0.00;0.00;0.00;28218;401360;1718312;1605440;135;880;0;0;6496512;101874432;0.00;0.00;0.00;25377;397947;1693296;1591788;135;33;0;0;6413568;101816320;0.00;0.00;0.00;25053;397720;1691092;1590880;135;33;0;0;6413056;101817600;0.00;0.00;0.00;25051;397725;1691104;1590900;135;33;0;0;6413312;101816832;0.00;0.00;0.00;25052;397722;1691096;1590888;135;33;0;0;6413056;101830144;0.00;0.00;0.00;25051;397774;1691300;1591096;135;33;0;0;29743831296;14884712704;0.00;0.00;0.10;116186841;58143409;697321000;232573636;116415587;57471718;0;0;29706222336;14892038400;0.00;0.00;0.10;116039931;58172025;696847824;232688100;116257201;57497194;0;0;29694995456;14867949568;0.00;0.00;0.10;115996076;58077928;696296016;232311712;116210984;57401977;0;0;29667710976;14887332608;0.00;0.00;0.10;115889496;58153643;696172556;232614572;116113081;57483096;0;0;29774628864;14916599296;0.00;0.00;0.10;116307144;58267966;698300440;233071864;116521631;57592993;0;0;29701195264;14917135872;0.00;0.00;0.10;116020294;58270062;697161424;233080248;116244027;57600627;0;0;
1561269568;140470553182;7233792;102650112;0.00;0.00;0.00;28257;400977;1716936;1603908;135;377;0;0;6485760;101864960;0.00;0.00;0.00;25335;397910;1692980;1591640;135;33;0;0;6413056;101812480;0.00;0.00;0.00;25051;397705;1691024;1590820;135;33;0;0;6413568;101817088;0.00;0.00;0.00;25053;397723;1691104;1590892;135;33;0;0;6413056;101815552;0.00;0.00;0.00;25051;397717;1691072;1590868;135;33;0;0;6413312;101826560;0.00;0.00;0.00;25052;397760;1691248;1591040;135;33;0;0;29854661376;14940743424;0.00;0.00;0.10;116619771;58362279;699928200;233449116;116869149;57687728;0;0;29814352384;14949485824;0.00;0.00;0.10;116462314;58396429;699434972;233585716;116701498;57715408;0;0;29801521664;14924712704;0.00;0.00;0.10;116412194;58299659;698847412;233198636;116660879;57621048;0;0;29780227840;14948181504;0.00;0.00;0.10;116329015;58391334;698881396;233565336;116566848;57708215;0;0;29889847552;14977555456;0.00;0.00;0.10;116757217;58506076;701053172;234024304;116988719;57827414;0;0;29815881984;14978001664;0.00;0.00;0.10;116468289;58507819;699904432;234031276;116709753;57832616;0;0;
1561269632;140470550510;7261440;102701312;0.00;0.00;0.00;28365;401177;1718168;1604708;135;523;0;0;6463232;101847808;0.00;0.00;0.00;25247;397843;1692360;1591372;135;33;0;0;6413312;101815296;0.00;0.00;0.00;25052;397716;1691072;1590864;135;33;0;0;6413056;101816576;0.00;0.00;0.00;25051;397721;1691088;1590884;135;33;0;0;6413056;101815552;0.00;0.00;0.00;25051;397717;1691072;1590868;135;33;0;0;6412800;101828864;0.00;0.00;0.00;25050;397769;1691276;1591076;135;33;0;0;29881013760;14955305984;0.00;0.00;0.10;116722710;58419164;700567496;233676656;116955546;57733398;0;0;29838392320;14963283200;0.00;0.00;0.10;116556220;58450325;700026180;233801300;116791843;57765140;0;0;29829224704;14938496000;0.00;0.00;0.10;116520409;58353500;699495636;233414000;116754120;57672758;0;0;29800130304;14959485696;0.00;0.00;0.10;116406759;58435491;699369000;233741964;116660918;57755192;0;0;29913079552;14989813760;0.00;0.00;0.10;116847967;58553960;701607708;234215840;117077077;57866003;0;0;29842605056;14991944960;0.00;0.00;0.10;116572676;58562285;700539844;234249140;116813600;57879056;0;0;
1561269696;140470555002;7211776;102606080;0.00;0.00;0.00;28171;400805;1715904;1603220;135;298;0;0;6499328;101880576;0.00;0.00;0.00;25388;397971;1693436;1591884;135;33;0;0;6412800;101813760;0.00;0.00;0.00;25050;397710;1691040;1590840;135;33;0;0;6413056;101815296;0.00;0.00;0.00;25051;397716;1691068;1590864;135;33;0;0;6413056;101815040;0.00;0.00;0.00;25051;397715;1691064;1590860;135;33;0;0;6413568;101828864;0.00;0.00;0.00;25053;397769;1691288;1591076;135;33;0;0;29909783552;14962472960;0.00;0.00;0.10;116835092;58447160;701129008;233788640;117064474;57764441;0;0;29866321920;14969649408;0.00;0.00;0.10;116665320;58475193;700562052;233900772;116895870;57789939;0;0;29857310976;14946644224;0.00;0.00;0.10;116630121;58385329;700061800;233541316;116874153;57708481;0;0;29828886528;14966346496;0.00;0.00;0.10;116519088;58462291;699925516;233849164;116770633;57787841;0;0;29943341312;14996686848;0.00;0.00;0.10;116966177;58580808;702187940;234323232;117196502;57898333;0;0;29862021632;14997388800;0.00;0.00;0.10;116648522;58583550;700928288;234334200;116905405;57912091;0;0;
1561269760;140470549072;7261184;102727936;0.00;0.00;0.00;28364;401281;1718580;1605124;135;617;0;0;6486272;101867520;0.00;0.00;0.00;25337;397920;1693028;1591680;135;33;0;0;6413312;101810944;0.00;0.00;0.00;25052;397699;1691004;1590796;135;33;0;0;6413056;101811712;0.00;0.00;0.00;25051;397702;1691012;1590808;135;33;0;0;6413568;101810688;0.00;0.00;0.00;25053;397698;1691004;1590792;135;33;0;0;6413056;101816832;0.00;0.00;0.00;25051;397722;1691092;1590888;135;33;0;0;29911539968;14962976768;0.00;0.00;0.10;116841953;58449128;701164324;233796512;117093271;57761889;0;0;29873568000;14968176640;0.00;0.00;0.10;116693625;58469440;700652260;233877760;116929085;57790859;0;0;29857053696;14945184000;0.00;0.00;0.10;116629116;58379625;700034964;233518500;116890684;57701459;0;0;29840664576;14969221120;0.00;0.00;0.10;116565096;58473520;700154464;233894080;116807838;57797737;0;0;29945323776;14995216640;0.00;0.00;0.10;116973921;58575065;702195944;234300260;117214773;57896451;0;0;29873373952;14997120000;0.00;0.00;0.10;116692867;58582500;701101468;234330000;116938288;57901934;0;0;
