# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Jun 23 19:54:59 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561334100;2195182922;102400;1591296;0.00;0.00;0.00;400;6216;26464;24864;135;41;0;0;101376;1589248;0.00;0.00;0.00;396;6208;26416;24832;135;33;0;0;100096;1589248;0.00;0.00;0.00;391;6208;26396;24832;136;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;135;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;135;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;135;33;0;0;100864;1592832;0.00;0.00;0.00;394;6222;26464;24888;102;38;0;0;101120;1593856;0.00;0.00;0.00;395;6226;26484;24904;102;39;0;0;103936;1594624;0.00;0.00;0.00;406;6229;26540;24916;102;35;0;0;101120;1594112;0.00;0.00;0.00;395;6227;26488;24908;102;37;0;0;101632;1594112;0.00;0.00;0.00;397;6227;26496;24908;102;36;0;0;100352;1593600;0.00;0.00;0.00;392;6225;26468;24900;102;33;0;0;
1561334101;2195126338;1092677888;183432709120;0.00;0.75;0.75;4268273;716534020;2883209172;2866136080;133506;2852188916;0;0;8130304;127721984;0.00;0.00;0.00;31759;498914;2122692;1995656;135;33;0;0;8041472;127662336;0.00;0.00;0.00;31412;498681;2120372;1994724;135;33;0;0;8042240;127664640;0.00;0.00;0.00;31415;498690;2120420;1994760;135;33;0;0;8041728;127664896;0.00;0.00;0.00;31413;498691;2120416;1994764;135;33;0;0;8041984;127665920;0.00;0.00;0.00;31414;498695;2120436;1994780;135;33;0;0;8639232;128227328;0.00;0.00;0.00;33747;500888;2138540;2003552;102;181;0;0;8169472;127800576;0.00;0.00;0.00;31912;499221;2124532;1996884;102;180;0;0;8151296;127769856;0.00;0.00;0.00;31841;499101;2123768;1996404;102;169;0;0;8577536;128181248;0.00;0.00;0.00;33506;500708;2136856;2002832;102;203;0;0;8196352;127826944;0.00;0.00;0.00;32017;499324;2125364;1997296;102;195;0;0;8169984;127799552;0.00;0.00;0.00;31914;499217;2124524;1996868;102;198;0;0;
1561334229;280940820500;184133158912;2114139136;0.01;0.01;0.00;719270152;8258356;2910114032;33033424;725471977;8310552;0;0;4951552;77596160;0.00;0.00;0.00;19342;303110;1289808;1212440;135;33;0;0;4884992;77547008;0.00;0.00;0.00;19082;302918;1288000;1211672;135;33;0;0;4884992;77545216;0.00;0.00;0.00;19082;302911;1287972;1211644;135;33;0;0;4884480;77543680;0.00;0.00;0.00;19080;302905;1287940;1211620;135;33;0;0;4884224;77541888;0.00;0.00;0.00;19079;302898;1287908;1211592;135;33;0;0;4932352;77567488;0.00;0.00;0.00;19267;302998;1289060;1211992;102;34;0;0;5381120;77986048;0.00;0.00;0.00;21020;304633;1302612;1218532;102;39;0;0;5076480;77688064;0.00;0.00;0.00;19830;303469;1293196;1213876;102;34;0;0;5040384;77667072;0.00;0.00;0.00;19689;303387;1292304;1213548;102;35;0;0;4957440;77585920;0.00;0.00;0.00;19365;303070;1289740;1212280;102;37;0;0;5294080;77894912;0.00;0.00;0.00;20680;304277;1299828;1217108;102;36;0;0;
1561334357;280940811210;491457056768;407649536;0.00;0.00;0.00;1919754128;1592381;7685386036;6369524;1920079133;384076;0;0;12962048;203716352;0.00;0.00;0.00;50633;795767;3385600;3183068;135;33;0;0;12826112;203622144;0.00;0.00;0.00;50102;795399;3382004;3181596;135;33;0;0;12827392;203621888;0.00;0.00;0.00;50107;795398;3382020;3181592;135;33;0;0;12826368;203621120;0.00;0.00;0.00;50103;795395;3381992;3181580;135;33;0;0;12826624;203621120;0.00;0.00;0.00;50104;795395;3381996;3181580;135;33;0;0;12940032;203691008;0.00;0.00;0.00;50547;795668;3384860;3182672;102;35;0;0;13094144;203823616;0.00;0.00;0.00;51149;796186;3389340;3184744;102;33;0;0;13108480;203827968;0.00;0.00;0.00;51205;796203;3389632;3184812;102;34;0;0;12951040;203693312;0.00;0.00;0.00;50590;795677;3385068;3182708;102;34;0;0;13480960;204187136;0.00;0.00;0.00;52660;797606;3401064;3190424;102;39;0;0;13199872;203927296;0.00;0.00;0.00;51562;796591;3392612;3186364;102;35;0;0;
1561334485;280940814736;491549615104;415320576;0.00;0.00;0.00;1920115684;1622346;7686952120;6489384;1920493670;383934;0;0;12963840;203714304;0.00;0.00;0.00;50640;795759;3385596;3183036;135;33;0;0;12826624;203620352;0.00;0.00;0.00;50104;795392;3381984;3181568;135;33;0;0;12826624;203620608;0.00;0.00;0.00;50104;795393;3381988;3181572;135;33;0;0;12826368;203620096;0.00;0.00;0.00;50103;795391;3381976;3181564;134;33;0;0;12826112;203620352;0.00;0.00;0.00;50102;795392;3381976;3181568;135;33;0;0;12974592;203706368;0.00;0.00;0.00;50682;795728;3385640;3182912;102;35;0;0;12995072;203730176;0.00;0.00;0.00;50762;795821;3386332;3183284;102;35;0;0;13546240;204241920;0.00;0.00;0.00;52915;797820;3402940;3191280;102;33;0;0;12990720;203727360;0.00;0.00;0.00;50745;795810;3386220;3183240;102;34;0;0;12985344;203716864;0.00;0.00;0.00;50724;795769;3385972;3183076;102;35;0;0;12967424;203699968;0.00;0.00;0.00;50654;795703;3385428;3182812;102;33;0;0;
1561334613;280940814130;491493660672;419539712;0.00;0.00;0.00;1919897112;1638827;7686143756;6555308;1920252108;383980;0;0;12901888;203671552;0.00;0.00;0.00;50398;795592;3383960;3182368;135;33;0;0;12826112;203619328;0.00;0.00;0.00;50102;795388;3381960;3181552;135;33;0;0;12834048;203623680;0.00;0.00;0.00;50133;795405;3382152;3181620;135;33;0;0;12826112;203619328;0.00;0.00;0.00;50102;795388;3381960;3181552;136;33;0;0;12826368;203618816;0.00;0.00;0.00;50103;795386;3381956;3181544;135;33;0;0;12973056;203707392;0.00;0.00;0.00;50676;795732;3385632;3182928;102;40;0;0;12977408;203711488;0.00;0.00;0.00;50693;795748;3385764;3182992;102;40;0;0;12975872;203708160;0.00;0.00;0.00;50687;795735;3385688;3182940;102;47;0;0;12954368;203695104;0.00;0.00;0.00;50603;795684;3385148;3182736;103;37;0;0;12993280;203728896;0.00;0.00;0.00;50755;795816;3386284;3183264;102;40;0;0;12995584;203733248;0.00;0.00;0.00;50764;795833;3386388;3183332;102;38;0;0;
1561334741;280940833626;491655972096;423115008;0.00;0.00;0.00;1920531141;1652793;7688735736;6611172;1920937262;383903;0;0;12921600;203686144;0.00;0.00;0.00;50475;795649;3384496;3182596;135;33;0;0;12826112;203618816;0.00;0.00;0.00;50102;795386;3381952;3181544;135;33;0;0;12829952;203623168;0.00;0.00;0.00;50117;795403;3382080;3181612;135;33;0;0;12826112;203619072;0.00;0.00;0.00;50102;795387;3381956;3181548;135;33;0;0;12826112;203620864;0.00;0.00;0.00;50102;795394;3381984;3181576;135;33;0;0;12954880;203697408;0.00;0.00;0.00;50605;795693;3385192;3182772;102;34;0;0;12971264;203708160;0.00;0.00;0.00;50669;795735;3385616;3182940;102;37;0;0;13018112;203748096;0.00;0.00;0.00;50852;795891;3386972;3183564;102;36;0;0;12976640;203714048;0.00;0.00;0.00;50690;795758;3385792;3183032;102;36;0;0;12969984;203707392;0.00;0.00;0.00;50664;795732;3385584;3182928;102;41;0;0;12966400;203704576;0.00;0.00;0.00;50650;795721;3385484;3182884;102;35;0;0;
1561334869;280940807316;491177159936;418528512;0.00;0.00;0.00;1918660781;1634877;7681182632;6539508;1919038326;383547;0;0;12937728;203695616;0.00;0.00;0.00;50538;795686;3384896;3182744;135;33;0;0;12826624;203621888;0.00;0.00;0.00;50104;795398;3382008;3181592;135;33;0;0;12826368;203621632;0.00;0.00;0.00;50103;795397;3382000;3181588;135;33;0;0;12826624;203621376;0.00;0.00;0.00;50104;795396;3382000;3181584;135;33;0;0;12826368;203621376;0.00;0.00;0.00;50103;795396;3381996;3181584;135;33;0;0;12944896;203688960;0.00;0.00;0.00;50566;795660;3384904;3182640;102;35;0;0;12969984;203718400;0.00;0.00;0.00;50664;795775;3385756;3183100;102;34;0;0;12973568;203712768;0.00;0.00;0.00;50678;795753;3385724;3183012;102;37;0;0;12955392;203695616;0.00;0.00;0.00;50607;795686;3385172;3182744;102;35;0;0;12966656;203704320;0.00;0.00;0.00;50651;795720;3385484;3182880;102;33;0;0;12962304;203699456;0.00;0.00;0.00;50634;795701;3385340;3182804;102;33;0;0;
1561334997;280940807856;487626235648;383642624;0.00;0.00;0.00;1904789983;1498604;7625154348;5994416;1905399420;379400;0;0;12910336;203676928;0.00;0.00;0.00;50431;795613;3384176;3182452;135;33;0;0;12826112;203619840;0.00;0.00;0.00;50102;795390;3381968;3181560;135;33;0;0;12826112;203620608;0.00;0.00;0.00;50102;795393;3381980;3181572;135;33;0;0;12826112;203619072;0.00;0.00;0.00;50102;795387;3381956;3181548;135;33;0;0;12826624;203620608;0.00;0.00;0.00;50104;795393;3381988;3181572;135;33;0;0;12989696;203715072;0.00;0.00;0.00;50741;795762;3386012;3183048;102;33;0;0;12952320;203692800;0.00;0.00;0.00;50595;795675;3385080;3182700;102;33;0;0;12995328;203728640;0.00;0.00;0.00;50763;795815;3386312;3183260;102;33;0;0;13026304;203761408;0.00;0.00;0.00;50884;795943;3387308;3183772;102;34;0;0;12966400;203704576;0.00;0.00;0.00;50650;795721;3385484;3182884;102;34;0;0;12968704;203703296;0.00;0.00;0.00;50659;795716;3385500;3182864;102;34;0;0;
1561335125;280940781260;487712811008;389030656;0.00;0.00;0.00;1905128168;1519651;7626591276;6078604;1905697816;379370;0;0;12891648;203664896;0.00;0.00;0.00;50358;795566;3383696;3182264;136;33;0;0;12826368;203620608;0.00;0.00;0.00;50103;795393;3381984;3181572;135;33;0;0;12828416;203621888;0.00;0.00;0.00;50111;795398;3382036;3181592;135;33;0;0;12826368;203620352;0.00;0.00;0.00;50103;795392;3381980;3181568;135;33;0;0;12826368;203620352;0.00;0.00;0.00;50103;795392;3381980;3181568;135;33;0;0;12942848;203690240;0.00;0.00;0.00;50558;795665;3384892;3182660;102;36;0;0;12961024;203701248;0.00;0.00;0.00;50629;795708;3385348;3182832;102;34;0;0;12966144;203699712;0.00;0.00;0.00;50649;795702;3385404;3182808;102;36;0;0;12963072;203703808;0.00;0.00;0.00;50637;795718;3385420;3182872;102;35;0;0;12990976;203719680;0.00;0.00;0.00;50746;795780;3386104;3183120;102;38;0;0;12955136;203695360;0.00;0.00;0.00;50606;795685;3385164;3182740;102;35;0;0;
