# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Jun 23 23:17:02 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1561346223;2195187318;100096;1587456;0.00;0.00;0.00;391;6201;26368;24804;135;33;0;0;100864;1588224;0.00;0.00;0.00;394;6204;26392;24816;135;33;0;0;99840;1588480;0.00;0.00;0.00;390;6205;26380;24820;135;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;135;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;135;33;0;0;100352;1589504;0.00;0.00;0.00;392;6209;26404;24836;135;33;0;0;113408;1602816;0.00;0.00;0.00;443;6261;26816;25044;101;33;0;0;110080;1600000;0.00;0.00;0.00;430;6250;26720;25000;102;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;102;33;0;0;111872;1602048;0.00;0.00;0.00;437;6258;26780;25032;102;33;0;0;103936;1594112;0.00;0.00;0.00;406;6227;26532;24908;102;33;0;0;110592;1601792;0.00;0.00;0.00;432;6257;26756;25028;102;33;0;0;
1561346224;2195093464;4642560;72015104;0.00;0.00;0.00;18135;281309;1197776;1125236;135;118;0;0;4546304;71934976;0.00;0.00;0.00;17759;280996;1195020;1123984;135;33;0;0;4530688;71923968;0.00;0.00;0.00;17698;280953;1194604;1123812;135;33;0;0;4530432;71923200;0.00;0.00;0.00;17697;280950;1194588;1123800;135;33;0;0;4530688;71923200;0.00;0.00;0.00;17698;280950;1194592;1123800;135;33;0;0;4530688;71922944;0.00;0.00;0.00;17698;280949;1194588;1123796;135;33;0;0;155963904;30613185536;0.00;0.75;0.75;609234;119582756;480767960;478331024;95816;475428787;0;0;156808960;30615768064;0.00;0.75;0.75;612535;119592844;480821516;478371376;109735;475443314;0;0;158223616;30618537728;0.00;0.75;0.75;618061;119603663;480886896;478414652;123936;475458264;0;0;158770688;30621580288;0.00;0.75;0.75;620198;119615548;480942984;478462192;138561;475469578;0;0;159221760;30623235072;0.00;0.75;0.75;621960;119622012;480975888;478488048;152747;475482164;0;0;161232640;30627419648;0.00;0.75;0.75;629815;119638358;481072692;478553432;168108;475498892;0;0;
1561346288;140470544140;2028800;31508224;0.00;0.00;0.00;7925;123079;524016;492316;135;36;0;0;1983488;31479552;0.00;0.00;0.00;7748;122967;522860;491868;135;33;0;0;1982976;31479552;0.00;0.00;0.00;7746;122967;522852;491868;135;33;0;0;1982720;31480320;0.00;0.00;0.00;7745;122970;522860;491880;135;33;0;0;1982976;31480320;0.00;0.00;0.00;7746;122970;522864;491880;135;33;0;0;1982720;31480576;0.00;0.00;0.00;7745;122971;522864;491884;135;33;0;0;5499254784;16158982912;0.74;0.25;0.33;21481464;63121027;338409964;252484108;84160676;84139302;0;0;5500020736;16161588736;0.74;0.25;0.33;21484456;63131206;338462648;252524824;84160907;84140539;0;0;5499628800;16161563392;0.74;0.25;0.33;21482925;63131107;338456128;252524428;84162145;84142414;0;0;5497379072;16267599616;0.74;0.24;0.32;21474137;63545311;340077792;254181244;84161239;84141207;0;0;5498244608;16271357184;0.74;0.24;0.32;21477518;63559989;340150028;254239956;84159025;84140650;0;0;5498704640;16270642432;0.74;0.24;0.32;21479315;63557197;340146048;254228788;84159994;84141651;0;0;
1561346352;140470551762;6569984;101919488;0.00;0.00;0.00;25664;398123;1695148;1592492;135;42;0;0;6474496;101852160;0.00;0.00;0.00;25291;397860;1692604;1591440;135;33;0;0;6413056;101810688;0.00;0.00;0.00;25051;397698;1690996;1590792;135;33;0;0;6413312;101810944;0.00;0.00;0.00;25052;397699;1691004;1590796;135;33;0;0;6412800;101809920;0.00;0.00;0.00;25050;397695;1690980;1590780;135;33;0;0;6413312;101809664;0.00;0.00;0.00;25052;397694;1690984;1590776;135;33;0;0;21870354176;63734726912;0.75;0.26;0.28;85431071;248963777;1337579392;995855108;335780882;335719328;0;0;21872210432;63734843648;0.75;0.26;0.28;85438322;248964233;1337610220;995856932;335780037;335716739;0;0;21873746176;63739725568;0.75;0.26;0.28;85444321;248983303;1337710496;995933212;335782560;335711465;0;0;21879789312;63967891968;0.75;0.26;0.27;85467927;249874578;1341370020;999498312;335773207;335693648;0;0;21881967104;63966977536;0.75;0.26;0.27;85476434;249871006;1341389760;999484024;335765469;335680704;0;0;21881847808;63963466240;0.75;0.26;0.27;85475968;249857290;1341333032;999429160;335760893;335667138;0;0;
1561346416;140470548756;6561024;101912320;0.00;0.00;0.00;25629;398095;1694896;1592380;135;34;0;0;6466304;101846016;0.00;0.00;0.00;25259;397836;1692380;1591344;135;33;0;0;6413568;101809920;0.00;0.00;0.00;25053;397695;1690992;1590780;135;33;0;0;6413568;101810688;0.00;0.00;0.00;25053;397698;1691004;1590792;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413056;101811968;0.00;0.00;0.00;25051;397703;1691016;1590812;135;33;0;0;53357542656;124366592;0.00;0.00;0.00;208427901;485807;835654832;1943228;208847911;35761;0;0;53346538240;122298880;0.00;0.00;0.00;208384915;477730;835450580;1910920;208803443;26187;0;0;53353255168;120408576;0.00;0.00;0.00;208411153;470346;835525996;1881384;208835348;21983;0;0;53249177856;120471040;0.00;0.00;0.00;208004601;470590;833900764;1882360;208423306;21498;0;0;53248444928;120875520;0.00;0.00;0.00;208001738;472170;833895632;1888680;208420455;21319;0;0;53253771520;120716032;0.00;0.00;0.00;208022545;471547;833976368;1886188;208445314;21167;0;0;
1561346480;140470548880;6558464;101903104;0.00;0.00;0.00;25619;398059;1694712;1592236;135;52;0;0;6455552;101837312;0.00;0.00;0.00;25217;397802;1692076;1591208;135;33;0;0;6412800;101810176;0.00;0.00;0.00;25050;397696;1690984;1590784;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;6413568;101809408;0.00;0.00;0.00;25053;397693;1690984;1590772;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;53364464384;115089664;0.00;0.00;0.00;208454939;449569;835618032;1798276;208867384;609;0;0;53372698880;115334912;0.00;0.00;0.00;208487105;450527;835750528;1802108;208900029;553;0;0;53368017664;115478784;0.00;0.00;0.00;208468819;451089;835679632;1804356;208883922;609;0;0;53262341120;114900736;0.00;0.00;0.00;208056020;448831;834019404;1795324;208468198;593;0;0;53281676032;115341568;0.00;0.00;0.00;208131547;450553;834328400;1802212;208543778;609;0;0;53274300416;115026944;0.00;0.00;0.00;208102736;449324;834208240;1797296;208521123;609;0;0;
1561346544;140470549048;6555392;101902336;0.00;0.00;0.00;25607;398056;1694652;1592224;135;39;0;0;6456064;101839104;0.00;0.00;0.00;25219;397809;1692112;1591236;135;33;0;0;6413312;101810688;0.00;0.00;0.00;25052;397698;1691000;1590792;135;33;0;0;6413312;101810432;0.00;0.00;0.00;25052;397697;1690996;1590788;135;33;0;0;6412800;101810432;0.00;0.00;0.00;25050;397697;1690988;1590788;135;33;0;0;6413056;101810432;0.00;0.00;0.00;25051;397697;1690992;1590788;135;33;0;0;53348879360;114962432;0.00;0.00;0.00;208394060;449072;835372528;1796288;208807972;609;0;0;53340311040;114973440;0.00;0.00;0.00;208360590;449115;835238820;1796460;208774961;610;0;0;53352465408;115607552;0.00;0.00;0.00;208408068;451592;835438640;1806368;208821477;586;0;0;53253680128;114911232;0.00;0.00;0.00;208022188;448872;833884240;1795488;208434157;561;0;0;53248396288;114974208;0.00;0.00;0.00;208001548;449118;833802664;1796472;208414662;609;0;0;53256954624;114972672;0.00;0.00;0.00;208034979;449112;833936364;1796448;208453267;609;0;0;
1561346608;140470538730;6541056;101896960;0.00;0.00;0.00;25551;398035;1694344;1592140;135;33;0;0;6494720;101866240;0.00;0.00;0.00;25370;397915;1693140;1591660;135;33;0;0;6413056;101809920;0.00;0.00;0.00;25051;397695;1690984;1590780;135;33;0;0;6413824;101811200;0.00;0.00;0.00;25054;397700;1691016;1590800;135;33;0;0;6413312;101810176;0.00;0.00;0.00;25052;397696;1690992;1590784;135;33;0;0;6413568;101810688;0.00;0.00;0.00;25053;397698;1691004;1590792;135;33;0;0;47558392832;113783040;0.39;0.00;0.00;185774972;444465;744877748;1777860;303669151;2431;0;0;47488739584;113724160;0.39;0.00;0.00;185502889;444235;743788496;1776940;303507352;2280;0;0;47572334080;114558976;0.39;0.00;0.00;185829430;447496;745107704;1789984;303932375;2377;0;0;47335909376;113626624;0.39;0.00;0.00;184905896;443854;741399000;1775416;302798695;2255;0;0;47412838656;113951488;0.39;0.00;0.00;185206401;445123;742606096;1780492;303179218;2419;0;0;47409358848;113880832;0.39;0.00;0.00;185192808;444847;742550620;1779388;303321265;2369;0;0;
1561346672;140470632592;6560256;101912576;0.00;0.00;0.00;25626;398096;1694888;1592384;135;49;0;0;6492160;101866496;0.00;0.00;0.00;25360;397916;1693104;1591664;135;33;0;0;6413312;101812480;0.00;0.00;0.00;25052;397705;1691028;1590820;135;33;0;0;6414848;101813248;0.00;0.00;0.00;25058;397708;1691064;1590832;135;33;0;0;6413056;101811968;0.00;0.00;0.00;25051;397703;1691016;1590812;134;33;0;0;6413056;101813248;0.00;0.00;0.00;25051;397708;1691036;1590832;135;33;0;0;3565851136;628749824;0.75;0.25;0.00;13929106;2456054;65540640;9824216;55476787;3253585;0;0;3569774848;628753920;0.75;0.25;0.00;13944433;2456070;65602012;9824280;55470009;3253452;0;0;3562151936;629025536;0.75;0.24;0.00;13914656;2457131;65487148;9828524;55416281;3252212;0;0;3558564096;630754816;0.75;0.24;0.00;13900641;2463886;65458108;9855544;55387330;3252937;0;0;3556607488;630524928;0.75;0.24;0.00;13892998;2462988;65423944;9851952;55358657;3252937;0;0;3555948288;630818048;0.75;0.24;0.00;13890423;2464133;65418224;9856532;55334609;3253375;0;0;
1561346736;140470618298;6560256;101918208;0.00;0.00;0.00;25626;398118;1694976;1592472;135;33;0;0;6434560;101821184;0.00;0.00;0.00;25135;397739;1691496;1590956;135;33;0;0;6412800;101806592;0.00;0.00;0.00;25050;397682;1690928;1590728;135;33;0;0;6412800;101806336;0.00;0.00;0.00;25050;397681;1690924;1590724;135;33;0;0;6413056;101805568;0.00;0.00;0.00;25051;397678;1690916;1590712;135;33;0;0;6413056;101805056;0.00;0.00;0.00;25051;397676;1690908;1590704;135;33;0;0;6484224;101904640;0.00;0.00;0.00;25329;398065;1693576;1592260;102;277;0;0;6475776;101919488;0.00;0.00;0.00;25296;398123;1693676;1592492;102;317;0;0;6917632;102320896;0.00;0.00;0.00;27022;399691;1706852;1598764;102;289;0;0;6507520;101932288;0.00;0.00;0.00;25420;398173;1694372;1592692;102;272;0;0;6525440;101939968;0.00;0.00;0.00;25490;398203;1694772;1592812;102;266;0;0;6510592;101922304;0.00;0.00;0.00;25432;398134;1694264;1592536;102;216;0;0;
