# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 11:16:46 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560439007;2195059666;712553216;1926793216;0.74;0.43;0.44;2783411;7526536;41239788;30106144;10569664;13252790;0;0;100864;1582848;0.00;0.00;0.00;394;6183;26308;24732;102;33;0;0;99328;1580288;0.00;0.00;0.00;388;6173;26244;24692;102;33;0;0;99584;1577728;0.00;0.00;0.00;389;6163;26208;24652;102;33;0;0;99584;1577216;0.00;0.00;0.00;389;6161;26200;24644;102;33;0;0;99328;1576448;0.00;0.00;0.00;388;6158;26184;24632;102;33;0;0;116480;1590528;0.00;0.00;0.00;455;6213;26672;24852;135;33;0;0;111616;1583360;0.00;0.00;0.00;436;6185;26484;24740;135;33;0;0;102400;1572096;0.00;0.00;0.00;400;6141;26164;24564;135;33;0;0;110848;1576448;0.00;0.00;0.00;433;6158;26364;24632;135;33;0;0;113408;1575680;0.00;0.00;0.00;443;6155;26392;24620;135;33;0;0;109824;1571328;0.00;0.00;0.00;429;6138;26268;24552;135;33;0;0;
1560439008;2195158676;1308523520;1884277504;0.74;0.18;0.19;5111420;7360459;49887516;29441836;19343016;8964285;0;0;101120;1605376;0.00;0.00;0.00;395;6271;26664;25084;102;33;0;0;101376;1608960;0.00;0.00;0.00;396;6285;26724;25140;102;33;0;0;101376;1609984;0.00;0.00;0.00;396;6289;26740;25156;102;33;0;0;101632;1611520;0.00;0.00;0.00;397;6295;26768;25180;102;33;0;0;101632;1612032;0.00;0.00;0.00;397;6297;26776;25188;102;33;0;0;117248;1627392;0.00;0.00;0.00;458;6357;27260;25428;135;33;0;0;113408;1622784;0.00;0.00;0.00;443;6339;27128;25356;135;33;0;0;102912;1612032;0.00;0.00;0.00;402;6297;26796;25188;135;33;0;0;118016;1626112;0.00;0.00;0.00;461;6352;27252;25408;135;33;0;0;110080;1621248;0.00;0.00;0.00;430;6333;27052;25332;135;33;0;0;114176;1626368;0.00;0.00;0.00;446;6353;27196;25412;135;33;0;0;
1560439009;2195152084;1264115968;1844499968;0.73;0.22;0.24;4937953;7205078;48572124;28820312;18430093;9291261;0;0;100352;1594112;0.00;0.00;0.00;392;6227;26476;24908;102;33;0;0;100608;1598464;0.00;0.00;0.00;393;6244;26548;24976;102;33;0;0;100864;1602304;0.00;0.00;0.00;394;6259;26612;25036;102;33;0;0;100864;1604864;0.00;0.00;0.00;394;6269;26652;25076;102;33;0;0;101120;1608960;0.00;0.00;0.00;395;6285;26720;25140;102;33;0;0;113664;1622528;0.00;0.00;0.00;444;6338;27128;25352;135;33;0;0;111872;1624320;0.00;0.00;0.00;437;6345;27128;25380;135;33;0;0;105728;1623552;0.00;0.00;0.00;413;6342;27020;25368;135;33;0;0;110848;1633024;0.00;0.00;0.00;433;6379;27248;25516;135;33;0;0;109824;1633536;0.00;0.00;0.00;429;6381;27240;25524;135;33;0;0;114432;1642752;0.00;0.00;0.00;447;6417;27456;25668;135;33;0;0;
1560439010;2195236502;1239759104;1810032640;0.73;0.26;0.27;4842809;7070440;47652996;28281760;18116758;9590057;0;0;100608;1595136;0.00;0.00;0.00;393;6231;26496;24924;102;33;0;0;100864;1598208;0.00;0.00;0.00;394;6243;26548;24972;102;33;0;0;100864;1600768;0.00;0.00;0.00;394;6253;26588;25012;102;33;0;0;101632;1610752;0.00;0.00;0.00;397;6292;26756;25168;102;33;0;0;101632;1612800;0.00;0.00;0.00;397;6300;26788;25200;102;33;0;0;120320;1631488;0.00;0.00;0.00;470;6373;27372;25492;135;33;0;0;120832;1633536;0.00;0.00;0.00;472;6381;27412;25524;134;33;0;0;107520;1624064;0.00;0.00;0.00;420;6344;27056;25376;135;33;0;0;136192;1652224;0.00;0.00;0.00;532;6454;27944;25816;134;33;0;0;110848;1626624;0.00;0.00;0.00;433;6354;27148;25416;135;33;0;0;116992;1627392;0.00;0.00;0.00;457;6357;27256;25428;135;33;0;0;
1560439011;2195299780;1320932864;1776934912;0.73;0.24;0.26;5159894;6941152;48404184;27764608;19305370;9191207;0;0;101120;1593088;0.00;0.00;0.00;395;6223;26472;24892;102;33;0;0;100096;1592576;0.00;0.00;0.00;391;6221;26448;24884;102;33;0;0;100352;1594624;0.00;0.00;0.00;392;6229;26484;24916;101;33;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;102;33;0;0;100352;1593344;0.00;0.00;0.00;392;6224;26464;24896;101;33;0;0;112640;1608448;0.00;0.00;0.00;440;6283;26892;25132;135;33;0;0;113152;1608192;0.00;0.00;0.00;442;6282;26896;25128;136;33;0;0;103936;1600000;0.00;0.00;0.00;406;6250;26624;25000;135;33;0;0;114432;1614080;0.00;0.00;0.00;447;6305;27008;25220;136;33;0;0;112640;1618432;0.00;0.00;0.00;440;6322;27048;25288;135;33;0;0;116992;1629952;0.00;0.00;0.00;457;6367;27296;25468;135;33;0;0;
1560439012;2195182366;1170304768;1813070080;0.74;0.24;0.25;4571503;7082305;46615232;28329220;17273219;9292401;0;0;99072;1574400;0.00;0.00;0.00;387;6150;26148;24600;102;33;0;0;98816;1566208;0.00;0.00;0.00;386;6118;26016;24472;102;33;0;0;98304;1558784;0.00;0.00;0.00;384;6089;25892;24356;103;33;0;0;97536;1547776;0.00;0.00;0.00;381;6046;25708;24184;102;33;0;0;97024;1540864;0.00;0.00;0.00;379;6019;25592;24076;103;33;0;0;111104;1546752;0.00;0.00;0.00;434;6042;25904;24168;135;33;0;0;101376;1532672;0.00;0.00;0.00;396;5987;25532;23948;135;33;0;0;99840;1523968;0.00;0.00;0.00;390;5953;25372;23812;135;33;0;0;106496;1524224;0.00;0.00;0.00;416;5954;25480;23816;135;33;0;0;108544;1519872;0.00;0.00;0.00;424;5937;25444;23748;135;33;0;0;107008;1512192;0.00;0.00;0.00;418;5907;25300;23628;135;33;0;0;
1560439013;2195119064;1280498688;1872622080;0.73;0.19;0.20;5001948;7314930;49267512;29259720;18820528;9064241;0;0;100608;1596928;0.00;0.00;0.00;393;6238;26524;24952;102;33;0;0;100864;1601536;0.00;0.00;0.00;394;6256;26600;25024;102;33;0;0;100864;1602048;0.00;0.00;0.00;394;6258;26608;25032;102;33;0;0;101120;1602816;0.00;0.00;0.00;395;6261;26624;25044;102;33;0;0;100864;1602048;0.00;0.00;0.00;394;6258;26608;25032;102;33;0;0;109056;1607424;0.00;0.00;0.00;426;6279;26820;25116;135;33;0;0;107264;1605376;0.00;0.00;0.00;419;6271;26760;25084;135;33;0;0;103936;1600256;0.00;0.00;0.00;406;6251;26628;25004;134;33;0;0;116992;1611776;0.00;0.00;0.00;457;6296;27012;25184;135;33;0;0;111872;1606656;0.00;0.00;0.00;437;6276;26852;25104;135;33;0;0;109824;1604352;0.00;0.00;0.00;429;6267;26784;25068;135;33;0;0;
1560439014;2195131990;1292107776;1850419200;0.73;0.20;0.22;5047296;7228200;49101984;28912800;18756426;9082463;0;0;100608;1597696;0.00;0.00;0.00;393;6241;26536;24964;102;33;0;0;100608;1600256;0.00;0.00;0.00;393;6251;26576;25004;102;33;0;0;100864;1603328;0.00;0.00;0.00;394;6263;26628;25052;102;33;0;0;101120;1607168;0.00;0.00;0.00;395;6278;26692;25112;102;33;0;0;101376;1609216;0.00;0.00;0.00;396;6286;26728;25144;102;33;0;0;114688;1626368;0.00;0.00;0.00;448;6353;27204;25412;135;33;0;0;108032;1623808;0.00;0.00;0.00;422;6343;27060;25372;135;33;0;0;102144;1620224;0.00;0.00;0.00;399;6329;26912;25316;135;33;0;0;110848;1628416;0.00;0.00;0.00;433;6361;27176;25444;135;33;0;0;116224;1634304;0.00;0.00;0.00;454;6384;27352;25536;135;33;0;0;116480;1634560;0.00;0.00;0.00;455;6385;27360;25540;135;33;0;0;
1560439015;2195148160;1216113152;1812535296;0.73;0.27;0.28;4750442;7080216;47322632;28320864;17684504;9639611;0;0;100864;1589760;0.00;0.00;0.00;394;6210;26416;24840;102;33;0;0;100096;1588224;0.00;0.00;0.00;391;6204;26380;24816;102;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;102;33;0;0;100096;1588224;0.00;0.00;0.00;391;6204;26380;24816;102;33;0;0;99840;1585664;0.00;0.00;0.00;390;6194;26336;24776;102;33;0;0;113152;1592064;0.00;0.00;0.00;442;6219;26644;24876;135;33;0;0;104192;1579264;0.00;0.00;0.00;407;6169;26304;24676;135;33;0;0;104704;1577728;0.00;0.00;0.00;409;6163;26288;24652;135;33;0;0;113920;1586432;0.00;0.00;0.00;445;6197;26568;24788;135;33;0;0;110592;1579776;0.00;0.00;0.00;432;6171;26412;24684;135;33;0;0;109568;1578240;0.00;0.00;0.00;428;6165;26372;24660;135;33;0;0;
1560439016;2195226508;1318171904;1787312640;0.73;0.25;0.26;5149109;6981690;48523196;27926760;19332831;9254750;0;0;100864;1594624;0.00;0.00;0.00;394;6229;26492;24916;102;33;0;0;100608;1595648;0.00;0.00;0.00;393;6233;26504;24932;102;33;0;0;100608;1598464;0.00;0.00;0.00;393;6244;26548;24976;102;33;0;0;100864;1604608;0.00;0.00;0.00;394;6268;26648;25072;102;33;0;0;101888;1611520;0.00;0.00;0.00;398;6295;26772;25180;101;33;0;0;114176;1630464;0.00;0.00;0.00;446;6369;27260;25476;135;33;0;0;109568;1632768;0.00;0.00;0.00;428;6378;27224;25512;135;33;0;0;106240;1637888;0.00;0.00;0.00;415;6398;27252;25592;134;33;0;0;116736;1652992;0.00;0.00;0.00;456;6457;27652;25828;135;33;0;0;120320;1664256;0.00;0.00;0.00;470;6501;27884;26004;135;33;0;0;121088;1672960;0.00;0.00;0.00;473;6535;28032;26140;135;33;0;0;
