# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 10:59:09 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560437950;2195113408;2117203200;917914112;0.17;0.38;0.40;8270325;3585602;47423708;14342408;9964160;5772685;0;0;99584;1581056;0.00;0.00;0.00;389;6176;26260;24704;102;33;0;0;99328;1579264;0.00;0.00;0.00;388;6169;26228;24676;102;33;0;0;99328;1577472;0.00;0.00;0.00;388;6162;26200;24648;102;33;0;0;99328;1576192;0.00;0.00;0.00;388;6157;26180;24628;102;33;0;0;99072;1574912;0.00;0.00;0.00;387;6152;26156;24608;102;33;0;0;114432;1584640;0.00;0.00;0.00;447;6190;26548;24760;135;33;0;0;135424;1604352;0.00;0.00;0.00;529;6267;27184;25068;135;33;0;0;112384;1578496;0.00;0.00;0.00;439;6166;26420;24664;135;33;0;0;117248;1579520;0.00;0.00;0.00;458;6170;26512;24680;135;33;0;0;106496;1570048;0.00;0.00;0.00;416;6133;26196;24532;135;33;0;0;122624;1584128;0.00;0.00;0.00;479;6188;26668;24752;135;33;0;0;
1560437951;2195112618;2866795008;9954304;0.00;0.29;0.00;11198418;38884;44949208;155536;11200488;54637;0;0;101632;1592064;0.00;0.00;0.00;397;6219;26464;24876;102;33;0;0;100608;1591040;0.00;0.00;0.00;393;6215;26432;24860;102;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;102;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;102;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;102;33;0;0;113920;1598976;0.00;0.00;0.00;445;6246;26764;24984;135;33;0;0;131328;1619200;0.00;0.00;0.00;513;6325;27352;25300;135;33;0;0;116480;1602560;0.00;0.00;0.00;455;6260;26860;25040;135;33;0;0;113408;1601792;0.00;0.00;0.00;443;6257;26800;25028;135;33;0;0;107264;1594880;0.00;0.00;0.00;419;6230;26596;24920;135;33;0;0;133632;1620480;0.00;0.00;0.00;522;6330;27408;25320;135;33;0;0;
1560437952;2195112140;2859354880;7308800;0.00;0.00;0.00;11169355;28550;44791620;114200;11170823;19647;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;102;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;102;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;102;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;102;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;102;33;0;0;122368;1607168;0.00;0.00;0.00;478;6278;27024;25112;135;33;0;0;129024;1616128;0.00;0.00;0.00;504;6313;27268;25252;135;33;0;0;111616;1598720;0.00;0.00;0.00;436;6245;26724;24980;135;33;0;0;113152;1599744;0.00;0.00;0.00;442;6249;26764;24996;135;33;0;0;128512;1617920;0.00;0.00;0.00;502;6320;27288;25280;135;33;0;0;114432;1602048;0.00;0.00;0.00;447;6258;26820;25032;135;33;0;0;
1560437953;2195117742;2853890560;7248896;0.00;0.00;0.00;11148010;28316;44705304;113264;11149068;19354;0;0;100864;1591552;0.00;0.00;0.00;394;6217;26444;24868;102;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;102;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;102;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;102;33;0;0;106752;1595904;0.00;0.00;0.00;417;6234;26604;24936;135;33;0;0;133120;1620736;0.00;0.00;0.00;520;6331;27404;25324;135;33;0;0;115712;1602048;0.00;0.00;0.00;452;6258;26840;25032;135;33;0;0;110592;1597184;0.00;0.00;0.00;432;6239;26684;24956;135;33;0;0;110592;1600512;0.00;0.00;0.00;432;6252;26736;25008;135;33;0;0;134656;1621248;0.00;0.00;0.00;526;6333;27436;25332;135;33;0;0;
1560437954;2195132212;2878370304;7277824;0.00;0.00;0.00;11243634;28429;45088252;113716;11244885;19463;0;0;100864;1591296;0.00;0.00;0.00;394;6216;26440;24864;102;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;102;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;102;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;102;33;0;0;113408;1600256;0.00;0.00;0.00;443;6251;26776;25004;135;33;0;0;135424;1622528;0.00;0.00;0.00;529;6338;27468;25352;135;33;0;0;112128;1598464;0.00;0.00;0.00;438;6244;26728;24976;135;33;0;0;110080;1597440;0.00;0.00;0.00;430;6240;26680;24960;135;33;0;0;113664;1602048;0.00;0.00;0.00;444;6258;26808;25032;135;33;0;0;127744;1614848;0.00;0.00;0.00;499;6308;27228;25232;135;33;0;0;
1560437955;2195108870;2870163456;7240192;0.00;0.00;0.00;11211576;28282;44959432;113128;11212597;19446;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;102;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;102;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;102;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;102;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;102;33;0;0;111104;1599488;0.00;0.00;0.00;434;6248;26728;24992;135;33;0;0;130304;1618432;0.00;0.00;0.00;509;6322;27324;25288;135;33;0;0;113152;1601280;0.00;0.00;0.00;442;6255;26788;25020;135;33;0;0;114688;1600768;0.00;0.00;0.00;448;6253;26804;25012;135;33;0;0;112640;1602816;0.00;0.00;0.00;440;6261;26804;25044;135;33;0;0;134144;1623040;0.00;0.00;0.00;524;6340;27456;25360;135;33;0;0;
1560437956;2195102388;2864744960;7214336;0.00;0.00;0.00;11190410;28181;44874364;112724;11191445;19377;0;0;103168;1592832;0.00;0.00;0.00;403;6222;26500;24888;102;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;102;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;102;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;102;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;102;33;0;0;108032;1594624;0.00;0.00;0.00;422;6229;26604;24916;135;33;0;0;124416;1611776;0.00;0.00;0.00;486;6296;27128;25184;135;33;0;0;117248;1602048;0.00;0.00;0.00;458;6258;26864;25032;135;33;0;0;111360;1597440;0.00;0.00;0.00;435;6240;26700;24960;135;33;0;0;103680;1593088;0.00;0.00;0.00;405;6223;26512;24892;135;33;0;0;129024;1616128;0.00;0.00;0.00;504;6313;27268;25252;135;33;0;0;
1560437957;2195114074;2885626880;7311872;0.00;0.00;0.00;11271980;28562;45202168;114248;11273285;19534;0;0;101120;1591808;0.00;0.00;0.00;395;6218;26452;24872;102;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;102;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;102;33;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;102;33;0;0;100096;1591552;0.00;0.00;0.00;391;6217;26432;24868;102;33;0;0;109312;1597184;0.00;0.00;0.00;427;6239;26664;24956;135;33;0;0;124928;1614080;0.00;0.00;0.00;488;6305;27172;25220;136;33;0;0;115200;1603072;0.00;0.00;0.00;450;6262;26848;25048;135;33;0;0;107264;1595904;0.00;0.00;0.00;419;6234;26612;24936;135;33;0;0;101888;1593088;0.00;0.00;0.00;398;6223;26484;24892;135;33;0;0;128768;1617408;0.00;0.00;0.00;503;6318;27284;25272;135;33;0;0;
1560437958;2195111564;2859294976;7243776;0.00;0.00;0.00;11169121;28296;44789668;113184;11170745;19636;0;0;101120;1591296;0.00;0.00;0.00;395;6216;26444;24864;102;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;102;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;102;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;102;33;0;0;108032;1595648;0.00;0.00;0.00;422;6233;26620;24932;135;33;0;0;130304;1617920;0.00;0.00;0.00;509;6320;27316;25280;135;33;0;0;119808;1605632;0.00;0.00;0.00;468;6272;26960;25088;135;33;0;0;110848;1598464;0.00;0.00;0.00;433;6244;26708;24976;135;33;0;0;103424;1592832;0.00;0.00;0.00;404;6222;26504;24888;135;33;0;0;138240;1625600;0.00;0.00;0.00;540;6350;27560;25400;135;33;0;0;
1560437959;2195114924;2867759872;7204864;0.00;0.00;0.00;11202187;28144;44921324;112576;11203622;19353;0;0;101120;1591552;0.00;0.00;0.00;395;6217;26448;24868;102;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;102;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;113152;1599232;0.00;0.00;0.00;442;6247;26756;24988;135;33;0;0;129536;1617920;0.00;0.00;0.00;506;6320;27304;25280;135;33;0;0;117248;1602048;0.00;0.00;0.00;458;6258;26864;25032;135;33;0;0;112896;1598976;0.00;0.00;0.00;441;6246;26748;24984;135;33;0;0;100608;1591296;0.00;0.00;0.00;393;6216;26436;24864;135;33;0;0;134144;1621760;0.00;0.00;0.00;524;6335;27436;25340;135;33;0;0;
