# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 10:29:32 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560436173;2195119746;727568128;1695276800;0.56;0.38;0.39;2842063;6622175;37856952;26488700;6456514;10629728;0;0;99584;1581824;0.00;0.00;0.00;389;6179;26272;24716;102;33;0;0;110080;1589504;0.00;0.00;0.00;430;6209;26556;24836;102;33;0;0;109056;1590016;0.00;0.00;0.00;426;6211;26548;24844;102;33;0;0;99328;1579264;0.00;0.00;0.00;388;6169;26228;24676;102;33;0;0;99584;1579776;0.00;0.00;0.00;389;6171;26240;24684;102;33;0;0;119296;1595392;0.00;0.00;0.00;466;6232;26792;24928;135;33;0;0;111104;1587712;0.00;0.00;0.00;434;6202;26544;24808;135;33;0;0;113920;1587968;0.00;0.00;0.00;445;6203;26592;24812;135;33;0;0;113920;1584896;0.00;0.00;0.00;445;6191;26544;24764;135;33;0;0;111616;1580032;0.00;0.00;0.00;436;6172;26432;24688;135;33;0;0;112640;1577728;0.00;0.00;0.00;440;6163;26412;24652;135;33;0;0;
1560436174;2195105234;1247176704;933523200;0.01;0.00;0.02;4871784;3646575;34073436;14586300;4904981;3625157;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;102;33;0;0;114944;1605120;0.00;0.00;0.00;449;6270;26876;25080;102;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;102;33;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;102;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;111872;1601280;0.00;0.00;0.00;437;6255;26768;25020;135;33;0;0;110592;1600768;0.00;0.00;0.00;432;6253;26740;25012;135;33;0;0;114432;1604608;0.00;0.00;0.00;447;6268;26860;25072;135;33;0;0;114432;1604608;0.00;0.00;0.00;447;6268;26860;25072;135;33;0;0;111616;1602048;0.00;0.00;0.00;436;6258;26776;25032;135;33;0;0;112384;1603072;0.00;0.00;0.00;439;6262;26804;25048;135;33;0;0;
1560436175;2195114198;1219581952;912189696;0.01;0.00;0.02;4763992;3563241;33308932;14252964;4795967;3541986;0;0;100864;1590784;0.00;0.00;0.00;394;6214;26432;24856;102;33;0;0;109312;1599232;0.00;0.00;0.00;427;6247;26696;24988;102;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;102;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;102;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;102;33;0;0;107264;1596416;0.00;0.00;0.00;419;6236;26620;24944;135;33;0;0;116992;1605888;0.00;0.00;0.00;457;6273;26920;25092;135;33;0;0;113152;1602048;0.00;0.00;0.00;442;6258;26800;25032;135;33;0;0;111872;1600000;0.00;0.00;0.00;437;6250;26748;25000;135;33;0;0;110080;1598976;0.00;0.00;0.00;430;6246;26704;24984;135;33;0;0;118784;1606144;0.00;0.00;0.00;464;6274;26952;25096;135;33;0;0;
1560436176;2195109244;1204413952;908640256;0.01;0.00;0.02;4704742;3549376;33016472;14197504;4733152;3527996;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;102;33;0;0;116480;1606656;0.00;0.00;0.00;455;6276;26924;25104;102;33;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;102;33;0;0;100096;1592064;0.00;0.00;0.00;391;6219;26440;24876;102;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;102;33;0;0;110080;1601024;0.00;0.00;0.00;430;6254;26736;25016;135;33;0;0;111104;1602560;0.00;0.00;0.00;434;6260;26776;25040;135;33;0;0;119040;1609984;0.00;0.00;0.00;465;6289;27016;25156;135;33;0;0;113152;1604864;0.00;0.00;0.00;442;6269;26844;25076;135;33;0;0;112384;1604096;0.00;0.00;0.00;439;6266;26820;25064;135;33;0;0;114944;1607168;0.00;0.00;0.00;449;6278;26908;25112;135;33;0;0;
1560436177;2195105484;1203310336;906469888;0.01;0.00;0.02;4700431;3540898;32965316;14163592;4727264;3519631;0;0;100352;1591552;0.00;0.00;0.00;392;6217;26436;24868;102;33;0;0;117760;1607936;0.00;0.00;0.00;460;6281;26964;25124;102;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;102;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;102;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;102;33;0;0;114688;1604864;0.00;0.00;0.00;448;6269;26868;25076;135;33;0;0;115712;1605632;0.00;0.00;0.00;452;6272;26896;25088;135;33;0;0;119040;1606912;0.00;0.00;0.00;465;6277;26968;25108;135;33;0;0;115456;1604608;0.00;0.00;0.00;451;6268;26876;25072;135;33;0;0;118528;1608192;0.00;0.00;0.00;463;6282;26980;25128;135;33;0;0;118784;1607680;0.00;0.00;0.00;464;6280;26976;25120;135;33;0;0;
1560436178;2195131020;1201594624;909673728;0.01;0.00;0.02;4693729;3553413;32988568;14213652;4720844;3531859;0;0;101632;1592576;0.00;0.00;0.00;397;6221;26472;24884;102;33;0;0;112896;1602560;0.00;0.00;0.00;441;6260;26804;25040;102;33;0;0;100864;1591040;0.00;0.00;0.00;394;6215;26436;24860;102;33;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;102;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;102;33;0;0;114944;1603840;0.00;0.00;0.00;449;6265;26856;25060;135;33;0;0;112128;1601280;0.00;0.00;0.00;438;6255;26772;25020;135;33;0;0;110848;1600000;0.00;0.00;0.00;433;6250;26732;25000;135;33;0;0;112384;1601536;0.00;0.00;0.00;439;6256;26780;25024;135;33;0;0;120064;1608960;0.00;0.00;0.00;469;6285;27016;25140;135;33;0;0;110848;1599232;0.00;0.00;0.00;433;6247;26720;24988;135;33;0;0;
1560436179;2195107192;1211513600;913428992;0.01;0.00;0.02;4732475;3568082;33202228;14272328;4762582;3547060;0;0;100864;1590016;0.00;0.00;0.00;394;6211;26420;24844;102;33;0;0;117248;1605888;0.00;0.00;0.00;458;6273;26924;25092;102;33;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;102;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;102;33;0;0;100096;1588992;0.00;0.00;0.00;391;6207;26392;24828;102;33;0;0;112896;1600512;0.00;0.00;0.00;441;6252;26772;25008;135;33;0;0;115712;1603072;0.00;0.00;0.00;452;6262;26856;25048;135;33;0;0;111872;1598464;0.00;0.00;0.00;437;6244;26724;24976;135;33;0;0;116480;1602560;0.00;0.00;0.00;455;6260;26860;25040;135;33;0;0;112640;1598720;0.00;0.00;0.00;440;6245;26740;24980;135;33;0;0;112896;1598208;0.00;0.00;0.00;441;6243;26736;24972;135;33;0;0;
1560436180;2195109466;1198456576;900195072;0.01;0.00;0.02;4681471;3516387;32791432;14065548;4705799;3494631;0;0;101888;1593344;0.00;0.00;0.00;398;6224;26488;24896;102;33;0;0;111872;1601792;0.00;0.00;0.00;437;6257;26776;25028;102;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;102;33;0;0;100096;1592320;0.00;0.00;0.00;391;6220;26444;24880;102;33;0;0;111872;1603584;0.00;0.00;0.00;437;6264;26804;25056;135;33;0;0;113664;1605888;0.00;0.00;0.00;444;6273;26868;25092;135;33;0;0;110592;1603072;0.00;0.00;0.00;432;6262;26776;25048;135;33;0;0;118272;1610752;0.00;0.00;0.00;462;6292;27016;25168;135;33;0;0;114432;1606912;0.00;0.00;0.00;447;6277;26896;25108;135;33;0;0;113408;1607168;0.00;0.00;0.00;443;6278;26884;25112;135;33;0;0;
1560436181;2195106774;1208312832;919089408;0.01;0.00;0.02;4719972;3590193;33240660;14360772;4746825;3567918;0;0;101120;1591296;0.00;0.00;0.00;395;6216;26444;24864;102;33;0;0;115712;1606656;0.00;0.00;0.00;452;6276;26912;25104;102;33;0;0;100352;1592832;0.00;0.00;0.00;392;6222;26456;24888;102;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;102;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;102;33;0;0;110592;1600512;0.00;0.00;0.00;432;6252;26736;25008;135;33;0;0;108288;1598208;0.00;0.00;0.00;423;6243;26664;24972;135;33;0;0;112896;1601536;0.00;0.00;0.00;441;6256;26788;25024;135;33;0;0;117504;1606400;0.00;0.00;0.00;459;6275;26936;25100;135;33;0;0;110336;1598720;0.00;0.00;0.00;431;6245;26704;24980;135;33;0;0;113152;1601024;0.00;0.00;0.00;442;6254;26784;25016;135;33;0;0;
1560436182;2195106748;1194539520;911292416;0.00;0.00;0.02;4666170;3559736;32903624;14238944;4689551;3537417;0;0;100864;1591040;0.00;0.00;0.00;394;6215;26436;24860;102;33;0;0;110848;1599488;0.00;0.00;0.00;433;6248;26724;24992;102;33;0;0;100096;1589504;0.00;0.00;0.00;391;6209;26400;24836;102;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;102;33;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;102;33;0;0;113408;1603072;0.00;0.00;0.00;443;6262;26820;25048;135;33;0;0;114944;1604864;0.00;0.00;0.00;449;6269;26872;25076;135;33;0;0;111104;1601536;0.00;0.00;0.00;434;6256;26760;25024;135;33;0;0;110848;1601280;0.00;0.00;0.00;433;6255;26752;25020;135;33;0;0;112896;1604096;0.00;0.00;0.00;441;6266;26828;25064;135;33;0;0;115456;1606656;0.00;0.00;0.00;451;6276;26908;25104;135;33;0;0;
