# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 11:21:29 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560439290;2195176702;891140864;2011916288;0.73;0.26;0.27;3481019;7859048;45360268;31436192;12941491;10630938;0;0;101376;1590272;0.00;0.00;0.00;396;6212;26432;24848;102;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;102;33;0;0;100352;1593344;0.00;0.00;0.00;392;6224;26464;24896;102;33;0;0;100608;1594624;0.00;0.00;0.00;393;6229;26488;24916;102;33;0;0;100096;1595648;0.00;0.00;0.00;391;6233;26496;24932;102;33;0;0;103168;1597952;0.00;0.00;0.00;403;6242;26580;24968;135;33;0;0;111616;1606400;0.00;0.00;0.00;436;6275;26844;25100;135;33;0;0;115712;1612544;0.00;0.00;0.00;452;6299;27004;25196;135;33;0;0;101376;1599488;0.00;0.00;0.00;396;6248;26576;24992;135;33;0;0;112896;1612288;0.00;0.00;0.00;441;6298;26956;25192;135;33;0;0;112384;1612544;0.00;0.00;0.00;439;6299;26952;25196;134;33;0;0;
1560439291;2195182724;1172858368;1950310912;0.73;0.09;0.10;4581478;7618402;48799520;30473608;16825624;8373879;0;0;101888;1595136;0.00;0.00;0.00;398;6231;26516;24924;102;33;0;0;100608;1597696;0.00;0.00;0.00;393;6241;26536;24964;102;33;0;0;100608;1598464;0.00;0.00;0.00;393;6244;26548;24976;101;33;0;0;100608;1600000;0.00;0.00;0.00;393;6250;26572;25000;102;33;0;0;101376;1601536;0.00;0.00;0.00;396;6256;26608;25024;102;33;0;0;103168;1604864;0.00;0.00;0.00;403;6269;26688;25076;135;33;0;0;113664;1617664;0.00;0.00;0.00;444;6319;27052;25276;135;33;0;0;114176;1619712;0.00;0.00;0.00;446;6327;27092;25308;135;33;0;0;103424;1612032;0.00;0.00;0.00;404;6297;26804;25188;135;33;0;0;120064;1627904;0.00;0.00;0.00;469;6359;27312;25436;135;33;0;0;115712;1626624;0.00;0.00;0.00;452;6354;27224;25416;136;33;0;0;
1560439292;2195242114;1170147584;1949730560;0.73;0.09;0.10;4570889;7616135;48748096;30464540;16729522;8373546;0;0;102912;1594624;0.00;0.00;0.00;402;6229;26524;24916;101;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;102;33;0;0;100096;1592320;0.00;0.00;0.00;391;6220;26444;24880;102;33;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;102;33;0;0;100352;1593088;0.00;0.00;0.00;392;6223;26460;24892;102;33;0;0;100864;1593600;0.00;0.00;0.00;394;6225;26476;24900;135;33;0;0;121600;1613056;0.00;0.00;0.00;475;6301;27104;25204;135;33;0;0;116480;1608192;0.00;0.00;0.00;455;6282;26948;25128;135;33;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;134;33;0;0;112128;1602560;0.00;0.00;0.00;438;6260;26792;25040;135;33;0;0;114688;1605888;0.00;0.00;0.00;448;6273;26884;25092;135;33;0;0;
1560439293;2195371706;1171563264;1947875840;0.72;0.09;0.10;4576419;7608890;48741236;30435560;16614214;8358861;0;0;102400;1590528;0.00;0.00;0.00;400;6213;26452;24852;103;33;0;0;100096;1587456;0.00;0.00;0.00;391;6201;26368;24804;102;33;0;0;100352;1587456;0.00;0.00;0.00;392;6201;26372;24804;102;33;0;0;99840;1585920;0.00;0.00;0.00;390;6195;26340;24780;102;33;0;0;99840;1583360;0.00;0.00;0.00;390;6185;26300;24740;102;33;0;0;102656;1583360;0.00;0.00;0.00;401;6185;26344;24740;135;33;0;0;116480;1595392;0.00;0.00;0.00;455;6232;26748;24928;135;33;0;0;115712;1592832;0.00;0.00;0.00;452;6222;26696;24888;135;33;0;0;100352;1577472;0.00;0.00;0.00;392;6162;26216;24648;135;33;0;0;114176;1589504;0.00;0.00;0.00;446;6209;26620;24836;135;33;0;0;110848;1585920;0.00;0.00;0.00;433;6195;26512;24780;135;33;0;0;
1560439294;2195267676;1172426496;1951000064;0.73;0.09;0.10;4579791;7621094;48803540;30484376;16659861;8367476;0;0;100864;1590784;0.00;0.00;0.00;394;6214;26432;24856;102;33;0;0;100352;1592576;0.00;0.00;0.00;392;6221;26452;24884;102;33;0;0;100352;1592832;0.00;0.00;0.00;392;6222;26456;24888;102;33;0;0;100352;1593344;0.00;0.00;0.00;392;6224;26464;24896;102;33;0;0;100352;1595136;0.00;0.00;0.00;392;6231;26492;24924;102;33;0;0;102656;1596928;0.00;0.00;0.00;401;6238;26556;24952;135;33;0;0;115200;1610752;0.00;0.00;0.00;450;6292;26968;25168;135;33;0;0;110592;1607424;0.00;0.00;0.00;432;6279;26844;25116;135;33;0;0;102912;1602560;0.00;0.00;0.00;402;6260;26648;25040;135;33;0;0;111616;1611520;0.00;0.00;0.00;436;6295;26924;25180;135;33;0;0;112384;1609728;0.00;0.00;0.00;439;6288;26908;25152;135;33;0;0;
1560439295;2195216252;1184085248;1950039040;0.72;0.09;0.10;4625333;7617340;48970692;30469360;16698265;8354594;0;0;101120;1594624;0.00;0.00;0.00;395;6229;26496;24916;102;33;0;0;100608;1594112;0.00;0.00;0.00;393;6227;26480;24908;102;33;0;0;100352;1594880;0.00;0.00;0.00;392;6230;26488;24920;102;33;0;0;100608;1596416;0.00;0.00;0.00;393;6236;26516;24944;102;33;0;0;100608;1597184;0.00;0.00;0.00;393;6239;26528;24956;101;33;0;0;100608;1597440;0.00;0.00;0.00;393;6240;26532;24960;135;33;0;0;110848;1607936;0.00;0.00;0.00;433;6281;26856;25124;135;33;0;0;115456;1613056;0.00;0.00;0.00;451;6301;27008;25204;135;33;0;0;111872;1608704;0.00;0.00;0.00;437;6284;26884;25136;135;33;0;0;111104;1609472;0.00;0.00;0.00;434;6287;26884;25148;135;33;0;0;115968;1616384;0.00;0.00;0.00;453;6314;27068;25256;135;33;0;0;
1560439296;2195255220;1180184064;1947383808;0.72;0.09;0.10;4610094;7606968;48868248;30427872;16655187;8350830;0;0;101888;1592832;0.00;0.00;0.00;398;6222;26480;24888;102;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;102;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;102;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;102;33;0;0;100096;1587968;0.00;0.00;0.00;391;6203;26376;24812;103;33;0;0;100352;1587200;0.00;0.00;0.00;392;6200;26368;24800;135;33;0;0;113408;1599232;0.00;0.00;0.00;443;6247;26760;24988;135;33;0;0;111872;1596672;0.00;0.00;0.00;437;6237;26696;24948;135;33;0;0;100352;1583616;0.00;0.00;0.00;392;6186;26312;24744;135;33;0;0;113408;1593088;0.00;0.00;0.00;443;6223;26664;24892;135;33;0;0;107776;1585664;0.00;0.00;0.00;421;6194;26460;24776;135;33;0;0;
1560439297;2195135176;1180679936;1946748928;0.72;0.09;0.10;4612031;7604488;48866076;30417952;16564260;8341218;0;0;102144;1588992;0.00;0.00;0.00;399;6207;26424;24828;102;33;0;0;99840;1586176;0.00;0.00;0.00;390;6196;26344;24784;102;33;0;0;99840;1584384;0.00;0.00;0.00;390;6189;26316;24756;102;33;0;0;99840;1583360;0.00;0.00;0.00;390;6185;26300;24740;102;33;0;0;99584;1583872;0.00;0.00;0.00;389;6187;26304;24748;102;33;0;0;100608;1584128;0.00;0.00;0.00;393;6188;26324;24752;135;33;0;0;116992;1597440;0.00;0.00;0.00;457;6240;26788;24960;135;33;0;0;113920;1594880;0.00;0.00;0.00;445;6230;26700;24920;135;33;0;0;99840;1583104;0.00;0.00;0.00;390;6184;26296;24736;135;33;0;0;110080;1593344;0.00;0.00;0.00;430;6224;26616;24896;135;33;0;0;113152;1597184;0.00;0.00;0.00;442;6239;26724;24956;135;33;0;0;
1560439298;2195094034;1182047232;1948356096;0.72;0.09;0.10;4617372;7610766;48912552;30443064;16618969;8351743;0;0;101120;1590272;0.00;0.00;0.00;395;6212;26428;24848;102;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;102;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;102;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;102;33;0;0;100096;1588736;0.00;0.00;0.00;391;6206;26388;24824;102;33;0;0;99840;1587712;0.00;0.00;0.00;390;6202;26368;24808;135;33;0;0;111616;1599488;0.00;0.00;0.00;436;6248;26736;24992;135;33;0;0;114944;1602304;0.00;0.00;0.00;449;6259;26832;25036;135;33;0;0;101888;1591040;0.00;0.00;0.00;398;6215;26452;24860;135;33;0;0;116736;1607680;0.00;0.00;0.00;456;6280;26944;25120;135;33;0;0;113152;1606400;0.00;0.00;0.00;442;6275;26868;25100;135;33;0;0;
1560439299;2195281432;1191843840;1945794048;0.72;0.09;0.10;4655640;7600758;49025592;30403032;16642720;8328779;0;0;101888;1597952;0.00;0.00;0.00;398;6242;26560;24968;102;33;0;0;101120;1598464;0.00;0.00;0.00;395;6244;26556;24976;102;33;0;0;100864;1601024;0.00;0.00;0.00;394;6254;26592;25016;102;33;0;0;101376;1607936;0.00;0.00;0.00;396;6281;26708;25124;102;33;0;0;101632;1611776;0.00;0.00;0.00;397;6296;26772;25184;102;33;0;0;102656;1617408;0.00;0.00;0.00;401;6318;26876;25272;135;33;0;0;113920;1630720;0.00;0.00;0.00;445;6370;27260;25480;134;33;0;0;116224;1635840;0.00;0.00;0.00;454;6390;27376;25560;135;33;0;0;109312;1630720;0.00;0.00;0.00;427;6370;27188;25480;135;33;0;0;115968;1638144;0.00;0.00;0.00;453;6399;27408;25596;134;33;0;0;116480;1640192;0.00;0.00;0.00;455;6407;27448;25628;135;33;0;0;
