# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 09:32:18 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560432739;2195135682;954728960;1725676800;0.48;0.36;0.37;3729410;6740925;41881340;26963700;7216162;10577747;0;0;99328;1580288;0.00;0.00;0.00;388;6173;26244;24692;102;33;0;0;198656;1575936;0.00;0.00;0.00;776;6156;27728;24624;102;33;0;0;198144;1574912;0.00;0.00;0.00;774;6152;27704;24608;102;33;0;0;198144;1572352;0.00;0.00;0.00;774;6142;27664;24568;102;33;0;0;198144;1571584;0.00;0.00;0.00;774;6139;27652;24556;102;33;0;0;194560;1570048;0.00;0.00;0.00;760;6133;27572;24532;135;33;0;0;192512;1568512;0.00;0.00;0.00;752;6127;27516;24508;135;33;0;0;190464;1565952;0.00;0.00;0.00;744;6117;27444;24468;135;33;0;0;191232;1564672;0.00;0.00;0.00;747;6112;27436;24448;135;33;0;0;193536;1562368;0.00;0.00;0.00;756;6103;27436;24412;135;33;0;0;192000;1561600;0.00;0.00;0.00;750;6100;27400;24400;135;33;0;0;
1560432740;2195105276;1907604736;952602112;0.00;0.00;0.02;7451581;3721102;44690732;14884408;7418876;3688529;0;0;100352;1590272;0.00;0.00;0.00;392;6212;26416;24848;102;33;0;0;200192;1590784;0.00;0.00;0.00;782;6214;27984;24856;102;33;0;0;200192;1590784;0.00;0.00;0.00;782;6214;27984;24856;102;33;0;0;200192;1590528;0.00;0.00;0.00;782;6213;27980;24852;102;33;0;0;200192;1591296;0.00;0.00;0.00;782;6216;27992;24864;102;33;0;0;194048;1591552;0.00;0.00;0.00;758;6217;27900;24868;135;33;0;0;197888;1592064;0.00;0.00;0.00;773;6219;27968;24876;135;33;0;0;196352;1593600;0.00;0.00;0.00;767;6225;27968;24900;135;33;0;0;196608;1591552;0.00;0.00;0.00;768;6217;27940;24868;135;33;0;0;197120;1591552;0.00;0.00;0.00;770;6217;27948;24868;135;33;0;0;195328;1591552;0.00;0.00;0.00;763;6217;27920;24868;135;33;0;0;
1560432741;2195099926;1898401536;943688192;0.00;0.00;0.02;7415631;3686282;44407652;14745128;7379488;3653572;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;102;33;0;0;200704;1591808;0.00;0.00;0.00;784;6218;28008;24872;102;33;0;0;200704;1592320;0.00;0.00;0.00;784;6220;28016;24880;102;33;0;0;200704;1592320;0.00;0.00;0.00;784;6220;28016;24880;102;33;0;0;200704;1592832;0.00;0.00;0.00;784;6222;28024;24888;102;33;0;0;195840;1592320;0.00;0.00;0.00;765;6220;27940;24880;135;33;0;0;195840;1592832;0.00;0.00;0.00;765;6222;27948;24888;135;33;0;0;194560;1592832;0.00;0.00;0.00;760;6222;27928;24888;135;33;0;0;195584;1592320;0.00;0.00;0.00;764;6220;27936;24880;135;33;0;0;196608;1592320;0.00;0.00;0.00;768;6220;27952;24880;135;33;0;0;194304;1592320;0.00;0.00;0.00;759;6220;27916;24880;135;33;0;0;
1560432742;2195101314;1909732352;953229824;0.00;0.00;0.02;7459892;3723554;44733784;14894216;7422009;3688930;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;102;33;0;0;200192;1591040;0.00;0.00;0.00;782;6215;27988;24860;102;33;0;0;200704;1590528;0.00;0.00;0.00;784;6213;27988;24852;102;33;0;0;200192;1590528;0.00;0.00;0.00;782;6213;27980;24852;102;33;0;0;200192;1590272;0.00;0.00;0.00;782;6212;27976;24848;102;33;0;0;196352;1590784;0.00;0.00;0.00;767;6214;27924;24856;135;33;0;0;194816;1591040;0.00;0.00;0.00;761;6215;27904;24860;135;33;0;0;190720;1590016;0.00;0.00;0.00;745;6211;27824;24844;135;33;0;0;194048;1590784;0.00;0.00;0.00;758;6214;27888;24856;135;33;0;0;194816;1591040;0.00;0.00;0.00;761;6215;27904;24860;135;33;0;0;197632;1591808;0.00;0.00;0.00;772;6218;27960;24872;135;33;0;0;
1560432743;2195107110;1904884224;947423744;0.00;0.00;0.02;7440954;3700874;44567312;14803496;7403233;3665607;0;0;100352;1590016;0.00;0.00;0.00;392;6211;26412;24844;102;33;0;0;200192;1590272;0.00;0.00;0.00;782;6212;27976;24848;102;33;0;0;200192;1590272;0.00;0.00;0.00;782;6212;27976;24848;102;33;0;0;200704;1590784;0.00;0.00;0.00;784;6214;27992;24856;102;33;0;0;200704;1591040;0.00;0.00;0.00;784;6215;27996;24860;102;33;0;0;194560;1590784;0.00;0.00;0.00;760;6214;27896;24856;135;33;0;0;194816;1591808;0.00;0.00;0.00;761;6218;27916;24872;135;33;0;0;197120;1591808;0.00;0.00;0.00;770;6218;27952;24872;135;33;0;0;194560;1591040;0.00;0.00;0.00;760;6215;27900;24860;135;33;0;0;193024;1591296;0.00;0.00;0.00;754;6216;27880;24864;135;33;0;0;196608;1590784;0.00;0.00;0.00;768;6214;27928;24856;135;33;0;0;
1560432744;2195106758;1903935488;948716544;0.00;0.00;0.02;7437248;3705924;44572688;14823696;7397239;3671116;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;102;33;0;0;200448;1590784;0.00;0.00;0.00;783;6214;27988;24856;102;33;0;0;200192;1590784;0.00;0.00;0.00;782;6214;27984;24856;102;33;0;0;200192;1590528;0.00;0.00;0.00;782;6213;27980;24852;102;33;0;0;200448;1590784;0.00;0.00;0.00;783;6214;27988;24856;102;33;0;0;195072;1591296;0.00;0.00;0.00;762;6216;27912;24864;135;33;0;0;195328;1591040;0.00;0.00;0.00;763;6215;27912;24860;135;33;0;0;191744;1590272;0.00;0.00;0.00;749;6212;27844;24848;135;33;0;0;195584;1590272;0.00;0.00;0.00;764;6212;27904;24848;135;33;0;0;195584;1591296;0.00;0.00;0.00;764;6216;27920;24864;135;33;0;0;196096;1591296;0.00;0.00;0.00;766;6216;27928;24864;135;33;0;0;
1560432745;2195102928;1912567808;952533248;0.00;0.00;0.02;7470968;3720833;44767204;14883332;7435175;3687985;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;102;33;0;0;200448;1592064;0.00;0.00;0.00;783;6219;28008;24876;102;33;0;0;200704;1592320;0.00;0.00;0.00;784;6220;28016;24880;102;33;0;0;200704;1592064;0.00;0.00;0.00;784;6219;28012;24876;102;33;0;0;200704;1591808;0.00;0.00;0.00;784;6218;28008;24872;102;33;0;0;194048;1592064;0.00;0.00;0.00;758;6219;27908;24876;135;33;0;0;195328;1592064;0.00;0.00;0.00;763;6219;27928;24876;135;33;0;0;194816;1592064;0.00;0.00;0.00;761;6219;27920;24876;135;33;0;0;194560;1592576;0.00;0.00;0.00;760;6221;27924;24884;135;33;0;0;195584;1592576;0.00;0.00;0.00;764;6221;27940;24884;135;33;0;0;191232;1591808;0.00;0.00;0.00;747;6218;27860;24872;135;33;0;0;
1560432746;2195089896;1898118144;944125184;0.00;0.00;0.02;7414524;3687989;44410052;14751956;7375715;3655441;0;0;100096;1590272;0.00;0.00;0.00;391;6212;26412;24848;102;33;0;0;200704;1590784;0.00;0.00;0.00;784;6214;27992;24856;102;33;0;0;200192;1590784;0.00;0.00;0.00;782;6214;27984;24856;102;33;0;0;200192;1590784;0.00;0.00;0.00;782;6214;27984;24856;102;33;0;0;200192;1591040;0.00;0.00;0.00;782;6215;27988;24860;102;33;0;0;195072;1591296;0.00;0.00;0.00;762;6216;27912;24864;135;33;0;0;194048;1591296;0.00;0.00;0.00;758;6216;27896;24864;135;33;0;0;195840;1590784;0.00;0.00;0.00;765;6214;27916;24856;135;33;0;0;195584;1591808;0.00;0.00;0.00;764;6218;27928;24872;135;33;0;0;192000;1591040;0.00;0.00;0.00;750;6215;27860;24860;135;33;0;0;195328;1592064;0.00;0.00;0.00;763;6219;27928;24876;136;33;0;0;
1560432747;2195129020;1910434816;952311552;0.00;0.00;0.02;7462636;3719967;44730412;14879868;7425162;3685999;0;0;100352;1591040;0.00;0.00;0.00;392;6215;26428;24860;102;33;0;0;200192;1590784;0.00;0.00;0.00;782;6214;27984;24856;102;33;0;0;200704;1590528;0.00;0.00;0.00;784;6213;27988;24852;102;33;0;0;200192;1590528;0.00;0.00;0.00;782;6213;27980;24852;102;33;0;0;200192;1590528;0.00;0.00;0.00;782;6213;27980;24852;102;33;0;0;193536;1590784;0.00;0.00;0.00;756;6214;27880;24856;135;33;0;0;198400;1592832;0.00;0.00;0.00;775;6222;27988;24888;135;33;0;0;193792;1591040;0.00;0.00;0.00;757;6215;27888;24860;135;33;0;0;195840;1592064;0.00;0.00;0.00;765;6219;27936;24876;135;33;0;0;194048;1591808;0.00;0.00;0.00;758;6218;27904;24872;135;33;0;0;195584;1591040;0.00;0.00;0.00;764;6215;27916;24860;135;33;0;0;
1560432748;2195105656;1905570816;947091456;0.00;0.00;0.02;7443636;3699576;44572848;14798304;7406123;3666604;0;0;100096;1590528;0.00;0.00;0.00;391;6213;26416;24852;102;33;0;0;200192;1590784;0.00;0.00;0.00;782;6214;27984;24856;102;33;0;0;200192;1590784;0.00;0.00;0.00;782;6214;27984;24856;102;33;0;0;200704;1590784;0.00;0.00;0.00;784;6214;27992;24856;102;33;0;0;200704;1590784;0.00;0.00;0.00;784;6214;27992;24856;102;33;0;0;196608;1591808;0.00;0.00;0.00;768;6218;27944;24872;135;33;0;0;196352;1591040;0.00;0.00;0.00;767;6215;27928;24860;135;33;0;0;195584;1591808;0.00;0.00;0.00;764;6218;27928;24872;135;33;0;0;195072;1592320;0.00;0.00;0.00;762;6220;27928;24880;135;33;0;0;197376;1592320;0.00;0.00;0.00;771;6220;27964;24880;135;33;0;0;196096;1592064;0.00;0.00;0.00;766;6219;27940;24876;135;33;0;0;
