# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 10:04:46 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560434687;2195094940;1396709120;862168064;0.56;0.40;0.42;5455895;3367844;35294956;13471376;12344012;5649425;0;0;112896;1592320;0.00;0.00;0.00;441;6220;26644;24880;102;33;0;0;109056;1585664;0.00;0.00;0.00;426;6194;26480;24776;102;33;0;0;99072;1573632;0.00;0.00;0.00;387;6147;26136;24588;102;33;0;0;98816;1569024;0.00;0.00;0.00;386;6129;26060;24516;102;33;0;0;98560;1565952;0.00;0.00;0.00;385;6117;26008;24468;102;33;0;0;112384;1576960;0.00;0.00;0.00;439;6160;26396;24640;135;33;0;0;102144;1565440;0.00;0.00;0.00;399;6115;26056;24460;135;33;0;0;112896;1574400;0.00;0.00;0.00;441;6150;26364;24600;135;33;0;0;109824;1568256;0.00;0.00;0.00;429;6126;26220;24504;135;33;0;0;109568;1567744;0.00;0.00;0.00;428;6124;26208;24496;135;33;0;0;100864;1555968;0.00;0.00;0.00;394;6078;25888;24312;134;33;0;0;
1560434688;2195083254;1323572992;26289152;0.41;0.30;0.98;5170207;102692;21091596;410768;8800646;147317;0;0;113408;1603840;0.00;0.00;0.00;443;6265;26832;25060;102;33;0;0;111360;1602048;0.00;0.00;0.00;435;6258;26772;25032;102;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;102;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;102;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;102;33;0;0;114176;1605120;0.00;0.00;0.00;446;6270;26864;25080;135;33;0;0;113408;1603584;0.00;0.00;0.00;443;6264;26828;25056;135;33;0;0;114432;1605888;0.00;0.00;0.00;447;6273;26880;25092;135;33;0;0;112128;1603072;0.00;0.00;0.00;438;6262;26800;25048;135;33;0;0;116480;1607424;0.00;0.00;0.00;455;6279;26936;25116;135;33;0;0;109056;1600768;0.00;0.00;0.00;426;6253;26716;25012;135;33;0;0;
1560434689;2195133848;1616522752;16209408;0.40;0.27;0.00;6314542;63318;25511440;253272;10576736;86853;0;0;112896;1603328;0.00;0.00;0.00;441;6263;26816;25052;102;33;0;0;112896;1603328;0.00;0.00;0.00;441;6263;26816;25052;102;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;102;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;102;33;0;0;100096;1591808;0.00;0.00;0.00;391;6218;26436;24872;102;33;0;0;111104;1601536;0.00;0.00;0.00;434;6256;26760;25024;135;33;0;0;102912;1593600;0.00;0.00;0.00;402;6225;26508;24900;135;33;0;0;112128;1603072;0.00;0.00;0.00;438;6262;26800;25048;135;33;0;0;112128;1602816;0.00;0.00;0.00;438;6261;26796;25044;135;33;0;0;116224;1605632;0.00;0.00;0.00;454;6272;26904;25088;135;33;0;0;111616;1602304;0.00;0.00;0.00;436;6259;26780;25036;135;33;0;0;
1560434690;2195108310;1902423552;13516032;0.42;0.24;0.00;7431342;52797;29936556;211188;12761610;69671;0;0;113152;1603328;0.00;0.00;0.00;442;6263;26820;25052;102;33;0;0;109312;1599744;0.00;0.00;0.00;427;6249;26704;24996;102;33;0;0;100096;1591296;0.00;0.00;0.00;391;6216;26428;24864;102;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;102;33;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;102;33;0;0;114432;1603584;0.00;0.00;0.00;447;6264;26844;25056;135;33;0;0;103168;1593344;0.00;0.00;0.00;403;6224;26508;24896;135;33;0;0;110848;1600768;0.00;0.00;0.00;433;6253;26744;25012;135;33;0;0;111360;1601792;0.00;0.00;0.00;435;6257;26768;25028;135;33;0;0;115968;1605632;0.00;0.00;0.00;453;6272;26900;25088;135;33;0;0;107520;1597440;0.00;0.00;0.00;420;6240;26640;24960;135;33;0;0;
1560434691;2195109318;2149890304;11901440;0.44;0.18;0.00;8398009;46490;33777996;185960;15034901;56952;0;0;113152;1602560;0.00;0.00;0.00;442;6260;26808;25040;135;33;0;0;113152;1603072;0.00;0.00;0.00;442;6262;26816;25048;135;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;135;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;135;33;0;0;100352;1592320;0.00;0.00;0.00;392;6220;26448;24880;135;33;0;0;109568;1602304;0.00;0.00;0.00;428;6259;26748;25036;101;33;0;0;103680;1597952;0.00;0.00;0.00;405;6242;26588;24968;102;33;0;0;110080;1604352;0.00;0.00;0.00;430;6267;26788;25068;101;33;0;0;115456;1609728;0.00;0.00;0.00;451;6288;26956;25152;102;33;0;0;114432;1609216;0.00;0.00;0.00;447;6286;26932;25144;102;33;0;0;107008;1602048;0.00;0.00;0.00;418;6258;26704;25032;102;33;0;0;
1560434692;2195110086;2299560448;9900032;0.46;0.18;0.00;8982658;38672;36085320;154688;16738056;47198;0;0;112128;1599744;0.00;0.00;0.00;438;6249;26748;24996;135;33;0;0;112896;1600256;0.00;0.00;0.00;441;6251;26768;25004;135;33;0;0;99840;1586688;0.00;0.00;0.00;390;6198;26352;24792;135;33;0;0;100096;1586176;0.00;0.00;0.00;391;6196;26348;24784;135;33;0;0;99840;1585408;0.00;0.00;0.00;390;6193;26332;24772;135;33;0;0;109568;1591552;0.00;0.00;0.00;428;6217;26580;24868;102;33;0;0;101120;1582080;0.00;0.00;0.00;395;6180;26300;24720;102;33;0;0;111360;1591040;0.00;0.00;0.00;435;6215;26600;24860;102;33;0;0;113408;1591552;0.00;0.00;0.00;443;6217;26640;24868;102;33;0;0;112640;1590016;0.00;0.00;0.00;440;6211;26604;24844;102;33;0;0;109568;1586176;0.00;0.00;0.00;428;6196;26496;24784;102;33;0;0;
1560434693;2195143076;2442218240;9334016;0.48;0.16;0.00;9539915;36461;38305504;145844;18437505;43329;0;0;106752;1595904;0.00;0.00;0.00;417;6234;26604;24936;135;33;0;0;110080;1598208;0.00;0.00;0.00;430;6243;26692;24972;135;33;0;0;100096;1590016;0.00;0.00;0.00;391;6211;26408;24844;135;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;135;33;0;0;100096;1589760;0.00;0.00;0.00;391;6210;26404;24840;135;33;0;0;107520;1596160;0.00;0.00;0.00;420;6235;26620;24940;102;33;0;0;111616;1598720;0.00;0.00;0.00;436;6245;26724;24980;102;33;0;0;111872;1600512;0.00;0.00;0.00;437;6252;26756;25008;102;33;0;0;113664;1601792;0.00;0.00;0.00;444;6257;26804;25028;102;33;0;0;111616;1599744;0.00;0.00;0.00;436;6249;26740;24996;102;33;0;0;109568;1598208;0.00;0.00;0.00;428;6243;26684;24972;102;33;0;0;
1560434694;2195130204;2541396224;8238080;0.50;0.14;0.00;9927329;32180;39838036;128720;19777498;37552;0;0;100352;1591296;0.00;0.00;0.00;392;6216;26432;24864;135;33;0;0;110336;1600256;0.00;0.00;0.00;431;6251;26728;25004;135;33;0;0;100352;1590784;0.00;0.00;0.00;392;6214;26424;24856;135;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;135;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;135;33;0;0;109056;1599232;0.00;0.00;0.00;426;6247;26692;24988;102;33;0;0;114432;1603584;0.00;0.00;0.00;447;6264;26844;25056;102;33;0;0;111872;1600256;0.00;0.00;0.00;437;6251;26752;25004;102;33;0;0;109824;1599488;0.00;0.00;0.00;429;6248;26708;24992;102;33;0;0;115968;1603328;0.00;0.00;0.00;453;6263;26864;25052;102;33;0;0;108800;1598208;0.00;0.00;0.00;425;6243;26672;24972;102;33;0;0;
1560434695;2195104402;2639565824;7578112;0.51;0.12;0.00;10310804;29602;41361624;118408;21080152;33583;0;0;107776;1598208;0.00;0.00;0.00;421;6243;26656;24972;135;33;0;0;111616;1601792;0.00;0.00;0.00;436;6257;26772;25028;135;33;0;0;101120;1592320;0.00;0.00;0.00;395;6220;26460;24880;135;33;0;0;100352;1591808;0.00;0.00;0.00;392;6218;26440;24872;135;33;0;0;100352;1592064;0.00;0.00;0.00;392;6219;26444;24876;135;33;0;0;114688;1605120;0.00;0.00;0.00;448;6270;26872;25080;102;33;0;0;113152;1603584;0.00;0.00;0.00;442;6264;26824;25056;102;33;0;0;116224;1606656;0.00;0.00;0.00;454;6276;26920;25104;102;33;0;0;112384;1602304;0.00;0.00;0.00;439;6259;26792;25036;102;33;0;0;114944;1605120;0.00;0.00;0.00;449;6270;26876;25080;102;33;0;0;107520;1597952;0.00;0.00;0.00;420;6242;26648;24968;102;33;0;0;
1560434696;2195112128;2727879680;7208704;0.52;0.09;0.00;10655780;28159;42735756;112636;22246055;31038;0;0;111616;1601280;0.00;0.00;0.00;436;6255;26764;25020;135;33;0;0;115712;1605376;0.00;0.00;0.00;452;6271;26892;25084;135;33;0;0;110848;1600000;0.00;0.00;0.00;433;6250;26732;25000;135;33;0;0;100096;1591040;0.00;0.00;0.00;391;6215;26424;24860;135;33;0;0;100096;1590784;0.00;0.00;0.00;391;6214;26420;24856;135;33;0;0;110592;1600000;0.00;0.00;0.00;432;6250;26728;25000;102;33;0;0;111104;1600512;0.00;0.00;0.00;434;6252;26744;25008;102;33;0;0;112384;1603072;0.00;0.00;0.00;439;6262;26804;25048;102;33;0;0;112896;1602816;0.00;0.00;0.00;441;6261;26808;25044;102;33;0;0;114944;1605120;0.00;0.00;0.00;449;6270;26876;25080;102;33;0;0;112640;1602304;0.00;0.00;0.00;440;6259;26796;25036;102;33;0;0;
