# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 05:52:56 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560419584;17558980100;542976;8594432;0.00;0.00;0.00;2121;33572;142772;134288;204;66;0;0;524032;8155648;0.00;0.00;0.00;2047;31858;135620;127432;204;66;0;0;473088;7514880;0.00;0.00;0.00;1848;29355;124812;117420;102;33;0;0;393728;6250496;0.00;0.00;0.00;1538;24416;103816;97664;102;33;0;0;391680;6215680;0.00;0.00;0.00;1530;24280;103240;97120;102;33;0;0;391680;6216448;0.00;0.00;0.00;1530;24283;103252;97132;102;33;0;0;390144;6243328;0.00;0.00;0.00;1524;24388;103648;97552;135;114;0;0;397056;6237696;0.00;0.00;0.00;1551;24366;103668;97464;135;92;0;0;395008;6239488;0.00;0.00;0.00;1543;24373;103664;97492;135;97;0;0;392448;6238208;0.00;0.00;0.00;1533;24368;103604;97472;135;98;0;0;392448;6234368;0.00;0.00;0.00;1533;24353;103544;97412;135;86;0;0;396288;6237696;0.00;0.00;0.00;1548;24366;103656;97464;135;91;0;0;
1560419592;17559028748;807168;12730112;0.00;0.00;0.00;3153;49727;211520;198908;102;33;0;0;808448;12730880;0.00;0.00;0.00;3158;49730;211552;198920;102;33;0;0;801536;12725248;0.00;0.00;0.00;3131;49708;211356;198832;102;33;0;0;801792;12724992;0.00;0.00;0.00;3132;49707;211356;198828;102;33;0;0;801536;12724480;0.00;0.00;0.00;3131;49705;211344;198820;102;33;0;0;801536;12724736;0.00;0.00;0.00;3131;49706;211348;198824;102;33;0;0;807936;12730880;0.00;0.00;0.00;3156;49730;211544;198920;135;46;0;0;803840;12728576;0.00;0.00;0.00;3140;49721;211444;198884;135;49;0;0;813312;12736256;0.00;0.00;0.00;3177;49751;211712;199004;135;48;0;0;808960;12733440;0.00;0.00;0.00;3160;49740;211600;198960;135;58;0;0;811008;12730112;0.00;0.00;0.00;3168;49727;211580;198908;135;40;0;0;806656;12727552;0.00;0.00;0.00;3151;49717;211472;198868;135;42;0;0;
1560419600;17559003032;805376;12729856;0.00;0.00;0.00;3146;49726;211488;198904;102;33;0;0;805376;12728832;0.00;0.00;0.00;3146;49722;211472;198888;102;33;0;0;802048;12726528;0.00;0.00;0.00;3133;49713;211384;198852;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;806656;12731904;0.00;0.00;0.00;3151;49734;211540;198936;135;41;0;0;803072;12730880;0.00;0.00;0.00;3137;49730;211468;198920;135;45;0;0;807424;12734464;0.00;0.00;0.00;3154;49744;211592;198976;135;39;0;0;807680;12734208;0.00;0.00;0.00;3155;49743;211592;198972;135;43;0;0;807168;12731392;0.00;0.00;0.00;3153;49732;211540;198928;135;39;0;0;805376;12729088;0.00;0.00;0.00;3146;49723;211476;198892;135;38;0;0;
1560419608;17559015588;805888;12730624;0.00;0.00;0.00;3148;49729;211508;198916;102;33;0;0;807168;12730624;0.00;0.00;0.00;3153;49729;211528;198916;102;33;0;0;801536;12727296;0.00;0.00;0.00;3131;49716;211388;198864;102;33;0;0;801536;12727296;0.00;0.00;0.00;3131;49716;211388;198864;102;33;0;0;801792;12727552;0.00;0.00;0.00;3132;49717;211396;198868;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;804608;12729600;0.00;0.00;0.00;3143;49725;211472;198900;135;33;0;0;810496;12733696;0.00;0.00;0.00;3166;49741;211628;198964;135;35;0;0;807680;12732416;0.00;0.00;0.00;3155;49736;211564;198944;135;36;0;0;808448;12734208;0.00;0.00;0.00;3158;49743;211604;198972;135;39;0;0;832512;12756736;0.00;0.00;0.00;3252;49831;212332;199324;135;39;0;0;810240;12733952;0.00;0.00;0.00;3165;49742;211628;198968;135;34;0;0;
1560419616;17559009282;806912;12729856;0.00;0.00;0.00;3152;49726;211512;198904;102;33;0;0;813568;12734208;0.00;0.00;0.00;3178;49743;211684;198972;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801792;12726272;0.00;0.00;0.00;3132;49712;211376;198848;102;33;0;0;801792;12726272;0.00;0.00;0.00;3132;49712;211376;198848;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;804352;12728576;0.00;0.00;0.00;3142;49721;211452;198884;135;36;0;0;808192;12732672;0.00;0.00;0.00;3157;49737;211576;198948;135;39;0;0;810496;12733696;0.00;0.00;0.00;3166;49741;211628;198964;135;35;0;0;807936;12732672;0.00;0.00;0.00;3156;49737;211572;198948;135;39;0;0;812800;12734976;0.00;0.00;0.00;3175;49746;211684;198984;135;39;0;0;806912;12731136;0.00;0.00;0.00;3152;49731;211532;198924;135;39;0;0;
1560419624;17558983206;804096;12728064;0.00;0.00;0.00;3141;49719;211440;198876;104;33;0;0;811008;12732928;0.00;0.00;0.00;3168;49738;211624;198952;102;33;0;0;801536;12726016;0.00;0.00;0.00;3131;49711;211368;198844;102;33;0;0;801792;12725760;0.00;0.00;0.00;3132;49710;211368;198840;102;33;0;0;801280;12726016;0.00;0.00;0.00;3130;49711;211364;198844;102;33;0;0;801792;12726016;0.00;0.00;0.00;3132;49711;211372;198844;102;33;0;0;803840;12727296;0.00;0.00;0.00;3140;49716;211424;198864;135;35;0;0;804608;12727552;0.00;0.00;0.00;3143;49717;211440;198868;135;34;0;0;805376;12729344;0.00;0.00;0.00;3146;49724;211480;198896;135;33;0;0;807168;12729344;0.00;0.00;0.00;3153;49724;211508;198896;135;34;0;0;811520;12732160;0.00;0.00;0.00;3170;49735;211620;198940;135;35;0;0;805888;12728576;0.00;0.00;0.00;3148;49721;211476;198884;135;34;0;0;
1560419632;17559037462;808192;12730368;0.00;0.00;0.00;3157;49728;211540;198912;103;33;0;0;811264;12733440;0.00;0.00;0.00;3169;49740;211636;198960;102;33;0;0;801792;12726784;0.00;0.00;0.00;3132;49714;211384;198856;102;33;0;0;801536;12727040;0.00;0.00;0.00;3131;49715;211384;198860;102;33;0;0;802048;12726784;0.00;0.00;0.00;3133;49714;211388;198856;102;33;0;0;801792;12726528;0.00;0.00;0.00;3132;49713;211380;198852;102;33;0;0;827392;12750592;0.00;0.00;0.00;3232;49807;212156;199228;135;34;0;0;808960;12730624;0.00;0.00;0.00;3160;49729;211556;198916;135;34;0;0;807168;12732416;0.00;0.00;0.00;3153;49736;211556;198944;135;35;0;0;806912;12730112;0.00;0.00;0.00;3152;49727;211516;198908;135;33;0;0;810752;12731136;0.00;0.00;0.00;3167;49731;211592;198924;135;33;0;0;804608;12728320;0.00;0.00;0.00;3143;49720;211452;198880;135;33;0;0;
1560419640;17558992146;802560;12727552;0.00;0.00;0.00;3135;49717;211408;198868;102;33;0;0;812544;12733952;0.00;0.00;0.00;3174;49742;211664;198968;102;33;0;0;801792;12726784;0.00;0.00;0.00;3132;49714;211384;198856;101;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;801536;12727808;0.00;0.00;0.00;3131;49718;211396;198872;102;33;0;0;801536;12728320;0.00;0.00;0.00;3131;49720;211404;198880;102;33;0;0;807936;12731136;0.00;0.00;0.00;3156;49731;211548;198924;135;33;0;0;804608;12730624;0.00;0.00;0.00;3143;49729;211488;198916;135;34;0;0;803840;12730368;0.00;0.00;0.00;3140;49728;211472;198912;135;35;0;0;806912;12732672;0.00;0.00;0.00;3152;49737;211556;198948;135;34;0;0;808960;12733952;0.00;0.00;0.00;3160;49742;211608;198968;135;35;0;0;804864;12730880;0.00;0.00;0.00;3144;49730;211496;198920;135;34;0;0;
1560419648;17559030138;804608;12728576;0.00;0.00;0.00;3143;49721;211456;198884;102;33;0;0;815104;12736000;0.00;0.00;0.00;3184;49750;211736;199000;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;103;33;0;0;801792;12726272;0.00;0.00;0.00;3132;49712;211376;198848;102;33;0;0;801792;12726016;0.00;0.00;0.00;3132;49711;211372;198844;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;805632;12728320;0.00;0.00;0.00;3147;49720;211468;198880;135;33;0;0;804096;12728576;0.00;0.00;0.00;3141;49721;211448;198884;135;34;0;0;811008;12733952;0.00;0.00;0.00;3168;49742;211640;198968;135;35;0;0;807680;12730112;0.00;0.00;0.00;3155;49727;211528;198908;135;35;0;0;812032;12733184;0.00;0.00;0.00;3172;49739;211644;198956;135;34;0;0;805632;12727040;0.00;0.00;0.00;3147;49715;211448;198860;135;33;0;0;
1560419656;17559006666;807424;12730112;0.00;0.00;0.00;3154;49727;211524;198908;105;33;0;0;813056;12734208;0.00;0.00;0.00;3176;49743;211676;198972;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;801792;12726784;0.00;0.00;0.00;3132;49714;211384;198856;102;33;0;0;801536;12727040;0.00;0.00;0.00;3131;49715;211384;198860;102;33;0;0;801792;12727552;0.00;0.00;0.00;3132;49717;211396;198868;102;33;0;0;805376;12729600;0.00;0.00;0.00;3146;49725;211484;198900;135;33;0;0;806144;12729600;0.00;0.00;0.00;3149;49725;211496;198900;135;33;0;0;806400;12731136;0.00;0.00;0.00;3150;49731;211524;198924;135;33;0;0;805632;12731392;0.00;0.00;0.00;3147;49732;211516;198928;135;33;0;0;808704;12730880;0.00;0.00;0.00;3159;49730;211556;198920;135;33;0;0;803072;12728576;0.00;0.00;0.00;3137;49721;211432;198884;135;33;0;0;
