# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 07:03:48 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560423832;8779692414;140800;2224384;0.00;0.00;0.00;550;8689;36956;34756;204;66;0;0;140800;2223872;0.00;0.00;0.00;550;8687;36948;34748;204;66;0;0;140032;2223616;0.00;0.00;0.00;547;8686;36932;34744;204;66;0;0;140032;2223616;0.00;0.00;0.00;547;8686;36932;34744;204;66;0;0;140032;2223616;0.00;0.00;0.00;547;8686;36932;34744;204;66;0;0;140032;2223616;0.00;0.00;0.00;547;8686;36932;34744;204;66;0;0;729467392;862174976;0.74;0.37;0.44;2849482;3367871;24869412;13471484;11082486;5344451;0;0;730078464;862248960;0.74;0.37;0.44;2851869;3368160;24880116;13472640;11097281;5344575;0;0;730711808;861798144;0.74;0.37;0.44;2854343;3366399;24882968;13465596;11107754;5344159;0;0;731622400;866435584;0.74;0.37;0.44;2857900;3384514;24969656;13538056;11114322;5341478;0;0;732569856;866546688;0.74;0.37;0.44;2861601;3384948;24986196;13539792;11123297;5340875;0;0;734364928;866701568;0.74;0.37;0.44;2868613;3385553;25016664;13542212;11144677;5344440;0;0;
1560423836;8779599188;402432;6364672;0.00;0.00;0.00;1572;24862;105736;99448;102;33;0;0;402944;6364416;0.00;0.00;0.00;1574;24861;105740;99444;102;33;0;0;401152;6362880;0.00;0.00;0.00;1567;24855;105688;99420;102;33;0;0;400640;6363136;0.00;0.00;0.00;1565;24856;105684;99424;102;33;0;0;400640;6362880;0.00;0.00;0.00;1565;24855;105680;99420;102;33;0;0;401152;6363136;0.00;0.00;0.00;1567;24856;105692;99424;102;33;0;0;2322816256;2378792704;0.74;0.38;0.41;9073501;9292159;73462640;37168636;34982737;14971328;0;0;2323864832;2379609600;0.74;0.38;0.41;9077597;9295350;73491788;37181400;35001643;14972153;0;0;2323294976;2376440064;0.74;0.38;0.41;9075371;9282969;73433360;37131876;34998295;14966525;0;0;2324371456;2394213632;0.74;0.37;0.40;9079576;9352397;73727892;37409588;34967127;14949349;0;0;2324275200;2393839360;0.74;0.37;0.40;9079200;9350935;73720540;37403740;34960114;14942650;0;0;2323599360;2390819840;0.74;0.37;0.40;9076560;9339140;73662800;37356560;34966347;14939769;0;0;
1560423840;8779638462;404480;6365952;0.00;0.00;0.00;1580;24867;105788;99468;204;66;0;0;402432;6365440;0.00;0.00;0.00;1572;24865;105748;99460;204;66;0;0;400640;6364416;0.00;0.00;0.00;1565;24861;105704;99444;204;66;0;0;400896;6364928;0.00;0.00;0.00;1566;24863;105716;99452;204;66;0;0;400896;6364928;0.00;0.00;0.00;1566;24863;105716;99452;204;66;0;0;400896;6365440;0.00;0.00;0.00;1566;24865;105724;99460;204;66;0;0;2329850624;2386129408;0.74;0.38;0.40;9100979;9320818;73687188;37283272;34826551;14957559;0;0;2329037056;2387188480;0.74;0.38;0.40;9097801;9324955;73691024;37299820;34842351;14966147;0;0;2328383232;2387351296;0.74;0.38;0.40;9095247;9325591;73683352;37302364;34828837;14967194;0;0;2328966400;2406488832;0.74;0.37;0.40;9097525;9400347;73991488;37601388;34789655;14958082;0;0;2329100032;2407483392;0.74;0.37;0.40;9098047;9404232;74009116;37616928;34777287;14958776;0;0;2328632064;2406473728;0.74;0.37;0.40;9096219;9400288;73986028;37601152;34791768;14966963;0;0;
1560423844;8779642292;402176;6364928;0.00;0.00;0.00;1571;24863;105736;99452;102;33;0;0;402176;6364416;0.00;0.00;0.00;1571;24861;105728;99444;102;33;0;0;400896;6363392;0.00;0.00;0.00;1566;24857;105692;99428;102;33;0;0;400896;6363648;0.00;0.00;0.00;1566;24858;105696;99432;102;33;0;0;400896;6364160;0.00;0.00;0.00;1566;24860;105704;99440;102;33;0;0;400896;6364160;0.00;0.00;0.00;1566;24860;105704;99440;102;33;0;0;2336321536;2379596288;0.74;0.37;0.40;9126256;9295298;73686216;37181192;34620637;14865753;0;0;2336785664;2380092672;0.74;0.37;0.40;9128069;9297237;73701224;37188948;34643969;14868382;0;0;2336736256;2378266368;0.74;0.38;0.40;9127876;9290103;73671916;37160412;34643380;14864547;0;0;2337953024;2395392256;0.74;0.37;0.40;9132629;9357001;73958520;37428004;34615506;14849639;0;0;2338144768;2395079424;0.74;0.37;0.40;9133378;9355779;73956628;37423116;34599104;14839415;0;0;2338398208;2392667648;0.74;0.37;0.40;9134368;9346358;73922904;37385432;34640091;14848663;0;0;
1560423848;8779653660;401920;6365440;0.00;0.00;0.00;1570;24865;105740;99460;204;66;0;0;400640;6363904;0.00;0.00;0.00;1565;24859;105696;99436;204;66;0;0;400640;6363904;0.00;0.00;0.00;1565;24859;105696;99436;204;66;0;0;400640;6363392;0.00;0.00;0.00;1565;24857;105688;99428;204;66;0;0;400640;6362880;0.00;0.00;0.00;1565;24855;105680;99420;204;66;0;0;400896;6364416;0.00;0.00;0.00;1566;24861;105708;99444;204;66;0;0;2342216448;2379510016;0.74;0.37;0.40;9149283;9294961;73776976;37179844;34551976;14832896;0;0;2341827584;2381878016;0.74;0.37;0.40;9147764;9304211;73807900;37216844;34564671;14840746;0;0;2340740608;2380112128;0.74;0.37;0.40;9143518;9297313;73763324;37189252;34549984;14841400;0;0;2341674496;2399431168;0.74;0.37;0.40;9147166;9372778;74079776;37491112;34518564;14834849;0;0;2340793088;2399862272;0.73;0.37;0.39;9143723;9374462;74072740;37497848;34496416;14832412;0;0;2340815616;2399825920;0.74;0.37;0.40;9143811;9374320;74072524;37497280;34521466;14846332;0;0;
1560423852;8779672028;405504;6365952;0.00;0.00;0.00;1584;24867;105804;99468;102;33;0;0;401664;6363648;0.00;0.00;0.00;1569;24858;105708;99432;102;33;0;0;400896;6364160;0.00;0.00;0.00;1566;24860;105704;99440;102;33;0;0;400896;6364672;0.00;0.00;0.00;1566;24862;105712;99448;102;33;0;0;401408;6364928;0.00;0.00;0.00;1568;24863;105724;99452;102;33;0;0;400640;6364672;0.00;0.00;0.00;1565;24862;105708;99448;102;33;0;0;2343944704;2375150848;0.73;0.37;0.40;9156034;9277933;73735868;37111732;34369616;14765170;0;0;2343061504;2375253760;0.73;0.37;0.40;9152584;9278335;73723676;37113340;34401569;14771653;0;0;2345362432;2375470848;0.73;0.37;0.40;9161572;9279183;73763020;37116732;34402192;14769129;0;0;2345022720;2391657728;0.73;0.37;0.39;9160245;9342413;74010632;37369652;34377957;14756563;0;0;2346205696;2390788096;0.73;0.37;0.39;9164866;9339016;74015528;37356064;34356258;14742997;0;0;2345837056;2389267968;0.73;0.37;0.39;9163426;9333078;73986016;37332312;34406571;14757774;0;0;
1560423856;8779635234;408320;6368768;0.00;0.00;0.00;1595;24878;105892;99512;204;66;0;0;400896;6362880;0.00;0.00;0.00;1566;24855;105684;99420;204;66;0;0;400640;6362112;0.00;0.00;0.00;1565;24852;105668;99408;204;66;0;0;400896;6362112;0.00;0.00;0.00;1566;24852;105672;99408;204;66;0;0;400640;6362880;0.00;0.00;0.00;1565;24855;105680;99420;204;66;0;0;400896;6363136;0.00;0.00;0.00;1566;24856;105688;99424;204;66;0;0;2347566848;2374884608;0.73;0.37;0.40;9170183;9276893;73788304;37107572;34248309;14714078;0;0;2347093248;2377067776;0.73;0.37;0.40;9168333;9285421;73815016;37141684;34277941;14729630;0;0;2347351296;2377162240;0.73;0.37;0.40;9169341;9285790;73820524;37143160;34263784;14730281;0;0;2347848192;2395249664;0.73;0.36;0.39;9171282;9356444;74110904;37425776;34223666;14721841;0;0;2346632192;2394819328;0.73;0.36;0.39;9166532;9354763;74085180;37419052;34202721;14718996;0;0;2346581504;2395462144;0.73;0.37;0.39;9166334;9357274;74094432;37429096;34233981;14736194;0;0;
1560423860;8779637026;403712;6368000;0.00;0.00;0.00;1577;24875;105808;99500;102;33;0;0;401920;6368256;0.00;0.00;0.00;1570;24876;105784;99504;102;33;0;0;401408;6368512;0.00;0.00;0.00;1568;24877;105780;99508;102;33;0;0;401152;6369024;0.00;0.00;0.00;1567;24879;105784;99516;102;33;0;0;401152;6369280;0.00;0.00;0.00;1567;24880;105788;99520;102;33;0;0;401152;6371072;0.00;0.00;0.00;1567;24887;105816;99548;102;33;0;0;412287232;420289024;0.73;0.36;0.52;1610497;1641754;13009004;6567016;5999628;2566841;0;0;410248960;418324480;0.73;0.36;0.52;1602535;1634080;12946460;6536320;5975860;2553960;0;0;408835840;416204032;0.73;0.36;0.52;1597015;1625797;12891248;6503188;5949253;2540818;0;0;406287616;416016640;0.73;0.36;0.51;1587061;1625065;12848504;6500260;5918301;2525288;0;0;404494592;413479936;0.73;0.36;0.52;1580057;1615156;12780852;6460624;5890303;2510713;0;0;403756288;412509184;0.73;0.36;0.52;1577173;1611364;12754148;6445456;5871944;2500509;0;0;
1560423864;8779637602;403456;6365696;0.00;0.00;0.00;1576;24866;105768;99464;102;33;0;0;400640;6362112;0.00;0.00;0.00;1565;24852;105668;99408;102;33;0;0;400896;6362624;0.00;0.00;0.00;1566;24854;105680;99416;102;33;0;0;400640;6362880;0.00;0.00;0.00;1565;24855;105680;99420;102;33;0;0;400896;6363648;0.00;0.00;0.00;1566;24858;105696;99432;102;33;0;0;400896;6365184;0.00;0.00;0.00;1566;24864;105720;99456;102;33;0;0;405504;6408448;0.00;0.00;0.00;1584;25033;106468;100132;135;194;0;0;408832;6411264;0.00;0.00;0.00;1597;25044;106564;100176;135;201;0;0;404736;6410496;0.00;0.00;0.00;1581;25041;106488;100164;135;202;0;0;406016;6419712;0.00;0.00;0.00;1586;25077;106652;100308;135;231;0;0;411136;6418432;0.00;0.00;0.00;1606;25072;106712;100288;135;217;0;0;403200;6420736;0.00;0.00;0.00;1575;25081;106624;100324;135;244;0;0;
1560423868;8779635414;403456;6364928;0.00;0.00;0.00;1576;24863;105756;99452;102;33;0;0;400896;6363136;0.00;0.00;0.00;1566;24856;105688;99424;102;33;0;0;400896;6363392;0.00;0.00;0.00;1566;24857;105692;99428;102;33;0;0;400896;6363392;0.00;0.00;0.00;1566;24857;105692;99428;102;33;0;0;400640;6363392;0.00;0.00;0.00;1565;24857;105688;99428;102;33;0;0;400896;6362368;0.00;0.00;0.00;1566;24853;105676;99412;102;33;0;0;403200;6401024;0.00;0.00;0.00;1575;25004;106316;100016;135;182;0;0;402432;6400000;0.00;0.00;0.00;1572;25000;106288;100000;135;177;0;0;406016;6401536;0.00;0.00;0.00;1586;25006;106368;100024;135;183;0;0;404224;6407424;0.00;0.00;0.00;1579;25029;106432;100116;135;207;0;0;404224;6413056;0.00;0.00;0.00;1579;25051;106520;100204;135;233;0;0;408832;6415872;0.00;0.00;0.00;1597;25062;106636;100248;135;237;0;0;
