# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 06:59:04 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560423548;8779640410;140288;2227968;0.00;0.00;0.00;548;8703;37004;34812;204;66;0;0;141824;2228736;0.00;0.00;0.00;554;8706;37040;34824;204;66;0;0;140544;2226944;0.00;0.00;0.00;549;8699;36992;34796;204;66;0;0;140032;2227200;0.00;0.00;0.00;547;8700;36988;34800;204;66;0;0;140288;2227456;0.00;0.00;0.00;548;8701;36996;34804;204;66;0;0;140800;2227712;0.00;0.00;0.00;550;8702;37008;34808;204;66;0;0;793296128;115212800;0.74;0.23;0.91;3098813;450050;14195452;1800200;12080026;587480;0;0;794288640;112599808;0.74;0.23;0.93;3102690;439843;14170132;1759372;12101767;573638;0;0;795453440;109453312;0.74;0.23;0.95;3107240;427552;14139168;1710208;12122137;556354;0;0;796108544;107588608;0.74;0.22;0.96;3109799;420268;14120268;1681072;12102674;542121;0;0;797247744;105162752;0.74;0.22;0.98;3114249;410792;14100164;1643168;12113206;528001;0;0;797737472;102146560;0.74;0.22;0.00;3116162;399010;14060688;1596040;12122407;514215;0;0;
1560423552;8779643344;405760;6366976;0.00;0.00;0.00;1585;24871;105824;99484;102;33;0;0;404480;6365696;0.00;0.00;0.00;1580;24866;105784;99464;102;33;0;0;400640;6363136;0.00;0.00;0.00;1565;24856;105684;99424;102;33;0;0;400896;6362368;0.00;0.00;0.00;1566;24853;105676;99412;102;33;0;0;400640;6362880;0.00;0.00;0.00;1565;24855;105680;99420;102;33;0;0;400640;6362880;0.00;0.00;0.00;1565;24855;105680;99420;102;33;0;0;2322083584;7273728;0.74;0.00;0.00;9070639;28413;36396208;113652;34498217;1105;0;0;2322945536;7259392;0.74;0.00;0.00;9074006;28357;36409452;113428;34527498;1056;0;0;2324134400;7240448;0.74;0.00;0.00;9078650;28283;36427732;113132;34556321;1052;0;0;2322281472;7244800;0.74;0.00;0.00;9071412;28300;36398848;113200;34391653;1149;0;0;2323398912;7211776;0.74;0.00;0.00;9075777;28171;36415792;112684;34383726;1101;0;0;2322904832;7272704;0.74;0.00;0.00;9073847;28409;36409024;113636;34389228;1096;0;0;
1560423556;8779648182;406016;6366464;0.00;0.00;0.00;1586;24869;105820;99476;204;66;0;0;403968;6365952;0.00;0.00;0.00;1578;24867;105780;99468;204;66;0;0;400896;6364160;0.00;0.00;0.00;1566;24860;105704;99440;204;66;0;0;400640;6364160;0.00;0.00;0.00;1565;24860;105700;99440;204;66;0;0;401152;6364160;0.00;0.00;0.00;1567;24860;105708;99440;204;66;0;0;400896;6365184;0.00;0.00;0.00;1566;24864;105720;99456;204;66;0;0;2280486144;7080192;0.73;0.00;0.00;8908149;27657;35743224;110628;32805630;487;0;0;2281769984;7110144;0.73;0.00;0.00;8913164;27774;35763752;111096;32848929;551;0;0;2282246400;7072768;0.73;0.00;0.00;8915025;27628;35770612;110512;32832305;492;0;0;2281531648;7107328;0.73;0.00;0.00;8912233;27763;35759984;111052;32787123;576;0;0;2281359104;7078912;0.73;0.00;0.00;8911559;27652;35756844;110608;32745930;557;0;0;2281603584;7120128;0.73;0.00;0.00;8912514;27813;35761308;111252;32756287;610;0;0;
1560423560;8779673212;404224;6364416;0.00;0.00;0.00;1579;24861;105760;99444;102;33;0;0;400640;6361856;0.00;0.00;0.00;1565;24851;105664;99404;102;33;0;0;400640;6362112;0.00;0.00;0.00;1565;24852;105668;99408;102;33;0;0;400896;6362112;0.00;0.00;0.00;1566;24852;105672;99408;102;33;0;0;400640;6362368;0.00;0.00;0.00;1565;24853;105672;99412;102;33;0;0;400640;6361344;0.00;0.00;0.00;1565;24849;105656;99396;102;33;0;0;2178718976;6940160;0.72;0.00;0.00;8510621;27110;34150924;108440;30676514;269;0;0;2179707904;7002368;0.72;0.00;0.00;8514484;27353;34167348;109412;30713767;281;0;0;2180129280;7020288;0.72;0.00;0.00;8516130;27423;34174212;109692;30679631;276;0;0;2179803648;7007744;0.72;0.00;0.00;8514858;27374;34168928;109496;30748627;252;0;0;2179094528;7044352;0.72;0.00;0.00;8512088;27517;34158420;110068;30702870;281;0;0;2179523840;6996224;0.72;0.00;0.00;8513765;27329;34164376;109316;30717984;265;0;0;
1560423564;8779643292;401664;6364672;0.00;0.00;0.00;1569;24862;105724;99448;204;66;0;0;401920;6364672;0.00;0.00;0.00;1570;24862;105728;99448;204;66;0;0;401152;6363904;0.00;0.00;0.00;1567;24859;105704;99436;204;66;0;0;400896;6363904;0.00;0.00;0.00;1566;24859;105700;99436;204;66;0;0;401152;6363904;0.00;0.00;0.00;1567;24859;105704;99436;204;66;0;0;400896;6363648;0.00;0.00;0.00;1566;24858;105696;99432;204;66;0;0;2160102400;7037184;0.72;0.00;0.00;8437900;27489;33861556;109956;29673199;330;0;0;2161601280;7018240;0.72;0.00;0.00;8443755;27415;33884680;109660;29722398;294;0;0;2162252800;7041280;0.72;0.00;0.00;8446300;27505;33895220;110020;29685991;322;0;0;2162446080;6960640;0.72;0.00;0.00;8447055;27190;33896980;108760;29813988;305;0;0;2161018880;7012608;0.72;0.00;0.00;8441480;27393;33875492;109572;29778418;308;0;0;2162280448;6997248;0.72;0.00;0.00;8446408;27333;33894964;109332;29782011;280;0;0;
1560423568;8779649304;402688;6364672;0.00;0.00;0.00;1573;24862;105740;99448;102;33;0;0;404224;6365952;0.00;0.00;0.00;1579;24867;105784;99468;102;33;0;0;400896;6363392;0.00;0.00;0.00;1566;24857;105692;99428;102;33;0;0;400896;6363392;0.00;0.00;0.00;1566;24857;105692;99428;102;33;0;0;400640;6363392;0.00;0.00;0.00;1565;24857;105688;99428;102;33;0;0;400640;6363648;0.00;0.00;0.00;1565;24858;105692;99432;102;33;0;0;2172116736;6965504;0.71;0.00;0.00;8484831;27209;34048160;108836;29336566;187;0;0;2174193920;7038464;0.71;0.00;0.00;8492945;27494;34081756;109976;29402800;177;0;0;2173865984;6979840;0.71;0.00;0.00;8491664;27265;34075716;109060;29349204;186;0;0;2174682112;7008256;0.71;0.00;0.00;8494852;27376;34088912;109504;29482387;188;0;0;2174354432;7109632;0.71;0.00;0.00;8493572;27772;34085376;111088;29460875;169;0;0;2175795712;6995968;0.71;0.00;0.00;8499202;27328;34106120;109312;29437256;186;0;0;
1560423572;8779647256;403200;6366464;0.00;0.00;0.00;1575;24869;105776;99476;204;66;0;0;403200;6366464;0.00;0.00;0.00;1575;24869;105776;99476;204;66;0;0;400640;6365440;0.00;0.00;0.00;1565;24865;105720;99460;204;66;0;0;400896;6365184;0.00;0.00;0.00;1566;24864;105720;99456;204;66;0;0;400896;6365184;0.00;0.00;0.00;1566;24864;105720;99456;204;66;0;0;400896;6365696;0.00;0.00;0.00;1566;24866;105728;99464;204;66;0;0;2175279360;6994944;0.71;0.00;0.00;8497185;27324;34098036;109296;29007844;266;0;0;2178642432;6918656;0.71;0.00;0.00;8510322;27026;34149392;108104;29064490;253;0;0;2177047296;7035904;0.71;0.00;0.00;8504091;27484;34126300;109936;29004704;249;0;0;2176327936;6977024;0.71;0.00;0.00;8501281;27254;34114140;109016;29103835;256;0;0;2176114432;7086592;0.71;0.00;0.00;8500447;27682;34112516;110728;29062445;252;0;0;2178601216;6949632;0.71;0.00;0.00;8510161;27147;34149232;108588;29053535;251;0;0;
1560423576;8779672044;401920;6362112;0.00;0.00;0.00;1570;24852;105688;99408;102;33;0;0;400640;6361088;0.00;0.00;0.00;1565;24848;105652;99392;102;33;0;0;400896;6361344;0.00;0.00;0.00;1566;24849;105660;99396;102;33;0;0;400640;6361344;0.00;0.00;0.00;1565;24849;105656;99396;102;33;0;0;400640;6361344;0.00;0.00;0.00;1565;24849;105656;99396;102;33;0;0;400896;6361600;0.00;0.00;0.00;1566;24850;105664;99400;102;33;0;0;2168543488;6940928;0.70;0.00;0.00;8470873;27113;33991944;108452;28497462;156;0;0;2172399616;7005696;0.70;0.00;0.00;8485936;27366;34053208;109464;28561510;138;0;0;2170390784;6995968;0.70;0.00;0.00;8478089;27328;34021668;109312;28485379;172;0;0;2171326976;6957056;0.70;0.00;0.00;8481746;27176;34035688;108704;28616904;144;0;0;2170237696;7012608;0.70;0.00;0.00;8477491;27393;34019536;109572;28580720;157;0;0;2172536064;6957312;0.70;0.00;0.00;8486469;27177;34054584;108708;28582833;141;0;0;
1560423580;8779633046;402432;6364928;0.00;0.00;0.00;1572;24863;105740;99452;204;66;0;0;403456;6365440;0.00;0.00;0.00;1576;24865;105764;99460;204;66;0;0;400896;6363648;0.00;0.00;0.00;1566;24858;105696;99432;204;66;0;0;400896;6363392;0.00;0.00;0.00;1566;24857;105692;99428;204;66;0;0;400896;6363392;0.00;0.00;0.00;1566;24857;105692;99428;204;66;0;0;400896;6363136;0.00;0.00;0.00;1566;24856;105688;99424;204;66;0;0;2178291968;6949888;0.70;0.00;0.00;8508953;27148;34144404;108592;28347787;222;0;0;2181940480;6945280;0.70;0.00;0.00;8523205;27130;34201340;108520;28410842;200;0;0;2179493632;6966016;0.70;0.00;0.00;8513647;27211;34163432;108844;28325420;218;0;0;2181283840;7004160;0.70;0.00;0.00;8520640;27360;34192000;109440;28493751;184;0;0;2180256512;6982400;0.70;0.00;0.00;8516627;27275;34175608;109100;28463957;184;0;0;2181701376;7035904;0.70;0.00;0.00;8522271;27484;34199020;109936;28477320;184;0;0;
1560423584;8779650154;404480;6365696;0.00;0.00;0.00;1580;24866;105784;99464;102;33;0;0;405504;6367232;0.00;0.00;0.00;1584;24872;105824;99488;102;33;0;0;400896;6363648;0.00;0.00;0.00;1566;24858;105696;99432;102;33;0;0;400896;6363136;0.00;0.00;0.00;1566;24856;105688;99424;102;33;0;0;400640;6363392;0.00;0.00;0.00;1565;24857;105688;99428;102;33;0;0;400896;6363904;0.00;0.00;0.00;1566;24859;105700;99436;102;33;0;0;2171756544;6974976;0.70;0.00;0.00;8483424;27246;34042680;108984;27990020;168;0;0;2175061504;6977280;0.70;0.00;0.00;8496334;27255;34094356;109020;28051318;163;0;0;2172550912;6917632;0.70;0.00;0.00;8486527;27022;34054196;108088;27941658;141;0;0;2174280192;6921728;0.70;0.00;0.00;8493282;27038;34081280;108152;28116000;148;0;0;2173489152;6966528;0.70;0.00;0.00;8490192;27213;34069620;108852;28069818;151;0;0;2173364480;7050752;0.70;0.00;0.00;8489705;27542;34068988;110168;28068078;144;0;0;
