# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 04:57:52 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560416280;17559015276;802560;12721920;0.00;0.00;0.00;3135;49695;211320;198780;204;66;0;0;515072;8137728;0.00;0.00;0.00;2012;31788;135200;127152;203;66;0;0;427008;6776832;0.00;0.00;0.00;1668;26472;112560;105888;204;66;0;0;396800;6295808;0.00;0.00;0.00;1550;24593;104572;98372;248;66;0;0;396544;6295808;0.00;0.00;0.00;1549;24593;104568;98372;102;33;0;0;396544;6297344;0.00;0.00;0.00;1549;24599;104592;98396;102;33;0;0;396032;6320640;0.00;0.00;0.00;1547;24690;104948;98760;135;84;0;0;402688;6310912;0.00;0.00;0.00;1573;24652;104900;98608;135;63;0;0;402688;6312960;0.00;0.00;0.00;1573;24660;104932;98640;135;73;0;0;399616;6309632;0.00;0.00;0.00;1561;24647;104832;98588;135;67;0;0;397824;6308352;0.00;0.00;0.00;1554;24642;104784;98568;135;71;0;0;401920;6308608;0.00;0.00;0.00;1570;24643;104852;98572;135;63;0;0;
1560416288;17559017976;807936;12730624;0.00;0.00;0.00;3156;49729;211540;198916;102;33;0;0;806400;12730112;0.00;0.00;0.00;3150;49727;211508;198908;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801536;12727040;0.00;0.00;0.00;3131;49715;211384;198860;102;33;0;0;801536;12728320;0.00;0.00;0.00;3131;49720;211404;198880;102;33;0;0;809472;12732416;0.00;0.00;0.00;3162;49736;211592;198944;135;37;0;0;809216;12732672;0.00;0.00;0.00;3161;49737;211592;198948;135;35;0;0;805632;12733696;0.00;0.00;0.00;3147;49741;211552;198964;135;35;0;0;806400;12731136;0.00;0.00;0.00;3150;49731;211524;198924;135;34;0;0;809984;12732416;0.00;0.00;0.00;3164;49736;211600;198944;135;34;0;0;808960;12731904;0.00;0.00;0.00;3160;49734;211576;198936;136;37;0;0;
1560416296;17559012490;803072;12728064;0.00;0.00;0.00;3137;49719;211424;198876;102;33;0;0;807424;12730112;0.00;0.00;0.00;3154;49727;211524;198908;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801792;12726784;0.00;0.00;0.00;3132;49714;211384;198856;102;33;0;0;801792;12726528;0.00;0.00;0.00;3132;49713;211380;198852;102;33;0;0;801792;12727296;0.00;0.00;0.00;3132;49716;211392;198864;102;33;0;0;807936;12730112;0.00;0.00;0.00;3156;49727;211532;198908;135;37;0;0;813312;12734720;0.00;0.00;0.00;3177;49745;211688;198980;135;42;0;0;805376;12731136;0.00;0.00;0.00;3146;49731;211508;198924;135;38;0;0;806144;12732672;0.00;0.00;0.00;3149;49737;211544;198948;135;45;0;0;809728;12732672;0.00;0.00;0.00;3163;49737;211600;198948;135;40;0;0;806400;12729856;0.00;0.00;0.00;3150;49726;211504;198904;135;39;0;0;
1560416304;17559018032;806656;12730112;0.00;0.00;0.00;3151;49727;211512;198908;103;33;0;0;809728;12731904;0.00;0.00;0.00;3163;49734;211588;198936;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;801792;12726784;0.00;0.00;0.00;3132;49714;211384;198856;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;806656;12729088;0.00;0.00;0.00;3151;49723;211496;198892;135;35;0;0;807936;12730112;0.00;0.00;0.00;3156;49727;211532;198908;135;34;0;0;808704;12732672;0.00;0.00;0.00;3159;49737;211584;198948;135;35;0;0;810752;12734464;0.00;0.00;0.00;3167;49744;211644;198976;135;35;0;0;813568;12733952;0.00;0.00;0.00;3178;49742;211680;198968;135;34;0;0;812032;12732672;0.00;0.00;0.00;3172;49737;211636;198948;135;34;0;0;
1560416312;17559024934;806400;12730112;0.00;0.00;0.00;3150;49727;211508;198908;102;33;0;0;805632;12728832;0.00;0.00;0.00;3147;49722;211476;198888;102;33;0;0;802048;12726528;0.00;0.00;0.00;3133;49713;211384;198852;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;801536;12728576;0.00;0.00;0.00;3131;49721;211408;198884;102;33;0;0;801792;12728832;0.00;0.00;0.00;3132;49722;211416;198888;102;33;0;0;805888;12732672;0.00;0.00;0.00;3148;49737;211540;198948;135;43;0;0;832256;12757504;0.00;0.00;0.00;3251;49834;212340;199336;135;45;0;0;810240;12737792;0.00;0.00;0.00;3165;49757;211688;199028;135;39;0;0;824064;12754688;0.00;0.00;0.00;3219;49823;212168;199292;135;40;0;0;805632;12732160;0.00;0.00;0.00;3147;49735;211528;198940;135;37;0;0;805120;12731648;0.00;0.00;0.00;3145;49733;211512;198932;135;36;0;0;
1560416320;17559034272;806912;12729600;0.00;0.00;0.00;3152;49725;211508;198900;102;33;0;0;803328;12727552;0.00;0.00;0.00;3138;49717;211420;198868;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;801536;12725760;0.00;0.00;0.00;3131;49710;211364;198840;102;33;0;0;812544;12733184;0.00;0.00;0.00;3174;49739;211652;198956;135;39;0;0;809472;12731392;0.00;0.00;0.00;3162;49732;211576;198928;135;39;0;0;807936;12733696;0.00;0.00;0.00;3156;49741;211588;198964;135;37;0;0;808704;12733952;0.00;0.00;0.00;3159;49742;211604;198968;135;43;0;0;806656;12730624;0.00;0.00;0.00;3151;49729;211520;198916;135;39;0;0;808704;12730880;0.00;0.00;0.00;3159;49730;211556;198920;135;40;0;0;
1560416328;17559028192;804608;12729600;0.00;0.00;0.00;3143;49725;211472;198900;102;33;0;0;812800;12732928;0.00;0.00;0.00;3175;49738;211652;198952;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;802048;12727040;0.00;0.00;0.00;3133;49715;211392;198860;102;33;0;0;801792;12727040;0.00;0.00;0.00;3132;49715;211388;198860;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;809216;12730368;0.00;0.00;0.00;3161;49728;211556;198912;135;33;0;0;811264;12733696;0.00;0.00;0.00;3169;49741;211640;198964;135;33;0;0;805632;12732416;0.00;0.00;0.00;3147;49736;211532;198944;135;34;0;0;808960;12735232;0.00;0.00;0.00;3160;49747;211628;198988;135;34;0;0;827904;12753408;0.00;0.00;0.00;3234;49818;212208;199272;135;33;0;0;808448;12731136;0.00;0.00;0.00;3158;49731;211556;198924;135;33;0;0;
1560416336;17559015768;810496;12731392;0.00;0.00;0.00;3166;49732;211592;198928;102;33;0;0;816384;12737280;0.00;0.00;0.00;3189;49755;211776;199020;102;33;0;0;801792;12726272;0.00;0.00;0.00;3132;49712;211376;198848;102;33;0;0;801536;12727040;0.00;0.00;0.00;3131;49715;211384;198860;102;33;0;0;801536;12727040;0.00;0.00;0.00;3131;49715;211384;198860;102;33;0;0;802048;12727296;0.00;0.00;0.00;3133;49716;211396;198864;102;33;0;0;812800;12732160;0.00;0.00;0.00;3175;49735;211640;198940;135;33;0;0;807424;12730624;0.00;0.00;0.00;3154;49729;211532;198916;135;34;0;0;808448;12731648;0.00;0.00;0.00;3158;49733;211564;198932;135;33;0;0;813568;12734464;0.00;0.00;0.00;3178;49744;211688;198976;135;33;0;0;805632;12729088;0.00;0.00;0.00;3147;49723;211480;198892;135;33;0;0;809984;12731136;0.00;0.00;0.00;3164;49731;211580;198924;135;33;0;0;
1560416344;17559008560;804864;12728576;0.00;0.00;0.00;3144;49721;211460;198884;102;33;0;0;814336;12734976;0.00;0.00;0.00;3181;49746;211708;198984;102;33;0;0;801536;12726016;0.00;0.00;0.00;3131;49711;211368;198844;102;33;0;0;801536;12725760;0.00;0.00;0.00;3131;49710;211364;198840;102;33;0;0;801792;12726016;0.00;0.00;0.00;3132;49711;211372;198844;102;33;0;0;801536;12725760;0.00;0.00;0.00;3131;49710;211364;198840;102;33;0;0;808448;12730112;0.00;0.00;0.00;3158;49727;211540;198908;135;33;0;0;805632;12727808;0.00;0.00;0.00;3147;49718;211460;198872;135;34;0;0;807936;12732672;0.00;0.00;0.00;3156;49737;211572;198948;135;33;0;0;807680;12730880;0.00;0.00;0.00;3155;49730;211540;198920;135;34;0;0;810240;12729600;0.00;0.00;0.00;3165;49725;211560;198900;135;35;0;0;808192;12729088;0.00;0.00;0.00;3157;49723;211520;198892;135;34;0;0;
1560416352;17559005224;803584;12727040;0.00;0.00;0.00;3139;49715;211416;198860;102;33;0;0;809216;12730624;0.00;0.00;0.00;3161;49729;211560;198916;102;33;0;0;801536;12724992;0.00;0.00;0.00;3131;49707;211352;198828;102;33;0;0;801536;12724992;0.00;0.00;0.00;3131;49707;211352;198828;102;33;0;0;801536;12724992;0.00;0.00;0.00;3131;49707;211352;198828;102;33;0;0;801280;12724992;0.00;0.00;0.00;3130;49707;211348;198828;102;33;0;0;808960;12728576;0.00;0.00;0.00;3160;49721;211524;198884;135;37;0;0;804352;12726016;0.00;0.00;0.00;3142;49711;211412;198844;135;37;0;0;808448;12733696;0.00;0.00;0.00;3158;49741;211596;198964;135;36;0;0;808960;12729344;0.00;0.00;0.00;3160;49724;211536;198896;135;35;0;0;807680;12726528;0.00;0.00;0.00;3155;49713;211472;198852;135;41;0;0;807168;12726016;0.00;0.00;0.00;3153;49711;211456;198844;135;39;0;0;
