# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 06:40:24 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560422428;8779659100;140544;2218752;0.00;0.00;0.00;549;8667;36864;34668;223;66;0;0;139520;2217728;0.00;0.00;0.00;545;8663;36832;34652;204;66;0;0;140032;2217472;0.00;0.00;0.00;547;8662;36836;34648;204;66;0;0;139520;2216960;0.00;0.00;0.00;545;8660;36820;34640;259;66;0;0;139520;2216704;0.00;0.00;0.00;545;8659;36816;34636;204;66;0;0;139776;2216448;0.00;0.00;0.00;546;8658;36816;34632;204;66;0;0;678795264;1813705984;0.74;0.30;0.34;2651544;7084789;38945332;28339156;10104355;10066175;0;0;678554880;1813565184;0.74;0.30;0.34;2650605;7084239;38939376;28336956;10107725;10069838;0;0;680073216;1818476800;0.74;0.30;0.34;2656536;7103425;39039844;28413700;10133246;10095963;0;0;680824064;1842692608;0.74;0.28;0.32;2659469;7198018;39429948;28792072;10097877;10059901;0;0;681040640;1843337728;0.74;0.28;0.32;2660315;7200538;39443412;28802152;10106977;10069421;0;0;681960448;1844423680;0.74;0.28;0.32;2663908;7204780;39474752;28819120;10109498;10071853;0;0;
1560422432;8779646378;405760;6366208;0.00;0.00;0.00;1585;24868;105812;99472;102;33;0;0;400896;6363392;0.00;0.00;0.00;1566;24857;105692;99428;102;33;0;0;400640;6363136;0.00;0.00;0.00;1565;24856;105684;99424;102;33;0;0;400896;6363392;0.00;0.00;0.00;1566;24857;105692;99428;102;33;0;0;400640;6363136;0.00;0.00;0.00;1565;24856;105684;99424;102;33;0;0;400896;6363904;0.00;0.00;0.00;1566;24859;105700;99436;102;33;0;0;2011057152;5322373888;0.73;0.27;0.28;7855692;20790523;114584860;83162092;28798217;28313475;0;0;2009780224;5318722304;0.73;0.27;0.28;7850704;20776259;114507852;83105036;28773394;28290590;0;0;2012066560;5326339840;0.73;0.27;0.28;7859635;20806015;114662600;83224060;28812594;28329849;0;0;2010992384;5361159936;0.73;0.26;0.27;7855439;20942031;115189880;83768124;28671596;28190452;0;0;2011029504;5362457856;0.73;0.26;0.27;7855584;20947101;115210740;83788404;28671213;28192070;0;0;2009353728;5355915520;0.73;0.26;0.27;7849038;20921545;115082332;83686180;28638641;28156657;0;0;
1560422436;8779645966;401920;6363904;0.00;0.00;0.00;1570;24859;105716;99436;204;66;0;0;400896;6363648;0.00;0.00;0.00;1566;24858;105696;99432;204;66;0;0;400896;6363648;0.00;0.00;0.00;1566;24858;105696;99432;204;66;0;0;400640;6363904;0.00;0.00;0.00;1565;24859;105696;99436;204;66;0;0;400896;6364160;0.00;0.00;0.00;1566;24860;105704;99440;204;66;0;0;400896;6363904;0.00;0.00;0.00;1566;24859;105700;99436;204;66;0;0;2005634304;5253152000;0.72;0.25;0.26;7834509;20520125;113418536;82080500;28233672;27307982;0;0;2004916992;5248999680;0.72;0.25;0.26;7831707;20503905;113342448;82015620;28216060;27294380;0;0;2005968128;5250490880;0.72;0.25;0.26;7835813;20509730;113382172;82038920;28217936;27294968;0;0;2006099200;5279184640;0.72;0.24;0.26;7836325;20621815;113832560;82487260;28174049;27247860;0;0;2004525056;5276906240;0.72;0.24;0.26;7830176;20612915;113772364;82451660;28164927;27241723;0;0;2004674560;5276672512;0.72;0.24;0.26;7830760;20612002;113771048;82448008;28155303;27234191;0;0;
1560422440;8779644244;404224;6365952;0.00;0.00;0.00;1579;24867;105784;99468;102;33;0;0;401920;6364160;0.00;0.00;0.00;1570;24860;105720;99440;102;33;0;0;400640;6363392;0.00;0.00;0.00;1565;24857;105688;99428;102;33;0;0;401152;6362880;0.00;0.00;0.00;1567;24855;105688;99420;102;33;0;0;401152;6362624;0.00;0.00;0.00;1567;24854;105684;99416;102;33;0;0;400640;6363392;0.00;0.00;0.00;1565;24857;105688;99428;102;33;0;0;2033865728;5221714688;0.71;0.23;0.25;7944788;20397323;113368444;81589292;27738006;26639291;0;0;2033788672;5226360064;0.71;0.23;0.25;7944487;20415469;113439824;81661876;27767481;26667924;0;0;2034191616;5218770432;0.71;0.23;0.25;7946061;20385822;113327532;81543288;27727335;26627701;0;0;2033199360;5241413376;0.71;0.23;0.25;7942185;20474271;113665824;81897084;27742967;26637764;0;0;2033479680;5241975296;0.71;0.23;0.25;7943280;20476466;113678984;81905864;27732526;26635381;0;0;2033315840;5246175488;0.71;0.23;0.25;7942640;20492873;113742052;81971492;27742297;26649708;0;0;
1560422444;8779653270;402432;6364928;0.00;0.00;0.00;1572;24863;105740;99452;204;66;0;0;401152;6363392;0.00;0.00;0.00;1567;24857;105696;99428;204;66;0;0;400896;6363136;0.00;0.00;0.00;1566;24856;105688;99424;204;66;0;0;400896;6363392;0.00;0.00;0.00;1566;24857;105692;99428;204;66;0;0;400640;6363136;0.00;0.00;0.00;1565;24856;105684;99424;204;66;0;0;400640;6363904;0.00;0.00;0.00;1565;24859;105696;99436;204;66;0;0;2037997312;5162069504;0.71;0.23;0.24;7960927;20164334;112501044;80657336;27191911;26040101;0;0;2038457344;5166408192;0.71;0.23;0.24;7962724;20181282;112576024;80725128;27235356;26069034;0;0;2038444032;5158565120;0.71;0.23;0.24;7962672;20150645;112453268;80602580;27185269;26020712;0;0;2038018816;5187115008;0.71;0.22;0.24;7961011;20262168;112892716;81048672;27246025;26082592;0;0;2038004480;5184997376;0.71;0.22;0.24;7960955;20253896;112859404;81015584;27234743;26071803;0;0;2039433728;5185712640;0.71;0.22;0.24;7966538;20256690;112892912;81026760;27222183;26066765;0;0;
1560422448;8779675100;401920;6362880;0.00;0.00;0.00;1570;24855;105700;99420;102;33;0;0;402176;6363648;0.00;0.00;0.00;1571;24858;105716;99432;102;33;0;0;400640;6362368;0.00;0.00;0.00;1565;24853;105672;99412;102;33;0;0;400896;6362368;0.00;0.00;0.00;1566;24853;105676;99412;102;33;0;0;400640;6362624;0.00;0.00;0.00;1565;24854;105676;99416;102;33;0;0;400896;6362368;0.00;0.00;0.00;1566;24853;105676;99412;102;33;0;0;2032505856;5083204864;0.70;0.22;0.23;7939476;19856269;111182980;79425076;26553065;25418216;0;0;2033222144;5085666304;0.70;0.22;0.23;7942274;19865884;111232632;79463536;26601607;25445378;0;0;2032235520;5076773120;0.70;0.22;0.23;7938420;19831145;111078260;79324580;26547501;25392580;0;0;2032315648;5107510272;0.70;0.22;0.23;7938733;19951212;111559780;79804848;26620581;25468805;0;0;2032179968;5102291456;0.70;0.22;0.23;7938203;19930826;111476116;79723304;26601867;25447994;0;0;2032287232;5103573248;0.70;0.22;0.23;7938622;19935833;111497820;79743332;26596994;25450184;0;0;
1560422452;8779642214;407040;6368256;0.00;0.00;0.00;1590;24876;105864;99504;204;66;0;0;403712;6365696;0.00;0.00;0.00;1577;24866;105772;99464;204;66;0;0;400896;6364416;0.00;0.00;0.00;1566;24861;105708;99444;204;66;0;0;400896;6364672;0.00;0.00;0.00;1566;24862;105712;99448;204;66;0;0;400896;6364928;0.00;0.00;0.00;1566;24863;105716;99452;204;66;0;0;401408;6365184;0.00;0.00;0.00;1568;24864;105728;99456;204;66;0;0;2033869824;4982610944;0.69;0.21;0.23;7944804;19463324;109632512;77853296;25818936;24663209;0;0;2034128128;4988950016;0.69;0.21;0.23;7945813;19488086;109735596;77952344;25881384;24708055;0;0;2031126528;4972535552;0.69;0.21;0.23;7934088;19423967;109432220;77695868;25803527;24629877;0;0;2032632576;5011033600;0.69;0.21;0.23;7939971;19574350;110057284;78297400;25916976;24748049;0;0;2035790592;5011800576;0.69;0.21;0.23;7952307;19577346;110118612;78309384;25922380;24747944;0;0;2031578880;4999902976;0.69;0.21;0.23;7935855;19530871;109866904;78123484;25864178;24696660;0;0;
1560422456;8779645996;402176;6364416;0.00;0.00;0.00;1571;24861;105728;99444;102;33;0;0;401408;6363648;0.00;0.00;0.00;1568;24858;105704;99432;102;33;0;0;400896;6363136;0.00;0.00;0.00;1566;24856;105688;99424;102;33;0;0;400640;6363136;0.00;0.00;0.00;1565;24856;105684;99424;102;33;0;0;401152;6363648;0.00;0.00;0.00;1567;24858;105700;99432;102;33;0;0;400640;6363648;0.00;0.00;0.00;1565;24858;105692;99432;102;33;0;0;2008011520;4852225024;0.69;0.21;0.22;7843795;18954004;107191196;75816016;25045521;23883819;0;0;2009929728;4862106880;0.69;0.21;0.22;7851288;18992605;107375572;75970420;25121039;23944659;0;0;2008223232;4846627584;0.69;0.21;0.22;7844622;18932139;107107044;75728556;25040773;23864461;0;0;2008425216;4883979008;0.69;0.20;0.22;7845411;19078043;107693816;76312172;25154516;23976936;0;0;2010323712;4883747584;0.69;0.20;0.22;7852827;19077139;107719864;76308556;25155877;23973908;0;0;2007033600;4867648256;0.69;0.20;0.22;7839975;19014251;107416904;76057004;25073748;23894058;0;0;
1560422460;8779652046;401664;6363392;0.00;0.00;0.00;1569;24857;105704;99428;204;66;0;0;400896;6362880;0.00;0.00;0.00;1566;24855;105684;99420;204;66;0;0;400896;6362880;0.00;0.00;0.00;1566;24855;105684;99420;204;66;0;0;400640;6362624;0.00;0.00;0.00;1565;24854;105676;99416;204;66;0;0;400640;6362368;0.00;0.00;0.00;1565;24853;105672;99412;204;66;0;0;400896;6363136;0.00;0.00;0.00;1566;24856;105688;99424;204;66;0;0;2008629760;4775961856;0.68;0.20;0.22;7846210;18656101;106009244;74624404;24627443;23455913;0;0;2011369984;4788780032;0.68;0.21;0.22;7856914;18706172;106252344;74824688;24727201;23533076;0;0;2007606272;4766971904;0.68;0.20;0.22;7842212;18620984;105852784;74483936;24606783;23415471;0;0;2009277696;4797662720;0.68;0.20;0.22;7848741;18740870;106358444;74963480;24690862;23490755;0;0;2011811584;4805826816;0.68;0.20;0.22;7858639;18772761;106525600;75091044;24726709;23524001;0;0;2009087744;4792502528;0.68;0.20;0.22;7847999;18720713;106274848;74882852;24656455;23458981;0;0;
1560422464;8779674638;401664;6364160;0.00;0.00;0.00;1569;24860;105716;99440;102;33;0;0;400640;6363392;0.00;0.00;0.00;1565;24857;105688;99428;102;33;0;0;400640;6363392;0.00;0.00;0.00;1565;24857;105688;99428;102;33;0;0;400896;6364672;0.00;0.00;0.00;1566;24862;105712;99448;102;33;0;0;400896;6364672;0.00;0.00;0.00;1566;24862;105712;99448;102;33;0;0;400640;6364672;0.00;0.00;0.00;1565;24862;105708;99448;102;33;0;0;2055160576;4765167872;0.67;0.20;0.22;8027971;18613937;106567632;74455748;24484257;23272933;0;0;2059909120;4782458368;0.67;0.20;0.22;8046520;18681478;106911992;74725912;24603320;23369902;0;0;2054866688;4757342976;0.67;0.20;0.22;8026823;18583371;106440776;74333484;24469959;23244271;0;0;2055405824;4787508480;0.67;0.20;0.22;8028929;18701205;106920536;74804820;24578434;23336051;0;0;2059608320;4798152704;0.67;0.20;0.22;8045345;18742784;107152516;74971136;24630233;23383979;0;0;2057655296;4786733056;0.67;0.20;0.22;8037716;18698176;106943568;74792704;24562305;23325449;0;0;
