# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 11:59:26 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560441574;17559020104;822272;12986368;0.00;0.00;0.00;3212;50728;215760;202912;237;1308;0;0;805376;12719360;0.00;0.00;0.00;3146;49685;211324;198740;102;33;0;0;265472;4212480;0.00;0.00;0.00;1037;16455;69968;65820;102;33;0;0;265216;4210944;0.00;0.00;0.00;1036;16449;69940;65796;102;33;0;0;265216;4210944;0.00;0.00;0.00;1036;16449;69940;65796;102;33;0;0;265216;4210688;0.00;0.00;0.00;1036;16448;69936;65792;102;33;0;0;741439232;2186708736;0.74;0.25;0.32;2896247;8541831;45752312;34167324;11340355;11322844;0;0;741543168;2186525440;0.74;0.25;0.32;2896653;8541115;45751072;34164460;11339961;11322421;0;0;741632512;2186300416;0.74;0.25;0.32;2897002;8540236;45748952;34160944;11339332;11322450;0;0;741790208;2194910720;0.74;0.24;0.31;2897618;8573870;45885952;34295480;11341462;11326107;0;0;741524224;2194269440;0.74;0.24;0.31;2896579;8571365;45871776;34285460;11337865;11323388;0;0;741547520;2194123776;0.74;0.24;0.31;2896670;8570796;45869864;34283184;11336939;11321922;0;0;
1560441582;17559043440;810752;12791296;0.00;0.00;0.00;3167;49966;212532;199864;102;271;0;0;809216;12731392;0.00;0.00;0.00;3161;49732;211572;198928;102;33;0;0;801792;12726272;0.00;0.00;0.00;3132;49712;211376;198848;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;2222287104;6593828352;0.75;0.25;0.27;8680809;25757142;137751804;103028568;34413301;34413611;0;0;2222510848;6594827008;0.75;0.25;0.27;8681683;25761043;137770904;103044172;34413695;34413630;0;0;2223007744;6596003584;0.75;0.25;0.27;8683624;25765639;137797052;103062556;34414017;34414131;0;0;2223398144;6618745856;0.75;0.25;0.27;8685149;25854476;138158500;103417904;34411791;34411300;0;0;2223244544;6617861632;0.75;0.25;0.27;8684549;25851022;138142284;103404088;34411398;34411314;0;0;2223028224;6616573184;0.75;0.25;0.27;8683704;25845989;138118772;103383956;34411847;34411806;0;0;
1560441590;17559012390;803072;12728576;0.00;0.00;0.00;3137;49721;211432;198884;102;36;0;0;816128;12737024;0.00;0.00;0.00;3188;49754;211768;199016;102;33;0;0;801792;12726784;0.00;0.00;0.00;3132;49714;211384;198856;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801792;12726784;0.00;0.00;0.00;3132;49714;211384;198856;102;33;0;0;2228419584;6602727936;0.75;0.25;0.28;8704764;25791906;137986680;103167624;34535511;34536743;0;0;2228184576;6603377408;0.75;0.25;0.28;8703846;25794443;137993156;103177772;34535496;34537145;0;0;2228698112;6603986432;0.75;0.25;0.28;8705852;25796822;138010696;103187288;34535315;34536483;0;0;2229084672;6628962048;0.75;0.25;0.27;8707362;25894383;138406980;103577532;34534931;34536275;0;0;2229182976;6629360896;0.75;0.25;0.27;8707746;25895941;138414748;103583764;34535210;34535631;0;0;2229218048;6629577984;0.75;0.25;0.27;8707883;25896789;138418688;103587156;34535149;34536057;0;0;
1560441598;17559010524;804352;12728576;0.00;0.00;0.00;3142;49721;211452;198884;102;33;0;0;813056;12734720;0.00;0.00;0.00;3176;49745;211684;198980;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;802816;12727552;0.00;0.00;0.00;3136;49717;211412;198868;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;103;33;0;0;2222490112;6605485056;0.75;0.25;0.28;8681602;25802676;137937112;103210704;34545862;34545202;0;0;2222426880;6604818944;0.75;0.25;0.28;8681355;25800074;137925716;103200296;34546168;34545493;0;0;2222449408;6606822400;0.75;0.25;0.28;8681443;25807900;137957372;103231600;34546411;34545953;0;0;2222958336;6622229760;0.75;0.25;0.27;8683431;25868085;138206064;103472340;34546491;34546144;0;0;2222880512;6621556992;0.75;0.25;0.27;8683127;25865457;138194336;103461828;34546590;34546518;0;0;2223112960;6621419264;0.75;0.25;0.27;8684035;25864919;138195816;103459676;34546887;34546207;0;0;
1560441606;17559015408;890880;12815104;0.00;0.00;0.00;3480;50059;214156;200236;1364;2493;0;0;809216;12730880;0.00;0.00;0.00;3161;49730;211564;198920;102;33;0;0;801280;12725504;0.00;0.00;0.00;3130;49709;211356;198836;102;33;0;0;801792;12725504;0.00;0.00;0.00;3132;49709;211364;198836;102;33;0;0;801792;12725248;0.00;0.00;0.00;3132;49708;211360;198832;102;33;0;0;801792;12725504;0.00;0.00;0.00;3132;49709;211364;198836;102;33;0;0;2217914112;6591668224;0.75;0.25;0.28;8663727;25748704;137649724;102994816;34515724;34513474;0;0;2218004480;6592804608;0.75;0.25;0.28;8664080;25753143;137668892;103012572;34515366;34513096;0;0;2218265856;6592685824;0.75;0.25;0.28;8665101;25752679;137671120;103010716;34514979;34512823;0;0;2219175680;6619458304;0.75;0.25;0.27;8668655;25857259;138103656;103429036;34518663;34517622;0;0;2219302656;6619649280;0.75;0.25;0.27;8669151;25858005;138108624;103432020;34518547;34517309;0;0;2219218432;6620188672;0.75;0.25;0.27;8668822;25860112;138115736;103440448;34518529;34517724;0;0;
1560441614;17559019136;810240;12731136;0.00;0.00;0.00;3165;49731;211584;198924;102;33;0;0;814848;12735744;0.00;0.00;0.00;3183;49749;211728;198996;102;33;0;0;801536;12726016;0.00;0.00;0.00;3131;49711;211368;198844;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;801792;12726272;0.00;0.00;0.00;3132;49712;211376;198848;102;33;0;0;801792;12726272;0.00;0.00;0.00;3132;49712;211376;198848;102;33;0;0;3292199424;9212977408;0.75;0.30;0.31;12860154;35988193;195393388;143952772;51274189;51270967;0;0;3292134400;9209074688;0.75;0.30;0.31;12859900;35972948;195331392;143891792;51273917;51271334;0;0;3292694528;9210811392;0.75;0.30;0.31;12862088;35979732;195367280;143918928;51273942;51270793;0;0;3292992768;9244038144;0.75;0.30;0.31;12863253;36109524;195891108;144438096;51269592;51267297;0;0;3293018368;9243599360;0.75;0.30;0.31;12863353;36107810;195884652;144431240;51270079;51268129;0;0;3292916224;9243568640;0.75;0.30;0.31;12862954;36107690;195882576;144430760;51271172;51268962;0;0;
1560441622;17559043630;808192;12730624;0.00;0.00;0.00;3157;49729;211544;198916;102;33;0;0;809472;12731136;0.00;0.00;0.00;3162;49731;211572;198924;102;33;0;0;802048;12726016;0.00;0.00;0.00;3133;49711;211376;198844;102;33;0;0;801536;12725760;0.00;0.00;0.00;3131;49710;211364;198840;102;33;0;0;801536;12725760;0.00;0.00;0.00;3131;49710;211364;198840;102;33;0;0;801536;12726016;0.00;0.00;0.00;3131;49711;211368;198844;109;33;0;0;3074509056;2101220608;0.75;0.25;0.32;12009801;8207893;80870776;32831572;47622410;10948686;0;0;3060207360;2098992384;0.75;0.25;0.32;11953935;8199189;80612496;32796756;47557230;10935049;0;0;3069656576;2097248768;0.75;0.25;0.32;11990846;8192378;80732896;32769512;47604934;10922360;0;0;3055228416;2099629312;0.75;0.25;0.32;11934486;8201677;80544652;32806708;47538087;10908539;0;0;3060429312;2097447680;0.75;0.25;0.32;11954802;8193155;80591828;32772620;47575174;10894370;0;0;3057967872;2094361600;0.75;0.25;0.32;11945187;8181100;80505148;32724400;47561550;10880541;0;0;
1560441630;17559010004;807936;12732160;0.00;0.00;0.00;3156;49735;211564;198940;102;33;0;0;806400;12730880;0.00;0.00;0.00;3150;49730;211520;198920;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801792;12727808;0.00;0.00;0.00;3132;49718;211400;198872;102;33;0;0;801536;12728320;0.00;0.00;0.00;3131;49720;211404;198880;102;33;0;0;801536;12728320;0.00;0.00;0.00;3131;49720;211404;198880;103;33;0;0;3444858368;14245632;0.75;0.00;0.00;13456478;55647;54048500;222588;53569937;3163;0;0;3438298880;14225408;0.75;0.00;0.00;13430855;55568;53945692;222272;53544636;3131;0;0;3442624000;14255872;0.75;0.00;0.00;13447750;55687;54013748;222748;53561973;3057;0;0;3432764672;14139648;0.75;0.00;0.00;13409237;55233;53857880;220932;53526535;2698;0;0;3432782080;14134016;0.75;0.00;0.00;13409305;55211;53858064;220844;53526785;2771;0;0;3439004160;14159616;0.75;0.00;0.00;13433610;55311;53955684;221244;53550900;2789;0;0;
1560441638;17559027420;812800;12735744;0.00;0.00;0.00;3175;49749;211696;198996;235;293;0;0;812544;12732672;0.00;0.00;0.00;3174;49737;211644;198948;102;33;0;0;801280;12725248;0.00;0.00;0.00;3130;49708;211352;198832;102;33;0;0;801792;12725760;0.00;0.00;0.00;3132;49710;211368;198840;102;33;0;0;801792;12725248;0.00;0.00;0.00;3132;49708;211360;198832;102;33;0;0;801536;12724992;0.00;0.00;0.00;3131;49707;211352;198828;102;33;0;0;3433208576;13849088;0.75;0.00;0.00;13410971;54098;53860276;216392;53520147;1683;0;0;3433363200;13867264;0.75;0.00;0.00;13411575;54169;53862976;216676;53520549;1783;0;0;3439925504;13925120;0.75;0.00;0.00;13437209;54395;53966416;217580;53546004;1778;0;0;3432259840;13813504;0.75;0.00;0.00;13407265;53959;53844896;215836;53521240;1581;0;0;3432331776;13792512;0.75;0.00;0.00;13407546;53877;53845692;215508;53520691;1499;0;0;3432177408;13789696;0.75;0.00;0.00;13406943;53866;53843236;215464;53520077;1495;0;0;
1560441646;17559021304;805888;12728576;0.00;0.00;0.00;3148;49721;211476;198884;102;33;0;0;810752;12733696;0.00;0.00;0.00;3167;49741;211632;198964;102;33;0;0;802048;12727552;0.00;0.00;0.00;3133;49717;211400;198868;102;33;0;0;801536;12727296;0.00;0.00;0.00;3131;49716;211388;198864;102;33;0;0;801536;12727040;0.00;0.00;0.00;3131;49715;211384;198860;102;33;0;0;802048;12727296;0.00;0.00;0.00;3133;49716;211396;198864;102;33;0;0;3445548288;13845504;0.75;0.00;0.00;13459173;54084;54053028;216336;53705394;1774;0;0;3445541632;13865984;0.75;0.00;0.00;13459147;54164;54053244;216656;53704910;1817;0;0;3448813824;13848576;0.75;0.00;0.00;13471929;54096;54104100;216384;53717168;1756;0;0;3445341184;13812224;0.75;0.00;0.00;13458364;53954;54049272;215816;53707545;1613;0;0;3444657920;13801472;0.75;0.00;0.00;13455695;53912;54038428;215648;53703186;1572;0;0;3444388352;13827328;0.75;0.00;0.00;13454642;54013;54034620;216052;53702430;1684;0;0;
