# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 12:01:09 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560441677;17559618344;812032;12912640;0.00;0.00;0.00;3172;50440;214448;201760;102;773;0;0;811776;12721920;0.00;0.00;0.00;3171;49695;211464;198780;102;33;0;0;260352;4132608;0.00;0.00;0.00;1017;16143;68640;64572;102;33;0;0;263424;4133120;0.00;0.00;0.00;1029;16145;68696;64580;102;33;0;0;259840;4131072;0.00;0.00;0.00;1015;16137;68608;64548;102;33;0;0;260096;4130816;0.00;0.00;0.00;1016;16136;68608;64544;102;33;0;0;727625472;2132012800;0.74;0.25;0.32;2842287;8328175;44681848;33312700;11124543;11106034;0;0;727599616;2132162048;0.74;0.25;0.32;2842186;8328758;44683776;33315032;11124149;11106023;0;0;727974144;2132555264;0.74;0.25;0.32;2843649;8330294;44695772;33321176;11125267;11107412;0;0;727813376;2146711296;0.74;0.25;0.32;2843021;8385591;44914448;33542364;11124897;11108477;0;0;727729408;2146108928;0.74;0.25;0.32;2842693;8383238;44903724;33532952;11124350;11108018;0;0;727646720;2146389504;0.74;0.25;0.32;2842370;8384334;44906816;33537336;11124110;11108419;0;0;
1560441685;17559009598;806144;12757248;0.00;0.00;0.00;3149;49833;211928;199332;102;141;0;0;810240;12733696;0.00;0.00;0.00;3165;49741;211624;198964;102;33;0;0;801536;12727296;0.00;0.00;0.00;3131;49716;211388;198864;102;33;0;0;801536;12728064;0.00;0.00;0.00;3131;49719;211400;198876;102;33;0;0;802048;12728064;0.00;0.00;0.00;3133;49719;211408;198876;102;33;0;0;801792;12729856;0.00;0.00;0.00;3132;49726;211432;198904;102;33;0;0;2213004032;6552430848;0.75;0.25;0.28;8644547;25595433;136959920;102381732;34265333;34263864;0;0;2213124864;6552165120;0.75;0.25;0.28;8645019;25594395;136957656;102377580;34264713;34262814;0;0;2213258496;6553057536;0.75;0.25;0.28;8645541;25597881;136973688;102391524;34266956;34265178;0;0;2214309376;6600391168;0.75;0.25;0.27;8649646;25782778;137729696;103131112;34270430;34268282;0;0;2214116864;6601834496;0.75;0.25;0.27;8648894;25788416;137749240;103153664;34270082;34268448;0;0;2214341888;6599815680;0.75;0.25;0.27;8649773;25780530;137721212;103122120;34270159;34267937;0;0;
1560441693;17559023936;889344;12815104;0.00;0.00;0.00;3474;50059;214132;200236;1374;2499;0;0;808448;12731392;0.00;0.00;0.00;3158;49732;211560;198928;102;33;0;0;801792;12726528;0.00;0.00;0.00;3132;49713;211380;198852;102;33;0;0;801536;12725760;0.00;0.00;0.00;3131;49710;211364;198840;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;802048;12724480;0.00;0.00;0.00;3133;49705;211352;198820;102;33;0;0;2210567424;6555793664;0.75;0.25;0.28;8635029;25608569;136974392;102434276;34283263;34281791;0;0;2210790912;6556475648;0.75;0.25;0.28;8635902;25611233;136988540;102444932;34283874;34282093;0;0;2210589440;6555761920;0.75;0.25;0.28;8635115;25608445;136974240;102433780;34280360;34278924;0;0;2210867712;6599234048;0.75;0.25;0.27;8636202;25778258;137657840;103113032;34275825;34273984;0;0;2210827008;6598357760;0.75;0.25;0.27;8636043;25774835;137643512;103099340;34275210;34273757;0;0;2210971904;6599163136;0.75;0.25;0.27;8636609;25777981;137658360;103111924;34275883;34274401;0;0;
1560441701;17559035430;803328;12727040;0.00;0.00;0.00;3138;49715;211412;198860;102;33;0;0;805120;12728064;0.00;0.00;0.00;3145;49719;211456;198876;102;33;0;0;801536;12725760;0.00;0.00;0.00;3131;49710;211364;198840;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;801792;12726272;0.00;0.00;0.00;3132;49712;211376;198848;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;2207753216;6549741312;0.75;0.25;0.28;8624036;25584927;136835852;102339708;34287345;34284723;0;0;2207719168;6550776320;0.75;0.25;0.28;8623903;25588970;136851492;102355880;34287303;34284812;0;0;2207823872;6550685184;0.75;0.25;0.28;8624312;25588614;136851704;102354456;34286868;34284174;0;0;2208096768;6595084032;0.75;0.25;0.27;8625378;25762047;137549700;103048188;34288583;34286455;0;0;2208259328;6596080896;0.75;0.25;0.27;8626013;25765941;137567816;103063764;34289374;34287156;0;0;2208310784;6594427904;0.75;0.25;0.27;8626214;25759484;137542792;103037936;34288713;34286620;0;0;
1560441709;17559014724;808192;12731392;0.00;0.00;0.00;3157;49732;211556;198928;102;33;0;0;802560;12727808;0.00;0.00;0.00;3135;49718;211412;198872;102;33;0;0;801792;12727296;0.00;0.00;0.00;3132;49716;211392;198864;102;33;0;0;802560;12727040;0.00;0.00;0.00;3135;49715;211400;198860;102;33;0;0;801792;12726528;0.00;0.00;0.00;3132;49713;211380;198852;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;2201440256;6535072512;0.75;0.25;0.28;8599376;25527627;136508012;102110508;34251793;34247438;0;0;2201215232;6535475456;0.75;0.25;0.28;8598497;25529201;136510792;102116804;34251930;34247428;0;0;2201590528;6535875328;0.75;0.25;0.28;8599963;25530763;136522904;102123052;34251474;34246992;0;0;2202223872;6583217664;0.75;0.25;0.27;8602437;25715694;137272524;102862776;34249285;34246359;0;0;2202142208;6583705088;0.75;0.25;0.27;8602118;25717598;137278864;102870392;34248717;34245435;0;0;2202436608;6583393280;0.75;0.25;0.27;8603268;25716380;137278592;102865520;34250839;34247302;0;0;
1560441717;17559019764;807424;12729856;0.00;0.00;0.00;3154;49726;211520;198904;102;33;0;0;808192;12731392;0.00;0.00;0.00;3157;49732;211556;198928;102;33;0;0;801792;12727296;0.00;0.00;0.00;3132;49716;211392;198864;102;33;0;0;803328;12728320;0.00;0.00;0.00;3138;49720;211432;198880;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;801792;12727296;0.00;0.00;0.00;3132;49716;211392;198864;102;33;0;0;3285513984;9208334336;0.75;0.30;0.31;12834039;35970056;195216380;143880224;51157071;51152001;0;0;3285531136;9208360192;0.75;0.30;0.31;12834106;35970157;195217052;143880628;51156590;51151646;0;0;3286094848;9207463936;0.75;0.30;0.31;12836308;35966656;195211856;143866624;51156612;51151870;0;0;3286575616;9280714240;0.75;0.29;0.31;12838186;36252790;196363904;145011160;51157279;51152555;0;0;3286716416;9278593792;0.75;0.29;0.31;12838736;36244507;196332972;144978028;51157951;51152907;0;0;3286928640;9279007488;0.75;0.29;0.31;12839565;36246123;196342752;144984492;51156379;51151391;0;0;
1560441725;17559032362;815616;12737792;0.00;0.00;0.00;3186;49757;211772;199028;233;291;0;0;806400;12729344;0.00;0.00;0.00;3150;49724;211496;198896;102;33;0;0;801792;12726016;0.00;0.00;0.00;3132;49711;211372;198844;102;33;0;0;804096;12727552;0.00;0.00;0.00;3141;49717;211432;198868;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;2833978880;8298701568;0.75;0.26;0.28;11070230;32416803;173948132;129667212;43925336;43902998;0;0;2834232576;8298490624;0.75;0.26;0.28;11071221;32415979;173948800;129663916;43932065;43909747;0;0;2835013888;8301495808;0.75;0.26;0.28;11074273;32427718;174007964;129710872;43938105;43916459;0;0;2835658496;8335167744;0.75;0.26;0.28;11076791;32559249;174544160;130236996;43942584;43919249;0;0;2836113152;8336339200;0.75;0.26;0.28;11078567;32563825;174569568;130255300;43947745;43924536;0;0;2836752896;8337568768;0.75;0.26;0.28;11081066;32568628;174598776;130274512;43954040;43931026;0;0;
1560441733;17559017850;806912;12728832;0.00;0.00;0.00;3152;49722;211496;198888;102;33;0;0;810240;12731904;0.00;0.00;0.00;3165;49734;211596;198936;102;33;0;0;801280;12725504;0.00;0.00;0.00;3130;49709;211356;198836;102;33;0;0;802816;12726016;0.00;0.00;0.00;3136;49711;211388;198844;102;33;0;0;801536;12725504;0.00;0.00;0.00;3131;49709;211360;198836;102;33;0;0;801792;12725760;0.00;0.00;0.00;3132;49710;211368;198840;102;33;0;0;3177755392;9255538688;0.75;0.26;0.28;12413107;36154448;194270220;144617792;49128654;49121830;0;0;3177803264;9254655744;0.75;0.26;0.28;12413294;36150999;194257172;144603996;49127098;49120789;0;0;3177489920;9255040256;0.75;0.26;0.28;12412070;36152501;194258284;144610004;49125975;49119258;0;0;3177794560;9276185088;0.75;0.26;0.28;12413260;36235098;194593432;144940392;49126820;49120609;0;0;3177553152;9278402304;0.75;0.26;0.28;12412317;36243759;194624304;144975036;49126725;49120097;0;0;3177706496;9277224960;0.75;0.26;0.28;12412916;36239160;194608304;144956640;49126617;49120144;0;0;
1560441741;17559047258;805888;12728832;0.00;0.00;0.00;3148;49722;211480;198888;102;33;0;0;815616;12735488;0.00;0.00;0.00;3186;49748;211736;198992;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;801536;12726016;0.00;0.00;0.00;3131;49711;211368;198844;102;33;0;0;802048;12726272;0.00;0.00;0.00;3133;49712;211380;198848;102;33;0;0;801536;12726272;0.00;0.00;0.00;3131;49712;211372;198848;102;33;0;0;3158417920;9252625920;0.75;0.27;0.28;12337570;36143070;193922560;144572280;49210363;49204973;0;0;3158807552;9250897408;0.75;0.27;0.28;12339092;36136318;193901640;144545272;49211362;49205222;0;0;3158712320;9251198208;0.75;0.27;0.28;12338720;36137493;193904852;144549972;49211899;49206578;0;0;3159104512;9274467584;0.75;0.26;0.28;12340252;36228389;194274564;144913556;49215189;49210101;0;0;3159271424;9276838400;0.75;0.26;0.28;12340904;36237650;194314216;144950600;49216685;49211589;0;0;3159306496;9274931968;0.75;0.26;0.28;12341041;36230203;194284976;144920812;49216005;49210049;0;0;
1560441749;17559035136;807936;12731904;0.00;0.00;0.00;3156;49734;211560;198936;102;33;0;0;813312;12735232;0.00;0.00;0.00;3177;49747;211696;198988;102;33;0;0;802048;12726784;0.00;0.00;0.00;3133;49714;211388;198856;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;801792;12726784;0.00;0.00;0.00;3132;49714;211384;198856;102;33;0;0;3167864832;9274345984;0.75;0.27;0.28;12374472;36227914;194409544;144911656;49365218;49361636;0;0;3167920640;9274566400;0.75;0.27;0.28;12374690;36228775;194413860;144915100;49366386;49363278;0;0;3168304896;9274085120;0.75;0.27;0.28;12376191;36226895;194412344;144907580;49366984;49362456;0;0;3168122624;9297867264;0.75;0.26;0.28;12375479;36319794;194781092;145279176;49362557;49358175;0;0;3168150528;9298395648;0.75;0.26;0.28;12375588;36321858;194789784;145287432;49362407;49358856;0;0;3168084992;9298506240;0.75;0.26;0.28;12375332;36322290;194790488;145289160;49363692;49359981;0;0;
