# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 05:35:31 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560418535;8779644512;140032;2224384;0.00;0.00;0.00;547;8689;36944;34756;204;66;0;0;140800;2223616;0.00;0.00;0.00;550;8686;36944;34744;204;66;0;0;140032;2223872;0.00;0.00;0.00;547;8687;36936;34748;204;66;0;0;140032;2223872;0.00;0.00;0.00;547;8687;36936;34748;204;66;0;0;140032;2224128;0.00;0.00;0.00;547;8688;36940;34752;204;66;0;0;139776;2223872;0.00;0.00;0.00;546;8687;36932;34748;204;66;0;0;911780096;237319680;0.75;0.27;0.59;3561641;927030;17954684;3708120;14039499;1271021;0;0;913296896;235158528;0.75;0.27;0.59;3567566;918588;17944616;3674352;14070602;1259042;0;0;914682624;232940032;0.75;0.27;0.59;3572979;909922;17931604;3639688;14086552;1246943;0;0;915719680;230293504;0.75;0.27;0.60;3577030;899584;17906456;3598336;14085055;1234912;0;0;917546752;228057088;0.75;0.27;0.60;3584167;890848;17900060;3563392;14108431;1222428;0;0;919087872;225964288;0.75;0.27;0.60;3590187;882673;17891440;3530692;14131546;1210144;0;0;
1560418539;8779679290;401408;6364416;0.00;0.00;0.00;1568;24861;105716;99444;102;33;0;0;406272;6367488;0.00;0.00;0.00;1587;24873;105840;99492;102;33;0;0;401152;6362368;0.00;0.00;0.00;1567;24853;105680;99412;102;33;0;0;400896;6362880;0.00;0.00;0.00;1566;24855;105684;99420;102;33;0;0;400640;6362880;0.00;0.00;0.00;1565;24855;105680;99420;102;33;0;0;401152;6363904;0.00;0.00;0.00;1567;24859;105704;99436;102;33;0;0;2951469056;7694336;0.74;0.00;0.00;11529176;30056;46236928;120224;44997880;3280;0;0;2952019712;7632384;0.74;0.00;0.00;11531327;29814;46244564;119256;45044544;3328;0;0;2951438592;7698688;0.74;0.00;0.00;11529057;30073;46236520;120292;45018271;3333;0;0;2950236416;7668224;0.74;0.00;0.00;11524361;29954;46217260;119816;44911468;3305;0;0;2951372800;7698432;0.74;0.00;0.00;11528800;30072;46235488;120288;44891754;3663;0;0;2950734848;7651584;0.74;0.00;0.00;11526308;29889;46224788;119556;44891500;3198;0;0;
1560418543;8779651916;402432;6365440;0.00;0.00;0.00;1572;24865;105748;99460;204;66;0;0;401664;6364160;0.00;0.00;0.00;1569;24860;105716;99440;204;66;0;0;400896;6364160;0.00;0.00;0.00;1566;24860;105704;99440;204;66;0;0;400640;6363904;0.00;0.00;0.00;1565;24859;105696;99436;204;66;0;0;400896;6364672;0.00;0.00;0.00;1566;24862;105712;99448;204;66;0;0;400896;6364416;0.00;0.00;0.00;1566;24861;105708;99444;204;66;0;0;2968807168;7906816;0.74;0.00;0.00;11596903;30886;46511156;123544;44538218;4489;0;0;2970559488;7945984;0.74;0.00;0.00;11603748;31039;46539148;124156;44604920;4381;0;0;2968859904;7944960;0.74;0.00;0.00;11597109;31035;46512576;124140;44558896;4508;0;0;2967986944;8017408;0.74;0.00;0.00;11593699;31318;46500068;125272;44444545;4729;0;0;2969943552;7912192;0.74;0.00;0.00;11601342;30907;46528996;123628;44439479;4707;0;0;2969407744;7926272;0.74;0.00;0.00;11599249;30962;46520844;123848;44447380;4678;0;0;
1560418547;8779652638;401152;6364416;0.00;0.00;0.00;1567;24861;105712;99444;102;33;0;0;402944;6365440;0.00;0.00;0.00;1574;24865;105756;99460;102;33;0;0;400896;6363648;0.00;0.00;0.00;1566;24858;105696;99432;102;33;0;0;400896;6363648;0.00;0.00;0.00;1566;24858;105696;99432;102;33;0;0;400640;6363136;0.00;0.00;0.00;1565;24856;105684;99424;102;33;0;0;400640;6363648;0.00;0.00;0.00;1565;24858;105692;99432;102;33;0;0;2980231424;7943936;0.74;0.00;0.00;11641529;31031;46690240;124124;44238776;4668;0;0;2981517824;7980800;0.74;0.00;0.00;11646554;31175;46710916;124700;44285139;4671;0;0;2980406784;7980544;0.74;0.00;0.00;11642214;31174;46693552;124696;44248918;4715;0;0;2979013120;8016896;0.74;0.00;0.00;11636770;31316;46672344;125264;44142184;4882;0;0;2981518848;7954176;0.74;0.00;0.00;11646558;31071;46710516;124284;44144243;4654;0;0;2980753664;8082432;0.74;0.00;0.00;11643569;31572;46700564;126288;44151688;5014;0;0;
1560418551;8779648130;405760;6365952;0.00;0.00;0.00;1585;24867;105808;99468;204;66;0;0;401664;6363136;0.00;0.00;0.00;1569;24856;105700;99424;204;66;0;0;400640;6362880;0.00;0.00;0.00;1565;24855;105680;99420;204;66;0;0;400640;6362624;0.00;0.00;0.00;1565;24854;105676;99416;204;66;0;0;401152;6362880;0.00;0.00;0.00;1567;24855;105688;99420;204;66;0;0;400640;6362880;0.00;0.00;0.00;1565;24855;105680;99420;204;66;0;0;2989330432;8372224;0.73;0.00;0.00;11677072;32704;46839104;130816;43942739;6201;0;0;2991034880;8339712;0.73;0.00;0.00;11683730;32577;46865228;130308;43982520;6076;0;0;2989913856;8345344;0.73;0.00;0.00;11679351;32599;46847800;130396;43955700;6087;0;0;2988591872;8279040;0.73;0.00;0.00;11674187;32340;46826108;129360;43877909;6058;0;0;2991342080;8270848;0.73;0.00;0.00;11684930;32308;46868952;129232;43891093;6235;0;0;2991119104;8330240;0.73;0.00;0.00;11684059;32540;46866396;130160;43916233;6064;0;0;
1560418555;8779646230;402944;6365440;0.00;0.00;0.00;1574;24865;105756;99460;102;33;0;0;401152;6363136;0.00;0.00;0.00;1567;24856;105692;99424;102;33;0;0;400896;6363136;0.00;0.00;0.00;1566;24856;105688;99424;102;33;0;0;401152;6362880;0.00;0.00;0.00;1567;24855;105688;99420;102;33;0;0;400640;6362880;0.00;0.00;0.00;1565;24855;105680;99420;102;33;0;0;400640;6363648;0.00;0.00;0.00;1565;24858;105692;99432;102;33;0;0;2999556608;8343296;0.73;0.00;0.00;11717018;32591;46998436;130364;43649938;6092;0;0;3001146112;8318464;0.73;0.00;0.00;11723227;32494;47022884;129976;43686965;6170;0;0;2999925248;8315392;0.73;0.00;0.00;11718458;32482;47003760;129928;43667178;6143;0;0;2999147264;8346368;0.73;0.00;0.00;11715419;32603;46992088;130412;43580490;6212;0;0;3000577280;8326400;0.73;0.00;0.00;11721005;32525;47014120;130100;43582550;6277;0;0;3000291072;8268288;0.73;0.00;0.00;11719887;32298;47008740;129192;43619065;6195;0;0;
1560418559;8779641064;403200;6365184;0.00;0.00;0.00;1575;24864;105756;99456;204;66;0;0;401920;6364160;0.00;0.00;0.00;1570;24860;105720;99440;204;66;0;0;400896;6364928;0.00;0.00;0.00;1566;24863;105716;99452;204;66;0;0;401152;6364928;0.00;0.00;0.00;1567;24863;105720;99452;204;66;0;0;400896;6364672;0.00;0.00;0.00;1566;24862;105712;99448;204;66;0;0;401152;6365952;0.00;0.00;0.00;1567;24867;105736;99468;204;66;0;0;3007335168;8304640;0.73;0.00;0.00;11747403;32440;47119372;129760;43467827;5777;0;0;3008703488;8226560;0.73;0.00;0.00;11752748;32135;47139532;128540;43506219;6001;0;0;3008113408;8183040;0.73;0.00;0.00;11750443;31965;47129632;127860;43511104;5822;0;0;3007112192;8220672;0.73;0.00;0.00;11746532;32112;47114576;128448;43417114;5774;0;0;3008335872;8267520;0.73;0.00;0.00;11751312;32295;47134428;129180;43422626;6080;0;0;3007955456;8242688;0.73;0.00;0.00;11749826;32198;47128096;128792;43452544;5921;0;0;
1560418563;8779673090;401408;6363392;0.00;0.00;0.00;1568;24857;105700;99428;102;33;0;0;400640;6362624;0.00;0.00;0.00;1565;24854;105676;99416;102;33;0;0;400640;6361856;0.00;0.00;0.00;1565;24851;105664;99404;102;33;0;0;400640;6361344;0.00;0.00;0.00;1565;24849;105656;99396;102;33;0;0;400640;6363136;0.00;0.00;0.00;1565;24856;105684;99424;102;33;0;0;400640;6363904;0.00;0.00;0.00;1565;24859;105696;99436;102;33;0;0;3011368960;8410880;0.73;0.00;0.00;11763160;32855;47184060;131420;43208107;6318;0;0;3012866048;8423168;0.73;0.00;0.00;11769008;32903;47207644;131612;43259586;6396;0;0;3012360704;8458496;0.73;0.00;0.00;11767034;33041;47200300;132164;43249816;6395;0;0;3011411968;8384512;0.73;0.00;0.00;11763328;32752;47184320;131008;43167617;6435;0;0;3012612352;8313344;0.73;0.00;0.00;11768017;32474;47201964;129896;43170025;6235;0;0;3012187648;8352768;0.73;0.00;0.00;11766358;32628;47195944;130512;43193539;6227;0;0;
1560418567;8779639564;403712;6365440;0.00;0.00;0.00;1577;24865;105768;99460;204;66;0;0;400896;6364160;0.00;0.00;0.00;1566;24860;105704;99440;204;66;0;0;401152;6364416;0.00;0.00;0.00;1567;24861;105712;99444;204;66;0;0;400640;6364416;0.00;0.00;0.00;1565;24861;105704;99444;204;66;0;0;400896;6363136;0.00;0.00;0.00;1566;24856;105688;99424;204;66;0;0;401152;6362880;0.00;0.00;0.00;1567;24855;105688;99420;204;66;0;0;3017186304;8358912;0.73;0.00;0.00;11785884;32652;47274144;130608;43052638;6475;0;0;3018741248;8440832;0.73;0.00;0.00;11791958;32972;47299720;131888;43097187;6544;0;0;3017514752;8404992;0.73;0.00;0.00;11787167;32832;47279996;131328;43092105;6560;0;0;3017520640;8381952;0.73;0.00;0.00;11787190;32742;47279728;130968;43026884;6455;0;0;3018977536;8311552;0.73;0.00;0.00;11792881;32467;47301392;129868;43040506;6372;0;0;3017982720;8374016;0.73;0.00;0.00;11788995;32711;47286824;130844;43058122;6375;0;0;
1560418571;8779645776;400896;6363136;0.00;0.00;0.00;1566;24856;105688;99424;102;33;0;0;400640;6363136;0.00;0.00;0.00;1565;24856;105684;99424;102;33;0;0;400640;6363392;0.00;0.00;0.00;1565;24857;105688;99428;102;33;0;0;400896;6363648;0.00;0.00;0.00;1566;24858;105696;99432;102;33;0;0;400640;6363136;0.00;0.00;0.00;1565;24856;105684;99424;102;33;0;0;400896;6364160;0.00;0.00;0.00;1566;24860;105704;99440;102;33;0;0;3022290432;8643328;0.72;0.00;0.00;11805822;33763;47358340;135052;42898984;7498;0;0;3024086784;8565504;0.72;0.00;0.00;11812839;33459;47385192;133836;42932642;7386;0;0;3022319872;8622848;0.73;0.00;0.00;11805937;33683;47358480;134732;42933500;7285;0;0;3023517184;8546304;0.72;0.00;0.00;11810614;33384;47375992;133536;42890321;7177;0;0;3024251136;8538880;0.72;0.00;0.00;11813481;33355;47387344;133420;42895712;7084;0;0;3024306432;8591616;0.72;0.00;0.00;11813697;33561;47389032;134244;42909815;7276;0;0;
