# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Jun 13 05:44:13 2019
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1560419061;17559010534;543744;8606720;0.00;0.00;0.00;2124;33620;142976;134480;203;66;0;0;483328;7519232;0.00;0.00;0.00;1888;29372;125040;117488;203;66;0;0;400128;6354688;0.00;0.00;0.00;1563;24823;105544;99292;204;66;0;0;397824;6318080;0.00;0.00;0.00;1554;24680;104936;98720;221;66;0;0;397824;6319104;0.00;0.00;0.00;1554;24684;104952;98736;102;33;0;0;398080;6320384;0.00;0.00;0.00;1555;24689;104976;98756;102;33;0;0;399104;6335232;0.00;0.00;0.00;1559;24747;105224;98988;135;83;0;0;399616;6330368;0.00;0.00;0.00;1561;24728;105156;98912;135;59;0;0;399360;6334208;0.00;0.00;0.00;1560;24743;105212;98972;135;60;0;0;398848;6332416;0.00;0.00;0.00;1558;24736;105176;98944;135;66;0;0;399616;6331904;0.00;0.00;0.00;1561;24734;105180;98936;135;56;0;0;401664;6337792;0.00;0.00;0.00;1569;24757;105304;99028;135;71;0;0;
1560419069;17559005810;806400;12731904;0.00;0.00;0.00;3150;49734;211536;198936;102;33;0;0;809472;12732416;0.00;0.00;0.00;3162;49736;211592;198944;102;33;0;0;801536;12726016;0.00;0.00;0.00;3131;49711;211368;198844;102;33;0;0;801792;12726016;0.00;0.00;0.00;3132;49711;211372;198844;102;33;0;0;801536;12726016;0.00;0.00;0.00;3131;49711;211368;198844;102;33;0;0;801536;12727552;0.00;0.00;0.00;3131;49717;211392;198868;102;33;0;0;805888;12729856;0.00;0.00;0.00;3148;49726;211496;198904;135;38;0;0;807680;12730368;0.00;0.00;0.00;3155;49728;211532;198912;135;40;0;0;804096;12731136;0.00;0.00;0.00;3141;49731;211488;198924;135;38;0;0;807424;12733184;0.00;0.00;0.00;3154;49739;211572;198956;135;47;0;0;810496;12733184;0.00;0.00;0.00;3166;49739;211620;198956;135;38;0;0;811520;12734720;0.00;0.00;0.00;3170;49745;211660;198980;135;41;0;0;
1560419077;17559007376;808960;12731648;0.00;0.00;0.00;3160;49733;211572;198932;102;33;0;0;808704;12730112;0.00;0.00;0.00;3159;49727;211544;198908;102;33;0;0;801536;12725504;0.00;0.00;0.00;3131;49709;211360;198836;102;33;0;0;801792;12724992;0.00;0.00;0.00;3132;49707;211356;198828;102;33;0;0;801792;12724736;0.00;0.00;0.00;3132;49706;211352;198824;102;33;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;102;33;0;0;804608;12727808;0.00;0.00;0.00;3143;49718;211444;198872;135;39;0;0;807168;12729600;0.00;0.00;0.00;3153;49725;211512;198900;135;38;0;0;805632;12731648;0.00;0.00;0.00;3147;49733;211520;198932;135;33;0;0;808192;12730368;0.00;0.00;0.00;3157;49728;211540;198912;135;37;0;0;807424;12729088;0.00;0.00;0.00;3154;49723;211508;198892;135;38;0;0;808960;12728832;0.00;0.00;0.00;3160;49722;211528;198888;135;34;0;0;
1560419085;17558998062;803840;12730368;0.00;0.00;0.00;3140;49728;211472;198912;102;33;0;0;810240;12732672;0.00;0.00;0.00;3165;49737;211608;198948;102;33;0;0;801536;12726016;0.00;0.00;0.00;3131;49711;211368;198844;102;33;0;0;801536;12726528;0.00;0.00;0.00;3131;49713;211376;198852;102;33;0;0;801792;12726528;0.00;0.00;0.00;3132;49713;211380;198852;102;33;0;0;801792;12727296;0.00;0.00;0.00;3132;49716;211392;198864;102;33;0;0;807936;12730368;0.00;0.00;0.00;3156;49728;211536;198912;135;34;0;0;805888;12730368;0.00;0.00;0.00;3148;49728;211504;198912;135;38;0;0;811776;12734208;0.00;0.00;0.00;3171;49743;211656;198972;135;34;0;0;804096;12729344;0.00;0.00;0.00;3141;49724;211460;198896;135;35;0;0;806400;12729856;0.00;0.00;0.00;3150;49726;211504;198904;135;34;0;0;809728;12732928;0.00;0.00;0.00;3163;49738;211604;198952;135;38;0;0;
1560419093;17559008910;806144;12730880;0.00;0.00;0.00;3149;49730;211516;198920;106;33;0;0;811008;12733184;0.00;0.00;0.00;3168;49739;211628;198956;102;33;0;0;802048;12726784;0.00;0.00;0.00;3133;49714;211388;198856;102;33;0;0;801536;12727296;0.00;0.00;0.00;3131;49716;211388;198864;102;33;0;0;801536;12727040;0.00;0.00;0.00;3131;49715;211384;198860;102;33;0;0;801536;12729088;0.00;0.00;0.00;3131;49723;211416;198892;102;33;0;0;806912;12730368;0.00;0.00;0.00;3152;49728;211520;198912;135;34;0;0;809984;12732672;0.00;0.00;0.00;3164;49737;211604;198948;135;34;0;0;826624;12754688;0.00;0.00;0.00;3229;49823;212208;199292;135;33;0;0;804864;12729600;0.00;0.00;0.00;3144;49725;211476;198900;135;33;0;0;805632;12730112;0.00;0.00;0.00;3147;49727;211496;198908;135;33;0;0;809984;12731648;0.00;0.00;0.00;3164;49733;211588;198932;135;34;0;0;
1560419101;17558980144;1446656;22932736;0.00;0.00;0.00;5651;89581;380928;358324;205;66;0;0;1456128;22936832;0.00;0.00;0.00;5688;89597;381140;358388;102;33;0;0;1444352;22930176;0.00;0.00;0.00;5642;89571;380852;358284;102;33;0;0;1444608;22930176;0.00;0.00;0.00;5643;89571;380856;358284;102;33;0;0;1444352;22929920;0.00;0.00;0.00;5642;89570;380848;358280;102;33;0;0;1444608;22933248;0.00;0.00;0.00;5643;89583;380904;358332;102;33;0;0;1445415424;1465306368;0.75;0.87;0.89;5646154;5723853;45480028;22895412;22377680;44746513;0;0;1445478144;1465396480;0.75;0.87;0.89;5646399;5724205;45482416;22896820;22377882;44746906;0;0;1445646592;1465633280;0.75;0.87;0.89;5647057;5725130;45488748;22900520;22377423;44746211;0;0;1445336832;1465205248;0.75;0.87;0.89;5645847;5723458;45477220;22893832;22377368;44746049;0;0;1445201664;1465061888;0.75;0.87;0.89;5645319;5722898;45472868;22891592;22377987;44747165;0;0;1445097216;1464918272;0.75;0.87;0.89;5644911;5722337;45468992;22889348;22378038;44746948;0;0;
1560419109;17559015376;270848;4287488;0.00;0.00;0.00;1058;16748;71224;66992;307;99;0;0;270848;4286464;0.00;0.00;0.00;1058;16744;71208;66976;423;132;0;0;269824;4283648;0.00;0.00;0.00;1054;16733;71148;66932;410;132;0;0;269568;4283136;0.00;0.00;0.00;1053;16731;71136;66924;410;132;0;0;269568;4282368;0.00;0.00;0.00;1053;16728;71124;66912;410;132;0;0;269312;4279808;0.00;0.00;0.00;1052;16718;71080;66872;409;132;0;0;14517248;1458855424;0.42;0.75;0.78;56708;5698654;23021448;22794616;98012;22459267;0;0;14373376;1460501760;0.50;0.75;0.78;56146;5705085;23044924;22820340;112330;22473308;0;0;15440128;1463288832;0.52;0.75;0.78;60313;5715972;23105140;22863888;126494;22487071;0;0;16737536;1466231296;0.53;0.75;0.78;65381;5727466;23171388;22909864;140325;22500391;0;0;17114624;1468516352;0.57;0.75;0.78;66854;5736392;23212984;22945568;154355;22514132;0;0;18577920;1471505408;0.57;0.74;0.78;72570;5748068;23282552;22992272;167852;22527015;0;0;
1560419117;17559047478;693248;10964224;0.00;0.00;0.00;2708;42829;182148;171316;305;99;0;0;697600;10966016;0.00;0.00;0.00;2725;42836;182244;171344;307;99;0;0;690176;10960640;0.00;0.00;0.00;2696;42815;182044;171260;306;99;0;0;690432;10960384;0.00;0.00;0.00;2697;42814;182044;171256;306;99;0;0;690432;10959616;0.00;0.00;0.00;2697;42811;182032;171244;306;99;0;0;690432;10961152;0.00;0.00;0.00;2697;42817;182056;171268;306;99;0;0;2454277888;139656192;0.48;0.21;0.00;9587023;545532;40530220;2182128;18438381;694860;0;0;2452518400;137146368;0.48;0.21;0.00;9580150;535728;40463512;2142912;18369246;681530;0;0;2455102720;134596864;0.48;0.21;0.00;9590245;525769;40464056;2103076;18374516;667656;0;0;2449667584;131600384;0.47;0.21;0.00;9569014;514064;40332312;2056256;18165343;654011;0;0;2429917440;129016576;0.47;0.21;0.00;9491865;503971;39983344;2015884;17991240;640410;0;0;2429528064;126401024;0.47;0.21;0.00;9490344;493754;39936392;1975016;18011572;627452;0;0;
1560419125;17559013684;807168;12732928;0.00;0.00;0.00;3153;49738;211564;198952;306;99;0;0;803840;12729344;0.00;0.00;0.00;3140;49724;211456;198896;306;99;0;0;801792;12727040;0.00;0.00;0.00;3132;49715;211388;198860;306;99;0;0;801536;12727296;0.00;0.00;0.00;3131;49716;211388;198864;306;99;0;0;801792;12727296;0.00;0.00;0.00;3132;49716;211392;198864;306;99;0;0;801792;12728064;0.00;0.00;0.00;3132;49719;211404;198876;306;99;0;0;4101758208;20815360;0.54;0.00;0.00;16022493;81310;64415212;325240;35130067;46503;0;0;4122790912;20766976;0.54;0.00;0.00;16104652;81121;64743092;324484;35374533;46525;0;0;4098458112;20663552;0.54;0.00;0.00;16009602;80717;64361276;322868;35098909;46293;0;0;4100642560;20786944;0.55;0.00;0.00;16018135;81199;64397336;324796;35230610;46698;0;0;4093408256;20804608;0.55;0.00;0.00;15989876;81268;64284576;325072;35214465;46900;0;0;4094271744;20875008;0.55;0.00;0.00;15993249;81543;64299168;326172;35205727;46870;0;0;
1560419133;17559025286;803840;12728832;0.00;0.00;0.00;3140;49722;211448;198888;306;99;0;0;801792;12725760;0.00;0.00;0.00;3132;49710;211368;198840;306;99;0;0;801792;12726528;0.00;0.00;0.00;3132;49713;211380;198852;306;99;0;0;801792;12727040;0.00;0.00;0.00;3132;49715;211388;198860;306;99;0;0;801792;12726016;0.00;0.00;0.00;3132;49711;211372;198844;306;99;0;0;801536;12726784;0.00;0.00;0.00;3131;49714;211380;198856;306;99;0;0;4427458048;18366720;0.59;0.00;0.00;17294758;71745;69466012;286980;42440944;31682;0;0;4446652416;18376448;0.59;0.00;0.00;17369736;71783;69766076;287132;42622685;31696;0;0;4427767552;18459136;0.59;0.00;0.00;17295967;72106;69472292;288424;42442794;31914;0;0;4435602944;18480384;0.59;0.00;0.00;17326574;72189;69595052;288756;42534595;31907;0;0;4438224640;18408192;0.59;0.00;0.00;17336815;71907;69634888;287628;42563999;31741;0;0;4433064192;18371328;0.59;0.00;0.00;17316657;71763;69553680;287052;42581223;31822;0;0;
